Serial number,time,size,direction
1,0.0,286,1
2,0.000382,1514,1
3,0.000425,1514,1
4,0.000655,1377,1
5,0.000685,132,1
6,0.004759,180,1
7,0.010736,1514,1
8,0.011282,120,1
9,0.011388,79,1
10,0.040366,95,-1
11,0.042071,60,-1
12,0.042973,60,-1
13,0.042974,60,-1
14,0.048002,60,-1
15,0.051968,74,1
16,0.053679,1514,1
17,0.055965,1514,1
18,0.05753,1514,1
19,0.057562,228,1
20,0.089777,1514,1
21,0.090084,1514,1
22,0.091713,1514,1
23,0.091754,1472,1
24,0.092484,66,-1
25,0.093691,54,1
26,0.094031,60,-1
27,0.094033,60,-1
28,0.096297,312,1
29,0.131704,172,1
30,0.131879,172,1
31,0.134509,60,-1
32,0.138113,172,1
33,0.141407,60,-1
34,0.141408,96,-1
35,0.143913,54,1
36,0.145315,60,-1
37,0.146262,60,-1
38,0.146827,191,-1
39,0.14795,54,1
40,0.150121,105,1
41,0.166839,60,-1
42,0.173601,172,1
43,0.188099,172,1
44,0.20333,172,1
45,0.208246,60,-1
46,0.215654,172,1
47,0.225374,145,-1
48,0.225376,92,-1
49,0.229714,54,1
50,0.236158,60,-1
51,0.238454,765,1
52,0.250997,60,-1
53,0.251204,172,1
54,0.265023,172,1
55,0.282365,60,-1
56,0.28588,172,1
57,0.290291,419,-1
58,0.292206,85,1
59,0.292386,54,1
60,0.300618,60,-1
61,0.300752,172,1
62,0.333004,60,-1
63,0.334624,172,1
64,0.33494,54,1
65,0.335971,60,-1
66,0.348861,172,1
67,0.36406,172,1
68,0.377911,172,1
69,0.383832,60,-1
70,0.411746,172,1
71,0.413423,60,-1
72,0.425995,172,1
73,0.443171,172,1
74,0.460458,172,1
75,0.46107,60,-1
76,0.489005,172,1
77,0.49912,60,-1
78,0.509928,327,1
79,0.511018,132,1
80,0.524147,190,1
81,0.525081,1514,1
82,0.525159,1514,1
83,0.525177,944,1
84,0.525194,136,1
85,0.545239,60,-1
86,0.550443,328,1
87,0.560089,60,-1
88,0.565952,60,-1
89,0.572658,172,1
90,0.585801,60,-1
91,0.587159,172,1
92,0.603429,172,1
93,0.621592,172,1
94,0.622645,60,-1
95,0.649672,172,1
96,0.650684,145,-1
97,0.650688,92,-1
98,0.655046,54,1
99,0.670734,172,1
100,0.684527,172,1
101,0.68466,60,-1
102,0.698606,172,1
103,0.720022,60,-1
104,0.73381,172,1
105,0.747584,172,1
106,0.762936,172,1
107,0.769489,60,-1
108,0.782901,172,1
109,0.79825,60,-1
110,0.831727,172,1
111,0.83188,172,1
112,0.846134,172,1
113,0.859976,172,1
114,0.867009,60,-1
115,0.881371,60,-1
116,0.894749,172,1
117,0.909008,172,1
118,0.92336,172,1
119,0.930072,60,-1
120,0.93664,172,1
121,0.958179,60,-1
122,0.971702,172,1
123,0.985638,172,1
124,1.003492,172,1
125,1.006956,60,-1
126,1.021488,172,1
127,1.039063,60,-1
128,1.048733,172,1
129,1.070047,172,1
130,1.083994,172,1
131,1.087941,60,-1
132,1.097882,172,1
133,1.120127,60,-1
134,1.13288,172,1
135,1.147053,172,1
136,1.163154,172,1
