Serial number,time,size,direction
1,0.0,286,1
2,0.000303,190,1
3,0.001126,1514,1
4,0.001649,1514,1
5,0.0017,1514,1
6,0.003053,724,1
7,0.007883,79,1
8,0.033808,127,-1
9,0.03738,74,1
10,0.041996,60,-1
11,0.042856,60,-1
12,0.044029,1514,1
13,0.044495,1514,1
14,0.04643,1514,1
15,0.046488,1514,1
16,0.046525,1514,1
17,0.046557,419,1
18,0.07539,66,-1
19,0.076756,54,1
20,0.078459,312,1
21,0.081735,60,-1
22,0.086969,1514,1
23,0.087286,1514,1
24,0.087807,60,-1
25,0.087808,60,-1
26,0.089417,1514,1
27,0.089744,1514,1
28,0.089883,172,1
29,0.107626,172,1
30,0.115553,60,-1
31,0.121128,60,-1
32,0.12113,191,-1
33,0.122457,54,1
34,0.124593,60,-1
35,0.124706,105,1
36,0.128559,60,-1
37,0.135897,172,1
38,0.149604,172,1
39,0.170369,172,1
40,0.171013,60,-1
41,0.185571,172,1
42,0.204966,60,-1
43,0.21158,146,-1
44,0.211582,92,-1
45,0.211583,60,-1
46,0.217878,54,1
47,0.218069,54,1
48,0.218231,765,1
49,0.222961,172,1
50,0.233162,172,1
51,0.247468,172,1
52,0.258686,60,-1
53,0.259802,60,-1
54,0.26166,172,1
55,0.265789,417,-1
56,0.26747,85,1
57,0.267674,54,1
58,0.282114,60,-1
59,0.296827,172,1
60,0.304584,60,-1
61,0.310173,54,1
62,0.311554,172,1
63,0.33157,172,1
64,0.334814,60,-1
65,0.345806,172,1
66,0.37033,60,-1
67,0.374403,172,1
68,0.394271,172,1
69,0.408613,172,1
70,0.410385,60,-1
71,0.443742,172,1
72,0.447392,60,-1
73,0.456876,172,1
74,0.470864,172,1
75,0.485589,172,1
76,0.494053,60,-1
77,0.508648,172,1
78,0.512927,287,1
79,0.514416,190,1
80,0.514448,1514,1
81,0.520964,60,-1
82,0.522573,1514,1
83,0.522882,1514,1
84,0.548188,60,-1
85,0.549691,665,1
86,0.553953,60,-1
87,0.555165,172,1
88,0.559685,60,-1
89,0.569492,172,1
90,0.583181,172,1
91,0.593407,60,-1
92,0.618246,60,-1
93,0.618396,172,1
94,0.631704,172,1
95,0.645859,172,1
96,0.666705,60,-1
97,0.667573,172,1
98,0.694996,172,1
99,0.701494,146,-1
100,0.701495,92,-1
101,0.708007,54,1
102,0.710516,172,1
103,0.730122,172,1
104,0.731681,60,-1
105,0.744058,172,1
106,0.767095,60,-1
107,0.782658,172,1
108,0.793559,172,1
109,0.807254,172,1
110,0.818112,60,-1
111,0.822728,172,1
112,0.842297,60,-1
113,0.856114,172,1
114,0.870282,172,1
115,0.891056,172,1
116,0.893629,66,1
117,0.896362,60,-1
118,0.90567,172,1
119,0.929114,60,-1
120,0.93287,172,1
121,0.954294,172,1
122,0.968561,172,1
123,0.970453,60,-1
124,0.982072,172,1
125,1.008685,60,-1
126,1.01753,172,1
127,1.032305,172,1
128,1.045018,172,1
129,1.056578,60,-1
130,1.067635,172,1
131,1.080983,60,-1
132,1.097452,172,1
133,1.115324,172,1
134,1.133498,60,-1
135,1.149136,172,1
136,1.149267,172,1
137,1.178281,172,1
138,1.189109,60,-1
139,1.196605,172,1
140,1.21118,172,1
141,1.217798,60,-1
142,1.229666,172,1
