Serial number,time,size,direction
1,0.0,79,1
2,0.000531,286,1
3,0.001665,190,1
4,0.001701,1078,1
5,0.001761,1078,1
6,0.001819,1078,1
7,0.001878,1078,1
8,0.001932,294,1
9,0.0044,132,1
10,0.030308,95,-1
11,0.041325,60,-1
12,0.046897,60,-1
13,0.04791,60,-1
14,0.047912,60,-1
15,0.047915,60,-1
16,0.047917,60,-1
17,0.09597,74,1
18,0.12572,1078,1
19,0.133047,1078,1
20,0.134708,1078,1
21,0.134753,1078,1
22,0.134814,1078,1
23,0.134871,1078,1
24,0.134927,1078,1
25,0.134986,1078,1
26,0.135044,1078,1
27,0.136314,1078,1
28,0.140338,66,-1
29,0.145078,54,1
30,0.147848,312,1
31,0.166474,60,-1
32,0.1681,1078,1
33,0.177834,60,-1
34,0.177837,60,-1
35,0.179315,60,-1
36,0.179317,60,-1
37,0.179785,1078,1
38,0.179851,60,-1
39,0.180557,230,1
40,0.188473,60,-1
41,0.190319,60,-1
42,0.190647,191,-1
43,0.192202,54,1
44,0.19383,105,1
45,0.194611,172,1
46,0.209723,172,1
47,0.212943,60,-1
48,0.224016,60,-1
49,0.237461,60,-1
50,0.237666,172,1
51,0.246408,172,1
52,0.249314,60,-1
53,0.265838,146,-1
54,0.265843,92,-1
55,0.274528,172,1
56,0.275847,60,-1
57,0.286012,60,-1
58,0.312403,172,1
59,0.31255,172,1
60,0.313891,766,1
61,0.322026,172,1
62,0.353289,60,-1
63,0.357854,60,-1
64,0.363768,419,-1
65,0.365012,60,-1
66,0.452641,172,1
67,0.452891,172,1
68,0.453024,172,1
69,0.453143,172,1
70,0.453326,172,1
71,0.453469,172,1
72,0.455413,85,1
73,0.455595,54,1
74,0.470065,172,1
75,0.475566,288,1
76,0.482878,190,1
77,0.483042,172,1
78,0.486071,1078,1
79,0.496256,60,-1
80,0.49811,1078,1
81,0.498672,1078,1
82,0.498706,1078,1
83,0.498726,117,1
84,0.499091,60,-1
85,0.500452,54,1
86,0.51573,60,-1
87,0.518312,172,1
88,0.531008,60,-1
89,0.531528,172,1
90,0.542179,60,-1
91,0.542181,60,-1
92,0.545569,172,1
93,0.559937,172,1
94,0.571595,60,-1
95,0.59471,172,1
96,0.599652,60,-1
97,0.608789,172,1
98,0.630136,172,1
99,0.644051,172,1
100,0.64843,60,-1
101,0.673558,172,1
102,0.684922,60,-1
103,0.685374,146,-1
104,0.685375,92,-1
105,0.691689,54,1
106,0.694647,172,1
107,0.706929,172,1
108,0.721325,172,1
109,0.736169,60,-1
110,0.754974,172,1
111,0.762068,60,-1
112,0.769557,172,1
113,0.783038,172,1
114,0.80438,172,1
115,0.809422,60,-1
116,0.831787,172,1
117,0.845181,60,-1
118,0.852527,172,1
119,0.866847,172,1
120,0.881081,172,1
121,0.893748,60,-1
122,0.915543,172,1
123,0.921274,60,-1
124,0.929774,172,1
125,0.944073,172,1
126,0.964722,172,1
127,0.96981,60,-1
128,0.994007,172,1
129,1.004508,60,-1
130,1.01392,172,1
131,1.027938,172,1
132,1.041864,172,1
133,1.054569,60,-1
134,1.081664,60,-1
135,1.109886,172,1
136,1.110135,172,1
137,1.110381,172,1
138,1.124423,172,1
139,1.150925,60,-1
140,1.153726,172,1
141,1.168083,172,1
142,1.19005,172,1
143,1.19554,60,-1
144,1.195542,96,-1
145,1.203995,172,1
146,1.230122,60,-1
147,1.23849,172,1
148,1.251652,172,1
149,1.265705,172,1
150,1.277779,60,-1
151,1.279838,172,1
152,1.306048,60,-1
153,1.314826,172,1
154,1.328751,172,1
155,1.349714,172,1
156,1.354787,60,-1
157,1.36395,172,1
158,1.390119,60,-1
159,1.39156,172,1
160,1.413692,172,1
161,1.427035,172,1
162,1.431741,60,-1
163,1.440816,172,1
164,1.46651,60,-1
165,1.479431,172,1
166,1.493817,172,1
167,1.504012,172,1
168,1.519294,60,-1
169,1.524549,172,1
170,1.545377,60,-1
171,1.552928,172,1
172,1.573353,172,1
173,1.587593,172,1
174,1.594913,60,-1
175,1.602136,172,1
176,1.627339,60,-1
177,1.636621,172,1
178,1.650587,172,1
179,1.665314,172,1
180,1.676341,60,-1
181,1.685874,172,1
182,1.705274,60,-1
183,1.713941,172,1
184,1.72793,172,1
185,1.748741,172,1
186,1.753959,60,-1
187,1.762569,172,1
188,1.789458,60,-1
189,1.809705,172,1
190,1.811593,172,1
191,1.825632,172,1
192,1.840386,172,1
193,1.849795,60,-1
194,1.849799,60,-1
195,1.854398,60,-1
196,1.865394,60,-1
197,1.873514,172,1
198,1.880059,60,-1
199,1.887623,172,1
200,1.909477,172,1
201,1.913422,60,-1
202,1.922784,172,1
203,1.927983,60,-1
204,1.949633,60,-1
205,1.961524,172,1
206,1.962578,60,-1
207,1.972655,172,1
208,1.985806,172,1
209,2.000799,172,1
210,2.001123,60,-1
211,2.012283,60,-1
212,2.026082,60,-1
213,2.033509,172,1
214,2.040711,60,-1
215,2.047642,172,1
216,2.067805,172,1
217,2.073274,60,-1
218,2.082275,172,1
219,2.090475,60,-1
220,2.107287,60,-1
221,2.1168,172,1
222,2.122342,60,-1
223,2.130939,172,1
224,2.14535,172,1
225,2.156377,60,-1
226,2.165969,172,1
227,2.170738,60,-1
228,2.185081,60,-1
229,2.194452,172,1
230,2.206523,60,-1
231,2.208027,172,1
232,2.22893,172,1
233,2.236426,60,-1
234,2.242993,172,1
235,2.248407,60,-1
236,2.269528,60,-1
237,2.278113,172,1
238,2.282778,60,-1
239,2.291554,172,1
240,2.305573,172,1
241,2.317803,60,-1
242,2.320298,172,1
243,2.331546,60,-1
244,2.345212,60,-1
245,2.354448,172,1
246,2.360374,60,-1
247,2.373482,172,1
248,2.394997,60,-1
249,2.395223,172,1
250,2.403926,172,1
251,2.413059,60,-1
252,2.431837,172,1
253,2.434969,60,-1
254,2.443234,60,-1
255,2.452881,172,1
256,2.466706,172,1
257,2.471504,60,-1
258,2.49447,60,-1
259,2.50668,60,-1
260,2.509665,172,1
261,2.515878,172,1
262,2.529937,172,1
263,2.543881,172,1
264,2.550031,60,-1
265,2.555617,60,-1
266,2.565724,434,-1
267,2.565968,172,1
268,2.572324,136,1
269,2.572746,92,1
270,2.582834,712,-1
271,2.600325,74,1
272,2.606828,60,-1
273,2.612676,60,-1
274,2.614904,54,1
275,2.642803,66,-1
276,2.644096,54,1
277,2.64621,312,1
278,2.687016,60,-1
279,2.691367,60,-1
280,2.691616,191,-1
281,2.693238,54,1
282,2.693586,105,1
283,2.785561,60,-1
284,2.790048,811,1
285,2.831956,60,-1
286,2.83839,419,-1
287,2.840124,85,1
288,2.840347,54,1
289,2.882219,60,-1
290,2.883796,54,1
291,3.103675,460,-1
292,3.109385,287,1
293,3.113675,1078,1
294,3.114449,1078,1
295,3.114492,1078,1
296,3.114784,1078,1
297,3.114824,129,1
298,3.115016,174,1
299,3.115351,74,1
300,3.157278,60,-1
301,3.157316,60,-1
302,3.161763,66,-1
303,3.164477,60,-1
304,3.167087,54,1
305,3.168799,312,1
306,3.198863,1514,-1
307,3.19887,1514,-1
308,3.198872,1514,-1
309,3.198875,1514,-1
310,3.198877,1514,-1
311,3.198879,1514,-1
312,3.198884,1514,-1
313,3.198886,1514,-1
314,3.198888,1514,-1
315,3.199943,1514,-1
316,3.207066,60,-1
