Serial number,time,size,direction
1,0.0,287,1
2,0.000275,190,1
3,0.00081,1514,1
4,0.000857,1514,1
5,0.002215,1415,1
6,0.010956,79,1
7,0.012143,132,1
8,0.013579,180,1
9,0.021303,1514,1
10,0.021659,120,1
11,0.040464,60,-1
12,0.041386,60,-1
13,0.041548,60,-1
14,0.041822,60,-1
15,0.042372,95,-1
16,0.042933,1514,1
17,0.045269,60,-1
18,0.048275,1514,1
19,0.04931,1514,1
20,0.049351,401,1
21,0.049381,74,1
22,0.050705,60,-1
23,0.055002,60,-1
24,0.062459,60,-1
25,0.062462,96,-1
26,0.086519,60,-1
27,0.092398,60,-1
28,0.09612,54,1
29,0.096234,66,-1
30,0.100132,1514,1
31,0.100572,1514,1
32,0.100901,1514,1
33,0.100943,54,1
34,0.102378,312,1
35,0.10247,1072,1
36,0.118577,172,1
37,0.132141,172,1
38,0.140234,60,-1
39,0.144909,60,-1
40,0.14566,60,-1
41,0.150935,60,-1
42,0.150937,191,-1
43,0.152897,54,1
44,0.153289,105,1
45,0.16713,172,1
46,0.170952,60,-1
47,0.173328,98,-1
48,0.173331,92,-1
49,0.185295,172,1
50,0.195436,172,1
51,0.20906,172,1
52,0.226435,60,-1
53,0.232762,60,-1
54,0.251427,60,-1
55,0.266204,172,1
56,0.266514,765,1
57,0.266555,172,1
58,0.279336,172,1
59,0.293355,172,1
60,0.311408,60,-1
61,0.312707,60,-1
62,0.320427,400,-1
63,0.321019,172,1
64,0.323048,85,1
65,0.323316,54,1
66,0.332901,60,-1
67,0.342037,172,1
68,0.356998,172,1
69,0.369113,60,-1
70,0.370488,172,1
71,0.371064,54,1
72,0.383372,60,-1
73,0.406339,172,1
74,0.407462,60,-1
75,0.419647,172,1
76,0.43346,172,1
77,0.454164,172,1
78,0.458108,60,-1
79,0.482092,172,1
80,0.492243,60,-1
81,0.502573,172,1
82,0.516653,172,1
83,0.521929,285,1
84,0.523685,190,1
85,0.533018,1514,1
86,0.533232,1514,1
87,0.53362,1118,1
88,0.533643,172,1
89,0.540193,60,-1
90,0.541436,174,1
91,0.558842,60,-1
92,0.565654,172,1
93,0.571581,60,-1
94,0.576663,60,-1
95,0.580641,172,1
96,0.594759,172,1
97,0.602638,60,-1
98,0.614767,172,1
99,0.631544,60,-1
100,0.642498,172,1
101,0.657223,172,1
102,0.678093,172,1
103,0.679083,98,-1
104,0.679084,92,-1
105,0.68206,54,1
106,0.6925,172,1
107,0.695773,60,-1
108,0.7277,172,1
109,0.729347,60,-1
110,0.741005,172,1
111,0.755067,172,1
112,0.769167,172,1
113,0.778087,60,-1
114,0.803682,172,1
115,0.80587,60,-1
116,0.817795,172,1
117,0.839267,172,1
118,0.852667,172,1
119,0.854974,60,-1
120,0.880756,172,1
121,0.890156,60,-1
122,0.902173,172,1
123,0.915641,172,1
124,0.929658,172,1
125,0.939316,60,-1
126,0.966134,172,1
127,0.967164,60,-1
128,0.978885,172,1
129,1.015906,60,-1
130,1.081326,172,1
131,1.081838,172,1
132,1.08205,172,1
133,1.082129,172,1
134,1.082209,172,1
135,1.091655,172,1
136,1.124208,60,-1
137,1.169643,60,-1
138,1.219667,172,1
139,1.220561,172,1
140,1.221,172,1
141,1.222272,408,1
142,1.237681,172,1
143,1.252013,172,1
144,1.256516,60,-1
145,1.261199,60,-1
146,1.274661,60,-1
147,1.289506,60,-1
148,1.294986,172,1
149,1.331666,60,-1
150,1.338217,172,1
151,1.338431,172,1
152,1.341411,172,1
153,1.364258,172,1
154,1.374751,60,-1
155,1.379963,60,-1
156,1.381059,172,1
157,1.400093,172,1
158,1.402182,60,-1
159,1.412634,172,1
160,1.41893,60,-1
161,1.437185,60,-1
162,1.447389,172,1
163,1.450033,60,-1
164,1.4653,172,1
165,1.478613,172,1
166,1.484404,60,-1
167,1.499629,172,1
168,1.501967,60,-1
169,1.515582,60,-1
170,1.531332,172,1
171,1.536626,60,-1
172,1.538438,172,1
173,1.553146,172,1
174,1.569418,60,-1
175,1.575386,60,-1
176,1.589888,60,-1
177,1.668112,172,1
178,1.668848,172,1
179,1.669021,172,1
180,1.669127,172,1
181,1.686407,172,1
182,1.699075,172,1
183,1.7052,60,-1
184,1.713561,172,1
185,1.732275,66,-1
186,1.732278,66,-1
187,1.732279,66,-1
188,1.732282,66,-1
189,1.736248,66,-1
190,1.736291,172,1
191,1.736381,172,1
192,1.750871,66,-1
193,1.762529,172,1
194,1.775827,60,-1
195,1.778151,172,1
196,1.800569,172,1
197,1.801391,60,-1
198,1.814291,172,1
199,1.816679,60,-1
200,1.837271,60,-1
201,1.847149,172,1
202,1.852308,60,-1
203,1.862703,172,1
204,1.875159,172,1
205,1.884301,60,-1
206,1.888891,172,1
207,1.909916,60,-1
208,1.916348,60,-1
209,1.926349,60,-1
210,1.930111,172,1
211,1.944244,172,1
212,1.9594,172,1
213,1.966742,60,-1
214,1.9734,172,1
215,1.981486,60,-1
216,1.996593,60,-1
217,2.001029,172,1
218,2.010677,60,-1
219,2.021725,172,1
220,2.036924,172,1
221,2.046288,60,-1
222,2.050331,172,1
223,2.058735,60,-1
224,2.085156,172,1
225,2.085521,60,-1
226,2.091699,60,-1
227,2.099037,172,1
228,2.120195,172,1
229,2.122251,60,-1
230,2.132521,172,1
231,2.135446,60,-1
232,2.16279,60,-1
233,2.164078,172,1
234,2.171558,60,-1
235,2.181838,172,1
236,2.195606,172,1
237,2.202191,60,-1
238,2.210165,172,1
239,2.220296,60,-1
240,2.232127,60,-1
241,2.244799,172,1
242,2.246784,60,-1
243,2.258625,172,1
244,2.276497,172,1
245,2.281868,60,-1
246,2.294416,172,1
247,2.296305,60,-1
248,2.320783,60,-1
249,2.32129,172,1
250,2.334504,60,-1
251,2.358185,60,-1
252,2.366098,172,1
253,2.366234,172,1
254,2.369777,172,1
255,2.402651,60,-1
256,2.406444,172,1
257,2.407809,60,-1
258,2.407811,60,-1
259,2.419488,172,1
260,2.433223,172,1
261,2.445938,60,-1
262,2.454443,172,1
263,2.456439,60,-1
264,2.470876,60,-1
265,2.481797,172,1
266,2.491599,60,-1
267,2.502767,172,1
268,2.517555,172,1
269,2.519149,60,-1
270,2.5312,172,1
271,2.540272,60,-1
272,2.556213,60,-1
273,2.568252,172,1
274,2.568421,60,-1
275,2.58535,172,1
276,2.598918,172,1
277,2.605106,60,-1
278,2.615524,172,1
279,2.621824,60,-1
