Serial number,time,size,direction
1,0.0,79,1
2,0.001411,640,1
3,0.003031,190,1
4,0.016233,1514,1
5,0.016561,1514,1
6,0.018346,1514,1
7,0.018367,1514,1
8,0.018383,1201,1
9,0.021396,295,1
10,0.021758,1514,1
11,0.023153,1514,1
12,0.029277,127,-1
13,0.038886,74,1
14,0.044143,60,-1
15,0.045047,60,-1
16,0.046383,1514,1
17,0.046677,1064,1
18,0.054619,66,-1
19,0.05563,60,-1
20,0.055631,60,-1
21,0.061356,60,-1
22,0.061357,60,-1
23,0.062097,60,-1
24,0.062099,60,-1
25,0.062099,60,-1
26,0.06715,60,-1
27,0.079455,66,-1
28,0.08072,54,1
29,0.082448,312,1
30,0.083313,60,-1
31,0.083889,96,-1
32,0.09726,1514,1
33,0.097607,1514,1
34,0.099355,1514,1
35,0.099407,1514,1
36,0.099428,252,1
37,0.110424,172,1
38,0.117792,60,-1
39,0.122484,60,-1
40,0.122744,191,-1
41,0.124147,54,1
42,0.12643,105,1
43,0.138564,60,-1
44,0.139319,60,-1
45,0.145386,172,1
46,0.159878,147,-1
47,0.159881,92,-1
48,0.160051,172,1
49,0.165689,54,1
50,0.174473,172,1
51,0.187527,172,1
52,0.196056,60,-1
53,0.206126,60,-1
54,0.207587,769,1
55,0.222728,172,1
56,0.226497,60,-1
57,0.237378,172,1
58,0.250369,60,-1
59,0.255459,417,-1
60,0.25868,85,1
61,0.258925,54,1
62,0.259014,172,1
63,0.27169,172,1
64,0.275124,60,-1
65,0.297156,60,-1
66,0.298555,54,1
67,0.300098,172,1
68,0.310951,60,-1
69,0.320612,172,1
70,0.358245,60,-1
71,0.369876,172,1
72,0.370047,172,1
73,0.383259,172,1
74,0.397178,172,1
75,0.410342,60,-1
76,0.412029,172,1
77,0.432505,172,1
78,0.432629,60,-1
79,0.46518,172,1
80,0.469298,60,-1
81,0.481556,172,1
82,0.500125,172,1
83,0.501199,1514,1
84,0.501287,1514,1
85,0.501341,1514,1
86,0.502556,1043,1
87,0.510125,172,1
88,0.533381,60,-1
89,0.539685,60,-1
90,0.544049,172,1
91,0.544163,60,-1
92,0.548864,60,-1
93,0.558099,172,1
94,0.57305,172,1
95,0.593819,172,1
96,0.59417,60,-1
97,0.620929,172,1
98,0.631209,60,-1
99,0.639773,149,-1
100,0.639777,92,-1
101,0.641931,172,1
102,0.656209,172,1
103,0.670824,172,1
104,0.679194,60,-1
105,0.705407,172,1
106,0.708847,60,-1
107,0.719414,172,1
108,0.733846,172,1
109,0.747076,172,1
110,0.764585,60,-1
111,0.783648,172,1
112,0.789544,60,-1
113,0.796374,172,1
114,0.817903,172,1
115,0.832032,172,1
116,0.832516,60,-1
117,0.85964,172,1
118,0.868315,60,-1
119,0.880042,172,1
120,0.899642,172,1
121,0.909314,172,1
122,0.916742,60,-1
123,0.943886,172,1
124,0.945094,60,-1
125,0.957155,172,1
126,0.977659,172,1
127,0.991952,172,1
128,0.996292,60,-1
129,1.020225,172,1
130,1.027495,60,-1
131,1.06479,172,1
132,1.064933,172,1
133,1.069442,172,1
134,1.10179,60,-1
135,1.103162,172,1
136,1.105772,60,-1
137,1.11692,172,1
138,1.131556,172,1
139,1.15253,172,1
140,1.152963,60,-1
141,1.185691,172,1
142,1.188417,60,-1
143,1.201536,172,1
144,1.215202,172,1
145,1.229116,172,1
146,1.237267,60,-1
147,1.264013,172,1
148,1.265969,60,-1
149,1.277733,172,1
150,1.291929,172,1
151,1.313311,172,1
152,1.31349,60,-1
153,1.340907,172,1
154,1.352226,60,-1
155,1.355176,172,1
156,1.377098,172,1
157,1.389884,172,1
158,1.391382,60,-1
159,1.425253,172,1
160,1.434996,60,-1
161,1.439083,172,1
162,1.453097,172,1
163,1.467177,172,1
164,1.4769,60,-1
165,1.504105,172,1
166,1.505902,60,-1
167,1.516462,172,1
168,1.537421,172,1
169,1.55148,60,-1
170,1.552107,172,1
171,1.584934,172,1
172,1.58877,60,-1
173,1.598908,172,1
174,1.613522,172,1
175,1.627407,172,1
176,1.63477,60,-1
177,1.662565,172,1
178,1.662814,60,-1
179,1.677114,172,1
180,1.697388,172,1
181,1.710762,172,1
182,1.717281,60,-1
183,1.750783,60,-1
184,1.765647,172,1
185,1.765892,172,1
186,1.77603,172,1
187,1.789856,172,1
188,1.802787,60,-1
189,1.823229,172,1
190,1.826491,60,-1
191,1.837466,172,1
192,1.858404,172,1
193,1.871079,172,1
194,1.878181,60,-1
195,1.899276,172,1
196,1.90788,60,-1
197,1.92042,172,1
198,1.933906,172,1
199,1.947881,172,1
200,1.956849,60,-1
201,1.983019,172,1
202,1.983834,60,-1
203,1.996814,172,1
204,2.011336,172,1
205,2.03226,172,1
206,2.033187,60,-1
207,2.059791,172,1
208,2.070245,60,-1
209,2.080931,172,1
210,2.100527,172,1
211,2.10945,172,1
212,2.11942,60,-1
213,2.144547,172,1
214,2.153427,60,-1
215,2.158236,172,1
216,2.172259,172,1
217,2.193367,172,1
218,2.194109,60,-1
219,2.220914,172,1
220,2.229483,60,-1
221,2.241906,172,1
222,2.259673,172,1
223,2.273759,172,1
224,2.278046,60,-1
225,2.299836,434,-1
226,2.305837,172,1
227,2.309405,136,1
228,2.310561,92,1
229,2.318965,708,-1
230,2.340482,74,1
231,2.349333,60,-1
232,2.351434,54,1
233,2.37878,66,-1
234,2.380586,54,1
235,2.382796,312,1
236,2.419334,60,-1
237,2.423336,60,-1
238,2.423338,60,-1
239,2.423675,191,-1
240,2.427167,54,1
241,2.42992,105,1
242,2.529279,60,-1
243,2.533905,811,1
244,2.572606,60,-1
245,2.578767,417,-1
246,2.580987,85,1
247,2.581236,54,1
248,2.619273,60,-1
249,2.62336,60,-1
250,2.623785,54,1
251,2.740894,1514,-1
252,2.741132,1514,-1
253,2.741249,1514,-1
254,2.741368,1514,-1
255,2.741476,1514,-1
256,2.741767,1514,-1
257,2.74177,1514,-1
258,2.742012,1514,-1
259,2.742014,1514,-1
260,2.742188,1514,-1
261,2.746425,54,1
262,2.756403,54,1
263,2.756677,54,1
264,2.756908,54,1
265,2.757113,54,1
266,2.757236,54,1
267,2.757358,54,1
268,2.757482,54,1
269,2.757637,54,1
270,2.757784,54,1
271,2.78347,1514,-1
272,2.783785,1514,-1
273,2.785294,54,1
274,2.785423,54,1
275,2.793195,1514,-1
276,2.793197,111,-1
277,2.794747,54,1
278,2.794902,54,1
279,2.807654,74,1
280,2.845751,66,-1
281,2.847352,54,1
282,2.848979,312,1
283,2.887041,60,-1
284,2.887966,60,-1
285,2.887967,191,-1
286,2.889757,54,1
287,2.894902,105,1
288,2.898046,288,1
289,2.901803,190,1
290,2.903912,1514,1
291,2.904245,1514,1
292,2.904639,1514,1
293,2.904661,550,1
294,2.905308,136,1
295,2.907777,92,1
296,2.944564,60,-1
297,2.945048,60,-1
298,2.981638,60,-1
299,2.988573,786,1
300,2.998782,60,-1
301,3.024541,60,-1
302,3.030825,417,-1
303,3.031727,286,1
304,3.032138,190,1
305,3.039961,85,1
306,3.040733,148,-1
307,3.040735,92,-1
308,3.04086,1514,1
309,3.040892,1514,1
310,3.040912,1514,1
