Serial number,time,size,direction
1,0.0,286,1
2,0.000372,190,1
3,0.00194,1514,1
4,0.002011,1514,1
5,0.006502,1151,1
6,0.007761,1514,1
7,0.008122,332,1
8,0.038041,60,-1
9,0.043835,60,-1
10,0.044828,60,-1
11,0.050638,60,-1
12,0.050641,60,-1
13,0.061612,79,1
14,0.062141,1514,1
15,0.062207,1514,1
16,0.066941,1514,1
17,0.067145,137,1
18,0.09222,95,-1
19,0.094842,74,1
20,0.101655,60,-1
21,0.107087,60,-1
22,0.113856,1514,1
23,0.114297,1514,1
24,0.114372,1514,1
25,0.114418,1472,1
26,0.117766,172,1
27,0.134043,66,-1
28,0.135623,54,1
29,0.137013,312,1
30,0.152004,172,1
31,0.153488,60,-1
32,0.153491,60,-1
33,0.153999,60,-1
34,0.154377,60,-1
35,0.157717,60,-1
36,0.167591,172,1
37,0.171507,146,-1
38,0.1719,92,-1
39,0.175526,54,1
40,0.176899,60,-1
41,0.181891,60,-1
42,0.181896,191,-1
43,0.193645,172,1
44,0.194752,54,1
45,0.195044,172,1
46,0.195184,105,1
47,0.204823,60,-1
48,0.228707,172,1
49,0.236512,60,-1
50,0.24281,172,1
51,0.268102,172,1
52,0.27774,172,1
53,0.281461,60,-1
54,0.282503,60,-1
55,0.284162,765,1
56,0.30579,172,1
57,0.31643,60,-1
58,0.323846,60,-1
59,0.327135,172,1
60,0.330454,419,-1
61,0.332422,85,1
62,0.332702,54,1
63,0.348372,172,1
64,0.354801,172,1
65,0.364965,60,-1
66,0.372648,60,-1
67,0.37403,54,1
68,0.389965,172,1
69,0.393217,60,-1
70,0.404038,172,1
71,0.428463,172,1
72,0.439166,172,1
73,0.441496,60,-1
74,0.466886,172,1
75,0.476572,60,-1
76,0.487689,172,1
77,0.508108,172,1
78,0.516458,172,1
79,0.521386,287,1
80,0.521962,190,1
81,0.522991,1514,1
82,0.524764,1514,1
83,0.524828,854,1
84,0.525818,60,-1
85,0.527367,136,1
86,0.530445,92,1
87,0.553782,60,-1
88,0.553786,96,-1
89,0.555105,172,1
90,0.559505,60,-1
91,0.565025,172,1
92,0.565459,60,-1
93,0.56987,60,-1
94,0.588826,172,1
95,0.600703,172,1
96,0.602586,60,-1
97,0.629239,172,1
98,0.639311,60,-1
99,0.644147,172,1
100,0.651503,146,-1
101,0.651507,92,-1
102,0.653472,54,1
103,0.668161,172,1
104,0.677924,172,1
105,0.681548,60,-1
106,0.71162,172,1
107,0.716203,60,-1
108,0.725746,172,1
109,0.755649,172,1
110,0.755848,172,1
111,0.763573,60,-1
112,0.788717,172,1
113,0.794596,60,-1
114,0.80299,172,1
115,0.827973,172,1
116,0.837782,172,1
117,0.840927,60,-1
118,0.866128,172,1
119,0.875648,60,-1
120,0.88697,172,1
121,0.907996,172,1
122,0.914848,172,1
123,0.924567,60,-1
124,0.951301,172,1
125,0.953604,60,-1
126,0.964005,172,1
127,0.987988,172,1
128,0.998572,172,1
129,1.001426,60,-1
130,1.026767,172,1
131,1.036179,60,-1
132,1.047812,172,1
133,1.067981,172,1
134,1.075609,172,1
135,1.085871,60,-1
136,1.110775,172,1
137,1.113004,60,-1
138,1.125009,172,1
139,1.148001,172,1
140,1.159898,172,1
141,1.162566,60,-1
142,1.187659,172,1
143,1.197828,60,-1
144,1.201712,172,1
145,1.22925,172,1
146,1.235827,172,1
147,1.239517,60,-1
148,1.270557,172,1
149,1.273492,60,-1
150,1.284994,172,1
151,1.309134,172,1
152,1.319549,172,1
153,1.330859,60,-1
154,1.347817,172,1
155,1.359827,60,-1
156,1.36165,172,1
157,1.388,172,1
158,1.397047,172,1
159,1.399285,60,-1
160,1.435008,60,-1
161,1.461033,172,1
162,1.461356,172,1
163,1.461525,172,1
164,1.475005,172,1
165,1.503495,60,-1
166,1.507749,172,1
167,1.513164,60,-1
168,1.521906,172,1
169,1.549364,172,1
170,1.556788,172,1
171,1.559233,60,-1
172,1.587135,172,1
173,1.594421,60,-1
174,1.606321,172,1
175,1.628106,172,1
176,1.636683,172,1
177,1.647519,60,-1
178,1.668789,172,1
179,1.674615,60,-1
180,1.682838,172,1
181,1.708752,172,1
182,1.718468,172,1
183,1.721873,60,-1
184,1.745916,172,1
185,1.756045,60,-1
186,1.767337,172,1
187,1.78814,172,1
188,1.794797,172,1
189,1.804982,60,-1
190,1.829257,172,1
191,1.83303,60,-1
192,1.843095,172,1
193,1.869167,172,1
194,1.878383,172,1
195,1.881178,60,-1
196,1.906126,172,1
197,1.916448,60,-1
198,1.927469,172,1
199,1.948023,172,1
200,1.955437,172,1
201,1.964686,60,-1
202,1.990433,172,1
203,1.993074,60,-1
204,2.004005,172,1
205,2.028044,172,1
206,2.038598,172,1
207,2.041641,60,-1
208,2.067777,172,1
209,2.076099,60,-1
210,2.087661,172,1
211,2.108488,172,1
212,2.115935,172,1
213,2.12754,60,-1
214,2.153514,60,-1
215,2.155491,172,1
216,2.165331,172,1
217,2.188071,172,1
218,2.193105,172,1
219,2.203373,60,-1
220,2.228613,172,1
221,2.232181,60,-1
222,2.242265,172,1
223,2.268044,172,1
224,2.276817,172,1
225,2.280812,60,-1
226,2.311818,172,1
227,2.31659,60,-1
228,2.325727,172,1
229,2.348033,172,1
230,2.354621,172,1
231,2.363317,60,-1
232,2.388971,172,1
233,2.392061,60,-1
234,2.403424,172,1
235,2.428724,172,1
236,2.437684,172,1
237,2.440888,60,-1
238,2.465734,172,1
239,2.475878,60,-1
240,2.487489,172,1
241,2.509222,172,1
242,2.514993,172,1
243,2.524987,60,-1
244,2.553219,60,-1
245,2.555507,172,1
246,2.567183,172,1
247,2.58935,172,1
248,2.599519,172,1
249,2.605579,60,-1
250,2.626959,172,1
251,2.636596,60,-1
252,2.647693,172,1
253,2.668282,172,1
254,2.67616,172,1
255,2.685837,60,-1
256,2.711701,172,1
257,2.713714,60,-1
258,2.725251,172,1
259,2.748142,172,1
260,2.760092,172,1
261,2.761967,434,-1
262,2.768857,136,1
263,2.769506,92,1
264,2.779673,720,-1
265,2.79477,74,1
266,2.797723,60,-1
267,2.811535,60,-1
268,2.812258,54,1
269,2.831555,66,-1
270,2.86219,54,1
271,2.863626,312,1
272,2.900916,60,-1
273,2.904632,60,-1
274,2.904635,191,-1
275,2.916133,54,1
276,2.916471,105,1
277,3.001509,60,-1
278,3.007623,810,1
279,3.045066,60,-1
280,3.052454,419,-1
281,3.054241,85,1
282,3.05444,54,1
283,3.092881,60,-1
284,3.097536,54,1
285,3.134883,1514,-1
286,3.135149,1514,-1
287,3.135339,1514,-1
288,3.13553,1514,-1
289,3.135687,1514,-1
290,3.135887,1514,-1
291,3.136015,1514,-1
292,3.136156,1514,-1
293,3.13627,1514,-1
294,3.136458,1514,-1
295,3.153516,54,1
296,3.161106,54,1
297,3.161355,54,1
298,3.161555,54,1
299,3.161727,54,1
300,3.161811,54,1
301,3.161889,54,1
302,3.161964,54,1
303,3.16204,54,1
304,3.162119,54,1
305,3.199864,1514,-1
306,3.20528,1514,-1
307,3.205443,1514,-1
308,3.20555,1514,-1
309,3.205679,1514,-1
310,3.205801,1514,-1
311,3.20593,1514,-1
312,3.206038,1514,-1
313,3.206178,1514,-1
314,3.206317,1514,-1
315,3.206503,1514,-1
316,3.206923,54,1
317,3.20724,54,1
318,3.207556,54,1
319,3.207741,54,1
320,3.208611,54,1
321,3.208804,54,1
322,3.211539,54,1
323,3.212624,54,1
324,3.244543,1514,-1
325,3.246109,54,1
326,3.250292,1514,-1
327,3.250622,1514,-1
328,3.250844,1514,-1
329,3.251012,727,-1
330,3.258778,54,1
331,3.260641,96,1
332,3.271155,74,1
333,3.30758,66,-1
334,3.308051,54,1
335,3.310823,54,1
336,3.314162,312,1
337,3.342246,60,-1
338,3.351234,60,-1
339,3.355225,60,-1
340,3.355841,191,-1
341,3.357116,54,1
342,3.358705,105,1
343,3.360064,640,1
344,3.360109,190,1
345,3.360757,1514,1
346,3.360797,1514,1
347,3.360814,850,1
348,3.360911,136,1
349,3.361147,92,1
350,3.401273,60,-1
351,3.401623,60,-1
352,3.401626,60,-1
353,3.401627,60,-1
354,3.401629,60,-1
355,3.401631,60,-1
356,3.447099,60,-1
357,3.449725,785,1
