Serial number,time,size,direction
1,0.0,79,1
2,0.000611,640,1
3,0.00854,190,1
4,0.010124,1514,1
5,0.010185,1514,1
6,0.010261,1514,1
7,0.010336,851,1
8,0.010516,132,1
9,0.012733,180,1
10,0.025172,127,-1
11,0.038753,60,-1
12,0.046351,1514,1
13,0.046549,136,1
14,0.046689,74,1
15,0.046965,60,-1
16,0.047725,1514,1
17,0.048577,1514,1
18,0.053598,66,-1
19,0.053601,60,-1
20,0.053603,60,-1
21,0.053947,60,-1
22,0.05395,60,-1
23,0.053953,60,-1
24,0.055427,1514,1
25,0.056953,1307,1
26,0.083932,60,-1
27,0.089215,66,-1
28,0.090325,60,-1
29,0.090327,60,-1
30,0.090838,54,1
31,0.092183,312,1
32,0.097063,60,-1
33,0.097065,60,-1
34,0.098238,96,-1
35,0.104088,1514,1
36,0.10515,1514,1
37,0.10686,1514,1
38,0.106938,1514,1
39,0.107,252,1
40,0.117636,172,1
41,0.131515,172,1
42,0.132722,60,-1
43,0.13713,60,-1
44,0.137375,191,-1
45,0.139051,54,1
46,0.139416,105,1
47,0.144866,60,-1
48,0.149524,60,-1
49,0.166964,172,1
50,0.167714,60,-1
51,0.180468,172,1
52,0.183682,147,-1
53,0.183686,92,-1
54,0.185662,54,1
55,0.194953,172,1
56,0.217356,172,1
57,0.217948,60,-1
58,0.230071,60,-1
59,0.231735,766,1
60,0.243242,172,1
61,0.256256,60,-1
62,0.264102,172,1
63,0.272386,60,-1
64,0.278162,172,1
65,0.279471,417,-1
66,0.281671,85,1
67,0.281901,54,1
68,0.292473,172,1
69,0.303989,60,-1
70,0.324636,60,-1
71,0.326063,54,1
72,0.327526,172,1
73,0.329433,60,-1
74,0.341395,172,1
75,0.355745,172,1
76,0.376513,172,1
77,0.379069,60,-1
78,0.403619,172,1
79,0.413659,60,-1
80,0.424372,172,1
81,0.438335,172,1
82,0.452387,172,1
83,0.463998,60,-1
84,0.48711,172,1
85,0.489509,60,-1
86,0.50136,172,1
87,0.504146,287,1
88,0.505115,190,1
