Serial number,time,size,direction
1,0.0,100,1
2,0.005116,54,-1
3,0.006387,100,-1
4,0.05145,60,1
5,0.858185,286,-1
6,0.858713,1514,-1
7,0.858764,1514,-1
8,0.858783,1514,-1
9,0.8588,1514,-1
10,0.886191,79,-1
11,0.899211,60,1
12,0.899214,60,1
13,0.904387,1514,-1
14,0.904556,60,1
15,0.904558,60,1
16,0.90456,60,1
17,0.904637,1514,-1
18,0.906173,1514,-1
19,0.90746,229,-1
20,0.910303,95,-1
21,0.918851,74,-1
22,0.946335,60,1
23,0.951306,60,1
24,0.9562,1514,-1
25,0.956628,66,-1
26,0.957074,1514,-1
27,0.957097,1514,-1
28,0.957113,1514,-1
29,0.958072,1132,-1
30,0.958093,54,-1
31,0.959699,312,-1
32,0.996653,60,1
33,1.001089,172,-1
34,1.00131,60,-1
35,1.002701,60,-1
36,1.003006,60,1
37,1.003007,60,1
38,1.003459,191,-1
39,1.00346,60,1
40,1.003957,96,1
41,1.018926,146,1
42,1.018928,92,1
43,1.019992,290,-1
44,1.020162,54,-1
45,1.020728,105,-1
46,1.021927,54,-1
47,1.031826,172,-1
48,1.059825,60,1
49,1.066139,172,-1
50,1.080451,172,-1
51,1.101517,172,-1
52,1.105451,60,1
53,1.112326,60,-1
54,1.113762,767,-1
55,1.115237,172,-1
56,1.141426,60,1
57,1.150529,172,-1
58,1.153338,60,-1
59,1.174983,172,-1
60,1.17858,172,-1
61,1.190597,60,1
62,1.192922,172,-1
63,1.220158,60,1
64,1.227165,172,-1
65,1.241442,172,-1
66,1.25637,172,-1
67,1.275993,172,-1
68,1.276163,60,1
69,1.280795,419,-1
70,1.28247,85,-1
71,1.282566,54,-1
72,1.295804,60,1
73,1.305303,172,-1
74,1.321061,60,-1
75,1.321503,60,-1
76,1.340501,172,-1
77,1.340671,172,-1
78,1.341447,54,-1
79,1.344689,60,1
80,1.355119,172,-1
81,1.362951,287,-1
82,1.364277,190,-1
83,1.385051,60,1
84,1.387832,1514,-1
85,1.389199,1514,-1
86,1.40309,60,1
87,1.416392,1211,-1
88,1.416555,172,-1
89,1.428235,60,1
90,1.437492,172,-1
91,1.457951,60,1
92,1.465238,172,-1
93,1.477624,60,1
94,1.479075,172,-1
95,1.500473,172,-1
96,1.514153,172,-1
97,1.519007,60,1
98,1.549537,172,-1
99,1.55343,60,1
100,1.5623,146,1
101,1.562302,92,1
102,1.591686,172,-1
103,1.591841,172,-1
104,1.592038,172,-1
105,1.626288,172,-1
106,1.631131,60,1
107,1.636172,60,1
108,1.640842,172,-1
