Serial number,time,size,direction
1,0.0,638,1
2,0.00058,190,1
3,0.000689,1514,1
4,0.000761,1514,1
5,0.00079,1152,1
6,0.000898,132,1
7,0.001057,180,1
8,0.034502,79,1
9,0.038512,60,-1
10,0.044429,66,-1
11,0.04543,66,-1
12,0.045436,66,-1
13,0.045438,66,-1
14,0.04544,60,-1
15,0.045443,60,-1
16,0.045445,60,-1
17,0.048539,1514,1
18,0.051057,1514,1
19,0.051858,1514,1
20,0.051953,1514,1
21,0.05326,1514,1
22,0.053356,237,1
23,0.058758,95,-1
24,0.062209,74,1
25,0.087171,60,-1
26,0.093198,60,-1
27,0.093592,60,-1
28,0.094072,60,-1
29,0.094075,60,-1
30,0.094077,60,-1
31,0.095231,1514,1
32,0.096384,1514,1
33,0.098328,1514,1
34,0.098435,1514,1
35,0.100871,66,-1
36,0.102481,54,1
37,0.105441,312,1
38,0.134074,60,-1
39,0.135495,610,1
40,0.137455,172,1
41,0.140209,60,-1
42,0.140211,60,-1
43,0.140591,60,-1
44,0.146971,60,-1
45,0.147942,60,-1
46,0.149867,1514,-1
47,0.150182,1514,-1
48,0.151536,1514,-1
49,0.151728,1023,-1
50,0.157812,172,1
51,0.16481,54,1
52,0.165033,54,1
53,0.165112,54,1
54,0.165542,147,-1
55,0.165543,92,-1
56,0.166262,54,1
57,0.171233,54,1
58,0.173232,1023,-1
59,0.173866,172,1
60,0.174672,66,1
61,0.178223,60,-1
62,0.187024,172,1
63,0.212952,60,-1
64,0.21493,172,1
65,0.23721,180,1
66,0.237347,172,1
67,0.249715,172,1
68,0.253566,60,-1
69,0.263886,172,1
70,0.276218,105,-1
71,0.277475,54,1
72,0.279712,766,1
73,0.288089,60,-1
74,0.298631,172,1
75,0.317494,172,1
76,0.326458,172,1
77,0.327834,419,-1
78,0.329381,85,1
79,0.329529,54,1
80,0.336814,60,-1
81,0.34736,172,1
82,0.363667,60,-1
83,0.369468,60,-1
84,0.370853,54,1
85,0.380915,172,1
86,0.397818,172,1
87,0.411609,172,1
88,0.421417,60,-1
89,0.426482,172,1
90,0.44951,60,-1
91,0.459804,172,1
92,0.477609,172,1
93,0.487726,172,1
94,0.497563,60,-1
95,0.501719,172,1
96,0.512947,287,1
97,0.514229,190,1
98,0.525383,60,-1
99,0.52916,1514,1
100,0.530516,1514,1
101,0.551517,60,-1
102,0.568753,60,-1
103,0.574172,1211,1
104,0.574336,172,1
105,0.58576,172,1
106,0.613055,60,-1
107,0.621062,172,1
108,0.624093,60,-1
109,0.637163,172,1
110,0.648577,172,1
