Serial number,time,size,direction
1,0.0,286,1
2,0.000577,190,1
3,0.00103,1514,1
4,0.001075,330,1
5,0.001103,136,1
6,0.006025,92,1
7,0.041598,60,-1
8,0.042486,60,-1
9,0.045456,60,-1
10,0.046309,60,-1
11,0.046311,60,-1
12,0.046628,60,-1
13,0.174585,83,1
14,0.18947,288,1
15,0.189997,190,1
16,0.192556,1514,1
17,0.193233,330,1
18,0.193274,136,1
19,0.193842,92,1
20,0.203095,99,-1
21,0.206757,74,1
22,0.230894,60,-1
23,0.2309,60,-1
24,0.230902,60,-1
25,0.236062,60,-1
26,0.23656,60,-1
27,0.236562,60,-1
28,0.256358,287,1
29,0.257245,190,1
30,0.258184,1514,1
31,0.259425,516,1
32,0.25945,136,1
33,0.264462,92,1
34,0.26562,288,1
35,0.266766,190,1
36,0.267582,1514,1
37,0.267856,866,1
38,0.268028,136,1
39,0.268687,92,1
40,0.298202,60,-1
41,0.298204,60,-1
42,0.298662,60,-1
43,0.298665,60,-1
44,0.299706,66,-1
45,0.30105,54,1
46,0.303958,284,1
47,0.304543,60,-1
48,0.311908,60,-1
49,0.311911,60,-1
50,0.311912,60,-1
51,0.311914,60,-1
52,0.311915,60,-1
53,0.39775,60,-1
54,0.397944,60,-1
55,0.397945,60,-1
56,0.398117,1514,-1
57,0.398215,1514,-1
58,0.398401,1230,-1
59,0.398578,1246,-1
60,0.403359,54,1
61,0.405031,54,1
62,0.405137,54,1
63,0.405292,54,1
64,0.417711,98,-1
65,0.417715,92,-1
66,0.418063,74,1
67,0.419136,1246,-1
68,0.423681,66,1
69,0.42679,54,1
70,0.455022,117,-1
71,0.455024,103,-1
72,0.455709,92,-1
73,0.45672,54,1
74,0.493917,54,1
75,0.514477,66,-1
76,0.516203,54,1
77,0.52327,284,1
78,0.568602,180,1
79,0.608615,60,-1
80,0.61726,60,-1
81,0.617773,1514,-1
82,0.61794,1514,-1
83,0.618091,1230,-1
84,0.618291,1246,-1
85,0.620528,54,1
86,0.62071,54,1
87,0.620798,54,1
88,0.621554,54,1
89,0.64946,1246,-1
90,0.651147,66,1
91,0.659091,105,-1
92,0.660427,54,1
93,0.662157,852,1
94,0.726532,180,1
95,0.755731,282,-1
96,0.755733,186,-1
97,0.757758,54,1
98,0.794646,74,1
99,0.81994,186,-1
100,0.819944,105,-1
101,0.822034,66,1
102,0.822304,54,1
103,0.8249,752,1
104,0.885712,66,-1
105,0.887641,287,1
106,0.88785,190,1
107,0.888094,1514,1
108,0.888136,524,1
109,0.888153,136,1
110,0.88827,92,1
111,0.889819,54,1
112,0.894536,284,1
113,0.923845,282,-1
114,0.923847,187,-1
115,0.927035,60,-1
116,0.927038,60,-1
117,0.927039,60,-1
118,0.92704,60,-1
119,0.93178,60,-1
120,0.932737,54,1
121,0.984759,60,-1
122,0.989789,60,-1
123,0.990099,1514,-1
124,0.990489,1514,-1
125,0.990708,1230,-1
126,0.990988,1246,-1
127,0.992259,54,1
128,0.992465,54,1
129,0.993676,54,1
130,0.993819,54,1
131,1.019459,1246,-1
132,1.019463,187,-1
133,1.021055,98,-1
134,1.021058,92,-1
135,1.021594,66,1
136,1.021923,66,1
137,1.023261,54,1
138,1.023464,54,1
139,1.103829,180,1
140,1.115571,98,-1
141,1.115574,92,-1
142,1.117485,54,1
143,1.117709,54,1
144,1.194461,105,-1
145,1.199159,54,1
146,1.201177,842,1
147,1.241292,286,1
148,1.24294,190,1
149,1.24367,1514,1
150,1.243712,1171,1
151,1.243742,92,1
152,1.278585,60,-1
153,1.285692,60,-1
154,1.285695,60,-1
155,1.285697,60,-1
156,1.285699,60,-1
157,1.294465,282,-1
158,1.294469,185,-1
159,1.301474,54,1
160,1.362088,185,-1
161,1.367265,66,1
162,1.434509,98,-1
163,1.434514,92,-1
164,1.434522,98,-1
165,1.434523,92,-1
166,1.434753,60,-1
167,1.439636,54,1
168,1.439817,54,1
169,1.440989,54,1
170,1.441216,54,1
171,1.441322,54,1
172,1.727655,54,1
173,1.915021,286,1
174,1.91543,1514,1
175,1.915469,1514,1
176,1.915514,621,1
177,1.960806,60,-1
178,1.960809,60,-1
179,2.063981,54,1
180,2.096882,98,-1
181,2.096884,92,-1
182,2.098662,54,1
183,2.098864,54,1
184,2.212139,286,1
185,2.215015,190,1
186,2.21542,1514,1
187,2.215963,1514,1
188,2.215987,123,1
189,2.217645,341,1
190,2.258287,60,-1
191,2.258289,60,-1
192,2.308897,60,-1
193,2.404179,60,-1
194,2.424157,111,-1
195,2.443897,54,1
196,2.46424,125,1
197,2.472739,98,-1
198,2.472742,92,-1
199,2.47446,54,1
200,2.47476,54,1
201,2.802502,125,1
202,2.966726,125,1
203,3.182761,657,1
204,3.191264,190,1
205,3.220655,60,-1
206,3.222597,1514,1
207,3.228527,60,-1
208,3.260778,60,-1
209,3.281072,1514,1
210,3.281485,1514,1
211,3.28151,486,1
212,3.281526,136,1
213,3.281634,92,1
214,3.281984,291,1
