Serial number,time,size,direction
1,0.0,640,1
2,0.000334,190,1
3,0.000644,1514,1
4,0.002233,1514,1
5,0.002255,1514,1
6,0.002564,1486,1
7,0.014021,297,1
8,0.014382,1514,1
9,0.018922,79,1
10,0.040612,60,-1
11,0.042225,1514,1
12,0.046804,95,-1
13,0.047807,60,-1
14,0.048743,60,-1
15,0.048744,60,-1
16,0.050458,1366,1
17,0.050631,74,1
18,0.053491,60,-1
19,0.059322,60,-1
20,0.082732,60,-1
21,0.088849,66,-1
22,0.090688,60,-1
23,0.098308,54,1
24,0.099863,312,1
25,0.101084,1514,1
26,0.101411,1514,1
27,0.101661,1514,1
28,0.103158,1514,1
29,0.103181,1132,1
30,0.135584,172,1
31,0.140116,60,-1
32,0.141698,60,-1
33,0.141975,60,-1
34,0.142457,191,-1
35,0.146737,54,1
36,0.146922,60,-1
37,0.147321,60,-1
38,0.147322,60,-1
39,0.147973,105,1
40,0.15136,172,1
41,0.154693,146,-1
42,0.15512,92,-1
43,0.17071,172,1
44,0.175366,54,1
45,0.179496,172,1
46,0.190994,60,-1
47,0.211498,172,1
48,0.219857,60,-1
49,0.226044,172,1
50,0.234877,60,-1
51,0.245549,172,1
52,0.249622,765,1
53,0.260295,172,1
54,0.265568,60,-1
55,0.288295,172,1
56,0.289469,60,-1
57,0.297927,419,-1
58,0.299927,60,-1
59,0.301295,85,1
60,0.301456,54,1
61,0.308498,172,1
62,0.325367,172,1
63,0.3372,172,1
64,0.339702,60,-1
65,0.341443,54,1
66,0.344438,60,-1
67,0.350271,60,-1
68,0.370924,172,1
69,0.377035,60,-1
70,0.385063,172,1
71,0.406611,172,1
72,0.420676,172,1
73,0.424692,60,-1
74,0.44827,172,1
75,0.460397,60,-1
76,0.469489,172,1
77,0.48627,172,1
78,0.495732,286,1
79,0.4971,1514,1
80,0.497673,1514,1
81,0.497721,991,1
82,0.497853,136,1
83,0.510324,60,-1
84,0.512297,210,1
85,0.532342,172,1
86,0.535259,60,-1
87,0.541492,60,-1
88,0.546445,172,1
89,0.567145,172,1
90,0.572151,60,-1
91,0.581351,172,1
92,0.607068,60,-1
93,0.609068,172,1
94,0.619036,146,-1
95,0.619038,92,-1
96,0.6213,54,1
97,0.623916,172,1
98,0.645284,172,1
99,0.648679,60,-1
100,0.658109,172,1
101,0.68486,60,-1
102,0.70195,172,1
103,0.707685,172,1
104,0.725301,172,1
105,0.735442,172,1
106,0.741471,60,-1
107,0.764413,60,-1
108,0.775286,172,1
109,0.786678,172,1
110,0.805258,172,1
111,0.815063,60,-1
112,0.819332,172,1
113,0.844821,60,-1
114,0.853849,172,1
115,0.868237,172,1
116,0.885249,172,1
117,0.896107,172,1
118,0.901875,60,-1
119,0.924699,60,-1
120,0.930825,172,1
121,0.945248,172,1
122,0.965286,172,1
123,0.97028,60,-1
124,0.979731,172,1
125,1.004427,60,-1
126,1.008219,172,1
127,1.028514,172,1
128,1.045596,172,1
129,1.047768,60,-1
130,1.05709,172,1
131,1.085967,60,-1
132,1.090916,172,1
133,1.105489,172,1
134,1.125374,172,1
135,1.130307,60,-1
136,1.139855,172,1
137,1.165088,60,-1
138,1.16786,172,1
139,1.18923,172,1
140,1.205257,172,1
141,1.20839,60,-1
142,1.216854,172,1
143,1.244323,60,-1
144,1.252246,172,1
145,1.266098,172,1
146,1.285272,172,1
147,1.293132,60,-1
148,1.301463,172,1
149,1.324868,60,-1
150,1.329254,172,1
151,1.343197,172,1
152,1.366694,172,1
153,1.370155,60,-1
154,1.403247,172,1
155,1.408272,60,-1
156,1.413943,172,1
157,1.428061,172,1
158,1.445378,172,1
159,1.453446,60,-1
160,1.455503,172,1
161,1.484615,60,-1
162,1.490263,172,1
163,1.504118,172,1
164,1.525708,172,1
165,1.53032,60,-1
166,1.539321,172,1
167,1.56671,60,-1
168,1.574018,172,1
169,1.588185,172,1
170,1.605822,172,1
171,1.613511,60,-1
172,1.616413,172,1
173,1.645614,60,-1
174,1.650932,172,1
175,1.665384,172,1
176,1.685438,172,1
177,1.690787,60,-1
178,1.700376,172,1
179,1.725387,60,-1
180,1.728121,172,1
181,1.748844,172,1
182,1.765252,172,1
183,1.76988,60,-1
184,1.777089,172,1
185,1.808813,60,-1
186,1.811835,172,1
187,1.82603,172,1
188,1.845542,172,1
189,1.85268,60,-1
190,1.865881,172,1
191,1.887234,60,-1
192,1.888916,172,1
193,1.90397,172,1
194,1.925278,172,1
195,1.931113,60,-1
196,1.938732,172,1
197,1.966908,60,-1
198,1.973237,172,1
199,1.987227,172,1
200,2.005279,172,1
201,2.014949,60,-1
202,2.015245,172,1
203,2.048056,60,-1
204,2.051359,172,1
205,2.063911,172,1
206,2.096965,60,-1
207,2.099941,172,1
208,2.100138,172,1
209,2.133256,172,1
210,2.140664,60,-1
211,2.147394,172,1
212,2.165309,172,1
213,2.175339,172,1
214,2.175797,60,-1
215,2.207108,60,-1
216,2.207111,96,-1
217,2.210484,172,1
218,2.224314,172,1
219,2.246028,172,1
220,2.251672,60,-1
221,2.259757,172,1
222,2.286638,60,-1
223,2.28717,172,1
224,2.30813,172,1
225,2.325281,172,1
226,2.327865,60,-1
227,2.337248,172,1
228,2.368986,60,-1
229,2.371351,172,1
230,2.390106,172,1
231,2.4053,172,1
232,2.413033,60,-1
233,2.419851,172,1
234,2.448227,172,1
235,2.448988,60,-1
236,2.469182,172,1
237,2.486507,172,1
238,2.491027,60,-1
239,2.49745,172,1
240,2.53192,60,-1
241,2.532296,172,1
242,2.546217,172,1
243,2.565707,172,1
244,2.577972,60,-1
245,2.58099,172,1
246,2.608978,60,-1
247,2.609359,172,1
248,2.623971,172,1
249,2.646966,172,1
250,2.65224,60,-1
251,2.658276,172,1
252,2.690682,60,-1
253,2.695507,172,1
254,2.707657,172,1
255,2.725596,172,1
256,2.735636,172,1
257,2.735919,60,-1
258,2.770297,60,-1
259,2.802011,172,1
260,2.802158,172,1
261,2.805498,172,1
262,2.81971,172,1
263,2.822294,60,-1
264,2.842694,60,-1
265,2.846756,60,-1
266,2.857575,172,1
267,2.859318,60,-1
268,2.885563,172,1
269,2.885776,172,1
270,2.898191,60,-1
271,2.898796,172,1
272,2.926051,60,-1
273,2.932904,172,1
274,2.938656,60,-1
275,2.946822,172,1
276,2.966227,172,1
277,2.971922,60,-1
278,2.986821,60,-1
279,3.006317,60,-1
280,3.074378,172,1
281,3.074748,172,1
282,3.07494,172,1
283,3.075026,172,1
284,3.07511,172,1
285,3.092192,172,1
286,3.1065,434,-1
287,3.106782,172,1
288,3.116229,60,-1
289,3.125952,712,-1
290,3.146452,60,-1
291,3.193841,136,1
292,3.209695,92,1
293,3.224454,74,1
294,3.249408,60,-1
295,3.251426,54,1
296,3.261371,66,-1
297,3.344092,54,1
298,3.34935,312,1
299,3.382165,60,-1
300,3.38413,1514,-1
301,3.384342,1514,-1
302,3.384541,1514,-1
303,3.38482,1514,-1
304,3.386076,54,1
305,3.386825,60,-1
306,3.387357,191,-1
307,3.391097,54,1
308,3.391285,54,1
309,3.391435,54,1
310,3.39151,54,1
311,3.391732,105,1
312,3.425894,1514,-1
313,3.431965,1514,-1
314,3.43293,1514,-1
315,3.433308,1514,-1
316,3.478245,60,-1
317,3.541044,54,1
318,3.541431,54,1
319,3.541712,54,1
320,3.541956,54,1
321,3.542161,807,1
322,3.581092,1514,-1
323,3.581414,1514,-1
324,3.583009,60,-1
325,3.58671,1514,-1
326,3.587043,1514,-1
327,3.587373,1514,-1
328,3.588913,419,-1
329,3.653895,54,1
330,3.654202,54,1
331,3.654428,54,1
332,3.654622,54,1
333,3.655351,54,1
334,3.656188,85,1
335,3.656438,54,1
336,3.694183,1514,-1
337,3.696494,60,-1
338,3.699225,54,1
339,3.699855,1514,-1
340,3.700106,1514,-1
341,3.700308,1514,-1
342,3.700839,1514,-1
343,3.701935,54,1
344,3.702111,54,1
345,3.733336,286,1
346,3.734437,190,1
347,3.735171,1514,1
348,3.735754,1514,1
349,3.735862,851,1
350,3.735904,136,1
351,3.736102,92,1
352,3.745676,1514,-1
353,3.745867,1171,-1
354,3.750276,54,1
355,3.771238,74,1
356,3.774552,60,-1
357,3.782122,74,1
358,3.782345,60,-1
359,3.782346,60,-1
