Serial number,time,size,direction
1,0.0,288,1
2,0.001386,190,1
3,0.001421,1078,1
4,0.001442,1078,1
5,0.001458,1078,1
6,0.001473,1068,1
7,0.00163,136,1
8,0.001709,92,1
9,0.034999,285,1
10,0.035424,190,1
11,0.041162,66,-1
12,0.042086,60,-1
13,0.042088,60,-1
14,0.042537,66,-1
15,0.042539,66,-1
16,0.04254,66,-1
17,0.042664,66,-1
18,0.042665,60,-1
19,0.042765,1078,1
20,0.042971,1078,1
21,0.044472,1078,1
22,0.044494,1078,1
23,0.044993,163,1
24,0.047293,1078,1
25,0.086619,60,-1
26,0.111087,60,-1
27,0.11109,96,-1
28,0.111093,60,-1
29,0.119532,54,1
30,0.127691,60,-1
31,0.139049,146,-1
32,0.139051,92,-1
33,0.141428,54,1
34,0.141713,54,1
35,0.253773,288,1
36,0.254103,190,1
37,0.264314,1078,1
38,0.265919,1078,1
39,0.265963,1078,1
40,0.265993,1078,1
41,0.266025,488,1
42,0.272078,74,1
43,0.281765,146,-1
44,0.281769,92,-1
45,0.283789,54,1
46,0.283955,54,1
47,0.289767,60,-1
48,0.28977,60,-1
49,0.291916,1078,1
50,0.293559,1078,1
51,0.293603,1078,1
52,0.299811,60,-1
53,0.301324,1078,1
54,0.307084,60,-1
55,0.307086,60,-1
56,0.308788,1078,1
57,0.310254,189,1
58,0.314845,66,-1
59,0.316307,54,1
60,0.317688,312,1
61,0.328249,172,1
62,0.340794,60,-1
63,0.342212,172,1
64,0.346477,60,-1
65,0.349855,60,-1
66,0.35645,172,1
67,0.357353,60,-1
68,0.358301,60,-1
69,0.358302,191,-1
70,0.360158,54,1
71,0.360627,105,1
72,0.363574,60,-1
73,0.376248,172,1
74,0.376849,60,-1
75,0.391186,60,-1
76,0.403568,172,1
77,0.415902,60,-1
78,0.418202,146,-1
79,0.418205,92,-1
80,0.423439,54,1
81,0.426337,172,1
82,0.438314,172,1
83,0.443201,60,-1
84,0.448159,764,1
85,0.45284,172,1
86,0.464695,60,-1
87,0.486324,60,-1
88,0.486679,172,1
89,0.488333,60,-1
90,0.493596,419,-1
91,0.49579,85,1
92,0.495941,54,1
93,0.501904,172,1
94,0.520038,172,1
95,0.53434,172,1
96,0.534333,60,-1
97,0.535585,54,1
98,0.538533,60,-1
99,0.540289,60,-1
100,0.567797,172,1
101,0.570782,60,-1
102,0.581578,172,1
103,0.595816,172,1
104,0.615583,172,1
105,0.616278,60,-1
106,0.643204,172,1
107,0.650473,60,-1
108,0.664639,172,1
109,0.678489,172,1
110,0.692205,172,1
111,0.699482,60,-1
112,0.725547,172,1
113,0.73308,60,-1
114,0.739135,172,1
115,0.760099,172,1
116,0.77388,60,-1
117,0.774771,641,1
118,0.776304,190,1
119,0.776334,1078,1
120,0.776359,1078,1
121,0.776374,1078,1
122,0.776567,1064,1
123,0.776594,136,1
124,0.777905,92,1
125,0.815297,60,-1
126,0.815664,60,-1
127,0.815667,60,-1
128,0.819793,290,1
129,0.822447,172,1
130,0.835732,60,-1
131,0.836187,172,1
132,0.860105,60,-1
133,0.879744,172,1
134,0.879873,54,1
135,0.884411,172,1
136,0.906008,172,1
137,0.914461,60,-1
138,0.919182,172,1
139,0.933332,172,1
140,0.941868,60,-1
141,0.968388,172,1
142,0.973014,60,-1
143,0.982252,172,1
144,0.998077,172,1
145,1.0174,60,-1
146,1.02608,146,-1
147,1.026082,92,-1
148,1.034896,54,1
149,1.046224,252,1
150,1.059286,172,1
151,1.07773,60,-1
152,1.080478,172,1
153,1.084605,60,-1
154,1.094121,172,1
155,1.094629,60,-1
156,1.119504,60,-1
157,1.129224,60,-1
158,1.129504,172,1
159,1.146147,172,1
160,1.157573,172,1
161,1.164039,60,-1
162,1.171369,172,1
163,1.182911,60,-1
164,1.193353,60,-1
165,1.206224,172,1
166,1.206637,60,-1
167,1.220314,172,1
168,1.240687,172,1
169,1.242802,60,-1
170,1.25566,60,-1
171,1.256788,172,1
172,1.275537,60,-1
173,1.289826,172,1
174,1.291482,60,-1
175,1.303127,172,1
176,1.31775,172,1
177,1.324962,60,-1
