Serial number,time,size,direction
1,0.0,288,1
2,0.000511,190,1
3,0.00056,1514,1
4,0.000595,1514,1
5,0.000613,1514,1
6,0.000646,701,1
7,0.012873,79,1
8,0.043023,127,-1
9,0.046736,74,1
10,0.069892,60,-1
11,0.070828,60,-1
12,0.071797,66,-1
13,0.071798,66,-1
14,0.0718,66,-1
15,0.071801,60,-1
16,0.071816,60,-1
17,0.072111,1514,1
18,0.072839,1514,1
19,0.073999,1514,1
20,0.074786,1514,1
21,0.074822,1458,1
22,0.101483,66,-1
23,0.113285,1514,1
24,0.113703,1514,1
25,0.113727,54,1
26,0.113824,312,1
27,0.13362,60,-1
28,0.133622,60,-1
29,0.136976,1514,1
30,0.13729,1514,1
31,0.139954,60,-1
32,0.139956,60,-1
33,0.141179,248,1
34,0.156449,172,1
35,0.170624,172,1
36,0.178087,60,-1
37,0.183562,60,-1
38,0.18716,172,1
39,0.187308,60,-1
40,0.18731,191,-1
41,0.188714,54,1
42,0.189227,105,1
43,0.200176,60,-1
44,0.205016,60,-1
45,0.20533,172,1
46,0.218188,60,-1
47,0.233086,172,1
48,0.237109,60,-1
49,0.240351,146,-1
50,0.240352,92,-1
51,0.243901,54,1
52,0.253962,172,1
53,0.267785,172,1
54,0.274602,60,-1
55,0.282813,172,1
56,0.314265,60,-1
57,0.315933,764,1
58,0.316795,172,1
59,0.325761,60,-1
60,0.330646,172,1
61,0.345731,172,1
62,0.349948,60,-1
63,0.365939,172,1
64,0.389508,60,-1
65,0.393362,172,1
66,0.398142,417,-1
67,0.398144,60,-1
68,0.400382,85,1
69,0.400594,54,1
70,0.414165,172,1
71,0.427707,172,1
72,0.434013,60,-1
73,0.441869,172,1
74,0.472349,60,-1
75,0.478183,54,1
76,0.47859,172,1
77,0.482719,60,-1
78,0.490818,172,1
79,0.506335,172,1
80,0.513061,60,-1
81,0.513782,287,1
82,0.516818,1514,1
83,0.516927,1514,1
84,0.517296,1514,1
85,0.517339,660,1
86,0.558367,60,-1
87,0.563255,290,1
88,0.568036,172,1
89,0.582051,60,-1
90,0.589579,60,-1
91,0.589586,60,-1
92,0.589588,96,-1
93,0.590203,172,1
94,0.602939,172,1
95,0.638196,172,1
96,0.638594,60,-1
97,0.651884,172,1
98,0.66597,172,1
99,0.677096,60,-1
100,0.680093,172,1
101,0.707455,146,-1
102,0.707458,92,-1
103,0.7092,54,1
104,0.71465,172,1
105,0.726851,60,-1
106,0.727949,172,1
107,0.74882,172,1
108,0.750156,60,-1
