Serial number,time,size,direction
1,0.0,287,1
2,0.000576,1514,1
3,0.000625,1514,1
4,0.000656,1514,1
5,0.002544,380,1
6,0.006744,180,1
7,0.007006,1514,1
8,0.007353,120,1
9,0.010571,286,1
10,0.019836,74,1
11,0.042828,60,-1
12,0.043012,66,-1
13,0.043746,60,-1
14,0.043749,60,-1
15,0.043958,60,-1
16,0.044811,1514,1
17,0.045304,1514,1
18,0.046338,1514,1
19,0.047789,382,1
20,0.048867,60,-1
21,0.049808,60,-1
22,0.04981,60,-1
23,0.053399,60,-1
24,0.06076,66,-1
25,0.064591,54,1
26,0.066436,312,1
27,0.08304,1514,1
28,0.083709,60,-1
29,0.084627,1514,1
30,0.084694,1514,1
31,0.084727,1072,1
32,0.08936,60,-1
33,0.08973,60,-1
34,0.094522,172,1
35,0.10653,60,-1
36,0.109745,60,-1
37,0.110481,191,-1
38,0.111998,54,1
39,0.114379,105,1
40,0.121589,60,-1
41,0.127661,60,-1
42,0.128006,60,-1
43,0.130378,172,1
44,0.133249,60,-1
45,0.143486,172,1
46,0.163928,98,-1
47,0.163932,92,-1
48,0.164434,172,1
49,0.166347,54,1
50,0.178414,172,1
51,0.18169,60,-1
52,0.196945,60,-1
53,0.198636,765,1
54,0.206214,172,1
55,0.219606,60,-1
56,0.226569,172,1
57,0.239649,60,-1
58,0.240695,172,1
59,0.249534,400,-1
60,0.251969,85,1
61,0.252208,54,1
62,0.255163,172,1
63,0.266202,60,-1
64,0.290737,172,1
65,0.293196,60,-1
66,0.294367,54,1
67,0.296794,60,-1
68,0.303434,172,1
69,0.317847,172,1
70,0.343084,60,-1
71,0.365444,172,1
72,0.366771,172,1
73,0.380864,172,1
74,0.40172,172,1
75,0.403239,60,-1
76,0.415724,172,1
77,0.423353,60,-1
78,0.450661,172,1
79,0.457573,60,-1
80,0.464574,172,1
81,0.478807,172,1
82,0.493715,172,1
83,0.502446,287,1
84,0.502933,190,1
85,0.503908,1514,1
86,0.504826,60,-1
87,0.504902,1514,1
88,0.504937,1329,1
89,0.504954,136,1
90,0.505154,92,1
91,0.527596,172,1
92,0.531202,60,-1
93,0.541761,172,1
94,0.546508,60,-1
95,0.54736,60,-1
96,0.547362,60,-1
97,0.563076,172,1
98,0.576453,172,1
99,0.579431,60,-1
100,0.604888,172,1
101,0.614235,60,-1
102,0.625628,172,1
103,0.639648,172,1
104,0.641286,98,-1
105,0.641287,92,-1
106,0.642936,54,1
107,0.653706,172,1
108,0.664012,60,-1
109,0.688658,172,1
110,0.694929,60,-1
111,0.702621,172,1
112,0.723481,172,1
113,0.737793,172,1
114,0.740089,60,-1
115,0.765551,172,1
116,0.775642,60,-1
117,0.786483,172,1
118,0.80573,172,1
119,0.815194,172,1
120,0.830047,60,-1
121,0.850073,172,1
122,0.85494,60,-1
123,0.863499,172,1
124,0.877513,172,1
125,0.898651,172,1
126,0.901948,60,-1
127,0.926998,172,1
128,0.937261,60,-1
129,0.947546,172,1
130,0.968252,172,1
131,0.980894,172,1
132,0.987147,60,-1
133,1.010811,172,1
134,1.018593,60,-1
135,1.025081,172,1
136,1.060364,172,1
137,1.060637,172,1
138,1.063558,60,-1
139,1.087889,172,1
140,1.099243,60,-1
141,1.101816,172,1
142,1.122262,172,1
143,1.136273,172,1
144,1.139268,60,-1
145,1.170353,172,1
146,1.174012,60,-1
147,1.184338,172,1
148,1.199136,172,1
149,1.219864,172,1
150,1.222184,60,-1
151,1.247391,172,1
152,1.258133,60,-1
153,1.261519,172,1
154,1.283007,172,1
155,1.296421,172,1
156,1.301281,60,-1
157,1.324917,172,1
158,1.335396,60,-1
159,1.345709,172,1
160,1.359767,172,1
161,1.373774,172,1
162,1.383223,60,-1
163,1.408643,172,1
164,1.412802,60,-1
165,1.422723,172,1
166,1.443943,172,1
167,1.457946,172,1
168,1.460242,60,-1
169,1.48571,172,1
170,1.497389,60,-1
171,1.506561,172,1
172,1.521016,172,1
