Serial number,time,size,direction
1,0.0,287,1
2,0.000199,190,1
3,0.000597,1514,1
4,0.000654,1514,1
5,0.000713,1514,1
6,0.005552,79,1
7,0.035171,127,-1
8,0.040231,74,1
9,0.043239,60,-1
10,0.044198,60,-1
11,0.044355,60,-1
12,0.044358,60,-1
13,0.045028,1514,1
14,0.046066,1514,1
15,0.048207,1514,1
16,0.048274,1514,1
17,0.048341,932,1
18,0.079719,66,-1
19,0.081198,54,1
20,0.082641,312,1
21,0.083461,60,-1
22,0.083463,60,-1
23,0.089664,60,-1
24,0.089667,60,-1
25,0.109122,1514,1
26,0.111044,1514,1
27,0.111091,1514,1
28,0.111152,1472,1
29,0.120823,60,-1
30,0.121844,60,-1
31,0.123241,1514,-1
32,0.12368,1514,-1
33,0.123854,1514,-1
34,0.124074,1049,-1
35,0.125314,54,1
36,0.125764,54,1
37,0.126614,54,1
38,0.129238,54,1
39,0.129881,172,1
40,0.145462,1049,-1
41,0.149227,66,1
42,0.149403,60,-1
43,0.149429,60,-1
44,0.150208,60,-1
45,0.151481,172,1
46,0.166925,180,1
47,0.168921,60,-1
48,0.176652,145,-1
49,0.176658,92,-1
50,0.179011,172,1
51,0.193081,172,1
52,0.209773,172,1
53,0.210547,105,-1
54,0.211855,54,1
55,0.214177,764,1
56,0.218755,60,-1
57,0.221827,172,1
58,0.250473,60,-1
59,0.257966,417,-1
60,0.260143,172,1
61,0.263846,85,1
62,0.264041,54,1
63,0.269634,172,1
64,0.290228,172,1
65,0.298032,60,-1
66,0.303915,172,1
67,0.305725,60,-1
68,0.307073,54,1
69,0.328858,60,-1
70,0.338221,172,1
71,0.352264,172,1
72,0.366716,172,1
73,0.378021,60,-1
74,0.380571,172,1
75,0.416046,60,-1
76,0.418962,172,1
77,0.429777,172,1
78,0.450291,172,1
79,0.456777,60,-1
80,0.464443,172,1
81,0.489815,60,-1
82,0.492691,172,1
83,0.504224,288,1
84,0.505325,190,1
85,0.506801,1514,1
86,0.532051,60,-1
87,0.534098,1514,1
88,0.535777,1514,1
89,0.541847,60,-1
90,0.543656,299,1
91,0.576454,60,-1
92,0.579965,172,1
93,0.583952,60,-1
94,0.590469,172,1
95,0.604825,172,1
96,0.626079,172,1
97,0.628882,60,-1
98,0.653989,172,1
99,0.66633,60,-1
100,0.674025,172,1
101,0.68811,172,1
102,0.701998,172,1
103,0.707987,145,-1
104,0.707989,92,-1
105,0.709685,54,1
106,0.724257,60,-1
107,0.737527,172,1
108,0.751455,172,1
109,0.765604,172,1
110,0.777756,60,-1
111,0.787,172,1
112,0.804006,60,-1
113,0.814717,172,1
114,0.828822,172,1
115,0.850189,172,1
116,0.85204,60,-1
117,0.863099,172,1
118,0.889429,60,-1
119,0.898968,172,1
120,0.912274,172,1
121,0.926285,172,1
122,0.936832,60,-1
123,0.96553,172,1
124,0.965971,60,-1
125,0.975178,172,1
126,0.989402,172,1
127,1.010675,172,1
128,1.016517,60,-1
129,1.024318,172,1
130,1.045985,60,-1
131,1.0527,172,1
132,1.073346,172,1
133,1.087726,172,1
134,1.090671,60,-1
135,1.101568,172,1
136,1.123436,60,-1
137,1.136743,172,1
138,1.150465,172,1
139,1.164536,172,1
140,1.1763,60,-1
141,1.185477,172,1
142,1.203443,60,-1
143,1.213258,172,1
144,1.235034,172,1
145,1.248296,172,1
146,1.251132,60,-1
147,1.262561,172,1
148,1.286912,60,-1
149,1.297178,172,1
150,1.310961,172,1
151,1.331631,172,1
152,1.334312,60,-1
153,1.345278,172,1
154,1.370887,60,-1
155,1.373712,172,1
156,1.3944,172,1
157,1.408551,172,1
158,1.414304,60,-1
159,1.422481,172,1
160,1.447484,60,-1
161,1.457294,172,1
162,1.471909,172,1
163,1.485429,172,1
164,1.497543,60,-1
165,1.506834,172,1
166,1.523053,60,-1
167,1.534173,172,1
168,1.548312,172,1
169,1.569767,172,1
170,1.577559,60,-1
171,1.583544,172,1
172,1.609886,60,-1
173,1.61868,172,1
174,1.632284,172,1
175,1.654895,60,-1
176,1.666683,172,1
177,1.667198,172,1
178,1.695558,172,1
179,1.709265,172,1
180,1.709685,60,-1
181,1.730644,172,1
182,1.734315,60,-1
183,1.744701,172,1
184,1.76842,60,-1
185,1.780829,172,1
186,1.796101,172,1
187,1.810636,172,1
188,1.81869,60,-1
189,1.821582,172,1
190,1.84804,60,-1
191,1.856405,172,1
192,1.870474,172,1
193,1.884164,172,1
194,1.892455,60,-1
195,1.905329,172,1
196,1.924343,60,-1
197,1.933235,172,1
198,1.954457,172,1
199,1.968185,172,1
200,1.97313,60,-1
201,1.983524,172,1
202,2.008666,60,-1
203,2.017167,172,1
204,2.031021,172,1
205,2.049022,172,1
206,2.052268,60,-1
207,2.066178,172,1
208,2.086581,60,-1
209,2.093649,172,1
210,2.114607,172,1
211,2.128333,172,1
212,2.134559,60,-1
213,2.14247,172,1
214,2.168188,60,-1
215,2.178206,172,1
216,2.190429,172,1
217,2.204518,172,1
218,2.215669,60,-1
219,2.225909,172,1
220,2.243864,60,-1
221,2.253185,172,1
222,2.27466,172,1
223,2.288701,172,1
224,2.291646,60,-1
225,2.302403,172,1
226,2.326769,60,-1
227,2.360233,172,1
228,2.360591,172,1
229,2.364444,172,1
230,2.385761,172,1
231,2.391112,60,-1
232,2.397537,60,-1
233,2.403306,60,-1
234,2.413003,172,1
235,2.423719,60,-1
236,2.43391,172,1
237,2.448132,172,1
238,2.451937,60,-1
239,2.462684,172,1
240,2.470695,60,-1
241,2.483769,60,-1
242,2.497688,172,1
243,2.499939,60,-1
244,2.511774,172,1
245,2.532679,172,1
246,2.534829,60,-1
247,2.545432,172,1
248,2.547923,60,-1
249,2.568422,60,-1
250,2.573294,172,1
251,2.581364,60,-1
252,2.594542,172,1
253,2.608467,172,1
254,2.610841,60,-1
255,2.622728,172,1
256,2.630577,60,-1
257,2.645639,60,-1
258,2.657433,172,1
259,2.658516,60,-1
260,2.671857,172,1
261,2.672935,434,-1
262,2.679308,136,1
263,2.68478,92,1
264,2.685446,709,-1
265,2.695786,74,1
266,2.711118,60,-1
267,2.721902,60,-1
268,2.724762,54,1
269,2.734028,66,-1
270,2.735539,54,1
271,2.736782,312,1
272,2.773216,60,-1
273,2.7773,60,-1
274,2.777302,191,-1
275,2.779171,54,1
276,2.781666,105,1
277,2.868652,60,-1
278,2.873333,809,1
279,2.910672,60,-1
280,2.917937,417,-1
281,2.919683,85,1
282,2.919914,54,1
283,2.960151,60,-1
284,2.961464,54,1
285,3.218302,287,1
286,3.219011,1514,1
287,3.219084,1514,1
288,3.219105,1499,1
289,3.219693,92,1
290,3.262181,60,-1
291,3.263172,96,-1
292,3.266988,54,1
293,3.370057,145,-1
294,3.370062,92,-1
295,3.37497,54,1
296,3.375192,54,1
297,3.478329,1514,-1
298,3.478617,1514,-1
299,3.478798,1514,-1
300,3.479008,1514,-1
301,3.479197,1514,-1
302,3.47932,1514,-1
303,3.479459,1514,-1
304,3.479586,1514,-1
305,3.479779,1514,-1
306,3.479961,1514,-1
307,3.485638,54,1
308,3.486892,54,1
309,3.487045,54,1
310,3.489816,54,1
311,3.489956,54,1
312,3.4901,54,1
313,3.49024,54,1
314,3.490422,54,1
315,3.490623,54,1
316,3.490891,54,1
317,3.524214,1514,-1
318,3.52455,1514,-1
319,3.529844,1514,-1
320,3.529847,389,-1
321,3.530051,54,1
322,3.538272,54,1
323,3.538584,54,1
324,3.542597,54,1
325,3.542759,96,1
326,3.544631,74,1
327,3.586222,66,-1
328,3.588647,54,1
329,3.590055,312,1
330,3.627016,60,-1
331,3.629319,60,-1
332,3.633078,60,-1
333,3.633701,191,-1
334,3.636961,54,1
335,3.639044,105,1
336,3.683328,286,1
337,3.684578,1514,1
338,3.684679,1514,1
339,3.684808,1422,1
340,3.684991,136,1
341,3.721542,60,-1
342,3.72391,60,-1
343,3.72669,92,1
344,3.727218,782,1
345,3.729311,60,-1
346,3.729318,60,-1
347,3.72932,60,-1
348,3.762979,60,-1
349,3.771918,60,-1
350,3.777963,417,-1
351,3.780213,85,1
352,3.780435,54,1
353,3.819016,60,-1
354,3.819144,287,1
355,3.819254,190,1
356,3.819426,1514,1
357,3.819664,1514,1
358,3.819691,1282,1
359,3.823652,54,1
360,3.824789,60,-1
361,3.826639,145,-1
362,3.826642,92,-1
363,3.832281,54,1
364,3.860326,60,-1
365,3.860329,60,-1
366,3.860331,60,-1
367,3.860332,60,-1
368,3.861971,174,1
369,3.90341,60,-1
370,3.96344,475,-1
371,3.972152,74,1
372,3.993793,145,-1
373,3.993796,92,-1
374,3.997468,54,1
375,4.011402,66,-1
376,4.012695,54,1
377,4.014298,312,1
378,4.020685,145,-1
379,4.020686,92,-1
380,4.022252,54,1
381,4.052175,60,-1
382,4.05743,191,-1
383,4.057434,60,-1
384,4.058994,54,1
385,4.059186,54,1
386,4.059287,105,1
387,4.138309,60,-1
388,4.139807,797,1
389,4.178597,60,-1
390,4.183329,417,-1
391,4.185567,85,1
392,4.185736,54,1
393,4.224544,60,-1
394,4.229246,54,1
395,4.229896,60,-1
