Serial number,time,size,direction
1,0.0,287,1
2,0.000296,190,1
3,0.006844,1514,1
4,0.007557,1514,1
5,0.007583,1514,1
6,0.0076,79,1
7,0.007767,724,1
8,0.007785,132,1
9,0.009045,180,1
10,0.010826,1514,1
11,0.056459,60,-1
12,0.056463,60,-1
13,0.064476,60,-1
14,0.06542,60,-1
15,0.065425,60,-1
16,0.065426,60,-1
17,0.066635,1514,1
18,0.06796,1514,1
19,0.068007,1514,1
20,0.06951,1514,1
21,0.069551,185,1
22,0.071288,60,-1
23,0.07129,60,-1
24,0.121978,60,-1
25,0.131036,60,-1
26,0.13104,60,-1
27,0.133581,1514,1
28,0.134498,1514,1
29,0.135524,1514,1
30,0.135973,1514,1
31,0.136019,252,1
32,0.150618,172,1
33,0.164395,172,1
34,0.178501,172,1
35,0.198945,60,-1
36,0.198948,60,-1
37,0.199321,60,-1
38,0.199323,60,-1
39,0.204338,60,-1
40,0.212659,172,1
41,0.219419,60,-1
42,0.22705,172,1
43,0.231154,60,-1
44,0.241061,172,1
45,0.261597,172,1
46,0.266039,60,-1
47,0.275476,146,-1
48,0.275478,92,-1
49,0.279777,54,1
50,0.289658,172,1
51,0.294222,60,-1
52,0.310498,172,1
53,0.326336,172,1
54,0.339196,172,1
55,0.344042,60,-1
56,0.373659,172,1
57,0.374887,60,-1
58,0.388453,172,1
59,0.401829,172,1
60,0.421847,60,-1
61,0.422378,172,1
62,0.450503,172,1
63,0.452505,60,-1
64,0.464667,172,1
65,0.485618,172,1
66,0.499537,172,1
67,0.503789,60,-1
68,0.511789,296,1
69,0.514006,1514,1
70,0.51459,1514,1
71,0.514635,1514,1
72,0.514655,645,1
73,0.51467,92,1
74,0.538971,60,-1
75,0.540198,172,1
76,0.54868,172,1
77,0.565174,60,-1
78,0.573859,60,-1
79,0.58917,290,1
80,0.604141,60,-1
81,0.611521,172,1
82,0.625776,172,1
83,0.646957,172,1
84,0.660434,172,1
85,0.668286,60,-1
86,0.684647,146,-1
87,0.684649,92,-1
88,0.689729,172,1
89,0.710377,172,1
90,0.715609,60,-1
91,0.723475,172,1
92,0.737463,172,1
93,0.770466,60,-1
94,0.772603,172,1
95,0.786776,172,1
96,0.790373,60,-1
97,0.800646,172,1
98,0.822407,172,1
99,0.843063,60,-1
100,0.849892,172,1
