Serial number,time,size,direction
1,0.0,645,1
2,0.000629,1514,1
3,0.000705,1514,1
4,0.00074,1364,1
5,0.000771,180,1
6,0.000796,1514,1
7,0.000826,120,1
8,0.000995,79,1
9,0.009772,286,1
10,0.012869,190,1
11,0.014542,1514,1
12,0.037456,60,-1
13,0.039189,1514,1
14,0.040697,1228,1
15,0.043333,127,-1
16,0.043741,60,-1
17,0.044723,60,-1
18,0.044724,60,-1
19,0.047338,60,-1
20,0.047538,74,1
21,0.048337,60,-1
22,0.055448,60,-1
23,0.076475,60,-1
24,0.083043,60,-1
25,0.091492,66,-1
26,0.093147,54,1
27,0.094799,312,1
28,0.099669,1514,1
29,0.101584,1514,1
30,0.101673,1514,1
31,0.101725,1392,1
32,0.119742,96,-1
33,0.128701,172,1
34,0.13529,60,-1
35,0.141086,60,-1
36,0.141328,191,-1
37,0.141965,172,1
38,0.142842,54,1
39,0.143262,105,1
40,0.145846,60,-1
41,0.145848,60,-1
42,0.1566,172,1
43,0.177148,60,-1
44,0.177681,172,1
45,0.197984,145,-1
46,0.197986,92,-1
47,0.201964,54,1
48,0.204762,172,1
49,0.225833,172,1
50,0.239162,60,-1
51,0.239731,172,1
52,0.240945,765,1
53,0.245924,60,-1
54,0.253527,172,1
55,0.276918,60,-1
56,0.279436,60,-1
57,0.284521,417,-1
58,0.287599,85,1
59,0.2878,54,1
60,0.289118,172,1
61,0.302576,172,1
62,0.316755,172,1
63,0.329904,60,-1
64,0.332177,60,-1
65,0.333612,54,1
66,0.337829,172,1
67,0.353785,60,-1
68,0.365597,172,1
69,0.379555,172,1
70,0.400589,60,-1
71,0.400828,172,1
72,0.414636,172,1
73,0.438627,60,-1
74,0.449559,172,1
75,0.463961,172,1
76,0.477746,172,1
77,0.485151,60,-1
78,0.491493,172,1
79,0.501283,297,1
80,0.501874,190,1
81,0.501896,1514,1
82,0.502406,1514,1
83,0.50243,853,1
84,0.502445,136,1
85,0.502533,92,1
86,0.513337,60,-1
87,0.52708,172,1
88,0.536986,60,-1
89,0.540618,172,1
90,0.54514,60,-1
91,0.545143,60,-1
92,0.545145,60,-1
93,0.561831,172,1
94,0.575706,60,-1
95,0.575964,172,1
96,0.604687,172,1
97,0.611512,60,-1
98,0.624594,172,1
99,0.630147,145,-1
100,0.630149,92,-1
101,0.635772,54,1
102,0.638072,172,1
103,0.651973,172,1
104,0.659382,60,-1
105,0.687363,60,-1
106,0.702221,172,1
107,0.702359,172,1
108,0.721575,172,1
109,0.736168,172,1
110,0.737472,60,-1
111,0.765046,172,1
112,0.771663,60,-1
113,0.784956,172,1
114,0.798749,172,1
115,0.813407,172,1
116,0.820308,60,-1
117,0.847571,172,1
118,0.8485,60,-1
119,0.861672,172,1
120,0.877018,172,1
121,0.89693,172,1
122,0.897432,60,-1
123,0.924697,172,1
124,0.932446,60,-1
125,0.947631,172,1
126,0.959609,172,1
127,0.974033,172,1
128,0.98444,60,-1
129,1.009567,172,1
130,1.010764,60,-1
131,1.022736,172,1
132,1.036155,172,1
133,1.057667,172,1
134,1.059005,60,-1
135,1.084561,172,1
136,1.092542,60,-1
137,1.10566,172,1
138,1.120023,172,1
139,1.134339,172,1
140,1.140786,60,-1
141,1.168535,172,1
142,1.169537,60,-1
143,1.183595,172,1
144,1.196887,172,1
145,1.218091,172,1
146,1.218993,60,-1
147,1.250821,172,1
148,1.254266,60,-1
149,1.264375,172,1
150,1.28146,172,1
151,1.294896,172,1
152,1.299601,60,-1
153,1.329622,172,1
154,1.331089,60,-1
155,1.34374,172,1
156,1.358134,172,1
157,1.383187,60,-1
158,1.401913,172,1
159,1.406705,172,1
160,1.422896,172,1
161,1.438932,60,-1
162,1.440947,172,1
163,1.455018,172,1
164,1.459176,60,-1
165,1.483385,172,1
166,1.491197,60,-1
167,1.504205,172,1
168,1.51757,172,1
169,1.531962,172,1
170,1.539407,60,-1
171,1.566714,172,1
172,1.569516,60,-1
173,1.580525,172,1
174,1.601862,172,1
175,1.615671,172,1
176,1.616227,60,-1
177,1.644948,172,1
178,1.651105,60,-1
179,1.665602,172,1
180,1.678709,172,1
181,1.692712,172,1
182,1.701738,60,-1
183,1.727896,172,1
184,1.728062,60,-1
185,1.741747,172,1
186,1.75576,172,1
187,1.777133,172,1
188,1.777831,60,-1
189,1.80471,172,1
190,1.81258,60,-1
191,1.825699,172,1
192,1.839896,172,1
193,1.854636,172,1
194,1.860447,60,-1
195,1.888766,172,1
196,1.890929,60,-1
197,1.903217,172,1
198,1.917024,172,1
199,1.93764,172,1
200,1.939063,60,-1
201,1.967218,172,1
202,1.972602,60,-1
203,1.982066,172,1
204,2.004882,172,1
205,2.014942,172,1
206,2.017216,60,-1
207,2.04869,172,1
208,2.053545,60,-1
209,2.062723,172,1
210,2.099211,60,-1
211,2.100422,172,1
212,2.100622,172,1
213,2.126786,172,1
214,2.135906,60,-1
215,2.140013,172,1
216,2.160874,172,1
217,2.174866,60,-1
218,2.176884,172,1
219,2.206676,100,-1
220,2.209568,100,1
221,2.210129,172,1
222,2.223713,172,1
223,2.237729,172,1
224,2.246118,60,-1
225,2.251986,172,1
226,2.262461,60,-1
227,2.286808,172,1
228,2.287766,60,-1
229,2.300441,172,1
230,2.321686,172,1
231,2.335803,172,1
232,2.339402,60,-1
233,2.363727,172,1
234,2.370754,60,-1
235,2.385095,172,1
236,2.399005,172,1
237,2.412628,172,1
238,2.420254,60,-1
239,2.447469,60,-1
240,2.447728,172,1
241,2.462014,172,1
242,2.476107,172,1
243,2.496788,60,-1
244,2.497288,172,1
245,2.524624,172,1
246,2.533855,60,-1
247,2.545709,172,1
248,2.559968,172,1
249,2.574126,172,1
250,2.58329,60,-1
251,2.608819,172,1
252,2.611061,60,-1
253,2.623248,172,1
254,2.637163,172,1
255,2.657833,172,1
256,2.664944,60,-1
257,2.688663,172,1
258,2.700604,60,-1
259,2.70292,172,1
260,2.720897,172,1
261,2.73516,172,1
262,2.739396,60,-1
263,2.769731,172,1
264,2.773357,60,-1
265,2.801984,172,1
266,2.802129,172,1
267,2.811935,172,1
268,2.838165,60,-1
269,2.846873,172,1
270,2.850533,60,-1
271,2.861216,172,1
272,2.881779,172,1
273,2.895896,172,1
274,2.897313,60,-1
275,2.924624,172,1
276,2.933529,60,-1
277,2.944977,172,1
278,2.958953,172,1
279,2.977272,172,1
280,2.980365,60,-1
281,3.00737,172,1
282,3.014867,60,-1
283,3.020515,172,1
284,3.042157,172,1
285,3.056202,172,1
286,3.059222,60,-1
287,3.087,172,1
288,3.091775,60,-1
289,3.108464,172,1
290,3.119489,172,1
291,3.132784,172,1
292,3.147544,60,-1
293,3.168225,172,1
294,3.169307,60,-1
295,3.182249,172,1
296,3.197893,172,1
297,3.218069,172,1
298,3.221662,60,-1
299,3.226333,434,-1
300,3.237051,136,1
301,3.237712,92,1
302,3.238989,713,-1
303,3.265495,74,1
304,3.271895,54,1
305,3.274993,60,-1
306,3.307509,66,-1
307,3.308996,54,1
308,3.310403,312,1
309,3.353914,60,-1
310,3.354869,191,-1
311,3.35487,60,-1
312,3.358428,54,1
313,3.35881,105,1
314,3.359041,54,1
315,3.443035,60,-1
316,3.447509,812,1
317,3.492659,60,-1
318,3.501752,417,-1
319,3.503907,85,1
320,3.504067,54,1
321,3.540367,1514,-1
322,3.540506,1514,-1
323,3.540607,1514,-1
324,3.540711,1514,-1
325,3.540853,1514,-1
326,3.540962,1514,-1
327,3.541081,1514,-1
328,3.541212,1514,-1
329,3.541333,1514,-1
330,3.541534,1514,-1
331,3.542556,54,1
332,3.542701,54,1
333,3.542824,54,1
334,3.543857,54,1
335,3.544637,54,1
336,3.544747,54,1
337,3.544891,54,1
338,3.545814,54,1
339,3.545978,54,1
340,3.546043,60,-1
341,3.551645,54,1
342,3.551739,54,1
343,3.577957,1514,-1
344,3.578179,1514,-1
345,3.578365,1514,-1
346,3.578567,1514,-1
347,3.580256,54,1
348,3.5804,54,1
349,3.580489,54,1
350,3.581916,54,1
351,3.583106,1514,-1
352,3.58323,1514,-1
353,3.583424,1514,-1
354,3.583492,1514,-1
355,3.583608,1514,-1
356,3.583787,1514,-1
357,3.583922,1514,-1
358,3.584113,1514,-1
359,3.584646,54,1
360,3.585461,54,1
361,3.585627,54,1
362,3.586463,54,1
363,3.586549,54,1
364,3.587471,1514,-1
365,3.58782,1514,-1
366,3.58785,54,1
367,3.587982,54,1
368,3.588736,54,1
369,3.589634,54,1
370,3.593178,54,1
371,3.601174,74,1
372,3.619135,1514,-1
373,3.619448,1514,-1
374,3.619782,1514,-1
375,3.621182,54,1
376,3.621356,54,1
377,3.621534,54,1
378,3.624632,1514,-1
379,3.62476,1514,-1
380,3.624972,1514,-1
381,3.625115,1514,-1
382,3.625329,1514,-1
383,3.625433,1514,-1
384,3.625629,1514,-1
385,3.625928,1514,-1
386,3.626893,54,1
387,3.63039,1514,-1
388,3.630504,1514,-1
389,3.630697,1514,-1
390,3.638192,66,-1
391,3.639334,54,1
392,3.639582,54,1
393,3.63974,54,1
394,3.639865,54,1
395,3.640005,54,1
396,3.640169,54,1
397,3.640424,96,1
398,3.640585,54,1
399,3.643979,54,1
400,3.644222,54,1
401,3.645732,312,1
402,3.657343,1116,-1
403,3.682533,60,-1
404,3.683847,60,-1
405,3.68385,191,-1
406,3.68576,54,1
407,3.686928,105,1
408,3.692324,54,1
409,3.722648,60,-1
410,3.782482,60,-1
411,3.869287,286,1
412,3.869632,190,1
413,3.869659,1514,1
414,3.869917,1514,1
415,3.869939,845,1
416,3.869956,136,1
417,3.870067,92,1
418,3.870201,286,1
419,3.870219,190,1
420,3.870529,1514,1
421,3.87055,1514,1
422,3.870567,787,1
423,3.908861,60,-1
424,3.908864,60,-1
425,3.908865,60,-1
426,3.910482,60,-1
427,3.910486,60,-1
428,3.910488,60,-1
429,3.91049,60,-1
430,3.910491,60,-1
431,3.910493,60,-1
432,3.910493,60,-1
433,3.910495,60,-1
434,3.915111,417,-1
435,3.991328,145,-1
436,3.99133,92,-1
437,4.0273,1514,1
438,4.028185,1514,1
439,4.029429,1514,1
440,4.029451,798,1
441,4.029931,85,1
442,4.030012,54,1
443,4.030696,54,1
444,4.067439,60,-1
445,4.067441,60,-1
446,4.067747,60,-1
447,4.069774,60,-1
448,4.069775,60,-1
449,4.071734,60,-1
450,4.072729,96,-1
451,4.140172,145,-1
452,4.140174,92,-1
453,4.140968,54,1
454,4.14218,54,1
455,4.14348,54,1
456,4.160415,145,-1
457,4.160418,92,-1
458,4.16252,54,1
459,4.197883,475,-1
460,4.202749,54,1
461,4.20699,74,1
462,4.245997,66,-1
463,4.258014,145,-1
464,4.258017,92,-1
465,4.316874,54,1
466,4.318124,312,1
467,4.318147,54,1
468,4.358744,60,-1
469,4.361656,60,-1
470,4.361912,191,-1
471,4.45382,54,1
472,4.454164,105,1
473,4.53981,60,-1
474,4.541466,798,1
475,4.58259,60,-1
476,4.59842,417,-1
477,4.601079,85,1
478,4.601265,54,1
479,4.638418,60,-1
480,4.639966,54,1
481,4.644471,60,-1
