Serial number,time,size,direction
1,0.0,286,1
2,0.008693,79,1
3,0.012569,190,1
4,0.014552,1514,1
5,0.015194,1514,1
6,0.015237,1514,1
7,0.015266,1514,1
8,0.015328,1058,1
9,0.034624,127,-1
10,0.057535,74,1
11,0.057854,60,-1
12,0.061836,1514,1
13,0.075904,60,-1
14,0.075908,60,-1
15,0.07591,60,-1
16,0.075913,60,-1
17,0.075915,60,-1
18,0.081716,1514,1
19,0.082606,1514,1
20,0.083528,1514,1
21,0.083701,67,1
22,0.107881,1514,1
23,0.108727,1514,1
24,0.122407,60,-1
25,0.12549,1514,1
26,0.127086,66,-1
27,0.129165,54,1
28,0.130181,312,1
29,0.141791,60,-1
30,0.146118,1514,1
31,0.147414,248,1
32,0.148209,60,-1
33,0.155305,172,1
34,0.16595,60,-1
35,0.172433,60,-1
36,0.183256,172,1
37,0.193585,60,-1
38,0.204315,172,1
39,0.20576,60,-1
40,0.213615,60,-1
41,0.217841,172,1
42,0.219183,60,-1
43,0.219184,146,-1
44,0.21978,92,-1
45,0.228918,54,1
46,0.230956,60,-1
47,0.231523,172,1
48,0.233161,60,-1
49,0.233815,191,-1
50,0.235804,54,1
51,0.237972,105,1
52,0.244724,96,-1
53,0.264234,172,1
54,0.279167,172,1
55,0.279719,60,-1
56,0.299845,172,1
57,0.313465,172,1
58,0.323955,60,-1
59,0.342802,172,1
60,0.362571,172,1
61,0.363747,60,-1
62,0.376435,172,1
63,0.383679,60,-1
64,0.386669,765,1
65,0.391532,172,1
66,0.395834,60,-1
67,0.425934,172,1
68,0.429052,60,-1
69,0.44043,172,1
70,0.454796,172,1
71,0.476433,172,1
72,0.482962,60,-1
73,0.48396,60,-1
74,0.491842,417,-1
75,0.49475,85,1
76,0.494844,54,1
77,0.502537,172,1
78,0.505726,60,-1
79,0.512359,297,1
80,0.512712,190,1
81,0.51456,1514,1
82,0.514582,1514,1
83,0.514599,1514,1
84,0.550511,60,-1
85,0.55789,901,1
86,0.566304,60,-1
87,0.566307,60,-1
88,0.587595,60,-1
89,0.587704,172,1
90,0.592666,54,1
91,0.600511,172,1
92,0.609448,60,-1
93,0.615166,172,1
94,0.636563,172,1
95,0.657693,60,-1
96,0.666748,172,1
97,0.677677,172,1
98,0.694658,60,-1
99,0.699133,172,1
100,0.712945,172,1
101,0.717751,146,-1
102,0.717752,92,-1
103,0.733919,60,-1
104,0.75731,54,1
105,0.757455,172,1
106,0.762716,172,1
107,0.767168,60,-1
108,0.77588,172,1
109,0.791083,172,1
110,0.817744,60,-1
111,0.824879,172,1
112,0.840731,172,1
113,0.846452,60,-1
114,0.861276,172,1
115,0.87476,172,1
116,0.893799,60,-1
117,0.904286,172,1
118,0.923832,172,1
119,0.931277,60,-1
120,0.937699,172,1
121,0.951795,172,1
122,0.984426,60,-1
123,0.985965,172,1
124,1.005355,172,1
125,1.013085,60,-1
126,1.019433,172,1
127,1.037307,172,1
128,1.064127,172,1
129,1.070699,60,-1
130,1.083696,172,1
131,1.098816,172,1
132,1.102623,60,-1
133,1.112671,172,1
134,1.146805,172,1
135,1.152321,60,-1
136,1.162245,172,1
137,1.176414,60,-1
138,1.176535,172,1
139,1.195969,172,1
140,1.224023,172,1
141,1.22658,60,-1
142,1.239348,172,1
143,1.25776,172,1
144,1.259863,60,-1
145,1.271212,172,1
146,1.295252,60,-1
147,1.310164,172,1
148,1.321158,172,1
149,1.326044,60,-1
150,1.33428,172,1
151,1.356164,172,1
152,1.37468,60,-1
153,1.383581,172,1
154,1.397295,172,1
155,1.413871,60,-1
156,1.41822,172,1
157,1.452549,172,1
158,1.453544,60,-1
159,1.466415,172,1
160,1.486426,172,1
161,1.500079,172,1
162,1.50776,60,-1
163,1.517968,172,1
164,1.544151,60,-1
165,1.546124,172,1
166,1.557836,172,1
167,1.573301,60,-1
168,1.579225,172,1
169,1.59237,172,1
170,1.618211,60,-1
171,1.627957,172,1
172,1.641292,172,1
173,1.64974,60,-1
174,1.655766,172,1
175,1.669919,172,1
176,1.700935,60,-1
177,1.705115,172,1
178,1.71975,172,1
179,1.729925,60,-1
180,1.740348,172,1
181,1.753629,172,1
182,1.781213,60,-1
183,1.781744,172,1
184,1.802922,172,1
185,1.814343,60,-1
186,1.816417,172,1
187,1.830086,172,1
188,1.862192,60,-1
189,1.866594,172,1
190,1.880502,172,1
191,1.888592,60,-1
192,1.895822,172,1
193,1.916475,172,1
194,1.942783,172,1
195,1.943678,60,-1
196,1.963791,172,1
197,1.980614,60,-1
198,2.028503,60,-1
199,2.069362,172,1
200,2.069942,172,1
201,2.073733,172,1
202,2.075281,290,1
203,2.076396,172,1
204,2.103686,172,1
205,2.136073,60,-1
206,2.142272,60,-1
207,2.2076,60,-1
208,2.208843,172,1
209,2.209193,526,1
210,2.216462,172,1
211,2.231415,172,1
212,2.267958,172,1
213,2.271069,60,-1
214,2.277326,60,-1
215,2.283087,60,-1
216,2.292639,60,-1
217,2.31297,172,1
218,2.315967,172,1
219,2.331295,60,-1
220,2.33956,172,1
221,2.342143,172,1
222,2.36536,172,1
223,2.377139,172,1
224,2.383654,60,-1
225,2.385841,60,-1
226,2.390603,172,1
227,2.407307,60,-1
228,2.435319,60,-1
229,2.435676,172,1
230,2.445323,60,-1
231,2.44639,172,1
232,2.456425,172,1
233,2.458157,60,-1
234,2.478735,172,1
235,2.505725,60,-1
236,2.515393,60,-1
237,2.520253,172,1
238,2.523341,172,1
239,2.52515,60,-1
240,2.538222,172,1
241,2.544613,60,-1
242,2.551634,172,1
243,2.590167,60,-1
244,2.595889,172,1
245,2.60861,60,-1
246,2.623883,60,-1
247,2.663481,172,1
248,2.665964,60,-1
249,2.677801,172,1
250,2.69882,172,1
251,2.713288,172,1
252,2.73732,66,-1
253,2.738831,408,1
254,2.747722,172,1
255,2.754187,66,-1
256,2.773296,66,-1
257,2.776976,290,1
258,2.790057,66,-1
259,2.793222,172,1
260,2.814362,60,-1
261,2.824761,172,1
262,2.824755,60,-1
263,2.854417,60,-1
264,2.8576,172,1
265,2.859208,172,1
266,2.866064,60,-1
267,2.874419,172,1
268,2.895458,60,-1
269,2.901266,172,1
270,2.927364,172,1
271,2.93034,60,-1
272,2.941808,172,1
273,2.944595,60,-1
274,2.954682,172,1
275,2.973955,60,-1
276,2.985956,172,1
277,2.999645,172,1
278,3.000462,60,-1
279,3.013576,172,1
280,3.01436,60,-1
281,3.033794,60,-1
282,3.034539,172,1
283,3.062859,172,1
284,3.064085,60,-1
285,3.074857,60,-1
286,3.08344,172,1
287,3.087257,60,-1
288,3.098218,172,1
289,3.107267,60,-1
290,3.112077,172,1
291,3.139172,60,-1
292,3.146431,172,1
293,3.160276,172,1
294,3.161202,60,-1
295,3.172682,60,-1
296,3.175051,172,1
297,3.190268,60,-1
298,3.195433,172,1
299,3.226759,172,1
300,3.227667,60,-1
301,3.238045,60,-1
302,3.238297,172,1
303,3.252728,60,-1
304,3.258224,172,1
305,3.272269,172,1
306,3.278018,60,-1
307,3.305047,60,-1
308,3.307261,172,1
309,3.307943,434,-1
310,3.313313,136,1
311,3.330042,727,-1
312,3.331661,92,1
313,3.349423,74,1
314,3.35477,60,-1
315,3.395029,60,-1
316,3.42725,66,-1
317,3.429493,54,1
318,3.433069,312,1
319,3.454416,60,-1
320,3.510867,60,-1
321,3.515292,60,-1
322,3.515294,191,-1
323,3.517032,54,1
324,3.517588,105,1
325,3.644525,60,-1
326,3.648977,808,1
327,3.731916,60,-1
328,3.740026,417,-1
329,3.741812,85,1
330,3.742006,54,1
331,3.820508,60,-1
332,3.82574,460,-1
333,3.832522,54,1
334,3.838551,74,1
335,3.874961,54,1
336,3.884558,287,1
337,3.884774,190,1
338,3.886331,1514,1
339,3.886673,1514,1
340,3.88806,1514,1
341,3.914125,1514,-1
342,3.914317,1514,-1
343,3.914447,1514,-1
344,3.914675,1514,-1
345,3.914807,1514,-1
346,3.914932,1514,-1
347,3.914934,312,-1
348,3.916492,54,1
349,3.916717,54,1
350,3.916843,54,1
351,3.917675,54,1
352,3.917926,54,1
353,3.918829,54,1
354,3.919111,54,1
355,3.929707,74,1
356,3.960242,60,-1
357,3.960245,60,-1
358,3.962174,543,1
359,3.965937,60,-1
360,3.96594,60,-1
361,3.965942,60,-1
362,3.989457,66,-1
363,3.991869,54,1
364,3.996296,312,1
365,4.005623,286,1
366,4.00744,190,1
367,4.00748,1514,1
368,4.007519,1514,1
369,4.036303,60,-1
370,4.046656,1514,1
371,4.053887,60,-1
372,4.057585,60,-1
373,4.057587,191,-1
374,4.059492,54,1
375,4.05986,105,1
376,4.080189,60,-1
377,4.081861,548,1
378,4.084064,60,-1
379,4.084066,60,-1
380,4.113159,286,1
