Serial number,time,size,direction
1,0.0,639,1
2,0.000562,1514,1
3,0.000622,1514,1
4,0.000665,1514,1
5,0.000682,1514,1
6,0.000792,79,1
7,0.031105,127,-1
8,0.034264,74,1
9,0.046057,60,-1
10,0.04606,60,-1
11,0.046061,60,-1
12,0.04639,60,-1
13,0.046391,60,-1
14,0.047909,1514,1
15,0.048844,1514,1
16,0.048874,1514,1
17,0.048891,1514,1
18,0.049165,812,1
19,0.072651,66,-1
20,0.077454,54,1
21,0.079041,312,1
22,0.089515,60,-1
23,0.096397,60,-1
24,0.096399,60,-1
25,0.096575,60,-1
26,0.115589,60,-1
27,0.120817,60,-1
28,0.121077,191,-1
29,0.122589,54,1
30,0.127688,1514,1
31,0.128028,1514,1
32,0.128745,1514,1
33,0.128767,1514,1
34,0.128785,332,1
35,0.128799,105,1
36,0.167149,147,-1
37,0.167153,92,-1
38,0.168094,60,-1
39,0.16899,54,1
40,0.169077,54,1
41,0.170528,290,1
42,0.175311,60,-1
43,0.175314,60,-1
44,0.177793,172,1
45,0.203535,172,1
46,0.213398,60,-1
47,0.217677,172,1
48,0.218465,60,-1
49,0.221208,60,-1
50,0.224404,763,1
51,0.237982,172,1
52,0.243515,60,-1
53,0.252432,172,1
54,0.257108,60,-1
55,0.26256,60,-1
56,0.270664,417,-1
57,0.27273,85,1
58,0.272906,54,1
59,0.278845,60,-1
60,0.287576,172,1
61,0.291797,60,-1
62,0.300842,172,1
63,0.310459,60,-1
64,0.311695,54,1
65,0.31496,60,-1
66,0.315755,172,1
67,0.32713,60,-1
68,0.336754,172,1
69,0.340672,60,-1
70,0.357153,60,-1
71,0.364428,172,1
72,0.376591,60,-1
73,0.377795,172,1
74,0.399421,172,1
75,0.403763,60,-1
76,0.413566,172,1
77,0.416741,60,-1
78,0.440049,60,-1
79,0.44822,172,1
80,0.453496,60,-1
81,0.462256,172,1
82,0.476984,172,1
83,0.486565,60,-1
84,0.491009,172,1
85,0.501673,60,-1
86,0.515585,60,-1
87,0.530672,60,-1
88,0.55521,287,1
89,0.557162,1514,1
90,0.557292,1514,1
91,0.557552,1514,1
92,0.557596,898,1
93,0.596316,60,-1
94,0.600906,290,1
95,0.603323,60,-1
96,0.603325,60,-1
97,0.604295,96,-1
98,0.604927,172,1
99,0.62412,172,1
100,0.636908,172,1
101,0.64406,60,-1
102,0.650965,172,1
103,0.677115,60,-1
104,0.685746,172,1
105,0.699733,172,1
106,0.708618,147,-1
107,0.708621,92,-1
108,0.716121,172,1
109,0.734889,172,1
110,0.739873,60,-1
111,0.762175,172,1
112,0.774485,60,-1
113,0.782936,172,1
114,0.797412,172,1
115,0.810538,172,1
116,0.823633,60,-1
117,0.844743,172,1
118,0.849405,60,-1
119,0.858682,172,1
120,0.879779,172,1
121,0.894078,172,1
122,0.897277,60,-1
123,0.921601,172,1
124,0.932464,60,-1
125,0.945937,172,1
126,0.960316,172,1
127,0.972968,172,1
128,0.985393,60,-1
129,1.006991,172,1
130,1.011066,60,-1
131,1.020303,172,1
132,1.036696,172,1
133,1.05623,172,1
134,1.05927,60,-1
135,1.083943,172,1
136,1.096503,60,-1
137,1.104106,172,1
138,1.117748,172,1
139,1.131995,172,1
140,1.142905,60,-1
141,1.166811,172,1
142,1.171321,60,-1
143,1.185785,172,1
144,1.20033,172,1
145,1.219529,172,1
146,1.226723,60,-1
147,1.249661,172,1
148,1.257886,172,1
149,1.259234,60,-1
150,1.278724,172,1
151,1.292799,172,1
152,1.298951,60,-1
153,1.32785,172,1
154,1.335765,60,-1
155,1.341781,172,1
156,1.356036,172,1
157,1.370004,172,1
158,1.382636,60,-1
159,1.404301,172,1
160,1.409714,60,-1
161,1.417542,172,1
162,1.438313,172,1
163,1.452607,172,1
164,1.457731,60,-1
165,1.487334,172,1
166,1.492144,60,-1
167,1.500954,172,1
168,1.515151,172,1
169,1.536048,172,1
170,1.540761,60,-1
171,1.564139,172,1
172,1.577968,172,1
173,1.582088,60,-1
174,1.599011,172,1
175,1.61317,172,1
176,1.617876,60,-1
177,1.647734,172,1
178,1.652871,60,-1
179,1.661704,172,1
180,1.677112,172,1
181,1.689855,172,1
182,1.700442,60,-1
183,1.725013,172,1
184,1.729111,60,-1
185,1.738781,172,1
186,1.759714,172,1
187,1.773837,172,1
188,1.77693,60,-1
189,1.801789,172,1
190,1.813151,60,-1
191,1.822755,172,1
192,1.836827,172,1
193,1.851026,172,1
194,1.869897,60,-1
195,1.885719,172,1
196,1.889799,60,-1
197,1.899765,172,1
198,1.914279,172,1
199,1.938127,60,-1
200,1.949672,172,1
201,1.963539,172,1
202,1.983842,172,1
203,1.988381,60,-1
204,1.997656,172,1
205,2.01998,172,1
206,2.023438,60,-1
207,2.047306,172,1
208,2.058938,60,-1
209,2.06197,172,1
210,2.083112,172,1
211,2.095706,172,1
212,2.101909,60,-1
213,2.122824,172,1
214,2.13476,60,-1
215,2.143941,172,1
216,2.158047,172,1
