Serial number,time,size,direction
1,0.0,79,1
2,0.001374,641,1
3,0.024137,127,-1
4,0.047191,60,-1
5,0.098343,190,1
6,0.099955,1514,1
7,0.100152,1514,1
8,0.100211,1514,1
9,0.100286,74,1
10,0.105275,1514,1
11,0.139765,60,-1
12,0.141537,1514,1
13,0.149972,66,-1
14,0.152113,60,-1
15,0.152114,60,-1
16,0.152869,54,1
17,0.153858,1514,1
18,0.154181,1514,1
19,0.154711,60,-1
20,0.155579,1514,1
21,0.155602,312,1
22,0.156411,1514,1
23,0.183266,60,-1
24,0.184766,1514,1
25,0.19225,60,-1
26,0.199775,60,-1
27,0.199777,191,-1
28,0.200728,60,-1
29,0.200729,60,-1
30,0.201032,60,-1
31,0.201373,54,1
32,0.202531,1514,1
33,0.204114,1514,1
34,0.204163,1022,1
35,0.20717,105,1
36,0.216529,172,1
37,0.227404,60,-1
38,0.23732,172,1
39,0.252122,60,-1
40,0.252126,60,-1
41,0.252691,172,1
42,0.259405,60,-1
43,0.266355,172,1
44,0.275582,146,-1
45,0.275584,92,-1
46,0.277586,54,1
47,0.293306,60,-1
48,0.296548,60,-1
49,0.299434,763,1
50,0.299894,172,1
51,0.313252,172,1
52,0.327528,172,1
53,0.340734,60,-1
54,0.341833,60,-1
55,0.348148,172,1
56,0.348871,417,-1
57,0.350624,85,1
58,0.350757,54,1
59,0.368868,60,-1
60,0.375798,172,1
61,0.390117,172,1
62,0.391611,60,-1
63,0.393049,54,1
64,0.410826,172,1
65,0.416888,60,-1
66,0.424763,172,1
67,0.452855,60,-1
68,0.46016,172,1
69,0.474271,172,1
70,0.488905,172,1
71,0.501169,60,-1
72,0.502881,288,1
73,0.50334,190,1
74,0.504527,1514,1
75,0.504881,1514,1
76,0.529768,60,-1
77,0.53129,1514,1
78,0.532634,642,1
79,0.550843,60,-1
80,0.552212,290,1
81,0.572175,172,1
82,0.574013,60,-1
83,0.580726,96,-1
84,0.586219,172,1
85,0.613871,60,-1
86,0.614074,172,1
87,0.635149,172,1
88,0.648999,172,1
89,0.65485,60,-1
90,0.684272,172,1
91,0.694233,60,-1
92,0.698274,172,1
93,0.698432,146,-1
94,0.698433,92,-1
95,0.700393,54,1
96,0.712922,172,1
97,0.726497,172,1
98,0.747499,172,1
99,0.747726,60,-1
100,0.769879,60,-1
101,0.775114,172,1
102,0.796419,172,1
103,0.810637,172,1
104,0.820291,60,-1
105,0.82457,172,1
106,0.857245,60,-1
107,0.858952,172,1
108,0.873342,172,1
109,0.887259,172,1
110,0.906297,60,-1
111,0.907965,172,1
112,0.936299,172,1
113,0.938957,60,-1
114,0.95015,172,1
115,0.971121,172,1
116,0.980772,60,-1
117,0.985224,172,1
118,1.014969,60,-1
119,1.020096,172,1
120,1.034124,172,1
121,1.048258,172,1
122,1.062077,172,1
123,1.065948,60,-1
124,1.08892,60,-1
125,1.097142,172,1
126,1.111917,172,1
127,1.13208,172,1
128,1.138305,60,-1
129,1.146094,172,1
130,1.173535,60,-1
131,1.174398,172,1
132,1.1953,172,1
133,1.209369,172,1
134,1.217351,60,-1
135,1.225101,172,1
136,1.252007,60,-1
137,1.257957,172,1
138,1.272056,172,1
139,1.286308,172,1
140,1.300626,60,-1
141,1.307118,172,1
142,1.329162,60,-1
143,1.334966,172,1
144,1.375507,60,-1
145,1.37893,172,1
146,1.379062,172,1
147,1.383853,172,1
148,1.42094,60,-1
149,1.42224,172,1
150,1.432926,172,1
151,1.447168,172,1
152,1.464396,60,-1
153,1.468256,172,1
154,1.488229,60,-1
155,1.495819,172,1
156,1.51002,172,1
157,1.532907,172,1
158,1.536072,60,-1
159,1.544939,172,1
160,1.577237,60,-1
161,1.580603,172,1
162,1.594168,172,1
163,1.608098,172,1
164,1.621864,172,1
165,1.622433,60,-1
166,1.652736,60,-1
167,1.657287,172,1
168,1.671253,172,1
169,1.691944,172,1
170,1.701984,60,-1
171,1.706343,172,1
172,1.734064,172,1
173,1.737597,60,-1
174,1.755051,172,1
175,1.769139,172,1
176,1.778784,60,-1
177,1.783232,172,1
178,1.810101,60,-1
179,1.823006,172,1
180,1.839183,172,1
181,1.847996,172,1
182,1.864172,60,-1
183,1.86714,172,1
184,1.891908,60,-1
185,1.895049,172,1
186,1.915406,172,1
187,1.929377,172,1
188,1.939543,60,-1
189,1.943946,172,1
190,1.969992,60,-1
191,1.978066,172,1
192,1.991996,172,1
193,2.008116,172,1
194,2.021461,60,-1
195,2.027625,172,1
196,2.048012,60,-1
197,2.079342,172,1
198,2.079501,172,1
199,2.090008,172,1
200,2.104749,172,1
201,2.115844,60,-1
202,2.122347,60,-1
203,2.131536,60,-1
204,2.142532,172,1
205,2.146056,60,-1
206,2.15322,172,1
207,2.167279,172,1
208,2.183728,60,-1
209,2.18856,172,1
210,2.194597,60,-1
211,2.210287,60,-1
212,2.216063,172,1
213,2.230068,172,1
214,2.231973,60,-1
215,2.252227,172,1
216,2.260748,60,-1
217,2.266202,172,1
218,2.273888,60,-1
219,2.296344,60,-1
220,2.299873,434,-1
221,2.301145,172,1
222,2.307523,136,1
223,2.313471,92,1
224,2.319041,707,-1
225,2.330188,74,1
226,2.35236,54,1
227,2.353312,60,-1
228,2.373893,66,-1
229,2.375843,54,1
230,2.377452,312,1
231,2.395718,60,-1
232,2.423375,60,-1
233,2.427438,60,-1
234,2.427757,191,-1
235,2.429341,54,1
236,2.431498,105,1
237,2.524485,60,-1
238,2.530328,809,1
239,2.57685,60,-1
240,2.579843,417,-1
241,2.58276,85,1
242,2.583007,54,1
243,2.612304,460,-1
244,2.613824,54,1
245,2.62257,74,1
246,2.627592,60,-1
247,2.628889,54,1
248,2.662834,66,-1
249,2.664345,54,1
250,2.666212,312,1
251,2.703777,60,-1
252,2.708891,60,-1
253,2.70915,191,-1
254,2.710661,54,1
255,2.716865,105,1
256,2.812815,60,-1
257,2.817633,777,1
258,2.863956,60,-1
259,2.867561,286,1
260,2.868062,1514,1
261,2.868096,1514,1
262,2.868112,1514,1
263,2.868294,536,1
264,2.868313,136,1
265,2.868443,417,-1
266,2.871059,85,1
267,2.871211,54,1
268,2.909822,60,-1
269,2.914308,92,1
270,2.916353,60,-1
271,2.916355,60,-1
272,2.916667,60,-1
273,2.917886,54,1
274,2.920323,60,-1
275,2.920325,60,-1
276,2.962346,60,-1
277,3.006815,1514,-1
278,3.007043,1514,-1
279,3.007211,1514,-1
280,3.007334,1514,-1
281,3.007455,1514,-1
282,3.007582,1514,-1
283,3.00772,1514,-1
284,3.007833,1514,-1
285,3.007949,1514,-1
286,3.008143,1514,-1
287,3.0137,54,1
288,3.013907,54,1
289,3.013985,54,1
290,3.014553,54,1
291,3.014742,54,1
292,3.014916,54,1
293,3.014991,54,1
294,3.016086,54,1
295,3.016255,54,1
296,3.017862,54,1
297,3.060268,1514,-1
298,3.060584,1514,-1
299,3.060716,1514,-1
300,3.060828,1514,-1
301,3.060947,1514,-1
302,3.06107,1514,-1
303,3.061193,1514,-1
304,3.061316,1514,-1
305,3.061438,1514,-1
306,3.061561,1514,-1
307,3.061703,1514,-1
308,3.061827,1514,-1
309,3.061933,1514,-1
310,3.06206,1514,-1
311,3.062183,1514,-1
312,3.062374,1514,-1
313,3.065601,54,1
314,3.065822,54,1
315,3.065965,1514,-1
316,3.06609,1514,-1
317,3.066205,1514,-1
318,3.066395,54,1
319,3.066413,1514,-1
320,3.070225,54,1
321,3.070443,54,1
322,3.070519,54,1
323,3.071245,54,1
324,3.072182,54,1
325,3.073042,54,1
326,3.074749,54,1
327,3.087265,54,1
328,3.087506,54,1
329,3.087589,54,1
330,3.095329,74,1
331,3.111089,1514,-1
332,3.111361,1514,-1
333,3.113431,54,1
334,3.116519,1514,-1
335,3.116805,1514,-1
336,3.116991,1514,-1
337,3.117458,1514,-1
338,3.117681,1514,-1
339,3.117883,1514,-1
340,3.119002,54,1
341,3.119936,54,1
342,3.120771,96,1
343,3.123333,1514,-1
344,3.123694,1514,-1
345,3.123988,1514,-1
346,3.124164,1514,-1
347,3.124356,1514,-1
348,3.125017,1514,-1
349,3.125194,1514,-1
350,3.125218,54,1
351,3.12538,1514,-1
352,3.125722,1514,-1
353,3.126093,54,1
354,3.127065,54,1
355,3.128295,1514,-1
356,3.128614,1514,-1
357,3.128973,54,1
358,3.129049,54,1
359,3.130536,54,1
360,3.134119,1514,-1
361,3.134323,1514,-1
362,3.136087,54,1
363,3.136223,66,-1
364,3.137615,54,1
365,3.138716,1514,-1
366,3.13892,1514,-1
367,3.139111,1514,-1
368,3.139352,1514,-1
369,3.142836,54,1
370,3.143003,54,1
371,3.144121,312,1
372,3.164494,1514,-1
373,3.164829,1514,-1
374,3.166811,54,1
375,3.170273,96,1
376,3.170411,1514,-1
377,3.170574,1514,-1
378,3.170766,1514,-1
379,3.170862,1514,-1
380,3.170863,60,-1
381,3.17126,1514,-1
382,3.171616,1514,-1
383,3.172616,54,1
384,3.174089,54,1
385,3.174359,54,1
386,3.177448,1514,-1
387,3.177572,1514,-1
388,3.177711,1514,-1
389,3.177875,1514,-1
390,3.178008,1514,-1
391,3.178123,1514,-1
392,3.17825,1514,-1
393,3.178367,1514,-1
