Serial number,time,size,direction
1,0.0,287,1
2,0.003806,190,1
3,0.005811,1514,1
4,0.00614,1514,1
5,0.007875,1514,1
6,0.007937,703,1
7,0.008063,132,1
8,0.037254,79,1
9,0.039771,60,-1
10,0.041564,1514,1
11,0.044931,60,-1
12,0.046589,1514,1
13,0.053486,60,-1
14,0.053488,60,-1
15,0.053489,60,-1
16,0.055145,1514,1
17,0.055467,1514,1
18,0.056852,1357,1
19,0.062,127,-1
20,0.06771,74,1
21,0.084013,60,-1
22,0.090034,60,-1
23,0.094895,60,-1
24,0.096006,1514,1
25,0.096321,1514,1
26,0.096931,1514,1
27,0.096975,1472,1
28,0.100221,60,-1
29,0.104212,66,-1
30,0.107103,54,1
31,0.108514,312,1
32,0.116842,172,1
33,0.131115,172,1
34,0.145093,172,1
35,0.146131,60,-1
36,0.146133,60,-1
37,0.14682,60,-1
38,0.147821,60,-1
39,0.147957,60,-1
40,0.149683,1514,-1
41,0.149998,1514,-1
42,0.151641,1514,-1
43,0.151809,1049,-1
44,0.151849,54,1
45,0.152006,54,1
46,0.153358,54,1
47,0.154041,54,1
48,0.155605,60,-1
49,0.169814,60,-1
50,0.179129,172,1
51,0.18186,146,-1
52,0.181862,92,-1
53,0.183459,1049,-1
54,0.183635,54,1
55,0.185497,66,1
56,0.194737,172,1
57,0.20779,172,1
58,0.217079,180,1
59,0.218257,60,-1
60,0.228551,172,1
61,0.247473,60,-1
62,0.253526,105,-1
63,0.259515,172,1
64,0.290486,172,1
65,0.290645,54,1
66,0.291575,768,1
67,0.293404,172,1
68,0.299332,60,-1
69,0.30522,172,1
70,0.33738,60,-1
71,0.33982,417,-1
72,0.340817,172,1
73,0.343096,85,1
74,0.343193,54,1
75,0.354718,172,1
76,0.36806,172,1
77,0.38131,60,-1
78,0.383966,60,-1
79,0.38509,54,1
80,0.389885,172,1
81,0.410721,60,-1
82,0.418396,172,1
83,0.431039,172,1
84,0.452227,172,1
85,0.458073,60,-1
86,0.467107,172,1
87,0.490855,60,-1
88,0.501621,172,1
89,0.515606,172,1
90,0.531368,172,1
91,0.534674,288,1
92,0.536788,190,1
93,0.540495,60,-1
94,0.543034,1514,1
95,0.544805,1514,1
96,0.544859,1514,1
97,0.572647,60,-1
98,0.576881,644,1
99,0.579397,60,-1
100,0.581686,172,1
101,0.58747,60,-1
102,0.592265,172,1
103,0.613209,172,1
104,0.615649,60,-1
105,0.627028,172,1
106,0.631836,60,-1
107,0.657765,172,1
108,0.665342,60,-1
109,0.676108,172,1
110,0.690364,172,1
111,0.704596,172,1
112,0.717738,60,-1
113,0.739,172,1
114,0.74507,60,-1
115,0.75302,172,1
116,0.767712,172,1
117,0.781739,146,-1
118,0.781742,92,-1
119,0.787192,54,1
120,0.789856,172,1
121,0.806907,60,-1
122,0.816944,172,1
123,0.83849,172,1
124,0.850896,172,1
125,0.856545,60,-1
126,0.864855,172,1
127,0.890004,60,-1
128,0.901347,172,1
129,0.915039,172,1
130,0.93048,172,1
131,0.940297,60,-1
132,0.950814,172,1
133,0.969671,60,-1
134,0.990386,172,1
135,0.991234,172,1
136,1.012915,172,1
137,1.026506,172,1
138,1.032133,60,-1
139,1.061191,172,1
140,1.064814,60,-1
141,1.074921,172,1
142,1.089065,172,1
143,1.103121,172,1
144,1.1155,60,-1
145,1.139231,172,1
146,1.142555,60,-1
147,1.153058,172,1
148,1.178638,172,1
149,1.188924,172,1
150,1.193322,60,-1
151,1.215408,172,1
152,1.227302,60,-1
153,1.239649,172,1
154,1.2507,172,1
155,1.264211,172,1
156,1.279248,60,-1
157,1.299589,172,1
158,1.30301,60,-1
159,1.313511,172,1
160,1.327796,172,1
161,1.350674,172,1
162,1.352798,60,-1
163,1.379741,172,1
164,1.389693,60,-1
165,1.397569,172,1
166,1.411115,172,1
167,1.425842,172,1
168,1.437201,60,-1
169,1.460226,172,1
170,1.474169,172,1
171,1.474761,60,-1
172,1.488894,172,1
173,1.509429,172,1
174,1.513038,60,-1
175,1.537766,172,1
176,1.549116,60,-1
177,1.55121,172,1
178,1.5716,172,1
179,1.585744,172,1
180,1.589071,60,-1
181,1.620904,172,1
182,1.625022,60,-1
183,1.635175,172,1
184,1.650985,172,1
185,1.673878,60,-1
186,1.690394,172,1
187,1.698243,172,1
188,1.71246,172,1
189,1.730343,60,-1
190,1.73411,172,1
191,1.74756,172,1
192,1.751359,60,-1
193,1.775745,172,1
194,1.786353,60,-1
195,1.796591,172,1
196,1.812449,172,1
197,1.823883,172,1
198,1.844825,60,-1
199,1.860177,172,1
200,1.8648,60,-1
201,1.874041,172,1
202,1.88847,172,1
203,1.909557,172,1
204,1.921798,60,-1
205,1.936681,172,1
206,1.949926,60,-1
207,1.957848,172,1
208,1.972885,172,1
209,1.986223,172,1
210,2.001402,60,-1
211,2.021064,172,1
212,2.027482,60,-1
213,2.034404,172,1
214,2.048598,172,1
215,2.062649,172,1
216,2.074297,60,-1
217,2.098434,172,1
218,2.101259,60,-1
219,2.112294,172,1
220,2.133591,172,1
221,2.147826,172,1
222,2.15078,60,-1
223,2.174878,172,1
224,2.187727,60,-1
225,2.196315,172,1
226,2.210794,172,1
227,2.224607,172,1
228,2.237561,60,-1
229,2.261812,172,1
230,2.265125,60,-1
231,2.273635,172,1
232,2.287486,172,1
233,2.308887,172,1
234,2.312226,60,-1
235,2.322802,434,-1
236,2.336907,172,1
237,2.343464,713,-1
238,2.375349,60,-1
239,2.439006,136,1
240,2.43916,92,1
241,2.441457,74,1
242,2.468657,54,1
243,2.478535,60,-1
244,2.481578,66,-1
245,2.572905,54,1
246,2.573074,312,1
247,2.612483,60,-1
248,2.617228,60,-1
249,2.618744,191,-1
250,2.689913,460,-1
251,2.708084,54,1
252,2.708401,54,1
253,2.711211,105,1
254,2.728519,74,1
255,2.767178,66,-1
256,2.774855,54,1
257,2.776199,312,1
258,2.794889,60,-1
259,2.815996,60,-1
260,2.815998,60,-1
261,2.816,191,-1
262,2.883744,811,1
263,2.88421,54,1
264,2.886498,105,1
265,2.892711,1514,-1
266,2.892888,1514,-1
267,2.893105,1514,-1
268,2.893235,1514,-1
269,2.893363,1514,-1
270,2.893479,1514,-1
271,2.893611,1514,-1
272,2.89373,1514,-1
273,2.893852,1514,-1
274,2.894041,1514,-1
275,2.894975,54,1
276,2.895954,54,1
277,2.896051,54,1
278,2.8972,54,1
279,2.897506,54,1
280,2.898126,54,1
281,2.898337,54,1
282,2.899129,54,1
283,2.899335,54,1
284,2.900244,54,1
285,2.921974,60,-1
286,2.927581,417,-1
287,2.934545,1514,-1
288,2.93487,1514,-1
289,2.941525,1514,-1
290,2.941691,1514,-1
291,2.941827,1514,-1
292,2.942013,1514,-1
293,2.942158,1514,-1
294,2.94236,1514,-1
295,2.942487,1514,-1
296,2.942615,1514,-1
297,2.942731,1514,-1
298,2.942865,1514,-1
299,2.942976,1514,-1
300,2.943108,1514,-1
301,2.943331,1514,-1
302,2.943505,1514,-1
303,2.943628,1514,-1
304,2.943753,1514,-1
305,2.943971,1514,-1
306,2.94417,1514,-1
307,2.971453,60,-1
308,3.021103,287,1
309,3.021806,190,1
310,3.029019,54,1
311,3.029861,54,1
312,3.030147,54,1
313,3.030563,54,1
314,3.03096,54,1
315,3.031147,54,1
316,3.031457,54,1
317,3.031668,54,1
318,3.044763,74,1
319,3.045213,54,1
320,3.045488,54,1
321,3.045742,781,1
322,3.062545,60,-1
323,3.068864,1514,-1
324,3.069079,1028,-1
325,3.087989,60,-1
326,3.089137,66,-1
327,3.090587,134,1
328,3.092865,417,-1
329,3.095821,54,1
330,3.096061,54,1
331,3.100233,85,1
332,3.100626,54,1
333,3.100784,312,1
334,3.133992,66,-1
335,3.135598,1514,1
