Serial number,time,size,direction
1,0.0,297,1
2,0.00069,1514,1
3,0.000745,1514,1
4,0.000778,1514,1
5,0.000825,1514,1
6,0.001041,1220,1
7,0.003846,287,1
8,0.005219,190,1
9,0.006118,1514,1
10,0.00771,1514,1
11,0.013722,79,1
12,0.041217,60,-1
13,0.042725,127,-1
14,0.046714,1514,1
15,0.047518,74,1
16,0.048024,60,-1
17,0.048319,60,-1
18,0.048321,60,-1
19,0.048324,60,-1
20,0.048326,60,-1
21,0.049731,836,1
22,0.050467,60,-1
23,0.086308,60,-1
24,0.08984,66,-1
25,0.090336,1514,1
26,0.090829,1514,1
27,0.09087,1514,1
28,0.090906,1514,1
29,0.090943,172,1
30,0.092343,60,-1
31,0.094699,54,1
32,0.095876,312,1
33,0.111235,172,1
34,0.123919,172,1
35,0.130736,60,-1
36,0.13074,60,-1
37,0.130742,60,-1
38,0.134644,60,-1
39,0.135271,96,-1
40,0.137617,60,-1
41,0.137776,60,-1
42,0.138091,191,-1
43,0.14049,54,1
44,0.142623,105,1
45,0.151166,172,1
46,0.162343,60,-1
47,0.173669,172,1
48,0.174976,146,-1
49,0.174979,92,-1
50,0.176868,54,1
51,0.18724,172,1
52,0.200824,172,1
53,0.212661,60,-1
54,0.235213,172,1
55,0.238605,60,-1
56,0.24023,764,1
57,0.240466,60,-1
58,0.24844,172,1
59,0.27017,172,1
60,0.28242,60,-1
61,0.283238,172,1
62,0.28875,417,-1
63,0.290882,85,1
64,0.291153,54,1
65,0.306839,60,-1
66,0.311365,172,1
67,0.323111,60,-1
68,0.331517,60,-1
69,0.332139,172,1
70,0.332783,54,1
71,0.337976,60,-1
72,0.346244,172,1
73,0.370514,60,-1
74,0.383526,172,1
75,0.395151,172,1
76,0.409179,172,1
77,0.42161,60,-1
78,0.42386,172,1
79,0.445764,172,1
80,0.447184,60,-1
81,0.472678,172,1
82,0.484317,60,-1
83,0.493286,172,1
84,0.511766,329,1
85,0.513588,132,1
86,0.514268,190,1
87,0.526952,1514,1
88,0.527855,1514,1
89,0.527905,1514,1
90,0.527925,461,1
91,0.527969,136,1
92,0.531589,60,-1
93,0.532908,92,1
94,0.534923,172,1
95,0.555317,60,-1
96,0.556758,172,1
97,0.568836,172,1
98,0.574231,60,-1
99,0.592071,172,1
100,0.598687,60,-1
101,0.607154,172,1
102,0.630823,172,1
103,0.630954,60,-1
104,0.65113,172,1
105,0.665118,172,1
106,0.669848,60,-1
107,0.671832,146,-1
108,0.671833,92,-1
109,0.673567,54,1
110,0.687078,172,1
111,0.704406,60,-1
112,0.712959,172,1
113,0.727124,172,1
114,0.747905,172,1
115,0.750427,60,-1
116,0.761104,172,1
117,0.785478,60,-1
118,0.796217,172,1
119,0.810022,172,1
120,0.824373,172,1
