Serial number,time,size,direction
1,0.0,286,1
2,0.000565,190,1
3,0.000606,79,1
4,0.001959,1514,1
5,0.002739,1514,1
6,0.00278,1514,1
7,0.002815,122,1
8,0.003009,132,1
9,0.004264,180,1
10,0.005649,1514,1
11,0.005982,144,1
12,0.034359,127,-1
13,0.038424,60,-1
14,0.038428,60,-1
15,0.040429,1514,1
16,0.042237,1514,1
17,0.042276,1514,1
18,0.042308,921,1
19,0.046292,60,-1
20,0.046294,60,-1
21,0.046487,60,-1
22,0.046489,60,-1
23,0.046491,60,-1
24,0.052527,74,1
25,0.07664,60,-1
26,0.08387,60,-1
27,0.083875,60,-1
28,0.089847,66,-1
29,0.091388,54,1
30,0.096153,1514,1
31,0.098371,1514,1
32,0.098447,1514,1
33,0.098478,1152,1
34,0.098507,312,1
35,0.110551,172,1
36,0.128369,60,-1
37,0.131451,172,1
38,0.132123,60,-1
39,0.138734,60,-1
40,0.139735,60,-1
41,0.140011,191,-1
42,0.141727,54,1
43,0.143622,105,1
44,0.14626,60,-1
45,0.147143,172,1
46,0.168948,60,-1
47,0.18018,172,1
48,0.181795,60,-1
49,0.185728,145,-1
50,0.18573,92,-1
51,0.217652,172,1
52,0.217798,172,1
53,0.22064,54,1
54,0.222844,172,1
55,0.228181,60,-1
56,0.229565,765,1
57,0.254014,60,-1
58,0.256549,172,1
59,0.259243,60,-1
60,0.266379,60,-1
61,0.270384,172,1
62,0.271082,417,-1
63,0.272583,85,1
64,0.272666,54,1
65,0.291639,172,1
66,0.304879,172,1
67,0.305308,60,-1
68,0.311718,60,-1
69,0.31288,54,1
70,0.339689,172,1
71,0.340557,60,-1
72,0.353639,172,1
73,0.367994,172,1
74,0.381786,172,1
75,0.389199,60,-1
76,0.41668,60,-1
77,0.417205,172,1
78,0.431031,172,1
79,0.451743,172,1
80,0.465848,172,1
81,0.467683,60,-1
82,0.493976,172,1
83,0.500718,296,1
84,0.501489,60,-1
85,0.501904,190,1
86,0.50287,1514,1
87,0.503056,1514,1
88,0.503158,1285,1
89,0.503541,136,1
90,0.503691,92,1
91,0.514947,172,1
92,0.530005,172,1
93,0.536189,60,-1
94,0.542872,172,1
95,0.544733,60,-1
96,0.567331,60,-1
97,0.578054,172,1
98,0.594718,172,1
99,0.609197,172,1
100,0.613758,60,-1
101,0.62703,172,1
102,0.645376,60,-1
103,0.65485,172,1
104,0.675543,172,1
105,0.68053,145,-1
106,0.680535,92,-1
107,0.684344,54,1
108,0.691886,172,1
109,0.703691,172,1
110,0.711118,60,-1
111,0.738339,60,-1
112,0.738689,172,1
113,0.752581,172,1
114,0.766701,172,1
115,0.787076,60,-1
116,0.788049,172,1
