Serial number,time,size,direction
1,0.0,74,1
2,0.000671,289,1
3,0.000754,190,1
4,0.001172,1514,1
5,0.001219,1514,1
6,0.001283,1514,1
7,0.001619,806,1
8,0.001764,132,1
9,0.004084,180,1
10,0.037449,66,-1
11,0.039189,54,1
12,0.040925,312,1
13,0.042164,60,-1
14,0.043086,60,-1
15,0.045615,1514,1
16,0.047072,1514,1
17,0.04933,60,-1
18,0.050439,66,-1
19,0.050443,66,-1
20,0.050446,60,-1
21,0.050448,60,-1
22,0.05045,60,-1
23,0.050452,60,-1
24,0.050994,1514,1
25,0.053541,1514,1
26,0.054925,1365,1
27,0.076938,60,-1
28,0.080929,60,-1
29,0.081037,1514,1
30,0.081267,191,-1
31,0.081896,1514,1
32,0.081944,1514,1
33,0.084575,54,1
34,0.085105,105,1
35,0.091799,60,-1
36,0.091802,60,-1
37,0.093651,1232,1
38,0.094801,172,1
39,0.097138,60,-1
40,0.102612,60,-1
41,0.107889,172,1
42,0.126924,60,-1
43,0.126928,60,-1
44,0.137824,60,-1
45,0.137826,60,-1
46,0.142108,172,1
47,0.149777,60,-1
48,0.155871,172,1
49,0.171567,146,-1
50,0.17157,92,-1
51,0.171571,60,-1
52,0.176608,766,1
53,0.176901,54,1
54,0.180443,172,1
55,0.191442,172,1
56,0.197609,60,-1
57,0.2134,60,-1
58,0.218643,417,-1
59,0.220103,172,1
60,0.220698,85,1
61,0.220814,54,1
62,0.233395,60,-1
63,0.240741,172,1
64,0.254167,172,1
65,0.266205,60,-1
66,0.266208,60,-1
67,0.268063,54,1
68,0.268826,172,1
69,0.287691,60,-1
70,0.303421,172,1
71,0.316801,60,-1
72,0.317319,172,1
73,0.355129,172,1
74,0.355414,172,1
75,0.360873,60,-1
76,0.379931,172,1
77,0.401862,172,1
78,0.402952,60,-1
79,0.417507,172,1
80,0.429544,172,1
81,0.442129,60,-1
82,0.463968,172,1
83,0.471556,60,-1
84,0.47768,172,1
85,0.492909,172,1
86,0.503789,287,1
87,0.504142,1514,1
88,0.506006,1514,1
89,0.506027,1514,1
90,0.506044,727,1
91,0.520946,60,-1
92,0.522191,210,1
93,0.540218,172,1
94,0.544079,60,-1
95,0.550575,60,-1
96,0.554483,60,-1
97,0.561093,172,1
98,0.575505,172,1
99,0.582521,60,-1
100,0.589404,172,1
101,0.619459,60,-1
102,0.62401,172,1
103,0.638141,172,1
104,0.652261,146,-1
105,0.652263,92,-1
106,0.654528,172,1
107,0.657326,54,1
108,0.673983,172,1
109,0.679881,60,-1
110,0.701059,172,1
111,0.7144,60,-1
112,0.715681,172,1
113,0.736249,172,1
114,0.750397,172,1
115,0.760056,60,-1
116,0.790263,172,1
117,0.791031,60,-1
118,0.800262,172,1
119,0.81353,172,1
120,0.82711,172,1
121,0.841431,60,-1
122,0.862336,172,1
123,0.868541,60,-1
124,0.876312,172,1
125,0.898141,172,1
126,0.911735,172,1
127,0.916645,60,-1
128,0.940811,172,1
129,0.954721,60,-1
130,0.961332,172,1
131,0.974623,172,1
132,0.98931,172,1
133,1.00357,60,-1
134,1.023718,172,1
135,1.03314,60,-1
136,1.057291,172,1
137,1.057444,172,1
138,1.072887,172,1
139,1.099906,172,1
140,1.101053,60,-1
141,1.114747,60,-1
142,1.121196,172,1
143,1.135621,172,1
144,1.149363,172,1
145,1.164249,60,-1
146,1.184142,172,1
147,1.191436,60,-1
148,1.20217,172,1
149,1.213798,172,1
150,1.23301,172,1
151,1.245057,60,-1
152,1.261651,172,1
153,1.273821,60,-1
154,1.275227,172,1
155,1.296361,172,1
156,1.31425,172,1
157,1.316118,60,-1
158,1.345358,172,1
159,1.355886,60,-1
160,1.359059,172,1
161,1.37328,172,1
162,1.395956,172,1
163,1.406169,60,-1
164,1.416228,96,-1
165,1.421063,172,1
166,1.43551,172,1
167,1.456055,172,1
168,1.465677,60,-1
169,1.469992,172,1
170,1.496169,60,-1
171,1.505196,172,1
172,1.519812,172,1
173,1.535105,172,1
174,1.548962,60,-1
175,1.550087,172,1
176,1.58058,60,-1
177,1.582523,172,1
178,1.597182,172,1
179,1.619256,172,1
180,1.623206,60,-1
181,1.631064,172,1
182,1.659849,60,-1
183,1.660331,172,1
184,1.682435,172,1
185,1.694688,172,1
186,1.703538,60,-1
187,1.708275,172,1
188,1.735972,60,-1
189,1.757326,172,1
190,1.757589,172,1
191,1.777038,172,1
192,1.792908,172,1
193,1.800369,60,-1
194,1.819566,172,1
195,1.821024,60,-1
196,1.840536,172,1
197,1.854841,172,1
198,1.860678,60,-1
199,1.868461,172,1
200,1.896152,60,-1
201,1.905134,172,1
202,1.918009,172,1
203,1.931828,172,1
204,1.948169,60,-1
205,1.952556,172,1
206,1.972925,60,-1
207,1.98027,172,1
208,2.001072,172,1
209,2.015143,172,1
210,2.023431,60,-1
211,2.029962,172,1
212,2.054733,60,-1
213,2.063952,172,1
214,2.078255,172,1
215,2.0976,172,1
216,2.104991,60,-1
217,2.114651,172,1
218,2.138601,60,-1
219,2.141321,172,1
220,2.155615,172,1
221,2.176179,172,1
222,2.188772,60,-1
223,2.190272,172,1
224,2.216887,60,-1
225,2.225865,172,1
226,2.23932,172,1
227,2.253488,172,1
228,2.267115,60,-1
229,2.268108,172,1
230,2.295764,60,-1
231,2.302681,172,1
232,2.317401,172,1
233,2.34112,172,1
234,2.344385,60,-1
235,2.351801,172,1
236,2.368138,434,-1
237,2.379586,136,1
238,2.385144,92,1
239,2.385903,729,-1
240,2.391763,60,-1
241,2.402603,74,1
242,2.425754,60,-1
243,2.439559,66,-1
244,2.457279,54,1
245,2.461747,54,1
246,2.463813,312,1
247,2.504517,60,-1
248,2.5086,60,-1
249,2.508909,191,-1
250,2.511513,54,1
251,2.513601,105,1
252,2.601802,60,-1
253,2.607146,822,1
254,2.646069,60,-1
255,2.652623,417,-1
256,2.654351,85,1
257,2.6546,54,1
258,2.669953,460,-1
259,2.674208,54,1
260,2.676032,74,1
261,2.691857,60,-1
262,2.693318,54,1
263,2.715639,66,-1
264,2.799634,54,1
265,2.801068,312,1
266,2.838843,60,-1
267,2.845413,60,-1
268,2.845418,191,-1
269,2.918996,1514,-1
270,2.919224,1514,-1
271,2.919226,1514,-1
272,2.919487,1514,-1
273,2.91982,1514,-1
274,2.920074,1514,-1
275,2.920076,1514,-1
276,2.920197,1514,-1
277,2.920244,1514,-1
278,2.920491,1514,-1
279,2.921931,288,1
280,2.938268,190,1
281,2.939335,1514,1
282,2.939435,1514,1
283,2.939485,1514,1
284,2.939519,505,1
285,2.939548,136,1
286,2.93976,92,1
287,2.940074,54,1
288,2.942912,105,1
289,2.943198,54,1
290,2.943365,54,1
291,2.943513,54,1
292,2.943645,54,1
293,2.943806,54,1
294,2.943945,54,1
295,2.944213,54,1
296,2.944742,54,1
297,2.977825,54,1
298,2.99078,60,-1
299,2.992058,60,-1
300,2.992652,1514,-1
301,2.992963,1514,-1
302,2.993157,1514,-1
303,2.993275,1514,-1
304,2.993556,1514,-1
305,2.993558,1514,-1
306,2.993679,1514,-1
307,2.99379,1514,-1
308,2.99389,1514,-1
309,2.993989,1514,-1
310,2.994113,1514,-1
311,2.994249,1514,-1
312,2.994499,1514,-1
313,2.994501,1514,-1
314,2.994638,1514,-1
315,2.994737,1514,-1
316,2.994887,1514,-1
317,2.995068,1514,-1
318,3.024859,1514,-1
319,3.025194,1514,-1
320,3.030071,60,-1
321,3.071458,54,1
322,3.071682,54,1
323,3.07177,54,1
324,3.071856,54,1
325,3.072794,54,1
326,3.074144,54,1
327,3.075356,54,1
328,3.081815,96,1
329,3.082003,74,1
330,3.08215,54,1
331,3.082241,54,1
332,3.082343,54,1
333,3.082492,781,1
334,3.12377,60,-1
335,3.127903,1514,-1
336,3.128028,1514,-1
337,3.128148,1514,-1
338,3.128272,1514,-1
339,3.128402,1514,-1
340,3.128481,1514,-1
341,3.12862,525,-1
342,3.128663,417,-1
343,3.128664,66,-1
344,3.171487,60,-1
345,3.216991,287,1
346,3.245976,190,1
347,3.24703,1514,1
348,3.247058,1514,1
349,3.247076,1514,1
350,3.247092,510,1
351,3.247106,136,1
352,3.248905,54,1
353,3.2491,54,1
354,3.25023,54,1
355,3.251734,54,1
356,3.251895,85,1
357,3.253169,54,1
358,3.253656,312,1
359,3.253676,92,1
360,3.257015,60,-1
361,3.262897,96,1
362,3.284837,475,-1
363,3.287395,60,-1
364,3.289836,60,-1
365,3.290678,60,-1
366,3.292397,60,-1
367,3.293857,60,-1
368,3.294716,60,-1
369,3.295057,60,-1
370,3.295535,191,-1
371,3.328016,147,-1
372,3.328887,92,-1
373,3.385402,1514,1
374,3.385511,996,1
375,3.385616,54,1
376,3.385696,105,1
377,3.38672,54,1
378,3.423997,146,-1
379,3.423999,92,-1
380,3.428227,54,1
381,3.430763,54,1
382,3.4329,66,-1
383,3.432901,66,-1
384,3.434754,1514,1
385,3.435076,1514,1
386,3.474411,60,-1
387,3.476199,787,1
388,3.478437,60,-1
389,3.520223,60,-1
390,3.527118,417,-1
391,3.530871,85,1
392,3.531052,54,1
393,3.554241,146,-1
394,3.554244,92,-1
395,3.558523,54,1
396,3.56025,60,-1
397,3.561907,54,1
398,3.573408,60,-1
399,3.574677,54,1
400,3.57765,60,-1
401,4.290904,74,1
402,4.335284,66,-1
403,4.33975,54,1
404,4.341025,312,1
405,4.382941,60,-1
406,4.388136,60,-1
407,4.389735,191,-1
408,4.391387,54,1
409,4.391674,105,1
410,4.47768,60,-1
411,4.482155,797,1
412,4.525744,60,-1
413,4.529856,417,-1
414,4.563507,85,1
415,4.563686,54,1
416,4.602168,60,-1
417,4.606937,60,-1
418,4.60731,54,1
