Serial number,time,size,direction
1,0.0,640,1
2,0.001503,190,1
3,0.001564,1078,1
4,0.001601,1078,1
5,0.00165,1078,1
6,0.001693,1078,1
7,0.001727,1078,1
8,0.001757,151,1
9,0.002084,132,1
10,0.002313,1078,1
11,0.002351,79,1
12,0.03271,127,-1
13,0.038064,60,-1
14,0.045153,60,-1
15,0.045156,60,-1
16,0.136241,74,1
17,0.136706,1078,1
18,0.136756,1078,1
19,0.136794,1078,1
20,0.137365,1078,1
21,0.137404,1078,1
22,0.137435,1078,1
23,0.137465,1078,1
24,0.137495,1078,1
25,0.137525,1078,1
26,0.137553,1078,1
27,0.137583,1078,1
28,0.174793,60,-1
29,0.178165,66,-1
30,0.179325,60,-1
31,0.179327,60,-1
32,0.180809,60,-1
33,0.180812,60,-1
34,0.180814,60,-1
35,0.253953,147,-1
36,0.253956,92,-1
37,0.267258,1078,1
38,0.267572,1078,1
39,0.267599,162,1
40,0.267706,54,1
41,0.267814,312,1
42,0.269349,54,1
43,0.286546,172,1
44,0.306284,60,-1
45,0.311777,60,-1
46,0.313967,60,-1
47,0.3142,191,-1
48,0.314252,172,1
49,0.316001,54,1
50,0.31632,105,1
51,0.32204,60,-1
52,0.334996,172,1
53,0.34938,172,1
54,0.350127,60,-1
55,0.369108,172,1
56,0.371612,88,1
57,0.372134,60,-1
58,0.385554,60,-1
59,0.389803,88,1
60,0.403464,104,-1
61,0.406861,172,1
62,0.410233,60,-1
63,0.414542,104,-1
64,0.416931,60,-1
65,0.442043,60,-1
66,0.445354,172,1
67,0.445479,172,1
68,0.447461,765,1
69,0.447634,172,1
70,0.447712,74,1
71,0.448247,74,1
72,0.475112,172,1
73,0.478728,286,1
74,0.479182,190,1
75,0.480131,1078,1
76,0.481172,1078,1
77,0.481236,1078,1
78,0.481252,1078,1
79,0.481267,878,1
80,0.481287,136,1
81,0.481404,60,-1
82,0.482554,92,1
83,0.487163,66,-1
84,0.487936,60,-1
85,0.490879,66,-1
86,0.491843,60,-1
87,0.499448,417,-1
88,0.511073,60,-1
89,0.517983,60,-1
90,0.524786,60,-1
91,0.52479,60,-1
92,0.601327,172,1
93,0.635838,66,-1
94,0.636383,172,1
95,0.637188,762,1
96,0.650301,172,1
97,0.656855,147,-1
98,0.656857,92,-1
99,0.660452,54,1
100,0.671367,172,1
101,0.674419,66,-1
102,0.674759,60,-1
103,0.685343,172,1
104,0.6867,60,-1
105,0.708213,60,-1
106,0.713443,172,1
107,0.7201,417,-1
108,0.720551,60,-1
109,0.72144,66,1
110,0.734405,172,1
111,0.748512,172,1
112,0.750454,60,-1
113,0.762797,172,1
114,0.770837,60,-1
115,0.783816,60,-1
116,0.798916,60,-1
117,0.821703,172,1
118,0.821855,172,1
119,0.837124,172,1
120,0.846134,172,1
121,0.858216,60,-1
122,0.872791,60,-1
123,0.874067,172,1
124,0.890452,60,-1
125,0.896163,172,1
126,0.909145,172,1
127,0.910091,60,-1
128,0.923271,172,1
129,0.932344,60,-1
130,0.945145,60,-1
131,0.958211,172,1
132,0.959147,60,-1
133,0.971994,172,1
134,0.975927,571,1
135,0.986125,172,1
136,0.994313,60,-1
137,0.995543,571,1
138,1.007529,172,1
139,1.010816,60,-1
140,1.016462,60,-1
141,1.016465,60,-1
142,1.016906,1514,-1
