Serial number,time,size,direction
1,0.0,288,1
2,0.000407,190,1
3,0.001529,1514,1
4,0.00161,1514,1
5,0.002357,1514,1
6,0.002593,724,1
7,0.002866,132,1
8,0.004025,180,1
9,0.00501,1514,1
10,0.005172,144,1
11,0.012355,79,1
12,0.03738,127,-1
13,0.048722,60,-1
14,0.053078,1514,1
15,0.053929,1514,1
16,0.054512,74,1
17,0.054711,60,-1
18,0.055759,60,-1
19,0.05576,60,-1
20,0.055762,60,-1
21,0.055763,60,-1
22,0.055764,60,-1
23,0.063523,1514,1
24,0.065842,1172,1
25,0.09782,60,-1
26,0.103301,60,-1
27,0.109794,60,-1
28,0.113362,60,-1
29,0.128628,1514,1
30,0.129535,1514,1
31,0.130549,1514,1
32,0.134008,1514,1
33,0.135039,66,-1
34,0.135437,412,1
35,0.138239,54,1
36,0.14009,312,1
37,0.145013,172,1
38,0.154255,172,1
39,0.176615,60,-1
40,0.176618,60,-1
41,0.183868,60,-1
42,0.187717,60,-1
43,0.188022,172,1
44,0.190964,145,-1
45,0.190967,92,-1
46,0.200118,54,1
47,0.201239,60,-1
48,0.202046,172,1
49,0.214737,60,-1
50,0.215751,60,-1
51,0.215752,191,-1
52,0.218571,54,1
53,0.219237,105,1
54,0.222724,172,1
55,0.236822,172,1
56,0.254312,60,-1
57,0.266475,172,1
58,0.285597,172,1
59,0.287315,60,-1
60,0.299979,172,1
61,0.317102,172,1
62,0.33332,60,-1
63,0.345541,60,-1
64,0.366491,172,1
65,0.366628,172,1
66,0.368773,766,1
67,0.369436,60,-1
68,0.37662,172,1
69,0.397548,172,1
70,0.415846,60,-1
71,0.426127,172,1
72,0.445391,172,1
73,0.449074,60,-1
74,0.455823,60,-1
75,0.461303,172,1
76,0.462455,417,-1
77,0.464746,85,1
78,0.465413,54,1
79,0.474677,172,1
80,0.496896,60,-1
81,0.498688,288,1
82,0.499404,190,1
83,0.526675,60,-1
84,0.533169,1514,1
85,0.536489,1514,1
86,0.537407,1514,1
87,0.53806,427,1
88,0.538098,136,1
89,0.538195,92,1
90,0.538285,172,1
91,0.538372,172,1
92,0.538804,172,1
93,0.547968,60,-1
94,0.549991,54,1
95,0.552857,60,-1
96,0.557649,172,1
97,0.59022,172,1
98,0.595743,60,-1
99,0.595748,60,-1
100,0.610177,172,1
101,0.617555,60,-1
102,0.623261,172,1
103,0.634643,172,1
104,0.669647,172,1
105,0.670666,60,-1
106,0.683446,172,1
107,0.697726,60,-1
108,0.698419,172,1
109,0.704662,145,-1
110,0.704664,92,-1
111,0.708285,54,1
112,0.718633,172,1
113,0.744004,60,-1
114,0.746581,172,1
115,0.76041,172,1
116,0.776834,60,-1
117,0.782421,172,1
118,0.794938,172,1
119,0.815999,60,-1
120,0.830141,172,1
121,0.844585,172,1
122,0.849239,60,-1
