Serial number,time,size,direction
1,0.0,287,1
2,0.001307,190,1
3,0.010272,1514,1
4,0.010862,1514,1
5,0.010911,1514,1
6,0.011034,74,1
7,0.011223,122,1
8,0.036285,60,-1
9,0.040405,60,-1
10,0.040596,1514,1
11,0.04224,1514,1
12,0.048239,60,-1
13,0.048243,60,-1
14,0.048244,60,-1
15,0.055286,66,-1
16,0.055576,1514,1
17,0.056412,1514,1
18,0.056458,885,1
19,0.05718,54,1
20,0.068539,312,1
21,0.076906,60,-1
22,0.083,60,-1
23,0.09117,60,-1
24,0.097128,60,-1
25,0.101275,60,-1
26,0.105096,1514,1
27,0.106986,1514,1
28,0.107009,1514,1
29,0.107026,1472,1
30,0.107524,60,-1
31,0.10957,1514,-1
32,0.109885,1514,-1
33,0.11024,1514,-1
34,0.110427,1049,-1
35,0.119616,54,1
36,0.119802,172,1
37,0.119953,54,1
38,0.120034,54,1
39,0.120131,54,1
40,0.137582,1049,-1
41,0.140859,66,1
42,0.141023,60,-1
43,0.14989,60,-1
44,0.149897,60,-1
45,0.149898,60,-1
46,0.15345,172,1
47,0.156534,60,-1
48,0.167349,172,1
49,0.181492,172,1
50,0.189153,60,-1
51,0.191851,145,-1
52,0.191852,92,-1
53,0.195319,54,1
54,0.202754,172,1
55,0.216801,60,-1
56,0.238446,172,1
57,0.244836,172,1
58,0.252383,180,1
59,0.265638,172,1
60,0.273565,60,-1
61,0.27959,172,1
62,0.291552,105,-1
63,0.292858,54,1
64,0.295316,766,1
65,0.301242,60,-1
66,0.314004,172,1
67,0.328137,172,1
68,0.342443,172,1
69,0.345716,417,-1
70,0.34775,85,1
71,0.347927,54,1
72,0.351879,60,-1
73,0.358186,172,1
74,0.378604,60,-1
75,0.38767,60,-1
76,0.388858,54,1
77,0.391212,172,1
78,0.405665,172,1
79,0.426358,172,1
80,0.429151,60,-1
81,0.459226,172,1
82,0.462008,60,-1
83,0.475289,172,1
84,0.48909,172,1
85,0.501455,287,1
86,0.50318,190,1
87,0.504321,1514,1
88,0.512117,60,-1
89,0.513789,1514,1
90,0.514153,1514,1
91,0.538174,60,-1
92,0.539364,181,1
93,0.547284,60,-1
94,0.552284,172,1
95,0.553218,60,-1
96,0.566179,172,1
97,0.580542,172,1
98,0.586765,60,-1
99,0.601246,172,1
100,0.617692,60,-1
101,0.629304,172,1
102,0.637307,145,-1
103,0.637308,92,-1
104,0.640923,54,1
105,0.65053,172,1
106,0.664726,172,1
107,0.685774,60,-1
108,0.705438,172,1
109,0.713657,172,1
110,0.729312,172,1
111,0.74027,60,-1
112,0.741247,172,1
113,0.762521,172,1
114,0.765243,60,-1
115,0.790413,172,1
116,0.799358,60,-1
117,0.804566,172,1
118,0.829345,172,1
119,0.839514,172,1
120,0.841098,60,-1
121,0.874387,172,1
122,0.875529,60,-1
123,0.888306,172,1
124,0.902141,172,1
125,0.923181,172,1
126,0.928166,60,-1
127,0.951135,172,1
128,0.958305,60,-1
129,0.964819,172,1
130,0.985774,172,1
131,0.986661,96,-1
132,1.000187,172,1
133,1.020779,60,-1
134,1.03404,172,1
135,1.048088,172,1
136,1.062512,172,1
137,1.068755,60,-1
138,1.076323,172,1
139,1.097845,60,-1
140,1.111001,172,1
141,1.12529,172,1
142,1.146109,172,1
143,1.147409,60,-1
144,1.16069,172,1
145,1.180954,60,-1
146,1.18833,172,1
147,1.209221,172,1
148,1.22329,172,1
149,1.223704,60,-1
150,1.239606,172,1
151,1.258786,60,-1
152,1.272262,172,1
153,1.286541,172,1
154,1.300529,172,1
155,1.307458,60,-1
156,1.321256,172,1
157,1.336468,60,-1
158,1.349278,172,1
159,1.370606,172,1
160,1.384531,60,-1
161,1.405259,172,1
162,1.405403,172,1
163,1.433633,172,1
164,1.439989,60,-1
165,1.446948,172,1
166,1.461177,172,1
167,1.469591,60,-1
168,1.481771,172,1
169,1.496441,60,-1
170,1.509551,172,1
171,1.533974,172,1
172,1.546308,60,-1
173,1.547675,172,1
174,1.560702,172,1
175,1.582985,60,-1
176,1.59352,172,1
177,1.607408,172,1
178,1.621417,172,1
179,1.629286,60,-1
180,1.64236,172,1
181,1.657081,60,-1
182,1.67281,172,1
183,1.686314,172,1
184,1.705475,172,1
185,1.707757,60,-1
186,1.719738,172,1
187,1.741219,60,-1
188,1.754373,172,1
189,1.768308,172,1
190,1.782548,172,1
191,1.789443,60,-1
192,1.796456,172,1
193,1.819132,60,-1
194,1.830295,172,1
195,1.844556,172,1
196,1.865281,172,1
197,1.866232,60,-1
198,1.87934,172,1
199,1.902663,60,-1
200,1.916262,172,1
201,1.928229,172,1
202,1.942521,172,1
203,1.952996,60,-1
204,1.956429,172,1
205,1.978535,60,-1
206,1.991122,172,1
207,2.008554,172,1
208,2.02611,60,-1
209,2.026443,172,1
210,2.040249,172,1
211,2.061405,60,-1
212,2.102891,172,1
213,2.103047,172,1
214,2.10654,172,1
215,2.117276,172,1
216,2.121941,60,-1
217,2.139534,60,-1
218,2.146094,60,-1
219,2.152654,172,1
220,2.152846,60,-1
221,2.166433,172,1
222,2.180255,172,1
223,2.187757,60,-1
224,2.201914,172,1
225,2.202776,60,-1
226,2.215892,60,-1
227,2.229244,172,1
228,2.236883,60,-1
229,2.250329,172,1
230,2.26439,60,-1
231,2.264739,172,1
232,2.2786,172,1
233,2.285013,60,-1
234,2.299485,60,-1
235,2.313458,172,1
236,2.313942,60,-1
237,2.327801,172,1
238,2.341517,172,1
239,2.350652,60,-1
240,2.36233,172,1
241,2.365042,60,-1
242,2.377125,60,-1
243,2.38886,434,-1
244,2.391029,172,1
245,2.397013,136,1
246,2.397177,92,1
247,2.407314,714,-1
248,2.414527,79,1
249,2.432004,60,-1
250,2.438849,127,-1
251,2.441157,74,1
252,2.452349,54,1
253,2.479717,66,-1
254,2.481266,54,1
255,2.487204,312,1
256,2.519235,60,-1
257,2.532674,60,-1
258,2.532902,191,-1
259,2.537544,54,1
260,2.544003,105,1
261,2.625025,60,-1
262,2.627177,810,1
263,2.665874,60,-1
264,2.671466,417,-1
265,2.677005,85,1
266,2.677277,54,1
267,2.715241,60,-1
268,2.719073,54,1
269,2.719664,60,-1
270,2.899565,1514,-1
271,2.899788,1514,-1
272,2.89999,1514,-1
273,2.900119,1514,-1
274,2.900219,1514,-1
275,2.900344,1514,-1
276,2.900462,1514,-1
277,2.900581,1514,-1
278,2.90071,1514,-1
279,2.900907,1514,-1
280,2.905221,54,1
281,2.912564,54,1
282,2.912744,54,1
283,2.912901,54,1
284,2.9131,54,1
285,2.913187,54,1
286,2.913265,54,1
287,2.913352,54,1
288,2.913434,54,1
289,2.913517,54,1
290,2.941444,639,1
291,2.941821,190,1
292,2.943095,1514,1
293,2.943811,1514,1
294,2.943856,1281,1
295,2.943875,136,1
296,2.947248,1514,-1
297,2.947539,1514,-1
298,2.949574,54,1
299,2.954595,1514,-1
300,2.954757,1514,-1
301,2.954985,1514,-1
302,2.955193,1514,-1
303,2.956793,54,1
304,2.956787,1514,-1
305,2.956985,1514,-1
306,2.957177,1514,-1
307,2.957468,1514,-1
308,2.957631,165,-1
309,2.958132,54,1
310,2.959272,54,1
311,2.960166,54,1
312,2.974849,74,1
313,2.977446,60,-1
314,2.982637,92,1
315,2.98377,60,-1
316,2.983775,60,-1
317,3.013988,66,-1
318,3.01539,54,1
319,3.017415,312,1
320,3.054171,60,-1
321,3.058621,60,-1
322,3.060895,191,-1
323,3.062741,54,1
324,3.063796,105,1
325,3.07179,60,-1
326,3.101382,145,-1
327,3.101385,92,-1
328,3.112354,54,1
329,3.126649,294,1
330,3.127166,190,1
331,3.128175,1514,1
332,3.128801,1514,1
333,3.128845,1286,1
334,3.133019,136,1
335,3.15786,60,-1
336,3.15956,787,1
337,3.162496,60,-1
338,3.162498,60,-1
339,3.164144,92,1
340,3.172834,60,-1
341,3.172836,60,-1
342,3.173522,60,-1
343,3.186768,287,1
344,3.187362,190,1
345,3.195391,1514,1
346,3.195841,1514,1
347,3.195867,1402,1
348,3.198375,60,-1
349,3.200812,60,-1
350,3.203767,417,-1
351,3.205523,85,1
352,3.205692,54,1
353,3.222241,60,-1
354,3.227693,60,-1
355,3.233998,60,-1
356,3.234,60,-1
357,3.243582,60,-1
358,3.245094,54,1
359,3.248795,60,-1
360,3.277988,145,-1
361,3.277991,92,-1
362,3.280815,54,1
363,3.288648,475,-1
364,3.29748,74,1
365,3.322576,147,-1
366,3.322578,92,-1
367,3.325259,54,1
368,3.328318,146,-1
369,3.328323,92,-1
370,3.330446,54,1
371,3.333237,66,-1
372,3.3348,54,1
373,3.336207,312,1
374,3.372161,60,-1
375,3.377031,60,-1
376,3.377037,191,-1
377,3.378577,54,1
378,3.382292,105,1
379,3.461093,60,-1
380,3.46573,798,1
381,3.501462,60,-1
382,3.508415,417,-1
383,3.510501,85,1
384,3.510695,54,1
385,3.546227,60,-1
386,3.54776,54,1
387,3.550861,60,-1
