Serial number,time,size,direction
1,0.0,287,1
2,0.000484,1514,1
3,0.000518,1514,1
4,0.000536,1514,1
5,0.000554,1043,1
6,0.000741,1514,1
7,0.000761,152,1
8,0.038284,60,-1
9,0.045634,66,-1
10,0.04656,60,-1
11,0.046562,60,-1
12,0.046563,66,-1
13,0.046564,66,-1
14,0.046565,66,-1
15,0.046566,60,-1
16,0.053373,1514,1
17,0.066724,79,1
18,0.077204,285,1
19,0.077595,1514,1
20,0.079151,1514,1
21,0.079172,1514,1
22,0.091682,127,-1
23,0.09341,60,-1
24,0.107214,74,1
25,0.114766,60,-1
26,0.116648,1514,1
27,0.116965,1514,1
28,0.122692,60,-1
29,0.122694,60,-1
30,0.12562,1514,1
31,0.12731,1514,1
32,0.127337,1031,1
33,0.143809,66,-1
34,0.145076,54,1
35,0.151701,312,1
36,0.156012,60,-1
37,0.156014,60,-1
38,0.157296,290,1
39,0.16521,60,-1
40,0.166365,172,1
41,0.169402,60,-1
42,0.169403,60,-1
43,0.182564,60,-1
44,0.187913,172,1
45,0.189557,60,-1
46,0.189559,191,-1
47,0.191519,54,1
48,0.191915,105,1
49,0.194958,60,-1
50,0.204508,60,-1
51,0.215714,172,1
52,0.222736,146,-1
53,0.222737,92,-1
54,0.226565,54,1
55,0.232203,172,1
56,0.251136,172,1
57,0.255996,60,-1
58,0.263897,172,1
59,0.286812,60,-1
60,0.288458,763,1
61,0.290944,60,-1
62,0.299809,172,1
63,0.313287,172,1
64,0.327082,172,1
65,0.331861,60,-1
66,0.337921,417,-1
67,0.338707,60,-1
68,0.340336,85,1
69,0.340531,54,1
70,0.340801,172,1
71,0.365533,60,-1
72,0.375444,60,-1
73,0.37871,54,1
74,0.380141,60,-1
75,0.381463,172,1
76,0.394133,172,1
77,0.411017,172,1
78,0.420357,60,-1
79,0.425479,172,1
80,0.44954,60,-1
81,0.453067,172,1
82,0.474311,172,1
83,0.488476,172,1
84,0.492769,60,-1
85,0.515768,172,1
86,0.527731,60,-1
87,0.537236,172,1
88,0.551831,172,1
89,0.565716,172,1
90,0.573671,288,1
91,0.577607,60,-1
92,0.579165,1514,1
93,0.580746,1514,1
94,0.603113,60,-1
95,0.606885,1514,1
96,0.607223,780,1
97,0.620855,60,-1
98,0.622296,172,1
99,0.635035,172,1
100,0.646209,60,-1
101,0.646994,96,-1
102,0.648904,172,1
103,0.66324,172,1
104,0.67392,60,-1
105,0.69788,172,1
106,0.701062,60,-1
107,0.711596,172,1
108,0.725979,172,1
109,0.746854,172,1
110,0.748578,146,-1
111,0.748584,92,-1
112,0.750825,54,1
113,0.765457,60,-1
114,0.774081,172,1
115,0.795242,172,1
116,0.809623,172,1
117,0.813184,60,-1
118,0.822943,172,1
119,0.85493,60,-1
120,0.858281,172,1
121,0.871783,172,1
122,0.885948,172,1
123,0.896287,60,-1
124,0.907062,172,1
125,0.927535,60,-1
126,0.934866,172,1
127,0.951029,172,1
128,0.972322,172,1
129,0.972725,60,-1
130,0.984218,172,1
131,1.012581,60,-1
132,1.018909,172,1
133,1.033119,172,1
134,1.046868,172,1
135,1.057547,60,-1
136,1.060642,172,1
137,1.099046,60,-1
138,1.099464,172,1
139,1.109827,172,1
140,1.129588,172,1
141,1.137604,60,-1
142,1.144047,172,1
143,1.168121,60,-1
144,1.178294,172,1
145,1.216241,60,-1
146,1.21882,172,1
147,1.218966,172,1
148,1.226787,172,1
149,1.254882,172,1
150,1.258392,60,-1
151,1.269136,172,1
152,1.289709,172,1
153,1.301062,60,-1
154,1.303744,172,1
155,1.328489,60,-1
156,1.339608,172,1
157,1.353538,172,1
158,1.367622,172,1
159,1.377512,60,-1
160,1.382036,172,1
161,1.405723,60,-1
162,1.416734,172,1
163,1.429645,172,1
164,1.4511,172,1
165,1.455133,60,-1
166,1.464893,172,1
167,1.488898,60,-1
168,1.494296,172,1
169,1.51924,172,1
170,1.532253,172,1
171,1.532509,60,-1
172,1.542019,172,1
173,1.570312,60,-1
174,1.577158,172,1
175,1.590936,172,1
176,1.604994,172,1
177,1.61489,60,-1
178,1.6284,172,1
179,1.643482,60,-1
180,1.653854,172,1
181,1.674995,172,1
182,1.689407,172,1
183,1.691988,60,-1
184,1.70317,172,1
