Serial number,time,size,direction
1,0.0,287,1
2,0.000619,1514,1
3,0.000687,1514,1
4,0.000721,1514,1
5,0.000979,855,1
6,0.001022,132,1
7,0.011577,180,1
8,0.01288,1514,1
9,0.031446,79,1
10,0.043816,60,-1
11,0.04472,66,-1
12,0.044723,60,-1
13,0.044939,60,-1
14,0.045723,66,-1
15,0.045725,66,-1
16,0.045727,60,-1
17,0.045828,1514,1
18,0.046686,1514,1
19,0.047552,1514,1
20,0.052843,1296,1
21,0.053666,60,-1
22,0.053668,60,-1
23,0.059875,127,-1
24,0.069268,74,1
25,0.088932,60,-1
26,0.091962,60,-1
27,0.098482,60,-1
28,0.10444,66,-1
29,0.105841,54,1
30,0.107627,312,1
31,0.131902,1514,1
32,0.132801,1514,1
33,0.132867,1514,1
34,0.132898,1514,1
35,0.134121,252,1
36,0.141739,60,-1
37,0.146152,60,-1
38,0.146417,191,-1
39,0.147793,172,1
40,0.148463,54,1
41,0.14887,105,1
42,0.173917,60,-1
43,0.17392,60,-1
44,0.179394,60,-1
45,0.179775,146,-1
46,0.179779,92,-1
47,0.180062,172,1
48,0.181766,54,1
49,0.189909,96,-1
50,0.194259,172,1
51,0.215097,172,1
52,0.229532,172,1
53,0.229745,60,-1
54,0.231444,765,1
55,0.24346,60,-1
56,0.256833,172,1
57,0.269701,60,-1
58,0.27136,60,-1
59,0.27765,417,-1
60,0.277664,172,1
61,0.279575,85,1
62,0.279803,54,1
63,0.291744,172,1
64,0.30572,172,1
65,0.317339,60,-1
66,0.318554,60,-1
67,0.321061,54,1
68,0.340947,172,1
69,0.345016,60,-1
70,0.354517,172,1
71,0.368702,172,1
72,0.390121,172,1
73,0.393966,60,-1
74,0.417987,172,1
75,0.430847,60,-1
76,0.443417,172,1
77,0.457972,172,1
78,0.470242,172,1
79,0.481703,60,-1
80,0.502192,172,1
81,0.510966,60,-1
82,0.515705,287,1
83,0.516173,190,1
84,0.517078,1514,1
85,0.517421,1514,1
86,0.517992,1514,1
87,0.518015,422,1
88,0.51803,136,1
89,0.564059,60,-1
90,0.564294,60,-1
91,0.568519,446,1
92,0.578837,172,1
93,0.598621,172,1
94,0.608654,60,-1
95,0.612599,172,1
96,0.626857,172,1
97,0.639292,60,-1
98,0.651747,146,-1
99,0.65175,92,-1
100,0.666065,60,-1
101,0.674601,172,1
102,0.674728,54,1
103,0.676622,172,1
104,0.69028,172,1
105,0.710961,172,1
106,0.717027,60,-1
107,0.739062,172,1
108,0.749678,60,-1
109,0.753546,172,1
110,0.773657,172,1
111,0.78773,172,1
112,0.792768,60,-1
113,0.822629,172,1
114,0.82668,60,-1
115,0.837841,172,1
116,0.850829,172,1
117,0.865108,172,1
118,0.877397,60,-1
119,0.899702,172,1
120,0.90751,60,-1
121,0.91366,172,1
122,0.934859,172,1
123,0.948582,172,1
124,0.963768,60,-1
125,0.976859,172,1
126,0.990876,60,-1
127,0.997766,172,1
128,1.011753,172,1
129,1.025531,172,1
130,1.038181,60,-1
131,1.061602,172,1
132,1.063794,60,-1
133,1.0748,172,1
134,1.088905,172,1
135,1.110083,172,1
136,1.114106,60,-1
137,1.137734,172,1
138,1.148603,60,-1
139,1.165493,172,1
140,1.178268,172,1
141,1.19092,172,1
142,1.204929,60,-1
143,1.222364,172,1
144,1.231351,60,-1
145,1.235731,172,1
146,1.250236,172,1
147,1.270704,172,1
148,1.275648,60,-1
149,1.298829,172,1
150,1.312651,172,1
151,1.316394,60,-1
152,1.333924,172,1
