Serial number,time,size,direction
1,0.0,287,1
2,0.004048,190,1
3,0.006494,1514,1
4,0.007157,1514,1
5,0.007226,1150,1
6,0.013421,132,1
7,0.016217,79,1
8,0.018474,180,1
9,0.021092,1514,1
10,0.021347,136,1
11,0.04702,60,-1
12,0.047916,60,-1
13,0.049037,127,-1
14,0.053478,60,-1
15,0.054426,60,-1
16,0.054429,60,-1
17,0.05443,96,-1
18,0.056957,296,1
19,0.058288,190,1
20,0.058565,74,1
21,0.058706,60,-1
22,0.064927,60,-1
23,0.070947,1514,1
24,0.07236,1514,1
25,0.072402,1108,1
26,0.07243,136,1
27,0.075505,92,1
28,0.098824,66,-1
29,0.100324,54,1
30,0.101643,312,1
31,0.103807,60,-1
32,0.120611,60,-1
33,0.123122,1514,1
34,0.124161,1514,1
35,0.124217,1514,1
36,0.124249,1514,1
37,0.124288,92,1
38,0.138023,60,-1
39,0.139268,60,-1
40,0.140181,191,-1
41,0.144502,54,1
42,0.147587,105,1
43,0.147905,172,1
44,0.16017,172,1
45,0.16905,60,-1
46,0.169445,60,-1
47,0.174226,172,1
48,0.187064,145,-1
49,0.187068,92,-1
50,0.196218,172,1
51,0.20247,60,-1
52,0.22318,172,1
53,0.240433,60,-1
54,0.242299,766,1
55,0.243392,60,-1
56,0.244288,172,1
57,0.258452,172,1
58,0.272247,172,1
59,0.285392,60,-1
60,0.289446,60,-1
61,0.292605,417,-1
62,0.29434,85,1
63,0.294622,54,1
64,0.306985,172,1
65,0.315061,60,-1
66,0.321362,172,1
67,0.332785,60,-1
68,0.362652,60,-1
69,0.363372,172,1
70,0.363587,172,1
71,0.36374,54,1
72,0.383934,172,1
73,0.404711,172,1
74,0.407177,60,-1
75,0.418564,172,1
76,0.43217,172,1
77,0.446006,60,-1
78,0.466941,172,1
79,0.478395,60,-1
80,0.480971,172,1
81,0.495265,172,1
82,0.510212,286,1
83,0.510553,190,1
84,0.511489,1514,1
85,0.511827,1514,1
86,0.512179,853,1
87,0.512206,136,1
88,0.512873,92,1
89,0.51635,172,1
90,0.525388,60,-1
91,0.545321,172,1
92,0.550754,60,-1
93,0.558243,172,1
94,0.560865,60,-1
95,0.560866,60,-1
96,0.578815,172,1
97,0.586312,60,-1
98,0.592694,172,1
99,0.620323,60,-1
100,0.628021,172,1
101,0.641664,172,1
102,0.644274,145,-1
103,0.644275,92,-1
104,0.647605,54,1
105,0.658903,172,1
106,0.671688,172,1
107,0.683306,60,-1
108,0.704171,172,1
109,0.711368,60,-1
110,0.718317,172,1
111,0.740478,172,1
112,0.752728,172,1
113,0.760809,60,-1
114,0.788828,172,1
115,0.793801,60,-1
116,0.806901,172,1
117,0.815978,172,1
118,0.829871,172,1
119,0.84956,60,-1
120,0.865614,172,1
121,0.869565,60,-1
122,0.879534,172,1
123,0.900213,172,1
124,0.91442,172,1
125,0.918454,60,-1
126,0.942173,172,1
127,0.957385,60,-1
128,0.963323,172,1
129,0.977933,172,1
130,0.991716,172,1
131,1.004321,60,-1
132,1.025794,172,1
133,1.031096,60,-1
134,1.064879,172,1
135,1.065022,172,1
136,1.074808,172,1
137,1.104031,172,1
138,1.105012,60,-1
139,1.114659,60,-1
140,1.124335,172,1
141,1.138718,172,1
142,1.152433,172,1
143,1.16377,60,-1
144,1.187009,172,1
145,1.192297,60,-1
146,1.201197,172,1
147,1.214997,172,1
148,1.235847,172,1
149,1.241667,60,-1
150,1.263923,172,1
151,1.276477,60,-1
152,1.278252,172,1
153,1.298077,172,1
154,1.311758,172,1
155,1.317776,60,-1
156,1.347057,172,1
157,1.351999,60,-1
158,1.3611,172,1
159,1.375169,172,1
160,1.396279,172,1
161,1.402364,60,-1
162,1.423283,172,1
163,1.436392,60,-1
164,1.444433,172,1
165,1.46382,172,1
166,1.473125,172,1
167,1.484181,60,-1
168,1.507716,172,1
169,1.516387,60,-1
170,1.522823,172,1
171,1.535887,172,1
172,1.549856,172,1
173,1.563034,60,-1
174,1.589526,172,1
175,1.591775,60,-1
176,1.602203,172,1
177,1.619925,172,1
178,1.634144,172,1
179,1.642771,60,-1
180,1.668723,172,1
181,1.675095,60,-1
182,1.682679,172,1
183,1.697088,172,1
184,1.710951,172,1
185,1.723666,60,-1
186,1.751898,60,-1
187,1.763494,172,1
188,1.763675,172,1
189,1.774271,172,1
190,1.794914,172,1
191,1.809765,60,-1
192,1.823381,172,1
193,1.834658,60,-1
194,1.844014,172,1
195,1.858814,172,1
196,1.883853,60,-1
197,1.884033,172,1
198,1.906885,172,1
199,1.920952,172,1
200,1.92479,60,-1
201,1.934997,172,1
202,1.955821,172,1
203,1.960878,60,-1
204,1.983851,172,1
205,1.995775,60,-1
206,1.998212,172,1
207,2.018862,172,1
208,2.032689,172,1
209,2.04877,60,-1
210,2.052073,434,-1
211,2.058802,136,1
212,2.059548,92,1
213,2.067855,700,-1
214,2.083938,74,1
215,2.099049,60,-1
216,2.106131,54,1
217,2.126186,66,-1
218,2.1275,54,1
219,2.129003,312,1
220,2.152767,60,-1
221,2.1708,60,-1
222,2.172758,60,-1
223,2.172759,191,-1
224,2.178469,54,1
225,2.179698,105,1
226,2.267047,60,-1
227,2.272144,811,1
228,2.31623,60,-1
229,2.323043,417,-1
230,2.324827,85,1
231,2.325014,54,1
232,2.353139,1514,-1
233,2.353287,1514,-1
234,2.353415,1514,-1
235,2.353544,1514,-1
236,2.353672,1514,-1
237,2.353778,1514,-1
238,2.353911,1514,-1
239,2.354022,1514,-1
240,2.354151,1514,-1
241,2.354339,1514,-1
242,2.358572,54,1
243,2.358879,54,1
244,2.358959,54,1
245,2.359035,54,1
246,2.35911,54,1
247,2.359184,54,1
248,2.359258,54,1
249,2.361048,54,1
250,2.36232,54,1
251,2.36254,54,1
252,2.36709,60,-1
253,2.368318,54,1
254,2.399371,1514,-1
255,2.39954,1514,-1
256,2.399655,1514,-1
257,2.399768,1514,-1
258,2.399882,1514,-1
259,2.399998,1514,-1
260,2.400126,1514,-1
261,2.400323,1514,-1
262,2.401565,54,1
263,2.40415,1514,-1
264,2.404411,1514,-1
265,2.404623,1514,-1
266,2.404825,1514,-1
267,2.405892,54,1
268,2.405998,54,1
269,2.406076,54,1
270,2.406162,54,1
271,2.406236,54,1
272,2.40631,54,1
273,2.406384,54,1
274,2.406834,54,1
275,2.407024,54,1
276,2.407099,54,1
277,2.40733,54,1
278,2.444549,1514,-1
279,2.449827,1514,-1
280,2.450102,1514,-1
281,2.450227,1514,-1
282,2.450348,1514,-1
283,2.450491,1514,-1
284,2.450593,1514,-1
285,2.450716,1514,-1
286,2.450891,1514,-1
287,2.451077,1197,-1
288,2.459052,54,1
289,2.461664,54,1
290,2.461827,54,1
291,2.461918,54,1
292,2.461991,54,1
293,2.465837,54,1
294,2.465942,54,1
295,2.466035,54,1
296,2.46611,54,1
297,2.466183,54,1
298,2.470978,96,1
299,2.473594,74,1
300,2.510747,66,-1
301,2.512292,54,1
302,2.513961,312,1
303,2.514781,60,-1
304,2.551091,60,-1
305,2.555086,60,-1
306,2.555087,191,-1
307,2.558606,54,1
308,2.558909,105,1
309,2.622676,286,1
310,2.62304,1514,1
311,2.623067,1514,1
312,2.623083,985,1
313,2.629766,475,-1
314,2.635771,136,1
315,2.638288,60,-1
316,2.640165,787,1
317,2.656811,145,-1
318,2.657225,92,-1
319,2.658684,92,1
320,2.660548,54,1
321,2.667109,60,-1
322,2.66711,60,-1
323,2.667111,60,-1
324,2.670625,74,1
