Serial number,time,size,direction
1,0.0,287,1
2,0.000425,1514,1
3,0.000686,1514,1
4,0.004205,1288,1
5,0.018395,132,1
6,0.018601,79,1
7,0.040004,60,-1
8,0.043882,1514,1
9,0.045719,95,-1
10,0.046135,60,-1
11,0.047093,60,-1
12,0.048577,1514,1
13,0.048989,74,1
14,0.052476,1514,1
15,0.05342,1514,1
16,0.056011,60,-1
17,0.057336,362,1
18,0.084752,60,-1
19,0.087234,66,-1
20,0.089345,60,-1
21,0.089347,96,-1
22,0.096164,60,-1
23,0.10344,1514,1
24,0.103637,54,1
25,0.104074,312,1
26,0.105397,1514,1
27,0.106362,1514,1
28,0.107737,1472,1
29,0.143649,60,-1
30,0.145444,290,1
31,0.145793,60,-1
32,0.148491,60,-1
33,0.148494,60,-1
34,0.148496,191,-1
35,0.156682,54,1
36,0.1569,105,1
37,0.161099,172,1
38,0.177371,172,1
39,0.183493,60,-1
40,0.191487,172,1
41,0.214834,60,-1
42,0.23439,146,-1
43,0.234396,92,-1
44,0.250326,172,1
45,0.25056,172,1
46,0.25227,60,-1
47,0.254726,66,1
48,0.255366,66,1
49,0.256027,765,1
50,0.256407,184,1
51,0.268608,184,1
52,0.288028,60,-1
53,0.297206,60,-1
54,0.304373,184,1
55,0.307043,60,-1
56,0.318088,184,1
57,0.338788,184,1
58,0.352402,184,1
59,0.355191,60,-1
60,0.364751,96,-1
61,0.369246,54,1
62,0.387844,172,1
63,0.390358,60,-1
64,0.390519,419,-1
65,0.393205,85,1
66,0.393347,54,1
67,0.401615,172,1
68,0.424505,172,1
69,0.429641,172,1
70,0.429799,60,-1
71,0.42999,60,-1
72,0.433776,60,-1
73,0.433941,54,1
74,0.440596,60,-1
75,0.464147,172,1
76,0.4676,60,-1
77,0.484512,172,1
78,0.498549,172,1
79,0.513362,172,1
80,0.518418,287,1
81,0.521652,60,-1
82,0.523507,1514,1
83,0.525117,1514,1
84,0.550764,60,-1
85,0.552499,1229,1
86,0.56252,60,-1
87,0.562642,172,1
88,0.591264,60,-1
