Serial number,time,size,direction
1,0.0,288,1
2,0.000349,190,1
3,0.001188,1514,1
4,0.001575,1514,1
5,0.003106,1514,1
6,0.00313,703,1
7,0.007948,132,1
8,0.012036,79,1
9,0.039113,127,-1
10,0.040098,60,-1
11,0.047593,60,-1
12,0.048572,60,-1
13,0.048573,60,-1
14,0.050858,60,-1
15,0.057296,74,1
16,0.059,1514,1
17,0.060252,1514,1
18,0.061916,1514,1
19,0.061938,1514,1
20,0.061956,1381,1
21,0.078854,1514,1
22,0.080289,1514,1
23,0.095649,66,-1
24,0.097207,54,1
25,0.098804,312,1
26,0.104629,60,-1
27,0.10463,60,-1
28,0.107733,1514,1
29,0.109035,1350,1
30,0.120474,60,-1
31,0.122103,172,1
32,0.12512,60,-1
33,0.135785,60,-1
34,0.140972,60,-1
35,0.140974,191,-1
36,0.141243,172,1
37,0.14259,54,1
38,0.143836,105,1
39,0.150882,60,-1
40,0.154637,172,1
41,0.157802,60,-1
42,0.164483,60,-1
43,0.184485,60,-1
44,0.189358,172,1
45,0.1914,147,-1
46,0.191401,92,-1
47,0.193885,54,1
48,0.202381,172,1
49,0.216642,172,1
50,0.229476,60,-1
51,0.234504,60,-1
52,0.238643,172,1
53,0.238922,766,1
54,0.2542,60,-1
55,0.26599,172,1
56,0.278741,60,-1
57,0.279709,172,1
58,0.283998,417,-1
59,0.285572,85,1
60,0.285733,54,1
61,0.300571,172,1
62,0.305588,60,-1
63,0.315059,172,1
64,0.324695,60,-1
65,0.326644,54,1
66,0.341151,60,-1
67,0.349757,172,1
68,0.363729,172,1
69,0.378467,172,1
70,0.388574,60,-1
71,0.392182,172,1
72,0.418079,60,-1
73,0.429061,172,1
74,0.441995,172,1
75,0.455133,172,1
76,0.467595,60,-1
77,0.476192,172,1
78,0.493633,60,-1
79,0.50624,326,1
80,0.509799,132,1
81,0.510186,1514,1
82,0.510761,1514,1
83,0.510786,1514,1
84,0.512022,624,1
85,0.550053,60,-1
86,0.554722,446,1
87,0.556615,60,-1
88,0.560661,60,-1
89,0.588939,172,1
90,0.602901,172,1
91,0.619759,172,1
92,0.635583,60,-1
93,0.63808,172,1
94,0.657725,149,-1
95,0.657727,92,-1
96,0.665789,54,1
97,0.668201,172,1
98,0.68017,172,1
99,0.688055,60,-1
100,0.700688,172,1
101,0.715571,172,1
102,0.7246,60,-1
103,0.759363,60,-1
104,0.760275,172,1
105,0.763362,172,1
106,0.777678,172,1
107,0.79218,172,1
108,0.809121,60,-1
109,0.826746,172,1
110,0.833388,60,-1
111,0.840721,172,1
112,0.862579,172,1
113,0.876037,172,1
114,0.879884,60,-1
115,0.904289,172,1
116,0.917944,60,-1
117,0.926728,172,1
118,0.940863,172,1
119,0.954039,172,1
120,0.968952,60,-1
121,0.987689,172,1
122,0.993226,60,-1
123,1.001558,172,1
124,1.015698,172,1
125,1.039763,172,1
126,1.040699,60,-1
127,1.064999,172,1
128,1.077603,60,-1
129,1.086225,172,1
130,1.100909,172,1
131,1.114619,172,1
132,1.134136,60,-1
133,1.149793,172,1
134,1.153262,60,-1
135,1.162374,172,1
136,1.177966,172,1
137,1.197748,172,1
138,1.20177,60,-1
139,1.225592,172,1
140,1.236166,60,-1
141,1.239264,172,1
142,1.261215,172,1
143,1.274777,172,1
144,1.27807,60,-1
145,1.308706,172,1
146,1.313463,60,-1
147,1.322535,172,1
148,1.336285,172,1
149,1.356845,172,1
150,1.360109,60,-1
151,1.385037,172,1
152,1.396036,60,-1
153,1.405846,172,1
154,1.419821,172,1
155,1.444928,60,-1
156,1.457635,172,1
157,1.468707,172,1
158,1.482564,172,1
159,1.496676,60,-1
160,1.496932,172,1
161,1.521756,60,-1
162,1.521996,172,1
163,1.546093,172,1
164,1.560912,172,1
165,1.561461,60,-1
166,1.581734,172,1
167,1.595179,172,1
168,1.599576,60,-1
169,1.633186,60,-1
170,1.634907,172,1
171,1.643946,172,1
172,1.657752,172,1
173,1.671251,172,1
174,1.683468,60,-1
175,1.70645,172,1
176,1.710672,60,-1
177,1.719811,172,1
178,1.740892,172,1
179,1.755727,172,1
180,1.761783,60,-1
181,1.789209,172,1
182,1.794499,60,-1
183,1.807693,172,1
184,1.8218,172,1
185,1.839748,172,1
186,1.85124,60,-1
187,1.866847,172,1
188,1.878689,60,-1
189,1.879878,172,1
190,1.900635,172,1
191,1.914644,172,1
192,1.919342,60,-1
193,1.950673,172,1
194,1.957676,60,-1
195,1.964834,172,1
196,1.977991,172,1
197,1.992153,172,1
198,2.007852,60,-1
199,2.027846,172,1
200,2.030592,60,-1
201,2.044141,172,1
202,2.06724,172,1
203,2.077266,172,1
204,2.085615,60,-1
205,2.104257,172,1
206,2.119603,60,-1
207,2.124794,172,1
208,2.152034,172,1
209,2.152656,172,1
210,2.168064,60,-1
211,2.190061,172,1
212,2.194178,60,-1
213,2.202349,172,1
214,2.216866,172,1
215,2.239847,172,1
216,2.241916,60,-1
217,2.26486,172,1
218,2.278624,60,-1
219,2.286032,172,1
220,2.300569,172,1
221,2.314435,172,1
222,2.325278,60,-1
223,2.349691,172,1
