Serial number,time,size,direction
1,0.0,287,1
2,0.000259,190,1
3,0.000509,1514,1
4,0.000956,1514,1
5,0.001003,1151,1
6,0.001974,132,1
7,0.008622,180,1
8,0.010433,1514,1
9,0.010772,152,1
10,0.041394,60,-1
11,0.045315,287,1
12,0.046218,79,1
13,0.047708,190,1
14,0.048294,1514,1
15,0.049167,60,-1
16,0.050179,60,-1
17,0.050181,60,-1
18,0.050183,60,-1
19,0.051024,1514,1
20,0.051548,1195,1
21,0.051822,60,-1
22,0.053885,60,-1
23,0.05965,92,1
24,0.081382,127,-1
25,0.084296,74,1
26,0.08811,60,-1
27,0.095247,60,-1
28,0.095735,60,-1
29,0.095737,60,-1
30,0.101911,60,-1
31,0.109368,1514,1
32,0.111547,1514,1
33,0.111624,1514,1
34,0.111661,1514,1
35,0.111692,332,1
36,0.120908,172,1
37,0.122921,66,-1
38,0.124506,54,1
39,0.126522,312,1
40,0.135165,172,1
41,0.153919,60,-1
42,0.155474,172,1
43,0.160676,60,-1
44,0.160681,60,-1
45,0.163954,60,-1
46,0.166405,60,-1
47,0.168155,60,-1
48,0.169385,172,1
49,0.170049,1514,-1
50,0.170344,1514,-1
51,0.170682,1514,-1
52,0.170976,1049,-1
53,0.17098,146,-1
54,0.170982,92,-1
55,0.172949,54,1
56,0.173131,54,1
57,0.173264,54,1
58,0.174221,54,1
59,0.182634,54,1
60,0.191473,1049,-1
61,0.193343,66,1
62,0.19675,60,-1
63,0.20443,172,1
64,0.20735,180,1
65,0.218388,172,1
66,0.232356,172,1
67,0.2464,60,-1
68,0.249006,105,-1
69,0.250559,172,1
70,0.253015,768,1
71,0.274064,60,-1
72,0.281508,172,1
73,0.295005,172,1
74,0.299419,417,-1
75,0.301943,85,1
76,0.302133,54,1
77,0.315943,172,1
78,0.323159,60,-1
79,0.330326,172,1
80,0.34145,60,-1
81,0.342747,54,1
82,0.346755,60,-1
83,0.356876,60,-1
84,0.358037,172,1
85,0.379157,172,1
86,0.398465,172,1
87,0.399747,60,-1
88,0.407612,172,1
89,0.43988,60,-1
90,0.442524,172,1
91,0.456269,172,1
92,0.47027,172,1
93,0.482946,60,-1
94,0.49117,172,1
95,0.51203,60,-1
96,0.519395,172,1
97,0.540262,172,1
98,0.551276,286,1
99,0.551693,190,1
100,0.553609,1514,1
101,0.554286,1514,1
102,0.554339,936,1
103,0.554355,92,1
104,0.554555,172,1
105,0.561303,60,-1
106,0.568341,172,1
107,0.592668,60,-1
108,0.599987,60,-1
109,0.59999,60,-1
110,0.603141,172,1
111,0.616902,172,1
112,0.631274,172,1
113,0.644226,60,-1
114,0.652627,172,1
115,0.67255,60,-1
116,0.680114,172,1
117,0.680742,146,-1
118,0.680743,92,-1
119,0.684255,54,1
120,0.694471,172,1
121,0.715001,172,1
122,0.721087,60,-1
123,0.72927,172,1
124,0.75753,60,-1
125,0.764485,172,1
126,0.777567,172,1
127,0.791707,172,1
128,0.806981,60,-1
129,0.814433,172,1
130,0.833377,60,-1
131,0.840155,172,1
132,0.854276,172,1
133,0.875633,172,1
134,0.881208,60,-1
135,0.88938,172,1
136,0.916834,60,-1
137,0.926217,172,1
138,0.937958,172,1
139,0.951768,172,1
140,0.965739,172,1
141,0.967971,60,-1
142,0.993432,60,-1
143,1.000839,172,1
144,1.014839,172,1
145,1.041232,172,1
146,1.042714,60,-1
147,1.055317,172,1
148,1.081036,172,1
149,1.083215,60,-1
150,1.099166,172,1
151,1.12286,60,-1
152,1.141157,172,1
153,1.141299,172,1
154,1.162074,172,1
155,1.176186,172,1
156,1.181473,60,-1
157,1.182541,60,-1
158,1.182967,60,-1
159,1.189993,172,1
160,1.203669,60,-1
161,1.211004,172,1
162,1.216696,60,-1
163,1.230868,60,-1
164,1.240288,172,1
165,1.25167,60,-1
166,1.26019,172,1
167,1.273997,172,1
168,1.285304,60,-1
169,1.288888,172,1
170,1.300992,60,-1
171,1.31551,60,-1
172,1.322973,172,1
173,1.329944,60,-1
174,1.33691,172,1
175,1.35236,172,1
176,1.364127,60,-1
177,1.371888,172,1
178,1.378314,60,-1
179,1.393102,60,-1
180,1.399499,172,1
181,1.413562,60,-1
182,1.420417,172,1
183,1.434537,172,1
184,1.442612,60,-1
185,1.448387,172,1
186,1.461992,60,-1
187,1.47595,60,-1
188,1.483426,172,1
189,1.489035,60,-1
190,1.496968,172,1
191,1.511145,172,1
192,1.524095,60,-1
193,1.533456,172,1
194,1.537951,60,-1
195,1.553124,60,-1
196,1.560261,172,1
197,1.57441,172,1
198,1.575014,60,-1
199,1.595267,172,1
200,1.602218,60,-1
201,1.609149,172,1
202,1.618336,60,-1
203,1.635489,60,-1
204,1.644374,172,1
205,1.651304,60,-1
206,1.658129,172,1
207,1.672154,172,1
208,1.685432,60,-1
209,1.686151,172,1
210,1.702166,60,-1
211,1.714015,60,-1
212,1.720893,172,1
213,1.727028,60,-1
214,1.736029,172,1
215,1.755888,172,1
216,1.762054,60,-1
217,1.770386,172,1
218,1.778508,60,-1
219,1.797255,60,-1
220,1.798131,172,1
221,1.813452,60,-1
222,1.84128,172,1
223,1.841438,172,1
224,1.841986,60,-1
225,1.847088,172,1
226,1.881399,172,1
227,1.884053,60,-1
228,1.890257,60,-1
229,1.894879,172,1
230,1.915753,172,1
231,1.92553,60,-1
232,1.929934,172,1
233,1.938228,60,-1
234,1.957969,60,-1
235,1.958109,172,1
236,1.973654,60,-1
237,1.979275,172,1
238,1.998111,172,1
239,1.99921,60,-1
240,2.012101,172,1
241,2.020642,60,-1
242,2.039235,60,-1
243,2.043222,172,1
244,2.053413,60,-1
245,2.056002,172,1
246,2.070494,172,1
247,2.085496,60,-1
248,2.091293,172,1
249,2.097172,60,-1
250,2.113339,60,-1
251,2.119619,172,1
252,2.13274,60,-1
253,2.141989,172,1
254,2.155364,172,1
255,2.160974,60,-1
256,2.168421,172,1
257,2.184381,60,-1
258,2.195852,60,-1
259,2.203184,172,1
260,2.216767,172,1
261,2.219954,60,-1
262,2.230997,172,1
263,2.247854,60,-1
264,2.252634,172,1
265,2.258445,60,-1
266,2.275602,60,-1
267,2.280092,172,1
268,2.293587,60,-1
269,2.294145,172,1
270,2.315426,172,1
271,2.322523,60,-1
272,2.329189,172,1
273,2.334721,60,-1
274,2.356197,60,-1
275,2.36456,172,1
276,2.371665,60,-1
277,2.378109,172,1
278,2.393522,172,1
279,2.398607,434,-1
280,2.406533,136,1
281,2.412961,92,1
282,2.415121,703,-1
283,2.427566,74,1
284,2.435367,60,-1
285,2.453291,54,1
286,2.457435,60,-1
287,2.469181,66,-1
288,2.470611,54,1
289,2.475002,312,1
290,2.51145,60,-1
291,2.514532,60,-1
292,2.514872,191,-1
293,2.54425,54,1
294,2.550668,105,1
295,2.634941,60,-1
296,2.639866,812,1
297,2.681099,60,-1
298,2.686498,417,-1
299,2.688248,85,1
300,2.688484,54,1
301,2.727639,60,-1
302,2.731977,54,1
303,2.734718,1514,-1
304,2.734876,1514,-1
305,2.735001,1514,-1
306,2.735112,1514,-1
307,2.735235,1514,-1
308,2.735355,1514,-1
309,2.735479,1514,-1
310,2.735602,1514,-1
311,2.73574,1514,-1
312,2.735965,1514,-1
313,2.751867,54,1
314,2.752095,54,1
315,2.752277,54,1
316,2.752444,54,1
317,2.752605,54,1
318,2.752681,54,1
319,2.752758,54,1
320,2.752863,54,1
321,2.752965,54,1
322,2.753047,54,1
323,2.792677,1514,-1
324,2.792971,1514,-1
325,2.79767,54,1
326,2.7978,54,1
327,2.798013,1514,-1
328,2.798171,1514,-1
329,2.79834,1514,-1
330,2.79846,1514,-1
331,2.798584,1514,-1
332,2.798706,1514,-1
333,2.798852,1514,-1
334,2.798965,1514,-1
335,2.799076,1514,-1
336,2.799197,1514,-1
337,2.799387,1514,-1
338,2.79959,1514,-1
339,2.79986,54,1
340,2.800453,54,1
341,2.800534,54,1
342,2.802927,54,1
343,2.803844,54,1
344,2.809355,54,1
345,2.809569,54,1
346,2.809652,54,1
347,2.813608,96,1
348,2.815552,74,1
349,2.840397,1514,-1
350,2.845702,1514,-1
351,2.846164,1305,-1
352,2.847289,54,1
353,2.858829,66,-1
354,2.860428,54,1
355,2.86183,312,1
356,2.87861,54,1
357,2.901635,60,-1
358,2.901843,60,-1
359,2.905864,60,-1
360,2.906197,191,-1
361,2.90772,54,1
362,2.908747,105,1
363,2.914928,637,1
364,2.915324,190,1
365,2.921094,1514,1
366,2.921407,1514,1
367,2.921638,975,1
368,2.957784,60,-1
369,2.958088,60,-1
370,2.964736,60,-1
371,2.965162,96,-1
372,2.971462,54,1
373,3.001314,60,-1
374,3.002687,787,1
375,3.024097,287,1
376,3.024531,190,1
377,3.025426,1514,1
378,3.025767,1514,1
379,3.026197,846,1
380,3.026219,136,1
381,3.0263,92,1
382,3.044863,60,-1
