Serial number,time,size,direction
1,0.0,286,1
2,0.000331,190,1
3,0.003433,1078,1
4,0.0055,1078,1
5,0.005575,1078,1
6,0.005643,1078,1
7,0.005703,294,1
8,0.018312,79,1
9,0.037607,60,-1
10,0.042848,95,-1
11,0.043231,60,-1
12,0.043233,60,-1
13,0.043514,1078,1
14,0.045676,1078,1
15,0.04643,1078,1
16,0.046476,74,1
17,0.050206,66,-1
18,0.05075,60,-1
19,0.050752,60,-1
20,0.050755,60,-1
21,0.050756,96,-1
22,0.051729,1078,1
23,0.052754,1078,1
24,0.054373,1078,1
25,0.054416,487,1
26,0.087699,60,-1
27,0.088856,66,-1
28,0.09163,60,-1
29,0.091875,54,1
30,0.092094,54,1
31,0.094711,312,1
32,0.096754,60,-1
33,0.136182,60,-1
34,0.136186,60,-1
35,0.137138,1514,-1
36,0.137439,1514,-1
37,0.138129,1514,-1
38,0.138334,1023,-1
39,0.142081,54,1
40,0.142272,54,1
41,0.143738,1078,1
42,0.143786,1078,1
43,0.143849,1078,1
44,0.143978,1078,1
45,0.144042,1078,1
46,0.144109,1052,1
47,0.144519,54,1
48,0.144692,54,1
49,0.162822,172,1
50,0.169021,1023,-1
51,0.174589,66,1
52,0.17642,172,1
53,0.176988,146,-1
54,0.176991,92,-1
55,0.177347,180,1
56,0.179197,54,1
57,0.17936,54,1
58,0.188599,60,-1
59,0.20469,172,1
60,0.216545,60,-1
61,0.217698,105,-1
62,0.22658,764,1
63,0.227278,172,1
64,0.238587,172,1
65,0.252391,172,1
66,0.269177,60,-1
67,0.272547,419,-1
68,0.274686,85,1
69,0.274859,54,1
70,0.288262,172,1
71,0.290241,60,-1
72,0.301524,172,1
73,0.313119,60,-1
74,0.314522,54,1
75,0.317312,60,-1
76,0.322258,172,1
77,0.337503,172,1
78,0.338599,60,-1
79,0.364136,172,1
80,0.378116,60,-1
81,0.385243,172,1
82,0.399481,172,1
83,0.413481,172,1
84,0.422501,60,-1
85,0.44828,172,1
86,0.450604,60,-1
87,0.462532,172,1
88,0.476393,172,1
89,0.497286,172,1
90,0.499327,60,-1
91,0.499774,287,1
92,0.500725,190,1
93,0.501615,1078,1
94,0.502543,1078,1
95,0.502586,1078,1
96,0.502649,1021,1
97,0.502812,136,1
98,0.503005,92,1
99,0.534532,60,-1
100,0.539525,172,1
101,0.540709,60,-1
102,0.541353,60,-1
103,0.541355,60,-1
104,0.545407,172,1
105,0.559519,172,1
106,0.573848,172,1
107,0.57838,60,-1
108,0.596373,60,-1
109,0.608172,172,1
110,0.622306,172,1
111,0.636518,172,1
112,0.643111,146,-1
113,0.643113,92,-1
114,0.659363,60,-1
115,0.670324,54,1
116,0.670526,172,1
117,0.687785,172,1
118,0.706548,172,1
119,0.710814,60,-1
120,0.720338,172,1
121,0.73405,172,1
122,0.748311,60,-1
123,0.769502,172,1
124,0.770576,60,-1
125,0.783209,172,1
126,0.797227,172,1
127,0.818354,172,1
128,0.82017,60,-1
129,0.846104,172,1
130,0.855363,60,-1
131,0.860248,172,1
132,0.881385,172,1
133,0.895492,172,1
134,0.896928,60,-1
135,0.930258,172,1
136,0.932621,60,-1
137,0.944361,172,1
138,0.9581,172,1
139,0.972022,172,1
140,0.980937,60,-1
141,1.007578,172,1
142,1.009224,60,-1
143,1.02118,172,1
144,1.042211,172,1
145,1.056296,172,1
146,1.065946,60,-1
147,1.083893,172,1
148,1.093385,60,-1
149,1.106994,172,1
150,1.119102,172,1
151,1.133106,172,1
152,1.144366,60,-1
153,1.170546,60,-1
154,1.245617,172,1
155,1.246056,172,1
156,1.246241,172,1
157,1.246327,172,1
158,1.249982,172,1
159,1.266252,172,1
160,1.280277,172,1
161,1.283324,60,-1
162,1.288592,60,-1
163,1.317066,60,-1
164,1.381207,172,1
165,1.381531,172,1
166,1.381647,172,1
167,1.381734,172,1
168,1.381824,172,1
169,1.406149,172,1
170,1.420757,172,1
171,1.422476,60,-1
172,1.444153,172,1
173,1.459465,60,-1
174,1.492014,172,1
175,1.499769,172,1
176,1.5166,172,1
177,1.51878,172,1
178,1.523323,60,-1
179,1.533082,60,-1
180,1.538977,172,1
181,1.539569,60,-1
182,1.556041,60,-1
183,1.560164,60,-1
184,1.567271,172,1
185,1.579121,60,-1
186,1.580447,172,1
187,1.606014,60,-1
188,1.606256,172,1
189,1.619639,172,1
190,1.620008,60,-1
191,1.646723,60,-1
192,1.657122,172,1
193,1.660017,60,-1
194,1.696545,60,-1
195,1.698511,172,1
196,1.698623,172,1
197,1.698703,172,1
198,1.727199,172,1
199,1.742763,60,-1
200,1.769863,60,-1
201,1.831951,172,1
202,1.83241,172,1
203,1.832597,172,1
204,1.832716,172,1
205,1.832821,172,1
206,1.846813,172,1
207,1.854703,172,1
208,1.871923,60,-1
209,1.88619,60,-1
210,1.888028,172,1
211,1.89609,60,-1
212,1.902385,172,1
213,1.916643,172,1
214,1.929953,60,-1
215,1.936895,172,1
216,1.942963,60,-1
217,1.958108,60,-1
218,1.965264,172,1
219,1.977895,60,-1
220,1.985979,172,1
221,2.000082,172,1
222,2.002425,60,-1
223,2.016175,172,1
224,2.022768,60,-1
225,2.036919,60,-1
226,2.061207,60,-1
227,2.070195,172,1
228,2.070325,172,1
229,2.07783,172,1
230,2.098157,172,1
231,2.107578,60,-1
232,2.114613,60,-1
233,2.126556,172,1
234,2.135293,60,-1
235,2.141324,172,1
236,2.161199,172,1
237,2.163523,60,-1
238,2.175167,172,1
239,2.178283,60,-1
240,2.198439,60,-1
241,2.210699,172,1
242,2.212585,60,-1
243,2.224068,172,1
244,2.237985,172,1
245,2.250258,60,-1
246,2.252777,172,1
247,2.260804,60,-1
248,2.279038,60,-1
249,2.287127,172,1
250,2.290112,60,-1
251,2.301326,172,1
252,2.324442,60,-1
253,2.326194,172,1
254,2.337883,172,1
255,2.338404,60,-1
256,2.363396,60,-1
257,2.364652,172,1
258,2.374596,60,-1
259,2.386033,172,1
260,2.399155,172,1
261,2.40238,60,-1
262,2.413361,172,1
263,2.423766,60,-1
264,2.43607,60,-1
265,2.4489,172,1
266,2.451289,60,-1
267,2.462549,172,1
268,2.476305,172,1
269,2.485666,60,-1
270,2.497465,172,1
271,2.499443,60,-1
272,2.513658,60,-1
273,2.524881,172,1
274,2.537437,60,-1
275,2.545307,172,1
276,2.559813,172,1
277,2.561784,60,-1
278,2.567887,434,-1
279,2.574729,172,1
280,2.577605,136,1
281,2.578563,92,1
282,2.584942,702,-1
283,2.595083,74,1
284,2.611359,60,-1
285,2.616231,60,-1
286,2.621391,54,1
287,2.62999,66,-1
288,2.635914,54,1
289,2.637304,312,1
290,2.675736,60,-1
291,2.679924,60,-1
292,2.680608,191,-1
293,2.683738,54,1
294,2.684399,105,1
295,2.773508,60,-1
296,2.777993,812,1
297,2.818151,60,-1
298,2.824357,419,-1
299,2.831136,85,1
300,2.831336,54,1
301,2.869155,60,-1
302,2.874189,60,-1
303,2.874499,54,1
304,3.126339,286,1
305,3.126946,190,1
306,3.127002,1078,1
307,3.12704,1078,1
308,3.127077,1078,1
309,3.127113,1017,1
310,3.127255,136,1
311,3.127398,92,1
312,3.170013,60,-1
313,3.170017,60,-1
314,3.257618,146,-1
315,3.258043,92,-1
316,3.262565,54,1
317,3.26275,54,1
318,3.43432,460,-1
319,3.439222,54,1
320,3.47035,74,1
321,3.510475,66,-1
322,3.515658,54,1
323,3.518102,312,1
324,3.556376,60,-1
325,3.560569,60,-1
326,3.561249,191,-1
327,3.564368,54,1
328,3.565403,105,1
329,3.651276,60,-1
330,3.652683,778,1
331,3.679843,1514,-1
332,3.679998,1514,-1
333,3.680116,1514,-1
334,3.680238,1514,-1
335,3.680374,1514,-1
336,3.680484,1514,-1
337,3.680605,1514,-1
338,3.680735,1514,-1
339,3.680862,1514,-1
340,3.681057,1514,-1
341,3.684022,54,1
342,3.684259,54,1
343,3.684365,54,1
344,3.685243,54,1
345,3.685418,54,1
346,3.691571,54,1
347,3.691887,54,1
348,3.691992,54,1
349,3.692082,54,1
350,3.692157,54,1
351,3.692739,60,-1
352,3.700408,419,-1
353,3.702368,85,1
354,3.702543,54,1
355,3.721417,1514,-1
356,3.721684,1514,-1
357,3.721871,1514,-1
358,3.721999,1514,-1
359,3.722188,1514,-1
360,3.722389,1514,-1
361,3.726558,1514,-1
362,3.72675,1514,-1
363,3.726968,1514,-1
364,3.727269,1514,-1
365,3.730783,54,1
366,3.731034,54,1
367,3.731201,54,1
368,3.731286,54,1
369,3.731389,1514,-1
370,3.731417,54,1
371,3.73149,54,1
372,3.73158,1514,-1
373,3.731708,1514,-1
374,3.731846,1514,-1
375,3.731956,1514,-1
376,3.73208,1514,-1
377,3.732198,1514,-1
378,3.732394,1514,-1
379,3.735371,54,1
380,3.73559,54,1
381,3.735671,54,1
382,3.735748,54,1
383,3.742817,96,1
384,3.74722,74,1
385,3.750259,60,-1
386,3.751593,54,1
387,3.769236,1514,-1
388,3.769356,1514,-1
389,3.769536,1514,-1
390,3.769724,1514,-1
391,3.769725,115,-1
392,3.776721,54,1
393,3.776995,54,1
394,3.782506,66,-1
395,3.786751,54,1
396,3.791355,312,1
397,3.808454,54,1
398,3.823168,60,-1
399,3.827217,60,-1
400,3.827738,191,-1
401,3.829148,54,1
402,3.829546,105,1
403,3.833192,60,-1
404,3.918462,60,-1
405,3.923352,785,1
406,3.928402,285,1
407,3.929051,190,1
408,3.929985,1078,1
409,3.930845,1078,1
410,3.930894,1078,1
411,3.930951,1022,1
412,3.930967,136,1
413,3.936933,92,1
414,3.959709,60,-1
415,3.966068,60,-1
416,3.966072,60,-1
417,3.966504,419,-1
418,3.968747,85,1
419,3.969034,54,1
420,3.973708,60,-1
421,3.973713,60,-1
422,3.973714,60,-1
423,3.974559,96,-1
424,3.975568,641,1
425,3.976005,190,1
426,3.976647,1078,1
427,3.976958,1078,1
428,3.977493,1078,1
429,3.977515,1018,1
430,3.977531,136,1
431,3.978512,92,1
432,4.00441,60,-1
433,4.005879,54,1
434,4.008854,60,-1
435,4.018358,60,-1
436,4.019047,60,-1
437,4.096574,146,-1
438,4.096576,92,-1
439,4.101685,54,1
440,4.137281,146,-1
441,4.137284,92,-1
442,4.160425,475,-1
443,4.170244,54,1
444,4.178717,74,1
445,4.198171,146,-1
446,4.198175,92,-1
447,4.200113,54,1
448,4.218171,66,-1
449,4.219707,54,1
450,4.221169,312,1
451,4.259033,60,-1
452,4.263265,60,-1
453,4.263951,191,-1
454,4.266638,54,1
455,4.267075,105,1
456,4.350075,60,-1
457,4.354855,795,1
458,4.398538,60,-1
459,4.412206,419,-1
460,4.414198,85,1
461,4.414468,54,1
462,4.453586,60,-1
463,4.458845,54,1
