Serial number,time,size,direction
1,0.0,286,1
2,0.000325,190,1
3,0.000362,1514,1
4,0.000602,1514,1
5,0.000627,1151,1
6,0.003401,132,1
7,0.003798,1514,1
8,0.008735,79,1
9,0.033717,127,-1
10,0.04003,60,-1
11,0.040929,60,-1
12,0.04209,74,1
13,0.042506,1514,1
14,0.043934,1514,1
15,0.04597,66,-1
16,0.046998,66,-1
17,0.046999,60,-1
18,0.047001,60,-1
19,0.047003,60,-1
20,0.047004,60,-1
21,0.051653,1514,1
22,0.05293,354,1
23,0.081267,66,-1
24,0.0821,60,-1
25,0.082603,54,1
26,0.083459,96,-1
27,0.084045,312,1
28,0.093177,60,-1
29,0.113883,1514,1
30,0.114847,1514,1
31,0.114898,1514,1
32,0.114916,1514,1
33,0.114932,92,1
34,0.123756,60,-1
35,0.128456,172,1
36,0.128496,60,-1
37,0.128748,191,-1
38,0.13058,54,1
39,0.132895,105,1
40,0.155557,172,1
41,0.160176,60,-1
42,0.160178,60,-1
43,0.169428,172,1
44,0.190689,172,1
45,0.196033,60,-1
46,0.204897,172,1
47,0.229191,60,-1
48,0.230465,60,-1
49,0.231682,765,1
50,0.241031,172,1
51,0.247195,146,-1
52,0.247197,92,-1
53,0.273839,60,-1
54,0.27646,172,1
55,0.276608,172,1
56,0.282102,172,1
57,0.291281,417,-1
58,0.293628,85,1
59,0.293827,54,1
60,0.316502,172,1
61,0.327799,60,-1
62,0.329955,172,1
63,0.333784,60,-1
64,0.337179,60,-1
65,0.34046,60,-1
66,0.341594,54,1
67,0.351771,172,1
68,0.355962,60,-1
69,0.36506,172,1
70,0.370751,60,-1
71,0.391955,60,-1
72,0.393479,172,1
73,0.404323,60,-1
74,0.414436,172,1
75,0.428387,172,1
76,0.433423,60,-1
77,0.442236,172,1
78,0.453549,60,-1
79,0.466847,60,-1
80,0.477366,172,1
81,0.481063,60,-1
82,0.491446,172,1
83,0.507757,172,1
84,0.511969,287,1
85,0.513407,190,1
86,0.516437,1514,1
87,0.51678,1514,1
88,0.517197,60,-1
89,0.518647,936,1
90,0.533758,60,-1
91,0.535233,210,1
92,0.546495,60,-1
93,0.551517,60,-1
94,0.553544,172,1
95,0.559225,60,-1
96,0.559228,60,-1
97,0.56281,60,-1
98,0.574101,60,-1
99,0.5753,172,1
100,0.593554,60,-1
101,0.594319,172,1
102,0.60461,172,1
103,0.61423,60,-1
104,0.636539,60,-1
105,0.63739,172,1
106,0.646949,60,-1
107,0.649016,146,-1
108,0.649019,92,-1
109,0.650969,172,1
110,0.654959,54,1
111,0.67176,172,1
112,0.685818,172,1
113,0.691057,60,-1
114,0.71367,172,1
115,0.732315,60,-1
116,0.734387,172,1
117,0.750605,172,1
118,0.762402,172,1
119,0.775766,60,-1
120,0.797188,172,1
121,0.801502,60,-1
122,0.8124,172,1
123,0.825829,172,1
124,0.846437,172,1
125,0.851158,60,-1
126,0.874713,172,1
127,0.886965,60,-1
128,0.895467,172,1
129,0.909102,172,1
130,0.923046,172,1
131,0.935991,60,-1
132,0.96257,60,-1
133,0.981847,172,1
134,0.981984,172,1
135,0.986161,172,1
136,1.007521,172,1
137,1.024276,60,-1
138,1.03524,172,1
139,1.046183,60,-1
140,1.049177,172,1
141,1.070446,172,1
142,1.084063,172,1
143,1.099342,60,-1
144,1.119497,172,1
145,1.122601,60,-1
146,1.133176,172,1
147,1.147143,172,1
148,1.16118,172,1
149,1.174096,60,-1
150,1.196663,172,1
151,1.199675,60,-1
152,1.211151,172,1
153,1.232487,172,1
154,1.246728,172,1
155,1.250282,60,-1
156,1.273592,172,1
157,1.286191,60,-1
158,1.294026,172,1
159,1.308504,172,1
160,1.322214,172,1
161,1.332627,60,-1
162,1.357491,172,1
163,1.3613,60,-1
164,1.371374,172,1
165,1.385141,172,1
166,1.407561,172,1
167,1.41109,60,-1
168,1.434848,172,1
169,1.446191,60,-1
170,1.455436,172,1
171,1.469198,172,1
172,1.48354,172,1
173,1.49843,60,-1
174,1.518465,172,1
175,1.523494,60,-1
176,1.532202,172,1
177,1.546697,172,1
178,1.567405,172,1
179,1.571072,60,-1
180,1.59655,172,1
181,1.606282,60,-1
182,1.609555,172,1
183,1.630212,172,1
184,1.644481,172,1
185,1.648633,60,-1
186,1.681955,172,1
187,1.684865,60,-1
188,1.694685,172,1
189,1.707437,172,1
190,1.721792,172,1
191,1.734433,60,-1
192,1.756513,172,1
193,1.760705,60,-1
194,1.77041,172,1
195,1.793489,172,1
196,1.805513,172,1
197,1.809056,60,-1
198,1.833673,172,1
199,1.844579,60,-1
200,1.85446,172,1
201,1.86832,172,1
202,1.882085,172,1
203,1.894616,60,-1
204,1.917211,172,1
205,1.921167,60,-1
206,1.931153,172,1
207,1.945301,172,1
208,1.966552,172,1
209,1.971361,60,-1
210,1.99395,172,1
211,2.007564,60,-1
212,2.015087,172,1
213,2.029494,172,1
214,2.043287,172,1
215,2.055208,60,-1
216,2.080879,172,1
217,2.085281,60,-1
218,2.092556,172,1
219,2.106183,172,1
220,2.127397,172,1
221,2.135051,60,-1
222,2.155787,172,1
223,2.166901,60,-1
224,2.169316,172,1
225,2.190226,172,1
226,2.204674,172,1
227,2.211688,60,-1
228,2.23931,172,1
229,2.243745,60,-1
230,2.253328,172,1
231,2.267452,172,1
232,2.281673,172,1
233,2.292297,60,-1
234,2.316576,172,1
235,2.320553,60,-1
236,2.330354,172,1
237,2.369843,60,-1
238,2.384481,172,1
239,2.384631,172,1
240,2.393409,172,1
241,2.414318,172,1
242,2.424488,60,-1
243,2.428702,172,1
244,2.442595,172,1
245,2.453842,60,-1
246,2.477024,172,1
247,2.482355,60,-1
248,2.490962,172,1
249,2.505391,172,1
250,2.52632,172,1
251,2.530805,60,-1
252,2.554679,172,1
253,2.565973,60,-1
254,2.575549,172,1
255,2.590113,172,1
256,2.60473,172,1
257,2.61503,60,-1
258,2.638519,172,1
259,2.643687,60,-1
260,2.652478,172,1
261,2.666271,172,1
262,2.687323,172,1
263,2.692256,60,-1
264,2.71523,172,1
265,2.726807,60,-1
266,2.729096,172,1
267,2.749949,172,1
268,2.764644,172,1
269,2.767384,60,-1
270,2.798862,172,1
271,2.805511,60,-1
272,2.812286,172,1
273,2.826577,172,1
274,2.847708,172,1
275,2.850552,60,-1
276,2.876514,172,1
277,2.888062,60,-1
278,2.889453,172,1
279,2.911792,172,1
280,2.924662,172,1
281,2.929784,60,-1
282,2.959691,172,1
283,2.965779,60,-1
284,2.973073,172,1
285,2.987524,172,1
286,3.00158,172,1
287,3.020476,60,-1
288,3.037187,172,1
289,3.039897,60,-1
290,3.079501,172,1
291,3.079637,172,1
292,3.084355,172,1
293,3.118649,60,-1
294,3.119604,172,1
295,3.123746,60,-1
296,3.133143,172,1
297,3.147352,172,1
298,3.161618,172,1
299,3.17286,60,-1
300,3.196449,172,1
301,3.201722,60,-1
302,3.215596,172,1
303,3.236844,172,1
304,3.242792,434,-1
305,3.249154,172,1
306,3.252545,136,1
307,3.253522,92,1
308,3.259767,715,-1
309,3.27768,74,1
310,3.288041,60,-1
311,3.292697,60,-1
312,3.293628,54,1
313,3.314513,66,-1
314,3.316232,54,1
315,3.322989,312,1
316,3.361205,60,-1
317,3.363627,191,-1
318,3.363629,60,-1
319,3.366364,54,1
320,3.366562,54,1
321,3.369335,105,1
322,3.452741,60,-1
323,3.457422,811,1
324,3.497402,60,-1
325,3.501268,417,-1
326,3.50345,85,1
327,3.503707,54,1
328,3.539293,60,-1
329,3.543835,54,1
330,3.636488,1514,-1
331,3.636621,1514,-1
332,3.636715,1514,-1
333,3.636826,1514,-1
334,3.636956,1514,-1
335,3.637073,1514,-1
336,3.6372,1514,-1
337,3.637318,1514,-1
338,3.637445,1514,-1
339,3.637636,1514,-1
340,3.639091,54,1
341,3.639843,54,1
342,3.639922,54,1
343,3.640065,54,1
344,3.640248,54,1
345,3.641393,54,1
346,3.641469,54,1
347,3.64253,54,1
348,3.642614,54,1
349,3.643671,54,1
350,3.681102,1514,-1
351,3.681261,1514,-1
352,3.681326,1514,-1
353,3.681433,1514,-1
354,3.681555,1514,-1
355,3.681756,1514,-1
356,3.68643,54,1
357,3.6866,54,1
358,3.686742,54,1
359,3.687041,1514,-1
360,3.687326,1514,-1
361,3.687455,1514,-1
362,3.687569,1514,-1
363,3.687698,1514,-1
364,3.687823,1514,-1
365,3.687945,1514,-1
366,3.688071,1514,-1
367,3.688192,1514,-1
368,3.688309,1514,-1
369,3.688512,1514,-1
370,3.688855,54,1
371,3.688931,54,1
372,3.689184,54,1
373,3.6895,54,1
374,3.691159,54,1
375,3.691398,54,1
376,3.693175,54,1
377,3.697376,54,1
378,3.706859,74,1
379,3.724475,214,-1
380,3.725986,54,1
381,3.727495,96,1
382,3.744571,66,-1
383,3.746096,54,1
384,3.747451,312,1
385,3.783199,60,-1
386,3.787991,60,-1
387,3.788696,191,-1
388,3.790092,54,1
389,3.792091,105,1
390,3.793274,287,1
391,3.79739,190,1
392,3.799572,1514,1
393,3.79964,1514,1
394,3.799658,932,1
395,3.804275,92,1
396,3.80806,60,-1
397,3.835192,60,-1
398,3.840314,60,-1
399,3.840739,60,-1
400,3.847541,60,-1
401,3.847548,60,-1
402,3.871849,637,1
403,3.872646,1514,1
404,3.872684,1514,1
405,3.87391,1111,1
406,3.875821,60,-1
407,3.882014,786,1
408,3.91564,60,-1
409,3.915643,60,-1
410,3.91892,60,-1
411,3.919172,96,-1
412,3.921256,60,-1
413,3.924783,146,-1
414,3.924784,92,-1
415,3.926853,54,1
416,3.928697,417,-1
417,3.930531,85,1
418,3.930614,54,1
419,3.945498,286,1
420,3.949111,190,1
421,3.9495,1514,1
422,3.951135,1514,1
423,3.951158,971,1
424,3.968116,60,-1
425,3.969415,54,1
426,3.992187,60,-1
427,3.99219,60,-1
428,4.025147,146,-1
429,4.025149,92,-1
430,4.028851,54,1
431,4.061292,146,-1
432,4.061659,92,-1
433,4.065003,54,1
434,4.084159,475,-1
435,4.092336,74,1
436,4.132321,66,-1
437,4.137956,54,1
438,4.138196,54,1
439,4.140507,312,1
440,4.153557,146,-1
441,4.15356,92,-1
442,4.155297,54,1
443,4.18057,60,-1
444,4.181525,60,-1
445,4.181526,191,-1
446,4.18325,54,1
447,4.188472,105,1
448,4.280639,60,-1
449,4.285431,795,1
450,4.323863,60,-1
451,4.330517,417,-1
452,4.332747,85,1
453,4.332958,54,1
454,4.371359,60,-1
455,4.375706,54,1
456,4.375829,60,-1
