Serial number,time,size,direction
1,0.0,287,1
2,0.000561,1514,1
3,0.000994,1514,1
4,0.00104,1514,1
5,0.001246,342,1
6,0.015965,79,1
7,0.039611,60,-1
8,0.04148,127,-1
9,0.043898,1514,1
10,0.046392,74,1
11,0.047981,60,-1
12,0.048997,60,-1
13,0.048999,96,-1
14,0.055351,1514,1
15,0.086461,1514,1
16,0.087347,66,-1
17,0.088116,1514,1
18,0.088162,1160,1
19,0.088874,54,1
20,0.090201,312,1
21,0.094208,60,-1
22,0.102909,1514,1
23,0.103449,1514,1
24,0.133869,60,-1
25,0.134996,60,-1
26,0.136019,60,-1
27,0.136021,191,-1
28,0.136467,1514,1
29,0.137231,1510,1
30,0.137819,54,1
31,0.138372,105,1
32,0.142598,60,-1
33,0.151087,172,1
34,0.165554,172,1
35,0.174255,60,-1
36,0.189571,60,-1
37,0.19135,172,1
38,0.200567,172,1
39,0.21787,146,-1
40,0.218247,92,-1
41,0.221913,54,1
42,0.223036,60,-1
43,0.224668,765,1
44,0.234918,172,1
45,0.23876,60,-1
46,0.248852,172,1
47,0.263188,172,1
48,0.265252,60,-1
49,0.277081,417,-1
50,0.278535,172,1
51,0.279038,85,1
52,0.27939,54,1
53,0.286432,60,-1
54,0.311957,172,1
55,0.323844,60,-1
56,0.325773,172,1
57,0.32973,60,-1
58,0.330957,54,1
59,0.346758,172,1
60,0.360817,172,1
61,0.363003,60,-1
62,0.388948,172,1
63,0.39823,60,-1
64,0.409817,172,1
65,0.42391,172,1
66,0.438212,172,1
67,0.447906,60,-1
68,0.472875,172,1
69,0.476342,60,-1
70,0.491209,172,1
71,0.505464,172,1
72,0.525156,294,1
73,0.525723,190,1
74,0.531688,60,-1
75,0.533569,1514,1
76,0.535698,1514,1
77,0.564129,60,-1
78,0.565674,1514,1
79,0.5659,187,1
80,0.573761,60,-1
81,0.57502,172,1
82,0.585425,172,1
83,0.604989,60,-1
84,0.606887,172,1
85,0.624201,60,-1
86,0.633703,172,1
87,0.647492,172,1
88,0.661709,172,1
89,0.672389,60,-1
90,0.68308,172,1
91,0.6991,60,-1
92,0.710778,172,1
93,0.724792,172,1
94,0.746547,172,1
95,0.749183,60,-1
96,0.784028,60,-1
97,0.787608,172,1
98,0.79536,172,1
99,0.807712,145,-1
100,0.807715,92,-1
101,0.809045,172,1
102,0.809316,54,1
103,0.823582,172,1
104,0.835566,60,-1
105,0.836735,172,1
106,0.861335,60,-1
107,0.871803,172,1
108,0.885734,172,1
109,0.906601,172,1
110,0.908872,60,-1
111,0.920929,172,1
112,0.944248,60,-1
113,0.948602,172,1
114,0.969621,172,1
115,0.983911,172,1
116,0.985757,60,-1
117,0.997599,172,1
118,1.022123,60,-1
119,1.032899,172,1
120,1.046712,172,1
121,1.060573,172,1
122,1.071098,60,-1
123,1.081765,172,1
124,1.098792,60,-1
125,1.10977,172,1
126,1.130523,172,1
127,1.147868,60,-1
128,1.149244,172,1
129,1.163405,172,1
130,1.186323,60,-1
131,1.193622,172,1
132,1.207567,172,1
133,1.222011,172,1
134,1.230287,60,-1
135,1.243015,172,1
136,1.25922,60,-1
137,1.27148,172,1
138,1.285783,172,1
139,1.305826,172,1
140,1.309126,60,-1
141,1.319892,172,1
142,1.34272,60,-1
143,1.354678,172,1
144,1.368602,172,1
145,1.382731,172,1
146,1.392435,60,-1
147,1.396999,172,1
148,1.42112,60,-1
149,1.431609,172,1
150,1.445728,172,1
151,1.470212,60,-1
152,1.486097,172,1
153,1.486232,172,1
154,1.508956,172,1
155,1.525357,60,-1
156,1.52976,172,1
157,1.543813,172,1
158,1.54615,60,-1
159,1.557876,172,1
160,1.581379,60,-1
161,1.593057,172,1
162,1.606128,172,1
163,1.626729,172,1
164,1.630865,60,-1
165,1.640761,172,1
166,1.665006,60,-1
167,1.675548,172,1
168,1.689445,172,1
169,1.703988,172,1
170,1.716314,60,-1
171,1.71778,172,1
172,1.746107,60,-1
173,1.752993,172,1
174,1.766683,172,1
175,1.780739,172,1
176,1.790864,60,-1
177,1.801764,172,1
