Serial number,time,size,direction
1,0.0,288,1
2,0.000532,1078,1
3,0.000629,1078,1
4,0.000694,1078,1
5,0.000753,1078,1
6,0.006212,1078,1
7,0.006663,1078,1
8,0.011335,74,1
9,0.035318,60,-1
10,0.03695,1078,1
11,0.041864,60,-1
12,0.042801,60,-1
13,0.043698,1078,1
14,0.044408,1078,1
15,0.045975,60,-1
16,0.046044,1078,1
17,0.046086,839,1
18,0.047264,96,-1
19,0.057039,66,-1
20,0.058771,54,1
21,0.059945,312,1
22,0.070516,1078,1
23,0.071906,1078,1
24,0.082115,60,-1
25,0.083792,1078,1
26,0.085315,1078,1
27,0.085355,1078,1
28,0.086921,60,-1
29,0.088536,530,1
30,0.098951,172,1
31,0.10274,60,-1
32,0.106632,60,-1
33,0.106892,191,-1
34,0.108641,54,1
35,0.110202,60,-1
36,0.110708,105,1
37,0.120828,172,1
38,0.124513,60,-1
39,0.133878,172,1
40,0.134162,60,-1
41,0.162056,146,-1
42,0.16206,92,-1
43,0.177911,172,1
44,0.178159,54,1
45,0.181981,172,1
46,0.196817,172,1
47,0.200962,60,-1
48,0.202949,764,1
49,0.212628,60,-1
50,0.212633,60,-1
51,0.216906,172,1
52,0.217535,60,-1
53,0.231915,60,-1
54,0.244066,172,1
55,0.245709,60,-1
56,0.250611,419,-1
57,0.251749,60,-1
58,0.252937,85,1
59,0.253096,54,1
60,0.258223,172,1
61,0.27911,172,1
62,0.280329,60,-1
63,0.292857,172,1
64,0.296801,60,-1
65,0.298629,60,-1
66,0.300119,54,1
67,0.314324,60,-1
68,0.3279,60,-1
69,0.328294,172,1
70,0.341783,172,1
71,0.355798,172,1
72,0.3646,60,-1
73,0.369969,172,1
74,0.376287,60,-1
75,0.391061,60,-1
76,0.40613,172,1
77,0.408123,60,-1
78,0.418967,172,1
79,0.440288,172,1
80,0.443715,60,-1
81,0.454506,60,-1
82,0.455227,172,1
83,0.47562,60,-1
84,0.484934,172,1
85,0.49094,60,-1
86,0.50596,172,1
87,0.515691,287,1
88,0.516617,190,1
89,0.51959,1078,1
90,0.520176,60,-1
91,0.520685,1078,1
92,0.520714,1078,1
93,0.522387,1078,1
94,0.54062,60,-1
95,0.541886,353,1
96,0.550272,60,-1
97,0.555425,60,-1
98,0.562229,60,-1
99,0.562231,60,-1
100,0.566313,172,1
101,0.576957,60,-1
102,0.583034,172,1
103,0.600109,172,1
104,0.604942,60,-1
105,0.613682,172,1
106,0.618131,60,-1
107,0.635307,60,-1
108,0.642038,172,1
109,0.64829,60,-1
110,0.662836,172,1
111,0.666962,146,-1
112,0.666964,92,-1
113,0.668852,54,1
114,0.67693,172,1
115,0.69125,172,1
116,0.697657,60,-1
117,0.725712,172,1
118,0.726872,60,-1
119,0.740369,172,1
120,0.754559,172,1
121,0.774979,172,1
122,0.777741,60,-1
123,0.803802,172,1
124,0.810518,60,-1
125,0.824238,172,1
126,0.838269,172,1
127,0.862748,60,-1
128,0.876936,172,1
129,0.889049,172,1
130,0.901981,172,1
131,0.912696,60,-1
132,0.915507,172,1
133,0.936925,60,-1
134,0.937287,172,1
135,0.963998,172,1
136,0.971606,60,-1
137,0.979792,172,1
138,0.999607,172,1
139,1.013227,172,1
140,1.014877,60,-1
141,1.047821,60,-1
142,1.051101,172,1
143,1.061682,172,1
144,1.075671,172,1
145,1.089806,172,1
146,1.096497,60,-1
147,1.124754,60,-1
148,1.124921,172,1
149,1.139573,172,1
150,1.160757,172,1
151,1.174785,172,1
152,1.175369,60,-1
153,1.201916,172,1
154,1.212895,60,-1
155,1.222968,172,1
156,1.236874,172,1
157,1.250892,172,1
158,1.258231,60,-1
159,1.283914,172,1
160,1.286353,60,-1
161,1.298705,172,1
162,1.318808,172,1
163,1.332948,172,1
164,1.333103,60,-1
165,1.368547,60,-1
166,1.370738,172,1
167,1.381767,172,1
168,1.39577,172,1
169,1.410444,172,1
170,1.416525,60,-1
171,1.445654,172,1
172,1.447043,60,-1
173,1.459877,172,1
174,1.48119,172,1
175,1.494085,172,1
176,1.49508,60,-1
177,1.522105,172,1
178,1.528341,60,-1
179,1.542881,172,1
180,1.57161,172,1
181,1.571762,172,1
182,1.581414,60,-1
183,1.606683,172,1
184,1.606913,60,-1
185,1.620789,172,1
186,1.634852,172,1
187,1.655885,172,1
188,1.663925,60,-1
189,1.682885,172,1
190,1.691408,60,-1
191,1.703819,172,1
192,1.71798,172,1
193,1.731936,172,1
194,1.74873,60,-1
195,1.767146,60,-1
196,1.767383,172,1
197,1.780729,172,1
198,1.794691,172,1
199,1.815767,172,1
200,1.817509,60,-1
201,1.843918,172,1
202,1.851028,60,-1
203,1.857867,172,1
204,1.879035,172,1
205,1.892819,60,-1
206,1.893291,172,1
207,1.927781,172,1
208,1.93008,60,-1
209,1.942237,172,1
210,1.956672,172,1
211,1.970287,172,1
212,1.978418,60,-1
213,2.004983,172,1
214,2.008819,60,-1
215,2.018395,172,1
