Serial number,time,size,direction
1,0.0,288,1
2,0.007447,190,1
3,0.008152,1514,1
4,0.008226,1514,1
5,0.008295,1354,1
6,0.011777,74,1
7,0.0416,60,-1
8,0.049123,60,-1
9,0.051527,66,-1
10,0.055495,66,-1
11,0.055498,66,-1
12,0.0555,60,-1
13,0.055696,60,-1
14,0.055698,96,-1
15,0.069065,1514,1
16,0.070346,1514,1
17,0.070541,54,1
18,0.07112,1514,1
19,0.071203,1514,1
20,0.071264,209,1
21,0.071606,312,1
22,0.089818,1514,1
23,0.11365,60,-1
24,0.114588,60,-1
25,0.115111,191,-1
26,0.118279,60,-1
27,0.118717,60,-1
28,0.119759,54,1
29,0.119937,105,1
30,0.121347,1514,1
31,0.122342,1514,1
32,0.12378,1468,1
33,0.139639,172,1
34,0.153295,172,1
35,0.167615,60,-1
36,0.182865,60,-1
37,0.188465,172,1
38,0.194547,146,-1
39,0.195581,92,-1
40,0.197845,60,-1
41,0.19968,767,1
42,0.200976,54,1
43,0.204317,172,1
44,0.217362,172,1
45,0.230599,172,1
46,0.237758,60,-1
47,0.238131,60,-1
48,0.245634,417,-1
49,0.250095,85,1
50,0.250335,54,1
51,0.259263,60,-1
52,0.264953,172,1
53,0.279065,172,1
54,0.28756,60,-1
55,0.292649,54,1
56,0.293494,172,1
57,0.308257,60,-1
58,0.314352,172,1
59,0.338245,60,-1
60,0.342355,172,1
61,0.363731,172,1
62,0.3774,172,1
63,0.383071,60,-1
64,0.394956,172,1
65,0.421317,60,-1
66,0.426733,172,1
67,0.44051,172,1
68,0.455238,172,1
69,0.468528,60,-1
70,0.475742,172,1
71,0.498192,60,-1
72,0.503087,172,1
73,0.50841,287,1
74,0.508554,190,1
75,0.509538,1514,1
76,0.509861,1514,1
77,0.510098,853,1
78,0.546788,60,-1
79,0.551123,410,1
80,0.553737,60,-1
81,0.553976,172,1
82,0.55423,60,-1
83,0.590447,172,1
84,0.597508,60,-1
85,0.60143,172,1
86,0.616912,172,1
87,0.631791,172,1
88,0.642511,60,-1
89,0.663964,172,1
90,0.673825,60,-1
91,0.678291,172,1
92,0.699001,172,1
93,0.71527,172,1
94,0.719487,60,-1
95,0.761012,60,-1
96,0.761705,146,-1
97,0.761706,92,-1
98,0.763882,172,1
99,0.763993,172,1
100,0.769574,54,1
101,0.777013,172,1
102,0.791514,172,1
103,0.809581,60,-1
104,0.825194,172,1
105,0.832273,60,-1
106,0.839735,172,1
107,0.853412,172,1
108,0.874228,172,1
109,0.881418,60,-1
110,0.90577,172,1
111,0.915313,60,-1
112,0.923727,172,1
113,0.938699,172,1
114,0.95167,172,1
115,0.964316,60,-1
116,0.986112,172,1
117,0.993269,60,-1
118,1.000765,172,1
119,1.014361,172,1
120,1.038349,172,1
121,1.046618,60,-1
122,1.062959,172,1
123,1.077593,172,1
124,1.083309,60,-1
125,1.098289,172,1
126,1.111821,172,1
127,1.119233,60,-1
128,1.148319,172,1
129,1.152237,60,-1
130,1.160939,172,1
131,1.17473,172,1
132,1.196443,172,1
133,1.203943,60,-1
134,1.223873,172,1
135,1.238146,172,1
136,1.243045,60,-1
137,1.259913,172,1
138,1.273154,172,1
139,1.280185,60,-1
140,1.312877,172,1
141,1.31568,60,-1
142,1.327086,172,1
143,1.339646,172,1
144,1.350728,172,1
145,1.369496,60,-1
146,1.385483,172,1
147,1.392369,60,-1
148,1.399513,172,1
149,1.413133,172,1
150,1.444506,60,-1
151,1.46598,172,1
152,1.467575,172,1
153,1.483124,172,1
154,1.497501,172,1
155,1.502313,60,-1
156,1.508338,60,-1
157,1.511111,172,1
158,1.514076,60,-1
159,1.524845,60,-1
160,1.542405,60,-1
161,1.545719,172,1
162,1.552295,60,-1
163,1.560819,172,1
164,1.574146,172,1
165,1.587828,60,-1
166,1.594839,172,1
167,1.60432,60,-1
168,1.615283,60,-1
169,1.623554,172,1
170,1.636091,60,-1
171,1.637428,172,1
172,1.658549,172,1
173,1.664576,60,-1
174,1.672606,172,1
175,1.679637,60,-1
176,1.699977,60,-1
177,1.706951,172,1
178,1.714324,60,-1
179,1.721095,172,1
180,1.735564,172,1
181,1.747535,60,-1
182,1.749736,172,1
183,1.762247,60,-1
184,1.776144,60,-1
185,1.784319,172,1
186,1.798546,172,1
187,1.798811,60,-1
188,1.820631,172,1
189,1.833415,172,1
190,1.837825,60,-1
191,1.843476,60,-1
192,1.862142,60,-1
193,1.87059,172,1
194,1.874844,60,-1
195,1.882882,172,1
196,1.896389,172,1
197,1.910822,172,1
198,1.912117,60,-1
199,1.92628,60,-1
200,1.937702,60,-1
201,1.945233,172,1
202,1.95172,60,-1
203,1.959912,172,1
204,1.9737,172,1
205,1.987749,60,-1
206,1.994365,172,1
207,2.002364,60,-1
208,2.018997,60,-1
209,2.027421,172,1
210,2.040989,60,-1
211,2.048648,172,1
212,2.060143,172,1
213,2.069451,60,-1
214,2.071379,172,1
215,2.093837,60,-1
216,2.105101,60,-1
217,2.106646,172,1
218,2.114442,60,-1
219,2.120209,172,1
220,2.149357,60,-1
221,2.161699,60,-1
222,2.165246,172,1
223,2.165361,172,1
224,2.183691,172,1
225,2.197334,172,1
226,2.207982,60,-1
227,2.218546,172,1
228,2.226182,60,-1
229,2.231837,172,1
230,2.239226,60,-1
231,2.261674,60,-1
232,2.266949,172,1
233,2.272997,60,-1
234,2.283272,172,1
235,2.295678,172,1
236,2.309227,172,1
237,2.309549,60,-1
238,2.32912,60,-1
239,2.336702,60,-1
240,2.34431,172,1
241,2.352567,60,-1
242,2.358304,172,1
243,2.379077,172,1
244,2.385985,60,-1
245,2.393594,172,1
246,2.399434,60,-1
247,2.41996,60,-1
248,2.4211,172,1
249,2.43468,60,-1
250,2.442214,172,1
251,2.456888,172,1
252,2.461453,60,-1
253,2.471272,172,1
254,2.482364,60,-1
255,2.499441,60,-1
256,2.505481,172,1
257,2.517447,60,-1
258,2.520151,172,1
259,2.534108,172,1
260,2.546736,60,-1
261,2.553979,172,1
262,2.562339,60,-1
263,2.575276,60,-1
264,2.58208,172,1
265,2.596491,60,-1
266,2.603297,172,1
267,2.617913,172,1
268,2.623922,60,-1
269,2.633669,172,1
270,2.649178,60,-1
271,2.660202,60,-1
272,2.667553,172,1
273,2.674186,60,-1
274,2.681388,172,1
275,2.695463,172,1
276,2.708853,60,-1
277,2.715296,172,1
278,2.724245,60,-1
279,2.737344,60,-1
280,2.743137,172,1
281,2.756545,60,-1
282,2.757959,172,1
283,2.778181,172,1
284,2.785219,60,-1
285,2.792449,172,1
286,2.799103,60,-1
287,2.821343,60,-1
288,2.829599,172,1
289,2.833967,60,-1
290,2.865357,172,1
291,2.865594,172,1
292,2.869659,172,1
293,2.874759,60,-1
294,2.904181,172,1
295,2.906525,60,-1
296,2.911195,60,-1
297,2.918482,172,1
298,2.939454,172,1
299,2.949685,60,-1
300,2.953098,172,1
301,2.960766,60,-1
302,2.979715,60,-1
303,2.988685,172,1
304,2.996601,60,-1
305,3.00756,172,1
306,3.019941,172,1
307,3.029624,60,-1
308,3.03084,172,1
309,3.048747,60,-1
310,3.062102,60,-1
311,3.065643,172,1
312,3.07158,60,-1
313,3.079317,172,1
314,3.093406,172,1
315,3.109098,60,-1
316,3.114376,172,1
317,3.126316,60,-1
318,3.136084,60,-1
319,3.142107,172,1
320,3.156631,60,-1
321,3.162934,172,1
322,3.177576,172,1
323,3.185452,60,-1
324,3.191489,172,1
325,3.207089,60,-1
326,3.220562,60,-1
327,3.23221,60,-1
328,3.291675,172,1
329,3.294056,172,1
330,3.294269,172,1
331,3.294362,172,1
332,3.303865,172,1
333,3.318589,172,1
334,3.332319,60,-1
335,3.338963,60,-1
336,3.347291,60,-1
337,3.368085,60,-1
338,3.426696,172,1
339,3.427099,172,1
340,3.428509,408,1
341,3.435077,172,1
342,3.462935,172,1
343,3.473841,60,-1
344,3.478735,60,-1
345,3.480399,172,1
346,3.492352,434,-1
347,3.509358,717,-1
348,3.567827,172,1
349,3.568005,408,1
350,3.568121,54,1
351,3.572233,60,-1
352,3.578249,172,1
353,3.580731,136,1
354,3.581353,92,1
355,3.59651,74,1
356,3.613886,60,-1
357,3.624306,60,-1
358,3.641939,66,-1
359,3.643747,54,1
360,3.64504,312,1
361,3.687365,60,-1
362,3.690646,60,-1
363,3.690649,191,-1
364,3.744833,54,1
