Serial number,time,size,direction
1,0.0,286,1
2,0.001964,190,1
3,0.003559,566,1
4,0.003606,566,1
5,0.003691,566,1
6,0.003723,566,1
7,0.003781,74,1
8,0.043961,66,-1
9,0.044799,60,-1
10,0.045725,60,-1
11,0.106668,54,1
12,0.108218,566,1
13,0.108339,566,1
14,0.108434,566,1
15,0.108468,566,1
16,0.108552,566,1
17,0.108585,566,1
18,0.108671,312,1
19,0.14514,60,-1
20,0.150123,60,-1
21,0.151137,191,-1
22,0.151141,60,-1
23,0.151143,60,-1
24,0.361438,191,-1
25,0.364896,66,1
26,0.419683,566,1
27,0.457633,66,-1
28,0.459822,566,1
29,0.461379,566,1
30,0.502547,66,-1
31,0.507289,566,1
32,0.508668,566,1
33,0.5505,66,-1
34,0.555126,566,1
35,0.555947,566,1
36,0.562767,105,1
37,0.651608,60,-1
38,0.65242,66,-1
39,0.652422,66,-1
40,0.653163,763,1
41,0.653855,566,1
42,0.655639,566,1
43,0.655719,566,1
44,0.690739,60,-1
45,0.69645,66,-1
46,0.696452,66,-1
47,0.696454,66,-1
48,0.696455,60,-1
49,0.698954,419,-1
50,0.699412,566,1
51,0.699811,566,1
52,0.699855,566,1
53,0.69987,566,1
54,0.700743,54,1
55,0.701122,85,1
56,0.701441,54,1
57,0.738389,60,-1
58,0.738392,60,-1
59,0.740087,566,1
60,0.740841,566,1
61,0.740932,566,1
62,0.740961,566,1
63,0.742211,566,1
64,0.742537,60,-1
65,0.743675,54,1
66,0.777687,60,-1
67,0.77897,566,1
68,0.783066,60,-1
69,0.783068,60,-1
70,0.786299,566,1
71,0.786683,566,1
72,0.786713,566,1
73,0.788118,566,1
74,0.788151,566,1
75,0.81665,60,-1
76,0.818169,566,1
77,0.82139,146,-1
78,0.821392,92,-1
79,0.822744,54,1
80,0.822955,54,1
81,0.829039,60,-1
82,0.830456,566,1
83,0.831841,566,1
84,0.832385,60,-1
85,0.83366,566,1
86,0.835059,566,1
87,0.856159,60,-1
88,0.857499,566,1
89,0.858867,566,1
90,0.873175,60,-1
91,0.876388,566,1
92,0.876703,566,1
93,0.876727,566,1
94,0.876747,566,1
95,0.900966,60,-1
96,0.902737,566,1
97,0.904119,566,1
98,0.915129,60,-1
99,0.916654,566,1
100,0.918297,566,1
101,0.918334,566,1
102,0.918361,332,1
103,0.945566,60,-1
104,0.947369,290,1
105,0.960325,60,-1
106,0.961813,172,1
107,0.981822,172,1
108,0.999076,60,-1
109,1.010572,172,1
110,1.027458,172,1
111,1.033846,146,-1
112,1.033848,92,-1
113,1.04361,54,1
114,1.045477,172,1
115,1.059008,172,1
116,1.065108,60,-1
117,1.094357,172,1
118,1.096728,60,-1
119,1.108034,172,1
120,1.122118,172,1
121,1.137222,172,1
122,1.145323,60,-1
123,1.172415,172,1
124,1.175073,60,-1
125,1.185913,172,1
126,1.206025,172,1
127,1.224365,60,-1
128,1.251466,172,1
129,1.251727,172,1
130,1.268664,172,1
131,1.283652,172,1
132,1.289504,60,-1
133,1.296065,172,1
134,1.306262,60,-1
135,1.331662,172,1
136,1.333178,60,-1
137,1.345041,172,1
138,1.36584,172,1
139,1.382991,60,-1
140,1.383719,172,1
141,1.407697,172,1
142,1.421493,60,-1
143,1.428787,172,1
144,1.443511,172,1
145,1.457243,172,1
146,1.467023,60,-1
147,1.492102,172,1
148,1.495091,60,-1
149,1.50652,172,1
150,1.520536,172,1
151,1.541775,172,1
152,1.54477,60,-1
153,1.569342,172,1
154,1.579877,60,-1
155,1.589966,172,1
156,1.60399,172,1
157,1.618782,172,1
158,1.627872,60,-1
159,1.652848,172,1
160,1.656579,60,-1
161,1.666566,172,1
162,1.681415,172,1
163,1.701891,172,1
164,1.70467,60,-1
165,1.729915,172,1
166,1.740011,60,-1
167,1.744695,172,1
168,1.765138,172,1
169,1.778834,172,1
170,1.782334,60,-1
171,1.814296,172,1
172,1.816858,60,-1
173,1.827982,172,1
174,1.842152,172,1
175,1.856597,172,1
176,1.87346,60,-1
177,1.891198,172,1
178,1.894052,60,-1
179,1.907748,172,1
180,1.945028,60,-1
181,1.948392,172,1
182,1.948518,172,1
183,1.968002,172,1
184,1.989768,172,1
185,1.990996,60,-1
186,2.003326,172,1
187,2.017294,172,1
188,2.031619,60,-1
189,2.052635,172,1
190,2.055279,60,-1
191,2.065899,172,1
192,2.080007,172,1
193,2.1019,172,1
194,2.10855,60,-1
195,2.133561,172,1
196,2.14024,60,-1
197,2.140243,96,-1
198,2.150049,172,1
199,2.164739,172,1
200,2.178128,172,1
201,2.187912,60,-1
202,2.213349,172,1
203,2.21959,60,-1
204,2.228214,172,1
205,2.229397,54,1
206,2.24183,172,1
207,2.262215,172,1
208,2.276349,60,-1
209,2.290736,172,1
210,2.303609,60,-1
211,2.304776,172,1
212,2.325088,172,1
213,2.340681,172,1
214,2.350306,60,-1
215,2.367091,172,1
216,2.379194,60,-1
217,2.388185,172,1
218,2.407971,172,1
219,2.416878,172,1
220,2.42763,60,-1
221,2.45178,172,1
222,2.455185,60,-1
223,2.466138,172,1
224,2.479895,172,1
225,2.500634,172,1
226,2.503882,60,-1
227,2.529206,172,1
228,2.54244,60,-1
229,2.54986,172,1
230,2.563859,172,1
231,2.583429,172,1
232,2.587821,60,-1
233,2.61316,172,1
234,2.621743,60,-1
235,2.651162,172,1
236,2.651337,172,1
237,2.661816,172,1
238,2.688807,60,-1
239,2.690109,172,1
240,2.706383,172,1
241,2.725294,172,1
242,2.731187,60,-1
243,2.732073,434,-1
244,2.732076,707,-1
245,2.74036,54,1
246,2.740547,172,1
247,2.745869,136,1
248,2.746101,92,1
249,2.746233,74,1
250,2.763011,60,-1
251,2.773418,66,1
252,2.78465,60,-1
253,2.785046,66,-1
254,2.786495,54,1
255,2.790077,312,1
256,2.82855,60,-1
257,2.832971,60,-1
258,2.832974,60,-1
259,2.832975,191,-1
260,2.834667,54,1
261,2.835477,105,1
262,2.93641,60,-1
263,2.941114,810,1
264,2.973687,460,-1
265,2.979462,74,1
266,2.97978,60,-1
267,2.986407,419,-1
268,2.988787,85,1
269,2.988947,54,1
270,3.009282,54,1
271,3.014848,66,-1
272,3.016097,54,1
273,3.01746,312,1
274,3.029451,60,-1
275,3.032192,54,1
276,3.052344,60,-1
277,3.058047,60,-1
278,3.05805,191,-1
279,3.060337,54,1
280,3.060884,105,1
281,3.138668,60,-1
282,3.147587,777,1
283,3.153194,1514,-1
284,3.153522,1514,-1
285,3.153524,1514,-1
286,3.15366,1514,-1
287,3.153804,1514,-1
288,3.154036,1514,-1
289,3.154324,1514,-1
290,3.157001,54,1
291,3.157395,54,1
292,3.157546,54,1
293,3.158411,54,1
294,3.158556,54,1
295,3.164473,54,1
296,3.164686,54,1
297,3.183669,60,-1
298,3.189989,419,-1
299,3.192009,85,1
300,3.192465,54,1
301,3.197206,1514,-1
302,3.197411,1514,-1
303,3.197526,1514,-1
304,3.197726,1514,-1
305,3.197935,1514,-1
306,3.198264,1514,-1
307,3.199764,54,1
308,3.202726,1514,-1
