Serial number,time,size,direction
1,0.0,287,1
2,0.000301,190,1
3,0.005672,1514,1
4,0.011656,1514,1
5,0.01184,74,1
6,0.012383,1150,1
7,0.012422,132,1
8,0.012933,180,1
9,0.041915,60,-1
10,0.046056,1514,1
11,0.046819,60,-1
12,0.048238,1514,1
13,0.055641,60,-1
14,0.057696,66,-1
15,0.058352,60,-1
16,0.058354,60,-1
17,0.058762,60,-1
18,0.060216,1514,1
19,0.060391,54,1
20,0.060915,1514,1
21,0.060958,210,1
22,0.062269,312,1
23,0.066771,1514,1
24,0.068231,1514,1
25,0.088364,60,-1
26,0.093968,60,-1
27,0.094543,1514,1
28,0.095767,1392,1
29,0.104322,60,-1
30,0.105286,60,-1
31,0.105289,191,-1
32,0.10675,60,-1
33,0.109077,54,1
34,0.109239,172,1
35,0.111645,172,1
36,0.111802,105,1
37,0.113037,60,-1
38,0.124027,172,1
39,0.136974,60,-1
40,0.143003,60,-1
41,0.147043,172,1
42,0.151672,60,-1
43,0.157491,60,-1
44,0.166808,60,-1
45,0.174042,172,1
46,0.182997,146,-1
47,0.183002,92,-1
48,0.185244,54,1
49,0.189143,172,1
50,0.197761,60,-1
51,0.199326,764,1
52,0.207919,172,1
53,0.214886,60,-1
54,0.221877,172,1
55,0.239871,60,-1
56,0.244567,417,-1
57,0.246738,85,1
58,0.246915,54,1
59,0.252155,60,-1
60,0.257056,172,1
61,0.270551,172,1
62,0.284708,172,1
63,0.290252,60,-1
64,0.291892,54,1
65,0.297995,60,-1
66,0.299297,172,1
67,0.326157,60,-1
68,0.333845,172,1
69,0.347773,172,1
70,0.361996,172,1
71,0.375747,60,-1
72,0.402757,60,-1
73,0.414704,172,1
74,0.414979,172,1
75,0.433993,172,1
76,0.447404,172,1
77,0.458666,60,-1
78,0.46124,172,1
79,0.492914,60,-1
80,0.498001,172,1
81,0.508876,285,1
82,0.513945,190,1
83,0.514302,1514,1
84,0.514895,1514,1
85,0.514961,973,1
86,0.53893,60,-1
87,0.542247,290,1
88,0.544396,172,1
89,0.559264,60,-1
90,0.559542,60,-1
91,0.571518,172,1
92,0.585681,172,1
93,0.589433,60,-1
94,0.60751,172,1
95,0.620826,172,1
96,0.628348,60,-1
97,0.6563,172,1
98,0.667526,60,-1
99,0.669504,146,-1
100,0.669505,92,-1
101,0.670185,172,1
102,0.673213,54,1
103,0.684125,172,1
104,0.704257,172,1
105,0.713239,60,-1
106,0.733777,172,1
107,0.746449,172,1
108,0.747527,60,-1
109,0.76785,172,1
110,0.780872,172,1
111,0.788063,60,-1
112,0.815531,172,1
113,0.823745,60,-1
114,0.829406,172,1
115,0.844118,172,1
116,0.857877,172,1
117,0.871057,60,-1
118,0.892359,172,1
119,0.898185,60,-1
120,0.907085,172,1
121,0.927749,172,1
122,0.942142,172,1
123,0.951434,60,-1
124,0.978781,172,1
125,0.982969,60,-1
126,0.991033,172,1
127,1.00492,172,1
128,1.019107,172,1
129,1.036426,60,-1
130,1.053358,172,1
131,1.061784,60,-1
132,1.068833,172,1
133,1.109514,172,1
134,1.109688,172,1
135,1.113114,60,-1
136,1.130496,172,1
137,1.152023,172,1
138,1.155234,60,-1
139,1.165497,172,1
140,1.17962,172,1
141,1.192757,60,-1
142,1.214947,172,1
143,1.220644,60,-1
144,1.228942,172,1
145,1.242824,172,1
146,1.266749,172,1
147,1.271156,60,-1
148,1.291878,172,1
149,1.306021,172,1
150,1.309446,60,-1
151,1.328008,172,1
152,1.341056,172,1
153,1.348568,60,-1
154,1.381443,172,1
155,1.382392,60,-1
156,1.397748,172,1
157,1.408252,172,1
158,1.4191,172,1
159,1.443129,60,-1
160,1.454208,172,1
161,1.464544,60,-1
162,1.468014,172,1
163,1.481582,172,1
164,1.502993,172,1
165,1.511675,60,-1
166,1.523046,96,-1
167,1.530799,172,1
168,1.553064,172,1
169,1.566185,172,1
170,1.574609,60,-1
171,1.580914,172,1
172,1.607854,60,-1
173,1.616761,172,1
174,1.631513,172,1
175,1.644168,172,1
176,1.661141,60,-1
177,1.664184,172,1
178,1.686168,60,-1
179,1.692368,172,1
180,1.706998,172,1
181,1.726815,172,1
182,1.733769,60,-1
183,1.741035,172,1
184,1.769666,60,-1
185,1.775616,172,1
186,1.806447,172,1
187,1.806639,172,1
188,1.815839,60,-1
189,1.818153,172,1
190,1.848128,60,-1
191,1.852308,172,1
192,1.867021,172,1
193,1.88808,172,1
194,1.895915,60,-1
195,1.901512,172,1
196,1.933514,172,1
197,1.934373,60,-1
198,1.951528,172,1
199,1.965359,172,1
200,1.974613,60,-1
201,1.979762,172,1
202,2.007205,60,-1
203,2.013561,172,1
204,2.028751,172,1
205,2.042208,172,1
206,2.05708,60,-1
207,2.062671,172,1
208,2.084288,60,-1
209,2.090505,172,1
210,2.112223,172,1
211,2.126024,172,1
212,2.134017,60,-1
213,2.139433,172,1
214,2.169122,60,-1
215,2.174797,172,1
216,2.189364,172,1
217,2.202862,172,1
218,2.220965,60,-1
219,2.226448,172,1
220,2.244419,60,-1
221,2.251459,172,1
222,2.265656,172,1
223,2.287238,172,1
224,2.300688,60,-1
225,2.300915,172,1
226,2.328059,60,-1
227,2.335692,172,1
228,2.355033,172,1
229,2.368277,172,1
230,2.378112,172,1
231,2.380429,60,-1
232,2.410996,60,-1
233,2.412575,172,1
234,2.426821,172,1
235,2.447637,172,1
236,2.454765,60,-1
237,2.464696,172,1
238,2.48831,60,-1
239,2.511952,172,1
240,2.512154,172,1
241,2.52404,172,1
242,2.544563,172,1
243,2.551088,60,-1
244,2.557367,60,-1
245,2.566955,60,-1
246,2.5724,172,1
247,2.585382,60,-1
248,2.587101,172,1
249,2.60769,172,1
250,2.613392,60,-1
251,2.621414,172,1
252,2.636804,60,-1
253,2.648365,60,-1
254,2.653273,172,1
255,2.662813,60,-1
256,2.671011,172,1
257,2.68479,172,1
258,2.696386,60,-1
259,2.699475,172,1
260,2.712489,60,-1
261,2.725347,60,-1
262,2.733835,172,1
263,2.741934,60,-1
264,2.748373,172,1
265,2.762055,172,1
266,2.775072,60,-1
267,2.782657,172,1
268,2.791011,60,-1
269,2.802504,60,-1
270,2.810686,172,1
271,2.831419,60,-1
272,2.832469,172,1
273,2.845864,172,1
274,2.851954,60,-1
275,2.85984,172,1
276,2.873549,60,-1
277,2.875989,434,-1
278,2.88411,136,1
279,2.884944,92,1
280,2.892832,703,-1
281,2.904388,60,-1
282,2.912023,74,1
283,2.931354,60,-1
284,2.93381,54,1
285,2.954545,66,-1
286,2.956691,54,1
287,2.958082,312,1
288,2.995628,60,-1
289,3.001374,60,-1
290,3.001691,191,-1
291,3.005811,54,1
292,3.006242,105,1
293,3.084965,60,-1
294,3.086627,811,1
295,3.126108,60,-1
296,3.132604,417,-1
297,3.135201,85,1
298,3.135365,54,1
299,3.174958,60,-1
300,3.211956,54,1
301,3.419812,287,1
302,3.420949,190,1
303,3.424372,1514,1
304,3.425039,1514,1
305,3.425098,849,1
306,3.425132,136,1
307,3.425313,92,1
308,3.425431,1514,-1
309,3.425729,1514,-1
310,3.426035,1514,-1
311,3.426267,1514,-1
312,3.435799,54,1
313,3.436098,54,1
314,3.436231,54,1
315,3.436357,54,1
316,3.466113,60,-1
317,3.47166,60,-1
318,3.476916,1514,-1
319,3.477213,1514,-1
320,3.477431,1514,-1
321,3.477692,1514,-1
322,3.481743,1514,-1
323,3.482053,1514,-1
324,3.482404,1514,-1
325,3.486997,54,1
326,3.487248,54,1
327,3.487376,54,1
328,3.487542,54,1
329,3.487708,54,1
330,3.487865,54,1
331,3.488003,54,1
332,3.528102,700,-1
333,3.534883,54,1
334,3.538254,74,1
335,3.567674,146,-1
336,3.567677,92,-1
337,3.569532,54,1
338,3.569746,54,1
339,3.575637,66,-1
340,3.577117,54,1
341,3.578965,312,1
342,3.616288,60,-1
343,3.617183,60,-1
344,3.617692,191,-1
345,3.621816,54,1
346,3.623488,105,1
347,3.707916,60,-1
348,3.71465,785,1
349,3.729071,285,1
350,3.730525,190,1
351,3.733068,1514,1
352,3.734924,1514,1
353,3.735038,854,1
354,3.735202,136,1
355,3.735331,92,1
356,3.751677,60,-1
357,3.758285,417,-1
358,3.762265,85,1
359,3.762576,54,1
360,3.777262,60,-1
361,3.777266,60,-1
362,3.779665,1514,1
363,3.780308,1514,1
364,3.780383,1302,1
365,3.780415,92,1
366,3.801319,60,-1
367,3.802739,54,1
368,3.825973,60,-1
369,3.87714,146,-1
370,3.877501,92,-1
371,3.896369,146,-1
372,3.896371,92,-1
373,3.913831,54,1
374,3.913954,54,1
