Serial number,time,size,direction
1,0.0,100,1
2,0.005764,100,-1
3,0.045383,60,1
4,0.643398,289,-1
5,0.64355,190,-1
6,0.645261,1078,-1
7,0.645557,1078,-1
8,0.647229,1078,-1
9,0.647254,1078,-1
10,0.647271,405,-1
11,0.651703,74,-1
12,0.653031,132,-1
13,0.654329,180,-1
14,0.680387,60,1
15,0.682091,1078,-1
16,0.688748,60,1
17,0.68875,60,1
18,0.688751,60,1
19,0.689898,96,1
20,0.690435,1078,-1
21,0.691365,1078,-1
22,0.691392,1078,-1
23,0.69141,1078,-1
24,0.691424,1078,-1
25,0.692214,60,1
26,0.692667,328,-1
27,0.694371,66,-1
28,0.695673,54,-1
29,0.700505,312,-1
30,0.727424,60,1
31,0.731411,54,-1
32,0.733458,60,1
33,0.73346,60,1
34,0.73957,60,-1
35,0.740591,60,-1
36,0.740592,191,-1
37,0.742034,54,-1
38,0.742487,105,-1
39,0.750592,1078,-1
40,0.751241,1078,-1
41,0.751271,1078,-1
42,0.751287,1078,-1
43,0.752652,1078,-1
44,0.752693,812,-1
45,0.784103,172,-1
46,0.795218,60,1
47,0.797815,172,-1
48,0.811484,147,1
49,0.811486,92,1
50,0.812208,172,-1
51,0.81286,54,-1
52,0.813549,54,-1
53,0.831613,60,-1
54,0.832995,60,1
55,0.834015,172,-1
56,0.8343,763,-1
57,0.870323,60,1
58,0.872416,60,-1
59,0.879498,417,-1
60,0.89198,172,-1
61,0.892124,172,-1
62,0.89632,172,-1
63,0.896692,85,-1
64,0.896777,54,-1
65,0.911634,172,-1
66,0.928967,60,1
67,0.936365,60,-1
68,0.937481,54,-1
69,0.9454,172,-1
70,0.948284,60,1
71,0.959144,172,-1
72,0.981479,172,-1
73,0.987717,172,-1
74,1.000552,60,1
75,1.022322,172,-1
76,1.023986,60,1
77,1.036493,172,-1
78,1.057562,172,-1
79,1.071036,172,-1
80,1.074861,60,1
81,1.099412,172,-1
82,1.107092,60,1
83,1.120025,172,-1
84,1.134147,172,-1
85,1.146815,287,-1
86,1.148208,190,-1
87,1.148602,1078,-1
88,1.148893,1078,-1
89,1.150352,1078,-1
90,1.150374,1078,-1
91,1.156977,60,1
92,1.158179,346,-1
93,1.183295,60,1
94,1.1842,172,-1
95,1.192146,60,1
96,1.196922,172,-1
97,1.21084,172,-1
98,1.221673,60,1
99,1.232332,172,-1
100,1.253723,60,1
101,1.259823,172,-1
102,1.281161,172,-1
103,1.295446,172,-1
104,1.296531,60,1
105,1.302908,147,1
106,1.303647,92,1
107,1.307042,54,-1
108,1.310489,172,-1
109,1.332082,60,1
110,1.344518,172,-1
111,1.358175,172,-1
112,1.372178,172,-1
113,1.381869,60,1
114,1.393293,172,-1
115,1.413847,60,1
116,1.421285,172,-1
117,1.435298,172,-1
118,1.456368,172,-1
119,1.456602,60,1
120,1.470129,172,-1
121,1.491663,60,1
122,1.504964,172,-1
123,1.518842,172,-1
124,1.533347,172,-1
125,1.542233,60,1
126,1.547263,172,-1
127,1.570905,60,1
128,1.592241,172,-1
129,1.596457,172,-1
130,1.61683,172,-1
131,1.629433,60,1
132,1.630816,172,-1
133,1.65278,60,1
134,1.659748,172,-1
135,1.679751,172,-1
136,1.693893,172,-1
137,1.696112,60,1
138,1.708164,172,-1
139,1.729734,60,1
140,1.742994,172,-1
141,1.75693,172,-1
142,1.771448,172,-1
143,1.778578,60,1
144,1.792007,172,-1
145,1.807167,60,1
146,1.821384,172,-1
147,1.841551,172,-1
148,1.855254,172,-1
149,1.857854,60,1
150,1.869295,172,-1
151,1.890747,60,1
152,1.904071,172,-1
153,1.917894,172,-1
154,1.932083,172,-1
155,1.939497,60,1
156,1.953434,172,-1
157,1.969657,60,1
158,1.980853,172,-1
159,1.995787,172,-1
160,2.01703,60,1
161,2.017314,172,-1
162,2.0302,172,-1
163,2.053898,60,1
164,2.065909,172,-1
165,2.07918,172,-1
166,2.093028,172,-1
167,2.101667,60,1
168,2.113932,172,-1
169,2.129805,60,1
170,2.14219,172,-1
171,2.15607,172,-1
172,2.17717,172,-1
173,2.177728,60,1
174,2.191458,172,-1
175,2.212537,60,1
176,2.226096,172,-1
177,2.239894,172,-1
178,2.257524,172,-1
179,2.264571,60,1
180,2.292106,172,-1
181,2.295189,60,1
182,2.303479,172,-1
183,2.317508,172,-1
184,2.33136,172,-1
185,2.339401,60,1
186,2.352374,172,-1
187,2.366657,60,1
188,2.380269,172,-1
189,2.401203,172,-1
190,2.41612,60,1
191,2.416289,172,-1
192,2.429461,172,-1
193,2.453024,60,1
194,2.464129,172,-1
195,2.478233,172,-1
196,2.492486,172,-1
197,2.501028,60,1
198,2.513266,172,-1
199,2.528022,60,1
200,2.541293,172,-1
201,2.562718,172,-1
202,2.575566,172,-1
203,2.57746,60,1
204,2.589587,172,-1
205,2.611253,60,1
206,2.624153,172,-1
207,2.638242,172,-1
208,2.652556,172,-1
209,2.660375,60,1
210,2.673431,172,-1
211,2.688342,60,1
212,2.700855,172,-1
213,2.714959,172,-1
214,2.736422,172,-1
215,2.737264,60,1
216,2.750704,172,-1
217,2.773584,60,1
218,2.785587,172,-1
219,2.799319,172,-1
220,2.813219,172,-1
221,2.82257,60,1
222,2.827014,172,-1
223,2.849681,60,1
224,2.861964,172,-1
225,2.875965,172,-1
226,2.897021,172,-1
227,2.897691,60,1
228,2.911555,172,-1
229,2.932864,60,1
230,2.939039,172,-1
231,2.975859,60,1
232,2.99337,172,-1
233,2.993596,172,-1
234,2.993682,172,-1
235,3.026536,172,-1
236,3.031096,60,1
237,3.03815,172,-1
238,3.050995,172,-1
239,3.072253,172,-1
240,3.075004,60,1
241,3.100328,172,-1
242,3.108934,60,1
243,3.121263,172,-1
244,3.135128,172,-1
245,3.149544,172,-1
246,3.158566,60,1
247,3.184198,172,-1
248,3.184979,60,1
249,3.201258,172,-1
250,3.215897,172,-1
251,3.233303,172,-1
252,3.237206,60,1
253,3.261236,172,-1
254,3.269377,60,1
255,3.27534,172,-1
256,3.297251,172,-1
257,3.310683,172,-1
258,3.311449,60,1
259,3.345154,172,-1
260,3.347499,60,1
261,3.358983,172,-1
262,3.374284,172,-1
263,3.390864,172,-1
264,3.395067,60,1
