Serial number,time,size,direction
1,0.0,286,1
2,0.000338,190,1
3,0.009753,1514,1
4,0.010643,1514,1
5,0.010691,1514,1
6,0.010939,907,1
7,0.027232,79,1
8,0.061509,60,-1
9,0.061693,60,-1
10,0.063705,1514,1
11,0.065271,1514,1
12,0.073671,127,-1
13,0.073822,60,-1
14,0.073823,60,-1
15,0.075922,1514,1
16,0.076986,1514,1
17,0.077041,1514,1
18,0.077162,1514,1
19,0.077285,74,1
20,0.116346,60,-1
21,0.116352,60,-1
22,0.120617,66,-1
23,0.121255,60,-1
24,0.121491,1514,1
25,0.121604,60,-1
26,0.122495,1514,1
27,0.122538,1379,1
28,0.122741,54,1
29,0.123665,312,1
30,0.135836,172,1
31,0.149221,172,1
32,0.169878,172,1
33,0.173725,60,-1
34,0.173732,60,-1
35,0.173735,60,-1
36,0.173737,60,-1
37,0.1739,60,-1
38,0.173902,191,-1
39,0.176536,54,1
40,0.176746,105,1
41,0.18445,172,1
42,0.185827,60,-1
43,0.191126,60,-1
44,0.210996,60,-1
45,0.212811,172,1
46,0.224743,60,-1
47,0.235142,172,1
48,0.249714,146,-1
49,0.249717,92,-1
50,0.266729,60,-1
51,0.272277,172,1
52,0.272479,172,1
53,0.272625,54,1
54,0.273773,768,1
55,0.282431,60,-1
56,0.296489,172,1
57,0.310383,172,1
58,0.317138,60,-1
59,0.31737,60,-1
60,0.321496,417,-1
61,0.325016,85,1
62,0.325519,54,1
63,0.325688,172,1
64,0.345647,172,1
65,0.356662,60,-1
66,0.364291,60,-1
67,0.366389,54,1
68,0.372701,172,1
69,0.387026,60,-1
70,0.393893,172,1
71,0.408461,172,1
72,0.433839,60,-1
73,0.493632,60,-1
74,0.509148,172,1
75,0.5122,172,1
76,0.512611,172,1
77,0.512787,172,1
78,0.512866,172,1
79,0.513094,286,1
80,0.513816,1514,1
81,0.553893,60,-1
82,0.553895,60,-1
83,0.55974,60,-1
84,0.603474,60,-1
85,0.647804,1514,1
86,0.64832,1514,1
87,0.648346,1370,1
88,0.648364,172,1
89,0.66103,172,1
90,0.692754,60,-1
91,0.695405,96,-1
92,0.698772,172,1
93,0.740385,60,-1
94,0.749567,172,1
95,0.783368,408,1
96,0.794129,172,1
