Serial number,time,size,direction
1,0.0,287,1
2,0.000173,190,1
3,0.005823,1514,1
4,0.006033,1514,1
5,0.006866,1514,1
6,0.006896,721,1
7,0.006912,74,1
8,0.008223,132,1
9,0.009658,180,1
10,0.011219,1514,1
11,0.012607,192,1
12,0.036309,60,-1
13,0.037971,1514,1
14,0.038289,1514,1
15,0.04139,60,-1
16,0.042785,1514,1
17,0.044246,1168,1
18,0.047795,66,-1
19,0.047797,66,-1
20,0.047798,60,-1
21,0.047799,60,-1
22,0.048555,60,-1
23,0.048557,60,-1
24,0.048558,60,-1
25,0.048559,60,-1
26,0.050228,66,-1
27,0.05183,60,-1
28,0.057439,54,1
29,0.058787,312,1
30,0.075924,60,-1
31,0.080455,60,-1
32,0.084212,1514,1
33,0.084596,1514,1
34,0.084875,1514,1
35,0.086393,1514,1
36,0.086433,1052,1
37,0.087142,60,-1
38,0.095615,60,-1
39,0.10043,60,-1
40,0.100607,191,-1
41,0.104678,172,1
42,0.104887,54,1
43,0.104977,105,1
44,0.118538,172,1
45,0.121265,60,-1
46,0.126827,60,-1
47,0.126829,60,-1
48,0.127247,96,-1
49,0.132921,172,1
50,0.146289,172,1
51,0.15324,60,-1
52,0.170917,146,-1
53,0.170919,92,-1
54,0.179244,54,1
55,0.181011,172,1
56,0.182759,60,-1
57,0.184185,768,1
58,0.195027,172,1
59,0.215578,172,1
60,0.219388,60,-1
61,0.221175,60,-1
62,0.227736,417,-1
63,0.23,85,1
64,0.230123,172,1
65,0.230203,54,1
66,0.251393,60,-1
67,0.257807,172,1
68,0.26731,60,-1
69,0.268576,54,1
70,0.271379,60,-1
71,0.278684,172,1
72,0.292739,172,1
73,0.292789,60,-1
74,0.306925,172,1
75,0.335831,60,-1
76,0.34168,172,1
77,0.35632,172,1
78,0.369991,172,1
79,0.377511,60,-1
80,0.390657,172,1
81,0.40642,60,-1
82,0.429353,172,1
83,0.439723,172,1
84,0.453494,172,1
85,0.463809,60,-1
86,0.470575,172,1
87,0.489856,60,-1
88,0.505809,172,1
89,0.506297,288,1
90,0.50638,190,1
91,0.507019,1514,1
92,0.508142,1514,1
93,0.508203,1514,1
94,0.508237,424,1
95,0.508268,136,1
96,0.508508,92,1
97,0.517008,172,1
98,0.531194,172,1
99,0.541726,60,-1
100,0.546961,60,-1
