Serial number,time,size,direction
1,0.0,288,1
2,0.000501,190,1
3,0.000543,1514,1
4,0.000613,1514,1
5,0.000974,1514,1
6,0.010899,79,1
7,0.036133,60,-1
8,0.036585,127,-1
9,0.038362,1514,1
10,0.042955,66,-1
11,0.043935,66,-1
12,0.043939,60,-1
13,0.043941,60,-1
14,0.043943,60,-1
15,0.045147,1514,1
16,0.045428,1514,1
17,0.046067,1514,1
18,0.046427,923,1
19,0.052129,74,1
20,0.076094,60,-1
21,0.08234,60,-1
22,0.089599,60,-1
23,0.089603,60,-1
24,0.09384,66,-1
25,0.095536,54,1
26,0.100905,312,1
27,0.123087,1514,1
28,0.124431,1514,1
29,0.124524,1514,1
30,0.124608,1514,1
31,0.12467,92,1
32,0.134259,60,-1
33,0.136277,172,1
34,0.137558,60,-1
35,0.138262,191,-1
36,0.139503,54,1
37,0.14,105,1
38,0.159028,60,-1
39,0.16656,60,-1
40,0.166564,60,-1
41,0.166566,60,-1
42,0.167072,145,-1
43,0.167074,92,-1
44,0.170138,54,1
45,0.172416,172,1
46,0.185198,172,1
47,0.199772,172,1
48,0.209665,60,-1
49,0.21414,172,1
50,0.217782,60,-1
51,0.219511,765,1
52,0.237197,60,-1
53,0.248027,172,1
54,0.258849,60,-1
55,0.262133,172,1
56,0.267386,417,-1
57,0.269438,85,1
58,0.269616,54,1
59,0.276149,172,1
60,0.288895,60,-1
61,0.296957,172,1
62,0.306557,60,-1
63,0.308028,54,1
64,0.311213,60,-1
65,0.314147,60,-1
66,0.325204,172,1
67,0.346084,172,1
68,0.360055,172,1
69,0.360469,60,-1
70,0.374442,172,1
71,0.39547,60,-1
72,0.409307,172,1
73,0.423426,172,1
74,0.437255,172,1
75,0.447076,60,-1
76,0.458156,172,1
77,0.472556,60,-1
78,0.486158,172,1
79,0.500205,172,1
80,0.520611,642,1
81,0.521031,190,1
82,0.52199,1514,1
83,0.526074,60,-1
84,0.528206,1514,1
85,0.529917,1514,1
86,0.556542,60,-1
87,0.557847,181,1
88,0.562556,60,-1
89,0.56757,60,-1
90,0.567959,96,-1
91,0.570116,172,1
92,0.58385,172,1
93,0.598084,172,1
94,0.605905,60,-1
95,0.612288,172,1
96,0.635456,60,-1
97,0.64669,172,1
98,0.658171,145,-1
99,0.658173,92,-1
100,0.659943,54,1
101,0.662911,172,1
102,0.696529,172,1
103,0.696705,172,1
104,0.700428,60,-1
105,0.723802,172,1
106,0.731382,60,-1
107,0.745186,172,1
108,0.758242,172,1
109,0.772114,172,1
110,0.781531,60,-1
111,0.806663,60,-1
112,0.807899,172,1
113,0.821104,172,1
114,0.842031,172,1
115,0.85619,60,-1
116,0.85652,172,1
117,0.866233,100,-1
118,0.870786,100,1
119,0.883749,172,1
120,0.894619,60,-1
121,0.90496,172,1
122,0.919271,172,1
123,0.92155,60,-1
124,0.93304,172,1
125,0.954951,60,-1
126,0.968001,172,1
127,0.982466,172,1
128,0.996167,172,1
129,1.004096,60,-1
130,1.016845,172,1
131,1.033866,60,-1
132,1.05,172,1
133,1.068479,172,1
134,1.080021,172,1
135,1.08794,60,-1
136,1.093951,172,1
137,1.116869,60,-1
138,1.129067,172,1
139,1.143097,172,1
140,1.157338,172,1
141,1.169172,60,-1
142,1.177838,172,1
143,1.196856,60,-1
144,1.205774,172,1
145,1.220392,172,1
146,1.240785,172,1
147,1.247373,60,-1
148,1.255606,172,1
149,1.277788,60,-1
150,1.291456,172,1
151,1.303717,172,1
152,1.318222,172,1
153,1.325911,60,-1
154,1.332589,172,1
155,1.355172,60,-1
156,1.367124,172,1
157,1.396527,172,1
158,1.402161,172,1
159,1.407051,60,-1
160,1.41597,172,1
161,1.441905,60,-1
162,1.443892,172,1
163,1.465188,172,1
164,1.479576,172,1
