Serial number,time,size,direction
1,0.0,287,1
2,0.000266,190,1
3,0.001164,1514,1
4,0.001199,1514,1
5,0.001216,1254,1
6,0.001248,132,1
7,0.00235,180,1
8,0.002893,1514,1
9,0.002914,176,1
10,0.020444,288,1
11,0.022606,79,1
12,0.040918,60,-1
13,0.047472,60,-1
14,0.048442,60,-1
15,0.048444,60,-1
16,0.048445,60,-1
17,0.048446,60,-1
18,0.048447,60,-1
19,0.048448,60,-1
20,0.049213,95,-1
21,0.052986,1514,1
22,0.057466,1514,1
23,0.057817,1466,1
24,0.058459,74,1
25,0.058933,60,-1
26,0.092375,60,-1
27,0.09719,66,-1
28,0.099396,54,1
29,0.099977,60,-1
30,0.099978,60,-1
31,0.10076,96,-1
32,0.100888,312,1
33,0.128617,1514,1
34,0.129373,1514,1
35,0.129398,1514,1
36,0.129416,1514,1
37,0.129449,92,1
38,0.137184,60,-1
39,0.142052,60,-1
40,0.142056,191,-1
41,0.143437,54,1
42,0.147537,105,1
43,0.151803,172,1
44,0.164805,172,1
45,0.17593,60,-1
46,0.175933,60,-1
47,0.183812,172,1
48,0.185908,146,-1
49,0.185909,92,-1
50,0.18895,54,1
51,0.203251,60,-1
52,0.214888,172,1
53,0.225644,172,1
54,0.249856,172,1
55,0.25239,60,-1
56,0.253167,60,-1
57,0.253803,765,1
58,0.260817,172,1
59,0.275044,172,1
60,0.288174,60,-1
61,0.291213,60,-1
62,0.298956,419,-1
63,0.300845,85,1
64,0.301069,54,1
65,0.309487,172,1
66,0.313208,60,-1
67,0.323746,172,1
68,0.338386,172,1
69,0.339877,60,-1
70,0.341005,54,1
71,0.362205,60,-1
72,0.382977,172,1
73,0.386777,172,1
74,0.40741,172,1
75,0.420085,60,-1
76,0.421925,172,1
77,0.423909,60,-1
78,0.428382,60,-1
79,0.435549,172,1
80,0.445761,60,-1
81,0.459615,60,-1
82,0.469314,172,1
83,0.473026,60,-1
84,0.483661,172,1
85,0.497976,172,1
86,0.507973,60,-1
87,0.514187,641,1
88,0.522656,60,-1
89,0.534397,172,1
90,0.536155,190,1
91,0.536215,1514,1
92,0.536254,1514,1
93,0.536283,1077,1
94,0.536432,60,-1
95,0.546755,172,1
96,0.552782,60,-1
97,0.56793,172,1
98,0.573067,60,-1
99,0.578833,60,-1
100,0.579223,60,-1
101,0.581742,172,1
102,0.585644,60,-1
103,0.595671,172,1
104,0.606381,60,-1
105,0.619653,60,-1
106,0.631009,172,1
107,0.636658,60,-1
108,0.645774,172,1
109,0.658401,172,1
110,0.659979,146,-1
111,0.659983,92,-1
112,0.664283,54,1
113,0.683766,60,-1
114,0.68746,172,1
115,0.707478,172,1
116,0.726161,60,-1
117,0.727095,172,1
118,0.742537,172,1
119,0.755878,172,1
120,0.765155,60,-1
121,0.790798,172,1
122,0.794005,60,-1
123,0.804799,172,1
124,0.818589,172,1
125,0.842868,60,-1
126,0.847823,172,1
127,0.868759,172,1
128,0.88606,60,-1
129,0.891641,172,1
130,0.901926,172,1
131,0.915724,172,1
132,0.933237,60,-1
133,0.950478,172,1
134,0.955654,60,-1
135,0.964525,172,1
136,0.979293,172,1
137,1.003252,60,-1
138,1.014841,172,1
139,1.027674,172,1
140,1.041877,172,1
141,1.058416,60,-1
142,1.077474,172,1
143,1.077667,172,1
144,1.081007,60,-1
145,1.10897,172,1
146,1.116566,60,-1
147,1.126239,172,1
148,1.139249,172,1
149,1.153698,172,1
150,1.164417,60,-1
151,1.189115,172,1
152,1.193077,60,-1
153,1.202506,172,1
154,1.224393,172,1
155,1.243173,60,-1
156,1.248744,172,1
157,1.265739,172,1
158,1.28672,172,1
159,1.287619,60,-1
160,1.300464,172,1
161,1.314455,172,1
162,1.325413,60,-1
163,1.349038,172,1
164,1.354266,100,1
165,1.356933,60,-1
166,1.363207,172,1
167,1.383843,172,1
168,1.398661,60,-1
169,1.398667,100,-1
170,1.41328,172,1
171,1.425133,60,-1
172,1.425736,172,1
173,1.44643,172,1
174,1.460997,172,1
175,1.464305,60,-1
176,1.475179,172,1
177,1.49978,60,-1
178,1.509767,172,1
179,1.523988,172,1
180,1.537987,172,1
181,1.551719,60,-1
182,1.567762,172,1
183,1.578315,60,-1
184,1.586872,172,1
185,1.607603,172,1
186,1.621795,172,1
187,1.627813,60,-1
188,1.635839,172,1
189,1.661581,60,-1
190,1.670498,172,1
191,1.684643,172,1
192,1.698713,172,1
193,1.713108,60,-1
194,1.727724,172,1
195,1.745543,60,-1
196,1.747737,172,1
197,1.777751,172,1
198,1.782727,172,1
199,1.787718,60,-1
200,1.810283,172,1
201,1.821671,60,-1
202,1.824965,172,1
203,1.845432,172,1
204,1.859625,172,1
205,1.865173,60,-1
206,1.874426,172,1
207,1.899276,60,-1
208,1.908221,172,1
209,1.922324,172,1
210,1.944149,172,1
211,1.947081,60,-1
212,1.968012,172,1
213,1.985023,60,-1
214,1.98549,172,1
215,2.007987,172,1
216,2.020411,172,1
217,2.023955,60,-1
218,2.034487,172,1
219,2.060412,60,-1
220,2.068453,172,1
221,2.082727,172,1
222,2.103892,172,1
223,2.109653,60,-1
224,2.131956,172,1
225,2.143089,60,-1
226,2.145299,172,1
227,2.166267,172,1
228,2.1817,172,1
229,2.194184,60,-1
230,2.200288,172,1
231,2.222857,60,-1
232,2.229733,172,1
233,2.243937,172,1
234,2.258602,172,1
235,2.269251,60,-1
236,2.287656,172,1
237,2.2965,60,-1
238,2.306745,172,1
239,2.327467,172,1
240,2.341539,172,1
241,2.345111,60,-1
242,2.355673,172,1
243,2.379613,60,-1
244,2.390503,172,1
245,2.404616,172,1
246,2.41862,172,1
247,2.429778,60,-1
248,2.447654,172,1
249,2.456558,60,-1
250,2.483045,172,1
251,2.483205,172,1
252,2.50267,172,1
253,2.521672,60,-1
254,2.533457,172,1
255,2.54177,60,-1
256,2.551758,172,1
257,2.565391,172,1
258,2.579306,172,1
259,2.594142,172,1
260,2.601931,60,-1
261,2.617313,60,-1
262,2.628293,172,1
263,2.643269,172,1
264,2.663715,172,1
265,2.666022,60,-1
266,2.688812,172,1
267,2.696967,434,-1
268,2.706898,172,1
269,2.710602,721,-1
270,2.717482,136,1
271,2.717759,92,1
272,2.727322,74,1
273,2.745138,60,-1
274,2.756437,60,-1
275,2.765979,66,-1
276,2.77412,54,1
277,2.775352,312,1
278,2.8139,60,-1
279,2.818256,60,-1
280,2.818491,191,-1
281,2.820309,54,1
282,2.820654,105,1
283,2.903861,60,-1
284,2.908351,821,1
285,2.94804,60,-1
286,2.956655,419,-1
287,2.962669,85,1
288,2.962929,54,1
289,2.97565,1514,-1
290,2.975797,1514,-1
291,2.975917,1514,-1
292,2.976038,1514,-1
293,2.976166,1514,-1
294,2.976317,1514,-1
295,2.976463,1514,-1
296,2.976657,1514,-1
297,2.977044,1514,-1
298,2.977369,1514,-1
299,2.979279,54,1
300,2.984418,54,1
301,2.984695,54,1
302,2.984774,54,1
303,2.98485,54,1
304,3.001557,60,-1
305,3.006044,60,-1
306,3.013234,54,1
307,3.017769,1514,-1
308,3.018087,1514,-1
309,3.018647,1260,-1
310,3.020331,54,1
311,3.027001,96,1
312,3.032001,74,1
313,3.067647,66,-1
314,3.069308,54,1
315,3.087558,312,1
316,3.107369,60,-1
317,3.110116,60,-1
318,3.124941,60,-1
319,3.124944,191,-1
320,3.126464,54,1
321,3.126857,105,1
322,3.213651,60,-1
323,3.219295,787,1
324,3.221145,297,1
325,3.221756,190,1
326,3.222593,1514,1
327,3.22293,1514,1
328,3.223367,958,1
329,3.223393,136,1
330,3.223489,92,1
331,3.256336,60,-1
332,3.263714,419,-1
333,3.263716,60,-1
334,3.263718,60,-1
335,3.263719,60,-1
336,3.263909,60,-1
337,3.264594,60,-1
338,3.264596,60,-1
339,3.264597,60,-1
340,3.269782,85,1
341,3.270018,54,1
342,3.281779,475,-1
343,3.287955,74,1
344,3.30636,60,-1
345,3.308758,54,1
346,3.309391,146,-1
347,3.309394,92,-1
348,3.310801,60,-1
