Serial number,time,size,direction
1,1539622436.070817,100,1
2,1539622436.0859408,100,-1
3,1539622436.1237884,60,1
4,1539622442.2539947,286,-1
5,1539622442.2543287,190,-1
6,1539622442.254565,1514,-1
7,1539622442.25493,1514,-1
8,1539622442.254995,1151,-1
9,1539622442.255029,132,-1
10,1539622442.2585964,180,-1
11,1539622442.2588987,1514,-1
12,1539622442.260596,176,-1
13,1539622442.293038,60,1
14,1539622442.296601,285,-1
15,1539622442.2981582,1514,-1
16,1539622442.299626,1514,-1
17,1539622442.3012633,60,1
18,1539622442.30142,60,1
19,1539622442.3014226,60,1
20,1539622442.301425,60,1
21,1539622442.301429,96,1
22,1539622442.3200548,79,-1
23,1539622442.3204944,1364,-1
24,1539622442.337668,60,1
25,1539622442.3430827,60,1
26,1539622442.3490975,95,-1
27,1539622442.351636,74,-1
28,1539622442.358921,54,-1
29,1539622442.359661,1514,-1
30,1539622442.3597267,1514,-1
31,1539622442.36138,1514,-1
32,1539622442.3614483,1514,-1
33,1539622442.3614807,492,-1
34,1539622442.3734386,172,-1
35,1539622442.3926942,66,-1
36,1539622442.3952723,54,-1
37,1539622442.396368,312,-1
38,1539622442.4036367,60,1
39,1539622442.4036403,60,1
40,1539622442.408373,172,-1
41,1539622442.4213817,172,-1
42,1539622442.4253712,146,1
43,1539622442.4257846,92,1
44,1539622442.4270003,54,-1
45,1539622442.427289,54,-1
46,1539622442.433457,60,-1
47,1539622442.4371784,172,-1
48,1539622442.438096,60,-1
49,1539622442.4402013,1514,-1
50,1539622442.440533,1514,-1
51,1539622442.4409137,1514,-1
52,1539622442.4410937,1023,-1
53,1539622442.442537,54,-1
54,1539622442.4431722,54,-1
55,1539622442.44391,54,-1
56,1539622442.4442148,54,-1
57,1539622442.450048,172,-1
58,1539622442.458831,60,1
59,1539622442.4691205,1023,-1
60,1539622442.475607,66,-1
61,1539622442.4838998,172,-1
62,1539622442.4881618,180,-1
63,1539622442.4902308,60,1
64,1539622442.4972353,172,-1
65,1539622442.5186026,172,-1
66,1539622442.5260346,105,-1
67,1539622442.527763,54,-1
68,1539622442.5319345,766,-1
69,1539622442.5325623,172,-1
70,1539622442.5364327,60,1
71,1539622442.5671558,172,-1
72,1539622442.5705855,60,1
73,1539622442.5765042,419,-1
74,1539622442.5816426,172,-1
75,1539622442.5823984,85,-1
76,1539622442.5825624,54,-1
77,1539622442.5953505,172,-1
78,1539622442.609265,172,-1
79,1539622442.619558,60,-1
80,1539622442.6195614,60,1
81,1539622442.6246624,60,-1
82,1539622442.6397245,54,-1
83,1539622442.6444094,172,-1
84,1539622442.6469803,60,1
85,1539622442.6583571,172,-1
86,1539622442.6724143,172,-1
87,1539622442.693618,172,-1
88,1539622442.6954954,60,1
89,1539622442.7212467,172,-1
90,1539622442.7323418,60,1
91,1539622442.7646544,172,-1
92,1539622442.7649882,172,-1
93,1539622442.7703352,172,-1
94,1539622442.801881,60,1
95,1539622442.8052423,172,-1
96,1539622442.8091836,285,-1
97,1539622442.8097913,190,-1
98,1539622442.8108506,1514,-1
99,1539622442.8117614,1514,-1
100,1539622442.811824,854,-1
101,1539622442.8118546,136,-1
102,1539622442.8121076,92,-1
103,1539622442.8126378,60,1
104,1539622442.8193283,172,-1
105,1539622442.8334503,172,-1
106,1539622442.8482115,60,1
107,1539622442.8543985,60,1
108,1539622442.8551106,172,-1
109,1539622442.8710861,60,1
110,1539622442.8828597,172,-1
111,1539622442.9032118,172,-1
112,1539622442.9186084,172,-1
113,1539622442.9207668,60,1
114,1539622442.931668,172,-1
115,1539622442.9467869,146,1
116,1539622442.9467907,92,1
117,1539622442.9599822,54,-1
118,1539622442.967595,172,-1
119,1539622442.970181,60,1
120,1539622442.9803228,172,-1
121,1539622442.9945304,172,-1
122,1539622443.0084593,172,-1
123,1539622443.0193667,60,1
124,1539622443.0431058,172,-1
125,1539622443.047142,60,1
126,1539622443.05764,172,-1
127,1539622443.0782251,172,-1
128,1539622443.0924625,172,-1
129,1539622443.0961215,60,1
130,1539622443.1274016,172,-1
131,1539622443.1310198,60,1
132,1539622443.1412752,172,-1
133,1539622443.155252,172,-1
134,1539622443.169725,172,-1
135,1539622443.1788893,60,1
136,1539622443.204015,172,-1
137,1539622443.2078245,60,1
138,1539622443.2181263,172,-1
139,1539622443.2326462,172,-1
140,1539622443.2530882,172,-1
141,1539622443.2637174,60,1
142,1539622443.2811413,172,-1
143,1539622443.2908874,60,1
144,1539622443.3025587,172,-1
145,1539622443.3159766,172,-1
146,1539622443.3300529,172,-1
147,1539622443.3406365,60,1
148,1539622443.3653026,172,-1
149,1539622443.3687012,60,1
150,1539622443.3793943,172,-1
151,1539622443.3931484,172,-1
152,1539622443.4149408,172,-1
153,1539622443.4177186,60,1
154,1539622443.4478004,172,-1
155,1539622443.4533165,60,1
156,1539622443.463049,172,-1
157,1539622443.4772928,172,-1
158,1539622443.491384,172,-1
159,1539622443.5012603,60,1
160,1539622443.5259764,172,-1
161,1539622443.5312295,60,1
162,1539622443.5403552,172,-1
163,1539622443.5541773,172,-1
164,1539622443.5750923,172,-1
165,1539622443.577892,60,1
166,1539622443.6032553,172,-1
167,1539622443.612555,60,1
168,1539622443.6172526,172,-1
169,1539622443.6382153,172,-1
170,1539622443.6525476,172,-1
171,1539622443.6553295,60,1
172,1539622443.6869397,172,-1
173,1539622443.6900096,60,1
174,1539622443.7011254,172,-1
175,1539622443.7164426,172,-1
176,1539622443.7305768,172,-1
177,1539622443.7392786,60,1
178,1539622443.7642932,172,-1
179,1539622443.7682705,60,1
180,1539622443.7785866,172,-1
181,1539622443.7992997,172,-1
182,1539622443.8131871,172,-1
183,1539622443.8167818,60,1
184,1539622443.8434613,172,-1
185,1539622443.8510914,60,1
186,1539622443.8625798,172,-1
187,1539622443.8762245,172,-1
188,1539622443.8906605,172,-1
189,1539622443.9006107,60,1
190,1539622443.9254553,172,-1
191,1539622443.9282312,60,1
192,1539622443.9394412,172,-1
193,1539622443.9533865,172,-1
194,1539622443.974508,172,-1
195,1539622443.9773545,60,1
196,1539622444.0010746,172,-1
197,1539622444.0124629,60,1
198,1539622444.0225143,172,-1
199,1539622444.0359333,172,-1
200,1539622444.0500612,172,-1
201,1539622444.0605323,60,1
202,1539622444.0875485,60,1
203,1539622444.0900161,172,-1
204,1539622444.102463,172,-1
205,1539622444.1139708,172,-1
206,1539622444.1406434,60,1
207,1539622444.165261,172,-1
208,1539622444.1654086,172,-1
209,1539622444.1831315,172,-1
210,1539622444.1972816,172,-1
211,1539622444.2030349,60,1
212,1539622444.2112446,172,-1
213,1539622444.2203572,60,1
214,1539622444.245984,172,-1
215,1539622444.2492304,60,1
216,1539622444.260355,172,-1
217,1539622444.27427,172,-1
218,1539622444.2950532,172,-1
219,1539622444.2982938,60,1
220,1539622444.3232615,172,-1
221,1539622444.3323123,60,1
222,1539622444.337071,172,-1
223,1539622444.3580558,172,-1
224,1539622444.3725486,172,-1
225,1539622444.3747804,60,1
226,1539622444.4069881,172,-1
227,1539622444.4102042,60,1
228,1539622444.4200907,172,-1
229,1539622444.4343543,172,-1
230,1539622444.455317,172,-1
231,1539622444.458093,60,1
232,1539622444.4834547,172,-1
233,1539622444.4932482,60,1
234,1539622444.5036144,172,-1
235,1539622444.517263,172,-1
236,1539622444.5332084,172,-1
237,1539622444.5419853,60,1
238,1539622444.569899,172,-1
239,1539622444.5707092,60,1
240,1539622444.5810583,172,-1
241,1539622444.5946534,172,-1
242,1539622444.608963,172,-1
243,1539622444.619263,60,1
244,1539622444.6434634,172,-1
245,1539622444.646879,60,1
246,1539622444.6576908,172,-1
247,1539622444.679193,172,-1
248,1539622444.6931558,172,-1
249,1539622444.6955464,60,1
250,1539622444.7273114,172,-1
251,1539622444.731136,60,1
252,1539622444.74182,172,-1
253,1539622444.755497,172,-1
254,1539622444.7691839,172,-1
255,1539622444.7882476,60,1
256,1539622444.804592,172,-1
257,1539622444.8106465,60,1
258,1539622444.8183863,172,-1
259,1539622444.8556666,60,1
260,1539622444.8807478,172,-1
261,1539622444.8809466,172,-1
