Serial number,time,size,direction
1,1543274580.0106277,100,1
2,1543274580.018543,100,-1
3,1543274580.0530663,60,1
4,1543274586.40546,286,-1
5,1543274586.406049,190,-1
6,1543274586.4060893,1514,-1
7,1543274586.4061375,1514,-1
8,1543274586.4061773,1514,-1
9,1543274586.4062185,722,-1
10,1543274586.4062533,132,-1
11,1543274586.4064245,180,-1
12,1543274586.4067569,1514,-1
13,1543274586.4068038,1514,-1
14,1543274586.4068353,79,-1
15,1543274586.4450114,60,1
16,1543274586.4452689,60,1
17,1543274586.4458826,60,1
18,1543274586.4458845,60,1
19,1543274586.4467301,127,-1
20,1543274586.4504454,1514,-1
21,1543274586.4513474,60,1
22,1543274586.4519706,1514,-1
23,1543274586.452038,1286,-1
24,1543274586.4520714,74,-1
25,1543274586.452367,60,1
26,1543274586.4523704,60,1
27,1543274586.4523728,60,1
28,1543274586.4523742,60,1
29,1543274586.4743297,1514,-1
30,1543274586.475249,1514,-1
31,1543274586.4752998,1514,-1
32,1543274586.475332,1514,-1
33,1543274586.475362,92,-1
34,1543274586.489398,172,-1
35,1543274586.4921634,60,1
36,1543274586.4925125,60,1
37,1543274586.4925148,60,1
38,1543274586.4929535,96,1
39,1543274586.4937,66,-1
40,1543274586.4953976,54,-1
41,1543274586.4965842,312,-1
42,1543274586.5101948,172,-1
43,1543274586.5183105,60,1
44,1543274586.5185437,60,1
45,1543274586.5244873,172,-1
46,1543274586.5351923,60,-1
47,1543274586.5361688,60,-1
48,1543274586.536171,191,-1
49,1543274586.5380306,54,-1
50,1543274586.5389185,172,-1
51,1543274586.5392098,105,-1
52,1543274586.5451922,60,1
53,1543274586.5623202,146,1
54,1543274586.5623252,92,1
55,1543274586.566221,54,-1
56,1543274586.5724318,172,-1
57,1543274586.5790281,60,1
58,1543274586.5860898,172,-1
59,1543274586.600369,172,-1
60,1543274586.6210845,172,-1
61,1543274586.6251543,60,1
62,1543274586.6327841,60,-1
63,1543274586.6340501,768,-1
64,1543274586.6488986,172,-1
65,1543274586.6640673,60,1
66,1543274586.6645675,172,-1
67,1543274586.676552,60,-1
68,1543274586.683852,172,-1
69,1543274586.685279,417,-1
70,1543274586.6868122,85,-1
71,1543274586.6868985,54,-1
72,1543274586.6978617,172,-1
73,1543274586.699751,60,1
74,1543274586.7267199,60,-1
75,1543274586.7279825,54,-1
76,1543274586.7325816,172,-1
77,1543274586.7331402,60,1
78,1543274586.7463498,172,-1
79,1543274586.7604504,172,-1
80,1543274586.7816386,172,-1
81,1543274586.7816968,60,1
82,1543274586.8089163,172,-1
83,1543274586.8218846,60,1
84,1543274586.8229249,172,-1
85,1543274586.8440604,172,-1
86,1543274586.8577933,172,-1
87,1543274586.862324,60,1
88,1543274586.8960211,60,1
89,1543274586.8978484,172,-1
90,1543274586.9083478,287,-1
91,1543274586.9119635,190,-1
92,1543274586.9134643,1514,-1
93,1543274586.913784,1514,-1
94,1543274586.9143827,1514,-1
95,1543274586.9144084,425,-1
96,1543274586.9144232,136,-1
97,1543274586.9231842,92,-1
98,1543274586.9233997,172,-1
99,1543274586.9471421,60,1
100,1543274586.9483638,290,-1
101,1543274586.953363,60,1
102,1543274586.9537542,60,1
103,1543274586.9583652,60,1
104,1543274586.9718,172,-1
105,1543274586.9838693,172,-1
106,1543274586.9845011,60,1
107,1543274587.004835,172,-1
108,1543274587.0194278,172,-1
109,1543274587.0203376,60,1
110,1543274587.044796,146,1
111,1543274587.045175,92,1
112,1543274587.046477,172,-1
113,1543274587.0677998,172,-1
114,1543274587.0829294,60,1
115,1543274587.107583,172,-1
116,1543274587.1077294,172,-1
117,1543274587.1308413,172,-1
118,1543274587.142519,60,1
119,1543274587.1451578,172,-1
120,1543274587.159168,172,-1
121,1543274587.1700792,60,1
122,1543274587.1800299,172,-1
123,1543274587.1955087,60,1
124,1543274587.2081428,172,-1
125,1543274587.2290108,172,-1
126,1543274587.2428703,172,-1
127,1543274587.2442522,60,1
128,1543274587.2572951,172,-1
129,1543274587.2791905,60,1
130,1543274587.291759,172,-1
131,1543274587.3059719,172,-1
132,1543274587.3204644,172,-1
133,1543274587.3267,60,1
134,1543274587.3402958,172,-1
135,1543274587.358198,60,1
136,1543274587.3680453,172,-1
137,1543274587.392567,172,-1
138,1543274587.4029632,172,-1
139,1543274587.4041603,60,1
140,1543274587.4169667,172,-1
141,1543274587.4427996,60,1
142,1543274587.4521754,172,-1
143,1543274587.4659858,172,-1
144,1543274587.4800284,172,-1
145,1543274587.4869034,60,1
146,1543274587.5033362,172,-1
147,1543274587.5156255,60,1
148,1543274587.5290232,172,-1
149,1543274587.5432909,172,-1
150,1543274587.5644858,172,-1
151,1543274587.574939,60,1
152,1543274587.5783856,172,-1
153,1543274587.6003642,60,1
154,1543274587.6130831,172,-1
155,1543274587.626564,172,-1
156,1543274587.642694,172,-1
157,1543274587.6510067,60,1
158,1543274587.660816,172,-1
159,1543274587.6824706,60,1
160,1543274587.6893308,172,-1
161,1543274587.703154,172,-1
162,1543274587.7237735,172,-1
163,1543274587.7252662,60,1
164,1543274587.7383351,172,-1
165,1543274587.7670512,60,1
166,1543274587.7732244,172,-1
167,1543274587.804085,172,-1
168,1543274587.804249,172,-1
169,1543274587.8083558,60,1
170,1543274587.8208413,172,-1
171,1543274587.8434691,60,1
172,1543274587.8488865,172,-1
173,1543274587.8631732,172,-1
174,1543274587.8837402,172,-1
175,1543274587.88698,60,1
176,1543274587.89786,172,-1
177,1543274587.919156,60,1
178,1543274587.9331725,172,-1
179,1543274587.9468691,172,-1
180,1543274587.9608593,172,-1
181,1543274587.9684832,60,1
182,1543274587.97791,172,-1
183,1543274587.9997168,60,1
184,1543274588.0099375,172,-1
185,1543274588.0238092,172,-1
186,1543274588.045734,172,-1
187,1543274588.046407,60,1
188,1543274588.0588481,172,-1
189,1543274588.0820684,60,1
190,1543274588.0932293,172,-1
191,1543274588.1082458,172,-1
192,1543274588.1218576,172,-1
193,1543274588.1283233,60,1
194,1543274588.1359859,172,-1
195,1543274588.1573358,60,1
196,1543274588.1704352,172,-1
197,1543274588.1835356,172,-1
198,1543274588.2037203,172,-1
199,1543274588.2066224,60,1
200,1543274588.218087,172,-1
201,1543274588.2390428,60,1
202,1543274588.2530863,172,-1
203,1543274588.266876,172,-1
204,1543274588.2811217,172,-1
205,1543274588.2877407,60,1
206,1543274588.2949865,172,-1
207,1543274588.3167515,60,1
208,1543274588.3300662,172,-1
209,1543274588.3443358,172,-1
210,1543274588.3652165,172,-1
211,1543274588.366662,60,1
212,1543274588.3792276,172,-1
213,1543274588.39999,60,1
214,1543274588.4075766,172,-1
215,1543274588.4287057,172,-1
216,1543274588.442445,172,-1
217,1543274588.4425693,60,1
218,1543274588.4570587,172,-1
219,1543274588.478304,60,1
220,1543274588.5075834,172,-1
221,1543274588.5077813,172,-1
222,1543274588.519457,172,-1
223,1543274588.5365887,60,1
224,1543274588.5401747,172,-1
225,1543274588.5429618,60,1
226,1543274588.5546799,60,1
227,1543274588.5682802,172,-1
228,1543274588.575799,60,1
229,1543274588.5886934,172,-1
230,1543274588.6023073,172,-1
231,1543274588.6037867,60,1
232,1543274588.616291,172,-1
233,1543274588.6240714,60,1
234,1543274588.6367373,60,1
235,1543274588.651558,60,1
236,1543274588.6538274,172,-1
237,1543274588.6653914,172,-1
238,1543274588.6791584,172,-1
239,1543274588.6890678,60,1
240,1543274588.7007396,172,-1
241,1543274588.7011433,60,1
242,1543274588.7161455,60,1
