Serial number,time,size,direction
1,1540248778.9642215,100,1
2,1540248778.9705884,100,-1
3,1540248779.0089962,60,1
4,1540248786.551347,641,-1
5,1540248786.552003,190,-1
6,1540248786.5520458,1514,-1
7,1540248786.5521085,1514,-1
8,1540248786.552166,1426,-1
9,1540248786.5522254,136,-1
10,1540248786.589633,60,1
11,1540248786.5943248,92,-1
12,1540248786.595851,66,1
13,1540248786.5968425,66,1
14,1540248786.5968454,66,1
15,1540248786.5968494,60,1
16,1540248786.5968516,60,1
17,1540248786.5968533,60,1
18,1540248786.598856,1514,-1
19,1540248786.6316283,60,1
20,1540248786.636664,60,1
21,1540248786.8189168,146,1
22,1540248786.8189209,92,1
23,1540248786.8213067,54,-1
24,1540248797.0847409,295,-1
25,1540248797.0849133,190,-1
26,1540248797.0903056,1514,-1
27,1540248797.090648,1514,-1
28,1540248797.0941486,79,-1
29,1540248797.123778,95,-1
30,1540248797.1241713,60,1
31,1540248797.128744,60,1
32,1540248797.1333048,60,1
33,1540248797.1340487,60,1
34,1540248797.140864,74,-1
35,1540248797.142484,1514,-1
36,1540248797.1428351,1514,-1
37,1540248797.14466,1514,-1
38,1540248797.144682,1514,-1
39,1540248797.1446996,1514,-1
40,1540248797.1785624,66,-1
41,1540248797.184999,60,1
42,1540248797.1850011,60,1
43,1540248797.1857514,60,1
44,1540248797.1857524,60,1
45,1540248797.193394,54,-1
46,1540248797.19418,312,-1
47,1540248797.1971061,1514,-1
48,1540248797.1974366,1514,-1
49,1540248797.1980703,1514,-1
50,1540248797.1980927,1514,-1
51,1540248797.1981108,341,-1
52,1540248797.2011936,172,-1
53,1540248797.2314034,60,-1
54,1540248797.2373574,60,-1
55,1540248797.2379568,191,-1
56,1540248797.2379582,60,1
57,1540248797.237959,60,1
58,1540248797.238633,60,1
59,1540248797.2386348,60,1
60,1540248797.2397127,54,-1
61,1540248797.24,290,-1
62,1540248797.2400198,105,-1
63,1540248797.2419043,60,1
64,1540248797.2679307,172,-1
65,1540248797.2772667,60,1
66,1540248797.2782018,172,-1
67,1540248797.2988663,172,-1
68,1540248797.3058598,60,1
69,1540248797.305862,146,1
70,1540248797.306748,92,1
71,1540248797.3122292,54,-1
72,1540248797.3145773,172,-1
73,1540248797.3199952,60,-1
74,1540248797.3251472,765,-1
75,1540248797.3367906,60,1
76,1540248797.347948,172,-1
77,1540248797.361357,172,-1
78,1540248797.3634458,60,-1
79,1540248797.369466,419,-1
80,1540248797.3713398,85,-1
81,1540248797.3715978,54,-1
82,1540248797.3753712,172,-1
83,1540248797.3851564,60,1
84,1540248797.3961089,172,-1
85,1540248797.4091046,60,-1
86,1540248797.4103994,54,-1
87,1540248797.4138067,60,1
88,1540248797.4332936,172,-1
89,1540248797.4382818,172,-1
90,1540248797.4590132,172,-1
91,1540248797.4731154,172,-1
92,1540248797.4740076,60,1
93,1540248797.4981487,60,1
94,1540248797.5141912,172,-1
95,1540248797.5439324,290,-1
96,1540248797.5506303,172,-1
97,1540248797.5512855,60,1
98,1540248797.5879557,172,-1
99,1540248797.588497,60,1
100,1540248797.5995314,172,-1
101,1540248797.6072965,288,-1
102,1540248797.6078937,190,-1
103,1540248797.608984,1514,-1
104,1540248797.6105494,1514,-1
105,1540248797.6371243,60,1
106,1540248797.639823,1338,-1
107,1540248797.6458938,60,1
108,1540248797.6513116,60,1
109,1540248797.6679842,172,-1
110,1540248797.6802938,96,1
111,1540248797.683242,172,-1
112,1540248797.697204,172,-1
113,1540248797.7114558,172,-1
114,1540248797.721219,60,1
115,1540248797.7491727,60,1
116,1540248797.7493327,172,-1
117,1540248797.7632303,172,-1
118,1540248797.785033,172,-1
119,1540248797.7882705,146,1
120,1540248797.7882729,92,1
121,1540248797.7945337,54,-1
122,1540248797.7983646,172,-1
123,1540248797.826531,60,1
124,1540248797.8354857,172,-1
125,1540248797.844234,172,-1
126,1540248797.858568,172,-1
127,1540248797.8724241,172,-1
128,1540248797.873227,60,1
129,1540248797.8977468,60,1
130,1540248797.9134657,172,-1
131,1540248797.922759,172,-1
132,1540248797.9352062,172,-1
133,1540248797.9521027,60,1
134,1540248797.9563472,172,-1
135,1540248797.9732444,60,1
136,1540248797.988077,172,-1
137,1540248797.9986649,172,-1
138,1540248798.019885,172,-1
139,1540248798.0255134,60,1
140,1540248798.0341387,172,-1
141,1540248798.0573564,60,1
142,1540248798.0734217,172,-1
143,1540248798.0814533,172,-1
144,1540248798.0954604,172,-1
145,1540248798.1117916,60,1
146,1540248798.1162918,172,-1
147,1540248798.1332746,60,1
148,1540248798.1481616,172,-1
149,1540248798.1600933,172,-1
150,1540248798.1794236,172,-1
151,1540248798.1857057,60,1
152,1540248798.193311,172,-1
153,1540248798.2173388,60,1
154,1540248798.2280116,172,-1
155,1540248798.2421334,172,-1
156,1540248798.2560248,172,-1
157,1540248798.2667046,60,1
158,1540248798.2721956,172,-1
159,1540248798.2942147,60,1
160,1540248798.3133166,172,-1
161,1540248798.3191772,172,-1
162,1540248798.3407464,172,-1
163,1540248798.3507504,60,1
164,1540248798.354231,172,-1
165,1540248798.3784323,60,1
166,1540248798.3933692,172,-1
167,1540248798.4065115,172,-1
168,1540248798.417345,172,-1
169,1540248798.4309995,60,1
170,1540248798.4313877,172,-1
171,1540248798.4679375,172,-1
172,1540248798.4717567,60,1
173,1540248798.4801247,172,-1
174,1540248798.4941316,172,-1
175,1540248798.5054855,60,1
176,1540248798.5322344,60,1
177,1540248798.535627,172,-1
178,1540248798.5441754,172,-1
179,1540248798.5583906,172,-1
180,1540248798.579755,172,-1
181,1540248798.5821376,60,1
182,1540248798.5929282,172,-1
183,1540248798.6182501,60,1
184,1540248798.6334145,172,-1
185,1540248798.641403,172,-1
186,1540248798.655189,172,-1
187,1540248798.6710014,60,1
188,1540248798.6762416,172,-1
189,1540248798.6933281,60,1
190,1540248798.7139351,172,-1
191,1540248798.7199893,172,-1
192,1540248798.7393537,172,-1
193,1540248798.753413,60,1
194,1540248798.7536056,172,-1
195,1540248798.7852345,60,1
196,1540248798.796831,172,-1
197,1540248798.8060212,172,-1
198,1540248798.8194432,172,-1
199,1540248798.8340313,172,-1
200,1540248798.834622,60,1
201,1540248798.8573725,60,1
202,1540248798.8733125,172,-1
203,1540248798.8794131,172,-1
204,1540248798.900136,172,-1
205,1540248798.910649,60,1
206,1540248798.9140713,172,-1
207,1540248798.9389644,60,1
208,1540248798.953426,172,-1
209,1540248798.9631865,172,-1
210,1540248798.9773529,172,-1
211,1540248798.991675,172,-1
212,1540248798.9931328,60,1
213,1540248799.016002,60,1
214,1540248799.0284243,172,-1
215,1540248799.0403864,172,-1
216,1540248799.0545762,172,-1
217,1540248799.0678444,60,1
218,1540248799.0751936,172,-1
219,1540248799.0969045,60,1
220,1540248799.1134448,172,-1
221,1540248799.118508,172,-1
222,1540248799.1390085,172,-1
223,1540248799.1507633,60,1
224,1540248799.1523802,172,-1
225,1540248799.1772528,60,1
226,1540248799.1934216,172,-1
227,1540248799.201206,172,-1
228,1540248799.216948,434,1
229,1540248799.232539,699,1
230,1540248799.2409346,172,-1
231,1540248799.2410817,172,-1
232,1540248799.2550535,54,-1
233,1540248799.2553039,136,-1
234,1540248799.2553825,92,-1
235,1540248799.2679398,74,-1
236,1540248799.279094,60,1
237,1540248799.2972422,60,1
238,1540248799.3072517,66,-1
239,1540248799.3098426,54,-1
240,1540248799.3131833,312,-1
241,1540248799.3493154,60,-1
242,1540248799.3543239,60,-1
243,1540248799.3546352,191,-1
244,1540248799.3584843,54,-1
245,1540248799.361085,105,-1
246,1540248799.4471366,60,-1
247,1540248799.4485502,811,-1
248,1540248799.4506907,1514,1
249,1540248799.4508667,1514,1
250,1540248799.4513633,1514,1
251,1540248799.4514945,1514,1
252,1540248799.451647,1514,1
253,1540248799.4517586,1514,1
254,1540248799.4518692,1514,1
255,1540248799.4519835,1514,1
256,1540248799.4521763,1514,1
257,1540248799.4523795,1514,1
258,1540248799.4529793,54,-1
259,1540248799.4541492,54,-1
260,1540248799.4550474,54,-1
261,1540248799.4560797,54,-1
262,1540248799.4569535,54,-1
263,1540248799.4877214,60,-1
264,1540248799.4914489,304,1
265,1540248799.4932573,419,-1
266,1540248799.4952624,85,-1
267,1540248799.4954374,54,-1
268,1540248799.5079231,74,-1
269,1540248799.5352046,60,-1
270,1540248799.5367496,54,-1
271,1540248799.5369468,54,-1
272,1540248799.547122,66,-1
273,1540248799.548737,54,-1
274,1540248799.549979,312,-1
275,1540248799.5887501,60,-1
276,1540248799.592639,60,-1
277,1540248799.593009,191,-1
278,1540248799.5944862,54,-1
279,1540248799.5998166,105,-1
280,1540248799.6967409,60,-1
281,1540248799.7045636,786,-1
282,1540248799.7429457,60,-1
283,1540248799.7481291,419,-1
284,1540248799.7603817,85,-1
285,1540248799.760615,54,-1
286,1540248799.798815,60,-1
287,1540248799.800149,288,-1
288,1540248799.80195,190,-1
289,1540248799.8024104,54,-1
290,1540248799.8028266,1514,-1
291,1540248799.8028646,1514,-1
292,1540248799.8028812,974,-1
293,1540248799.8036616,60,-1
294,1540248799.8082607,136,-1
295,1540248799.8442373,60,1
296,1540248799.8445075,60,1
297,1540248799.8508253,1514,-1
298,1540248799.8529959,1514,-1
299,1540248799.8531857,1514,-1
300,1540248799.85328,1514,-1
301,1540248799.8533301,1514,-1
302,1540248799.8825207,475,1
303,1540248799.8845584,1465,-1
304,1540248799.8933794,74,-1
305,1540248799.8949027,60,1
306,1540248799.8958538,60,1
307,1540248799.9092581,146,1
308,1540248799.9092617,92,1
309,1540248799.9320676,66,-1
310,1540248799.938213,146,1
311,1540248799.9382167,92,1
312,1540248799.9390004,54,-1
313,1540248799.94007,54,-1
314,1540248799.9427037,312,-1
315,1540248799.9439359,54,-1
316,1540248799.979252,60,-1
317,1540248799.9834018,60,-1
318,1540248799.9837532,191,-1
319,1540248799.995714,54,-1
320,1540248799.995993,105,-1
321,1540248799.998399,146,1
322,1540248799.998405,92,1
323,1540248800.003313,54,-1
324,1540248800.0854616,60,-1
325,1540248800.0902643,798,-1
326,1540248800.1280832,60,-1
327,1540248800.1340854,419,-1
328,1540248800.1533449,85,-1
329,1540248800.153489,54,-1
330,1540248800.1537333,146,1
331,1540248800.1540892,92,1
332,1540248800.1624079,54,-1
333,1540248800.191178,60,-1
334,1540248800.1928086,54,-1
335,1540248800.1955817,60,-1
336,1540248801.8372838,286,-1
337,1540248801.8376687,1514,-1
338,1540248801.8377087,1514,-1
339,1540248801.8377266,1118,-1
340,1540248801.8377438,136,-1
341,1540248801.837833,92,-1
342,1540248801.8815262,60,1
343,1540248801.9622943,146,1
344,1540248801.963196,92,1
345,1540248801.9651892,1514,-1
346,1540248801.9666183,1514,-1
347,1540248801.9668286,1472,-1
348,1540248801.9669943,54,-1
349,1540248802.0096343,60,1
350,1540248802.057942,60,1
351,1540248802.121048,146,1
352,1540248802.1213996,92,1
353,1540248802.1532257,54,-1
354,1540248802.3080628,286,-1
355,1540248802.3097641,190,-1
356,1540248802.3112183,1514,-1
357,1540248802.3115165,1514,-1
358,1540248802.3118975,978,-1
359,1540248802.3119655,136,-1
360,1540248802.3121924,92,-1
361,1540248802.3459501,60,1
362,1540248802.3522024,60,1
363,1540248802.3522098,60,1
364,1540248802.3522124,60,1
365,1540248802.352215,60,1
366,1540248802.3522167,60,1
367,1540248802.4312234,146,1
368,1540248802.4312294,92,1
369,1540248802.4366589,54,-1
370,1540248808.9651866,100,1
371,1540248808.971238,100,-1
372,1540248809.025565,60,1
373,1540248828.4738693,295,-1
374,1540248828.5143957,146,-1
375,1540248828.5196855,54,-1
376,1540248833.0618036,287,-1
377,1540248833.0643277,79,-1
378,1540248833.065642,190,-1
379,1540248833.0662036,1514,-1
380,1540248833.067729,1514,-1
381,1540248833.0677707,1279,-1
382,1540248833.0677998,132,-1
383,1540248833.0688043,180,-1
384,1540248833.0756097,1514,-1
385,1540248833.0913947,95,-1
386,1540248833.099928,60,1
387,1540248833.1061652,60,1
388,1540248833.1071136,60,1
389,1540248833.1096056,74,-1
390,1540248833.111362,1514,-1
391,1540248833.1116114,60,1
392,1540248833.1116142,60,1
393,1540248833.1116161,60,1
394,1540248833.1124704,1514,-1
395,1540248833.1125185,1514,-1
396,1540248833.1130133,394,-1
397,1540248833.113348,96,1
398,1540248833.1466508,54,-1
399,1540248833.151161,66,-1
400,1540248833.152677,54,-1
401,1540248833.154013,312,-1
402,1540248833.1559575,60,1
403,1540248833.1563883,60,1
404,1540248833.1897166,1514,-1
405,1540248833.1903703,1514,-1
406,1540248833.1904573,1514,-1
407,1540248833.1918466,1514,-1
408,1540248833.191896,732,-1
409,1540248833.1947808,60,-1
410,1540248833.1995037,60,-1
411,1540248833.199506,191,-1
412,1540248833.2035124,172,-1
413,1540248833.2038784,54,-1
414,1540248833.204031,105,-1
415,1540248833.2174919,172,-1
416,1540248833.224173,146,1
417,1540248833.2241766,92,1
418,1540248833.2260804,54,-1
419,1540248833.2262287,54,-1
420,1540248833.233221,172,-1
421,1540248833.234655,60,1
422,1540248833.2350688,60,1
423,1540248833.2640314,60,1
424,1540248833.2756295,172,-1
425,1540248833.2789862,172,-1
426,1540248833.291541,60,-1
427,1540248833.2928336,767,-1
428,1540248833.3000336,172,-1
429,1540248833.3144338,172,-1
430,1540248833.3185525,60,1
431,1540248833.3217852,60,1
