Serial number,time,size,direction
1,1543287838.1911106,66,1
2,1543287838.2380095,66,-1
3,1543287840.0641975,100,-1
4,1543287840.0713913,100,-1
5,1543287840.1084023,60,-1
6,1543287843.9823065,287,-1
7,1543287843.982472,190,-1
8,1543287843.9828422,1514,-1
9,1543287843.9828818,1514,-1
10,1543287843.982922,1514,-1
11,1543287843.982966,837,-1
12,1543287843.982991,132,-1
13,1543287843.9830964,180,-1
14,1543287843.987484,79,-1
15,1543287844.0148196,127,-1
16,1543287844.020977,60,-1
17,1543287844.0211067,60,-1
18,1543287844.0219152,60,-1
19,1543287844.0219164,60,-1
20,1543287844.0221074,60,-1
21,1543287844.0231342,74,-1
22,1543287844.0236003,1514,-1
23,1543287844.024542,1514,-1
24,1543287844.0248966,1514,-1
25,1543287844.0254025,1514,-1
26,1543287844.0254257,1384,-1
27,1543287844.0466585,1514,-1
28,1543287844.048377,1514,-1
29,1543287844.0484164,1514,-1
30,1543287844.067691,66,-1
31,1543287844.0690866,54,-1
32,1543287844.0739546,60,-1
33,1543287844.074405,60,-1
34,1543287844.0784953,312,-1
35,1543287844.0788362,1514,-1
36,1543287844.0801654,328,-1
37,1543287844.0839076,60,-1
38,1543287844.0870905,172,-1
39,1543287844.0892856,60,-1
40,1543287844.1077003,172,-1
41,1543287844.1109242,60,-1
42,1543287844.118365,60,-1
43,1543287844.122629,60,-1
44,1543287844.1229372,191,-1
45,1543287844.1229384,60,-1
46,1543287844.126425,54,-1
47,1543287844.1283574,105,-1
48,1543287844.1299214,60,-1
49,1543287844.1357856,172,-1
50,1543287844.144316,60,-1
51,1543287844.1470993,146,-1
52,1543287844.1471012,92,-1
53,1543287844.1487455,54,-1
54,1543287844.1572561,172,-1
55,1543287844.170011,172,-1
56,1543287844.1889632,172,-1
57,1543287844.2022865,60,-1
58,1543287844.214748,60,-1
59,1543287844.217467,766,-1
60,1543287844.2205129,172,-1
61,1543287844.2233038,60,-1
62,1543287844.232601,172,-1
63,1543287844.246714,172,-1
64,1543287844.2605124,60,-1
65,1543287844.268258,172,-1
66,1543287844.26841,417,-1
67,1543287844.26903,60,-1
68,1543287844.2706113,85,-1
69,1543287844.2707973,54,-1
70,1543287844.295611,172,-1
71,1543287844.3049648,60,-1
72,1543287844.3139873,60,-1
73,1543287844.3162568,54,-1
74,1543287844.3166814,172,-1
75,1543287844.331385,172,-1
76,1543287844.3449414,172,-1
77,1543287844.3530278,60,-1
78,1543287844.383308,60,-1
79,1543287844.4668922,172,-1
80,1543287844.467107,172,-1
81,1543287844.467202,172,-1
82,1543287844.4673,172,-1
83,1543287844.467382,172,-1
84,1543287844.4770415,172,-1
85,1543287844.490493,172,-1
86,1543287844.4951744,287,-1
87,1543287844.5038211,60,-1
88,1543287844.5259411,60,-1
89,1543287844.5740247,60,-1
90,1543287844.6244934,1514,-1
91,1543287844.6248338,1514,-1
92,1543287844.624861,1514,-1
93,1543287844.6250443,914,-1
94,1543287844.6250644,172,-1
95,1543287844.625205,408,-1
96,1543287844.6252222,172,-1
97,1543287844.6308188,172,-1
98,1543287844.6620972,60,-1
99,1543287844.6631033,60,-1
100,1543287844.664049,96,-1
101,1543287844.7141514,60,-1
102,1543287844.731156,644,-1
103,1543287844.7436056,172,-1
104,1543287844.7683125,60,-1
105,1543287844.7787864,172,-1
106,1543287844.7791717,60,-1
107,1543287844.7921793,172,-1
108,1543287844.8064055,172,-1
109,1543287844.8172765,60,-1
110,1543287844.8292346,146,-1
111,1543287844.829237,92,-1
112,1543287844.8429673,60,-1
113,1543287844.8485205,172,-1
114,1543287844.8708913,172,-1
115,1543287844.9080753,60,-1
116,1543287844.9103909,172,-1
117,1543287844.9105518,172,-1
118,1543287844.9106436,172,-1
119,1543287844.919619,54,-1
120,1543287844.9403167,172,-1
121,1543287844.9477649,60,-1
122,1543287845.0330358,60,-1
123,1543287845.0446973,172,-1
124,1543287845.0451865,172,-1
125,1543287845.0453842,172,-1
126,1543287845.0457947,172,-1
127,1543287845.052141,172,-1
128,1543287845.065721,172,-1
129,1543287845.082738,60,-1
130,1543287845.1012197,172,-1
131,1543287845.1106195,66,-1
132,1543287845.1106222,66,-1
133,1543287845.1106234,66,-1
134,1543287845.1133249,172,-1
135,1543287845.1149912,172,-1
136,1543287845.136461,66,-1
137,1543287845.1530378,60,-1
138,1543287845.153556,290,-1
139,1543287845.179308,172,-1
140,1543287845.1913018,60,-1
141,1543287845.1930103,172,-1
142,1543287845.2140431,172,-1
143,1543287845.216542,60,-1
144,1543287845.2285578,172,-1
145,1543287845.2317176,60,-1
146,1543287845.250604,60,-1
147,1543287845.2545192,172,-1
148,1543287845.2672148,60,-1
149,1543287845.275631,172,-1
150,1543287845.2904723,172,-1
151,1543287845.2905996,60,-1
152,1543287845.303887,172,-1
153,1543287845.3200085,60,-1
154,1543287845.3297007,60,-1
155,1543287845.3391685,172,-1
156,1543287845.3404374,60,-1
157,1543287845.354255,172,-1
158,1543287845.368116,172,-1
159,1543287845.3752193,60,-1
160,1543287845.3877945,172,-1
161,1543287845.3894746,60,-1
162,1543287845.4040453,60,-1
163,1543287845.4162965,172,-1
164,1543287845.4234166,60,-1
165,1543287845.4371843,172,-1
166,1543287845.450608,172,-1
167,1543287845.452134,60,-1
168,1543287845.4653978,172,-1
169,1543287845.4739795,60,-1
170,1543287845.48717,60,-1
171,1543287845.5001903,172,-1
172,1543287845.5019116,60,-1
173,1543287845.5139005,172,-1
174,1543287845.528231,172,-1
175,1543287845.5361903,60,-1
176,1543287845.5489058,172,-1
177,1543287845.5493226,60,-1
178,1543287845.5643578,60,-1
179,1543287845.5772667,172,-1
180,1543287845.5845282,60,-1
181,1543287845.5906544,172,-1
182,1543287845.6115136,172,-1
183,1543287845.6129663,60,-1
184,1543287845.6255794,172,-1
185,1543287845.6269572,60,-1
186,1543287845.647025,60,-1
187,1543287845.6613374,172,-1
188,1543287845.6626103,60,-1
189,1543287845.6750097,172,-1
190,1543287845.688643,172,-1
191,1543287845.6977427,60,-1
192,1543287845.7030852,172,-1
193,1543287845.7107108,60,-1
194,1543287845.7236629,60,-1
195,1543287845.7374067,172,-1
196,1543287845.739895,60,-1
197,1543287845.7514522,172,-1
198,1543287845.7734637,60,-1
199,1543287845.7736049,172,-1
200,1543287845.786675,172,-1
201,1543287845.787606,60,-1
202,1543287845.8105474,60,-1
203,1543287845.8146937,172,-1
204,1543287845.8228917,60,-1
205,1543287845.85165,60,-1
206,1543287845.8530388,172,-1
207,1543287845.853147,172,-1
208,1543287845.8633566,172,-1
209,1543287845.8892205,60,-1
210,1543287845.8985775,172,-1
211,1543287845.905653,60,-1
212,1543287845.9124715,172,-1
213,1543287845.9277723,172,-1
214,1543287845.9340596,60,-1
215,1543287845.9484065,60,-1
216,1543287845.9562595,172,-1
217,1543287845.9632747,60,-1
218,1543287845.9775276,172,-1
219,1543287845.9916456,60,-1
220,1543287845.9969628,172,-1
221,1543287846.0122087,172,-1
222,1543287846.0136456,60,-1
223,1543287846.025167,172,-1
224,1543287846.0346308,60,-1
225,1543287846.0480938,60,-1
226,1543287846.060412,172,-1
227,1543287846.0621774,60,-1
228,1543287846.073706,172,-1
229,1543287846.0878792,172,-1
230,1543287846.0973825,60,-1
231,1543287846.109005,172,-1
232,1543287846.1119587,60,-1
233,1543287846.123444,60,-1
234,1543287846.142033,172,-1
235,1543287846.1438274,60,-1
236,1543287846.1554677,172,-1
237,1543287846.1733532,172,-1
238,1543287846.1782317,60,-1
239,1543287846.187074,172,-1
240,1543287846.191317,60,-1
241,1543287846.209286,60,-1
242,1543287846.220721,172,-1
243,1543287846.2230182,60,-1
244,1543287846.234826,172,-1
245,1543287846.2495115,172,-1
246,1543287846.2569728,60,-1
247,1543287846.2632842,172,-1
248,1543287846.279969,60,-1
249,1543287846.2861164,60,-1
250,1543287846.2986152,172,-1
251,1543287846.299121,60,-1
252,1543287846.3132553,172,-1
253,1543287846.3327463,172,-1
254,1543287846.3360133,60,-1
255,1543287846.3473418,172,-1
256,1543287846.352043,60,-1
257,1543287846.3696816,60,-1
258,1543287846.374703,172,-1
259,1543287846.3863208,60,-1
260,1543287846.3955657,172,-1
261,1543287846.409698,172,-1
262,1543287846.411336,60,-1
263,1543287846.4239717,172,-1
264,1543287846.4314063,60,-1
265,1543287846.4461813,60,-1
266,1543287846.4591646,434,-1
267,1543287846.4593155,172,-1
268,1543287846.4648473,136,-1
269,1543287846.465495,92,-1
270,1543287846.478729,707,-1
271,1543287846.4994903,74,-1
272,1543287846.5011382,60,-1
273,1543287846.51495,54,-1
274,1543287846.53896,66,-1
275,1543287846.5530052,60,-1
276,1543287846.5533447,54,-1
277,1543287846.5551488,312,-1
278,1543287846.5929666,60,-1
279,1543287846.5977588,60,-1
280,1543287846.5980995,191,-1
281,1543287846.5994756,54,-1
282,1543287846.6015346,105,-1
283,1543287846.6943583,60,-1
284,1543287846.6999173,808,-1
285,1543287846.7407248,60,-1
286,1543287846.7407286,460,-1
287,1543287846.745913,417,-1
288,1543287846.7489002,54,-1
289,1543287846.7525535,85,-1
290,1543287846.752819,54,-1
291,1543287846.76016,74,-1
292,1543287846.792957,60,-1
293,1543287846.796631,54,-1
294,1543287846.8011649,66,-1
295,1543287846.8028078,54,-1
296,1543287846.8086243,312,-1
297,1543287846.846271,60,-1
298,1543287846.846609,1514,-1
299,1543287846.846799,1514,-1
300,1543287846.8469565,1514,-1
301,1543287846.8470926,1514,-1
302,1543287846.8471856,1514,-1
303,1543287846.847312,1514,-1
304,1543287846.8474302,1514,-1
305,1543287846.8476534,1514,-1
306,1543287846.8479102,1514,-1
307,1543287846.8482525,1514,-1
308,1543287846.8513868,60,-1
309,1543287846.8516788,191,-1
310,1543287846.851743,54,-1
311,1543287846.8518963,54,-1
312,1543287846.8526323,54,-1
313,1543287846.8529165,54,-1
314,1543287846.8542032,54,-1
315,1543287846.854472,54,-1
316,1543287846.855559,54,-1
317,1543287846.855796,54,-1
318,1543287846.8566813,54,-1
319,1543287846.8568285,54,-1
320,1543287846.8574982,54,-1
321,1543287846.8584218,105,-1
322,1543287846.888144,1514,-1
323,1543287846.8883948,1514,-1
324,1543287846.8886046,1514,-1
325,1543287846.888819,1514,-1
326,1543287846.8916922,54,-1
327,1543287846.8920286,54,-1
328,1543287846.892158,54,-1
329,1543287846.8929238,54,-1
330,1543287846.8936412,1514,-1
331,1543287846.893816,1514,-1
332,1543287846.8939705,1514,-1
333,1543287846.89409,1514,-1
334,1543287846.8941998,1514,-1
335,1543287846.8942966,1514,-1
336,1543287846.8944266,1514,-1
337,1543287846.8945441,1514,-1
338,1543287846.8946838,1514,-1
339,1543287846.8947968,1514,-1
340,1543287846.8949537,1514,-1
341,1543287846.8950999,1514,-1
342,1543287846.8952594,837,-1
343,1543287846.8966842,54,-1
344,1543287846.8981047,54,-1
345,1543287846.907315,54,-1
346,1543287846.9075952,54,-1
347,1543287846.9077408,54,-1
348,1543287846.9079359,54,-1
349,1543287846.9081092,54,-1
350,1543287846.9126189,74,-1
351,1543287846.913215,96,-1
352,1543287846.9506407,60,-1
353,1543287846.9517279,60,-1
354,1543287846.9527836,66,-1
355,1543287846.9554896,778,-1
356,1543287846.9556346,54,-1
357,1543287846.957204,312,-1
358,1543287846.9957228,60,-1
359,1543287846.9985316,60,-1
360,1543287846.9997914,60,-1
361,1543287846.999794,191,-1
362,1543287847.0026975,417,-1
363,1543287847.0069606,54,-1
364,1543287847.0111318,105,-1
365,1543287847.011292,85,-1
366,1543287847.0113814,54,-1
367,1543287847.0239167,644,-1
368,1543287847.0257723,1514,-1
369,1543287847.0258353,1514,-1
370,1543287847.025868,1514,-1
371,1543287847.0259013,668,-1
372,1543287847.0259209,136,-1
373,1543287847.053528,60,-1
374,1543287847.0552232,54,-1
375,1543287847.059726,60,-1
376,1543287847.061474,1514,-1
377,1543287847.0714986,60,-1
378,1543287847.0715034,60,-1
379,1543287847.0715046,60,-1
380,1543287847.075381,1514,-1
381,1543287847.0763478,1514,-1
382,1543287847.0763927,1074,-1
383,1543287847.0958104,60,-1
384,1543287847.0980248,60,-1
385,1543287847.100067,784,-1
386,1543287847.1153967,60,-1
387,1543287847.1153991,60,-1
388,1543287847.1376781,60,-1
389,1543287847.1429105,417,-1
390,1543287847.1453676,288,-1
391,1543287847.1479425,85,-1
392,1543287847.1481476,54,-1
393,1543287847.1491914,190,-1
394,1543287847.1513548,1514,-1
395,1543287847.1513786,1514,-1
396,1543287847.151395,1514,-1
397,1543287847.1514113,403,-1
398,1543287847.1689658,146,-1
399,1543287847.1689682,92,-1
400,1543287847.17092,54,-1
401,1543287847.181527,60,-1
402,1543287847.1828213,174,-1
403,1543287847.1837888,475,-1
404,1543287847.187511,60,-1
405,1543287847.188824,54,-1
406,1543287847.192334,60,-1
407,1543287847.192338,60,-1
408,1543287847.1935759,74,-1
409,1543287847.2176182,146,-1
410,1543287847.2176208,92,-1
411,1543287847.2191339,54,-1
412,1543287847.2220097,146,-1
413,1543287847.2220106,92,-1
414,1543287847.2300355,66,-1
415,1543287847.2531888,54,-1
416,1543287847.2546098,54,-1
417,1543287847.260059,312,-1
418,1543287847.285769,54,-1
419,1543287847.2956815,60,-1
420,1543287847.2981238,146,-1
421,1543287847.2981262,92,-1
422,1543287847.3000224,60,-1
423,1543287847.30036,191,-1
424,1543287847.3018372,54,-1
425,1543287847.3031368,54,-1
426,1543287847.3173044,54,-1
427,1543287847.3177013,105,-1
428,1543287847.3989391,60,-1
429,1543287847.4035811,795,-1
430,1543287847.441009,60,-1
431,1543287847.4469156,417,-1
432,1543287847.4508038,85,-1
433,1543287847.450954,54,-1
434,1543287847.489345,60,-1
435,1543287847.4931984,60,-1
436,1543287847.493688,54,-1
437,1543287851.6289477,287,-1
438,1543287851.6325247,190,-1
439,1543287851.6328177,1514,-1
