Serial number,time,size,direction
1,1540245808.733815,60,1
2,1540245808.9681299,100,-1
3,1540245808.973907,100,-1
4,1540245809.01093,60,-1
5,1540245829.7992148,287,-1
6,1540245829.799658,190,-1
7,1540245829.7997315,1514,-1
8,1540245829.800104,1514,-1
9,1540245829.8001475,1150,-1
10,1540245829.800177,132,-1
11,1540245829.800485,180,-1
12,1540245829.8005197,1514,-1
13,1540245829.800692,112,-1
14,1540245829.8168104,285,-1
15,1540245829.8362634,60,-1
16,1540245829.838355,1514,-1
17,1540245829.8388224,1514,-1
18,1540245829.8388646,79,-1
19,1540245829.843254,60,-1
20,1540245829.8441927,60,-1
21,1540245829.8441963,60,-1
22,1540245829.844198,60,-1
23,1540245829.8451164,1362,-1
24,1540245829.854266,60,-1
25,1540245829.868388,95,-1
26,1540245829.8727195,74,-1
27,1540245829.8737893,1514,-1
28,1540245829.8757412,1514,-1
29,1540245829.8757849,1514,-1
30,1540245829.875817,1072,-1
31,1540245829.8761232,60,-1
32,1540245829.8821607,60,-1
33,1540245829.886518,60,-1
34,1540245829.9001558,172,-1
35,1540245829.9112768,66,-1
36,1540245829.9136367,54,-1
37,1540245829.9142382,172,-1
38,1540245829.9159896,312,-1
39,1540245829.9167576,60,-1
40,1540245829.9168985,60,-1
41,1540245829.9172082,96,-1
42,1540245829.9383092,172,-1
43,1540245829.9482145,172,-1
44,1540245829.9513257,145,-1
45,1540245829.9513285,92,-1
46,1540245829.9522057,60,-1
47,1540245829.953323,54,-1
48,1540245829.9579773,60,-1
49,1540245829.9579792,191,-1
50,1540245829.9716246,54,-1
51,1540245829.9741192,105,-1
52,1540245829.9753275,60,-1
53,1540245829.9838142,172,-1
54,1540245829.9973156,172,-1
55,1540245830.0110943,172,-1
56,1540245830.0233533,60,-1
57,1540245830.0485687,60,-1
58,1540245830.0602708,60,-1
59,1540245830.0605152,172,-1
60,1540245830.0606952,172,-1
61,1540245830.0622978,765,-1
62,1540245830.0759344,172,-1
63,1540245830.095416,172,-1
64,1540245830.0988529,60,-1
65,1540245830.1050081,60,-1
66,1540245830.1094005,172,-1
67,1540245830.111203,419,-1
68,1540245830.1133974,85,-1
69,1540245830.113574,54,-1
70,1540245830.132552,60,-1
71,1540245830.1373334,172,-1
72,1540245830.153252,60,-1
73,1540245830.1547153,54,-1
74,1540245830.1586957,172,-1
75,1540245830.1716943,172,-1
76,1540245830.1774564,60,-1
77,1540245830.1861424,172,-1
78,1540245830.2100751,60,-1
79,1540245830.2204902,172,-1
80,1540245830.2362719,172,-1
81,1540245830.2563334,172,-1
82,1540245830.2583914,60,-1
83,1540245830.2697904,172,-1
84,1540245830.2933624,60,-1
85,1540245830.297561,172,-1
86,1540245830.318436,285,-1
87,1540245830.3189857,190,-1
88,1540245830.3200042,1514,-1
89,1540245830.3205533,1514,-1
90,1540245830.3206027,853,-1
91,1540245830.3208146,136,-1
92,1540245830.3211899,92,-1
93,1540245830.3213658,172,-1
94,1540245830.3327718,172,-1
95,1540245830.3347862,60,-1
96,1540245830.3466206,172,-1
97,1540245830.3615916,60,-1
98,1540245830.3630035,60,-1
99,1540245830.3832064,172,-1
100,1540245830.38336,60,-1
101,1540245830.3958964,172,-1
102,1540245830.410418,172,-1
103,1540245830.431034,172,-1
104,1540245830.4335237,60,-1
105,1540245830.4562747,145,-1
106,1540245830.4562821,92,-1
107,1540245830.4583077,172,-1
108,1540245830.495425,60,-1
109,1540245830.4989803,172,-1
110,1540245830.499227,172,-1
111,1540245830.5080445,172,-1
112,1540245830.5365963,60,-1
113,1540245830.5437284,172,-1
114,1540245830.557026,172,-1
115,1540245830.5707314,172,-1
116,1540245830.5817728,60,-1
117,1540245830.59156,172,-1
118,1540245830.6088195,60,-1
119,1540245830.6198113,172,-1
120,1540245830.6338193,172,-1
121,1540245830.65457,172,-1
122,1540245830.657952,60,-1
123,1540245830.6688316,172,-1
124,1540245830.6914139,60,-1
125,1540245830.7035818,172,-1
126,1540245830.7173982,172,-1
127,1540245830.7317882,172,-1
128,1540245830.7414615,60,-1
129,1540245830.7458348,172,-1
130,1540245830.769386,60,-1
131,1540245830.7804532,172,-1
132,1540245830.7948534,172,-1
133,1540245830.81577,172,-1
134,1540245830.817833,60,-1
135,1540245830.8297017,172,-1
136,1540245830.853019,60,-1
137,1540245830.8579624,172,-1
