Serial number,time,size,direction
1,1541449886.2421262,100,1
2,1541449886.2481751,100,-1
3,1541449886.2868648,60,1
4,1541449893.697774,66,-1
5,1541449893.8575392,54,-1
6,1541449900.9370067,286,-1
7,1541449900.9373343,190,-1
8,1541449900.9403281,1514,-1
9,1541449900.9414134,1514,-1
10,1541449900.9414618,1514,-1
11,1541449900.9414933,1514,-1
12,1541449900.9415236,313,-1
13,1541449900.953979,79,-1
14,1541449900.9569666,286,-1
15,1541449900.9583,190,-1
16,1541449900.969404,1514,-1
17,1541449900.9754882,60,1
18,1541449900.9774885,1514,-1
19,1541449900.9790452,95,-1
20,1541449900.9791067,1514,-1
21,1541449900.9813938,60,1
22,1541449900.9821932,74,-1
23,1541449900.98238,60,1
24,1541449900.9823825,60,1
25,1541449900.9823847,60,1
26,1541449900.982386,60,1
27,1541449900.9831707,89,-1
28,1541449901.0154216,60,1
29,1541449901.0154264,60,1
30,1541449901.0154285,60,1
31,1541449901.0157614,60,1
32,1541449901.018866,66,-1
33,1541449901.0205176,54,-1
34,1541449901.021237,60,1
35,1541449901.0267015,60,1
36,1541449901.028572,312,-1
37,1541449901.03838,1514,-1
38,1541449901.0394602,1514,-1
39,1541449901.039514,1514,-1
40,1541449901.039544,1514,-1
41,1541449901.0395896,252,-1
42,1541449901.058514,172,-1
43,1541449901.064015,60,-1
44,1541449901.0681446,60,-1
45,1541449901.0684605,191,-1
46,1541449901.0708342,54,-1
47,1541449901.0726376,105,-1
48,1541449901.0729175,172,-1
49,1541449901.0806494,60,1
50,1541449901.0835953,60,1
51,1541449901.0835981,60,1
52,1541449901.0835998,60,1
53,1541449901.086415,172,-1
54,1541449901.0955558,60,1
55,1541449901.1077013,146,1
56,1541449901.1077049,92,1
57,1541449901.109432,54,-1
58,1541449901.1208267,172,-1
59,1541449901.1242714,60,1
60,1541449901.1345763,172,-1
61,1541449901.1487064,172,-1
62,1541449901.1573427,60,-1
63,1541449901.1588123,767,-1
64,1541449901.1702282,172,-1
65,1541449901.1719973,60,1
66,1541449901.1971908,172,-1
67,1541449901.1973054,60,-1
68,1541449901.2026315,419,-1
69,1541449901.2045567,85,-1
70,1541449901.2048242,54,-1
71,1541449901.2085967,60,1
72,1541449901.218218,172,-1
73,1541449901.2372515,172,-1
74,1541449901.2433686,60,-1
75,1541449901.2463527,172,-1
76,1541449901.2465036,54,-1
77,1541449901.2585192,60,1
78,1541449901.2847037,60,1
79,1541449901.2942674,172,-1
80,1541449901.2953768,172,-1
81,1541449901.3094046,172,-1
82,1541449901.330088,172,-1
83,1541449901.336764,60,1
84,1541449901.3578093,172,-1
85,1541449901.3678074,60,1
86,1541449901.3722222,172,-1
87,1541449901.392929,172,-1
88,1541449901.406714,172,-1
89,1541449901.4097724,60,1
90,1541449901.4418292,172,-1
91,1541449901.444376,60,1
92,1541449901.4564545,172,-1
93,1541449901.4604356,286,-1
94,1541449901.4610963,190,-1
95,1541449901.4621258,1514,-1
96,1541449901.462797,1514,-1
97,1541449901.462909,1174,-1
98,1541449901.4629655,136,-1
99,1541449901.4631994,92,-1
100,1541449901.4702964,172,-1
101,1541449901.4915354,172,-1
102,1541449901.4944708,60,1
103,1541449901.4997041,60,1
104,1541449901.5055876,60,1
105,1541449901.5183954,172,-1
106,1541449901.5286062,60,1
107,1541449901.5325918,172,-1
108,1541449901.5531638,172,-1
109,1541449901.5666533,172,-1
110,1541449901.571069,60,1
111,1541449901.6021888,172,-1
112,1541449901.603317,146,1
113,1541449901.6033187,92,1
114,1541449901.6069279,54,-1
115,1541449901.622824,172,-1
116,1541449901.6307406,172,-1
117,1541449901.6397817,60,1
118,1541449901.643789,172,-1
119,1541449901.6716526,60,1
120,1541449901.679195,172,-1
121,1541449901.6927404,172,-1
122,1541449901.7136402,172,-1
123,1541449901.7164836,60,1
124,1541449901.728261,172,-1
125,1541449901.751434,60,1
126,1541449901.7569165,172,-1
127,1541449901.776712,172,-1
128,1541449901.7911582,172,-1
129,1541449901.794381,60,1
130,1541449901.804903,172,-1
131,1541449901.8285286,60,1
132,1541449901.839622,172,-1
133,1541449901.854129,172,-1
134,1541449901.8678095,172,-1
135,1541449901.8785763,60,1
136,1541449901.8887362,172,-1
137,1541449901.9052052,60,1
138,1541449901.9169416,172,-1
139,1541449901.9371114,172,-1
140,1541449901.9512844,172,-1
141,1541449901.9541996,60,1
142,1541449901.9886608,60,1
143,1541449901.9890957,172,-1
144,1541449901.9996762,172,-1
145,1541449902.013748,172,-1
146,1541449902.028207,172,-1
147,1541449902.0375955,60,1
148,1541449902.0488803,172,-1
149,1541449902.0654058,60,1
150,1541449902.0770104,172,-1
151,1541449902.0983963,172,-1
152,1541449902.1118832,172,-1
153,1541449902.115541,60,1
154,1541449902.125522,172,-1
155,1541449902.151192,60,1
156,1541449902.161188,172,-1
157,1541449902.174692,172,-1
158,1541449902.1887965,172,-1
159,1541449902.1992037,60,1
160,1541449902.210483,172,-1
161,1541449902.2264247,60,1
162,1541449902.2376978,172,-1
163,1541449902.251936,172,-1
164,1541449902.2751956,172,-1
165,1541449902.2754369,60,1
166,1541449902.2869077,172,-1
167,1541449902.312607,60,1
168,1541449902.321942,172,-1
169,1541449902.335912,172,-1
170,1541449902.3500404,172,-1
171,1541449902.3590524,60,1
172,1541449902.363908,172,-1
173,1541449902.3883514,60,1
174,1541449902.3993115,172,-1
175,1541449902.4131925,172,-1
176,1541449902.4337363,172,-1
177,1541449902.4364102,60,1
178,1541449902.4481814,172,-1
179,1541449902.471376,60,1
180,1541449902.475643,172,-1
181,1541449902.4966977,172,-1
182,1541449902.5114093,172,-1
183,1541449902.515068,60,1
184,1541449902.5253232,172,-1
185,1541449902.549001,60,1
186,1541449902.559735,172,-1
187,1541449902.5741787,172,-1
188,1541449902.5881042,172,-1
189,1541449902.5977979,60,1
190,1541449902.608975,172,-1
191,1541449902.6256084,60,1
192,1541449902.637427,172,-1
193,1541449902.657745,172,-1
194,1541449902.6756978,60,1
195,1541449902.694158,172,-1
196,1541449902.6943061,172,-1
197,1541449902.720813,172,-1
198,1541449902.7321324,60,1
199,1541449902.7348025,172,-1
