Serial number,time,size,direction
1,1539625016.0692925,100,1
2,1539625016.076819,100,-1
3,1539625016.115785,60,1
4,1539625026.9942248,287,-1
5,1539625026.99468,190,-1
6,1539625026.9947648,1514,-1
7,1539625026.9948094,1514,-1
8,1539625026.9951122,1153,-1
9,1539625026.9951541,132,-1
10,1539625026.995423,180,-1
11,1539625026.9954593,1514,-1
12,1539625026.9957187,176,-1
13,1539625027.028958,79,-1
14,1539625027.0324743,60,1
15,1539625027.0348856,1514,-1
16,1539625027.038533,66,1
17,1539625027.0396376,66,1
18,1539625027.0396402,66,1
19,1539625027.0396433,66,1
20,1539625027.0396457,60,1
21,1539625027.039648,60,1
22,1539625027.039651,60,1
23,1539625027.0396523,60,1
24,1539625027.0402565,1514,-1
25,1539625027.040768,1514,-1
26,1539625027.0413144,140,-1
27,1539625027.0417833,1514,-1
28,1539625027.0534074,95,-1
29,1539625027.0557356,1514,-1
30,1539625027.0570385,1514,-1
31,1539625027.0570848,74,-1
32,1539625027.074261,60,1
33,1539625027.076131,1514,-1
34,1539625027.0833497,60,1
35,1539625027.0833528,60,1
36,1539625027.0854845,60,1
37,1539625027.0861876,60,1
38,1539625027.0903919,1514,-1
39,1539625027.0908024,210,-1
40,1539625027.0908792,140,-1
41,1539625027.0910268,172,-1
42,1539625027.0944636,60,1
43,1539625027.1001852,60,1
44,1539625027.1141982,60,1
45,1539625027.1187098,172,-1
46,1539625027.1306248,60,1
47,1539625027.1353488,60,1
48,1539625027.135352,60,1
49,1539625027.151131,172,-1
50,1539625027.1528864,172,-1
51,1539625027.1531022,146,1
52,1539625027.1531045,92,1
53,1539625027.1548946,54,-1
54,1539625027.1699278,172,-1
55,1539625027.188801,60,1
56,1539625027.2050827,172,-1
57,1539625027.2068598,60,1
58,1539625027.2191381,172,-1
59,1539625027.2328339,172,-1
60,1539625027.247036,172,-1
61,1539625027.2570107,60,1
62,1539625027.2819846,172,-1
63,1539625027.2850628,60,1
64,1539625027.2968287,172,-1
65,1539625027.3108888,172,-1
66,1539625027.3309984,172,-1
67,1539625027.3357139,60,1
68,1539625027.3599997,172,-1
69,1539625027.369021,60,1
70,1539625027.3909447,172,-1
71,1539625027.3939264,172,-1
72,1539625027.4080696,172,-1
73,1539625027.4300804,60,1
74,1539625027.443721,172,-1
75,1539625027.446642,60,1
76,1539625027.456831,172,-1
77,1539625027.4718804,172,-1
78,1539625027.4926443,172,-1
79,1539625027.4946342,60,1
80,1539625027.5079288,285,-1
81,1539625027.508168,190,-1
82,1539625027.5091877,1514,-1
83,1539625027.5109904,1514,-1
84,1539625027.5110343,856,-1
85,1539625027.5307617,60,1
86,1539625027.5325103,292,-1
87,1539625027.5346813,172,-1
88,1539625027.5462482,60,1
89,1539625027.5528784,60,1
90,1539625027.5568473,172,-1
91,1539625027.5692654,172,-1
92,1539625027.575081,60,1
93,1539625027.6071982,60,1
94,1539625027.6094494,172,-1
95,1539625027.6185434,172,-1
96,1539625027.6325378,172,-1
97,1539625027.644979,146,1
98,1539625027.6449826,92,1
99,1539625027.6460629,172,-1
100,1539625027.6468475,54,-1
101,1539625027.6560578,60,1
102,1539625027.6814551,172,-1
103,1539625027.6922674,60,1
104,1539625027.6962826,172,-1
105,1539625027.710848,172,-1
