Serial number,time,size,direction
1,1543170569.0888994,60,1
2,1543170569.1391616,54,-1
3,1543170577.7885795,66,-1
4,1543170577.9522579,54,-1
5,1543170582.789769,288,-1
6,1543170582.7900734,79,-1
7,1543170582.7902317,190,-1
8,1543170582.7946503,1514,-1
9,1543170582.7961435,1514,-1
10,1543170582.7962217,1151,-1
11,1543170582.7962961,132,-1
12,1543170582.7970924,180,-1
13,1543170582.8013184,1514,-1
14,1543170582.8015535,192,-1
15,1543170582.8059824,286,-1
16,1543170582.8155556,127,-1
17,1543170582.818506,74,-1
18,1543170582.8345468,60,-1
19,1543170582.8354058,60,-1
20,1543170582.8362894,1514,-1
21,1543170582.837416,1514,-1
22,1543170582.8388388,1365,-1
23,1543170582.8442202,60,-1
24,1543170582.8452227,60,-1
25,1543170582.845228,60,-1
26,1543170582.8452306,60,-1
27,1543170582.8452322,60,-1
28,1543170582.850546,60,-1
29,1543170582.8604095,66,-1
30,1543170582.862823,54,-1
31,1543170582.8642848,312,-1
32,1543170582.8714428,1514,-1
33,1543170582.8733878,1514,-1
34,1543170582.8734298,1514,-1
35,1543170582.873562,1392,-1
36,1543170582.8783267,60,-1
37,1543170582.8784466,172,-1
38,1543170582.8835576,60,-1
39,1543170582.9004054,60,-1
40,1543170582.9051874,60,-1
41,1543170582.906177,172,-1
42,1543170582.9071271,191,-1
43,1543170582.9089086,54,-1
44,1543170582.9092176,105,-1
45,1543170582.9167159,60,-1
46,1543170582.91672,60,-1
47,1543170582.9167223,60,-1
48,1543170582.916724,96,-1
49,1543170582.9479487,146,-1
50,1543170582.947952,92,-1
51,1543170582.9496367,172,-1
52,1543170582.9498465,172,-1
53,1543170582.9540799,54,-1
54,1543170582.9569073,172,-1
55,1543170582.9898226,172,-1
56,1543170582.9910586,60,-1
57,1543170582.9984555,60,-1
58,1543170583.0000556,767,-1
59,1543170583.0020747,60,-1
60,1543170583.0053713,172,-1
61,1543170583.0241046,172,-1
62,1543170583.0377002,172,-1
63,1543170583.0437226,60,-1
64,1543170583.0483916,60,-1
65,1543170583.0517974,417,-1
66,1543170583.0537555,85,-1
67,1543170583.0539093,54,-1
