Serial number,time,size,direction
1,1543284941.7058258,100,1
2,1543284941.7124205,100,-1
3,1543284941.7593243,60,1
4,1543284951.9737124,287,-1
5,1543284951.9744442,1514,-1
6,1543284951.9744935,1514,-1
7,1543284951.9745562,1514,-1
8,1543284951.9746172,1514,-1
9,1543284951.9746795,1174,-1
10,1543284951.984458,286,-1
11,1543284951.9966958,79,-1
12,1543284952.014058,60,1
13,1543284952.0227542,60,1
14,1543284952.0244067,127,-1
15,1543284952.024809,60,1
16,1543284952.0248108,60,1
17,1543284952.028445,60,1
18,1543284952.0422919,1514,-1
19,1543284952.0436873,1514,-1
20,1543284952.0453181,1514,-1
21,1543284952.045362,918,-1
22,1543284952.0455034,74,-1
23,1543284952.0590758,1514,-1
24,1543284952.0605621,1514,-1
25,1543284952.0606115,1514,-1
26,1543284952.0879703,60,1
27,1543284952.0897648,1514,-1
28,1543284952.0911632,290,-1
29,1543284952.0924509,60,1
30,1543284952.093747,172,-1
31,1543284952.0944798,66,-1
32,1543284952.0957918,54,-1
33,1543284952.0976388,312,-1
34,1543284952.1043205,60,1
35,1543284952.1043243,60,1
36,1543284952.104326,60,1
37,1543284952.1055284,172,-1
38,1543284952.1345088,60,1
39,1543284952.140678,172,-1
40,1543284952.141166,60,-1
41,1543284952.1411688,60,1
42,1543284952.1420984,60,-1
43,1543284952.142337,1514,-1
44,1543284952.1424649,1514,-1
45,1543284952.1425831,1514,-1
46,1543284952.142749,1049,-1
47,1543284952.1493387,60,1
48,1543284952.1525457,54,-1
49,1543284952.1527703,54,-1
50,1543284952.1529055,54,-1
51,1543284952.1530704,54,-1
52,1543284952.1545217,172,-1
53,1543284952.1686432,172,-1
54,1543284952.168761,146,1
55,1543284952.1687932,92,1
56,1543284952.1689603,1049,-1
57,1543284952.1714084,54,-1
58,1543284952.1716158,66,-1
59,1543284952.1824293,172,-1
60,1543284952.183102,180,-1
61,1543284952.199674,60,1
62,1543284952.2167692,172,-1
63,1543284952.2220817,60,1
64,1543284952.2264569,105,-1
65,1543284952.230067,766,-1
66,1543284952.2306173,172,-1
67,1543284952.252642,172,-1
68,1543284952.2664657,172,-1
69,1543284952.2725286,60,1
70,1543284952.2794292,417,-1
71,1543284952.281127,85,-1
72,1543284952.2813199,54,-1
73,1543284952.2951484,172,-1
74,1543284952.3064375,60,1
75,1543284952.3156083,172,-1
76,1543284952.321522,60,-1
77,1543284952.3305526,54,-1
78,1543284952.3307402,172,-1
79,1543284952.343268,172,-1
80,1543284952.355303,60,1
81,1543284952.3782418,172,-1
82,1543284952.3839393,60,1
83,1543284952.3925319,172,-1
84,1543284952.406183,172,-1
85,1543284952.4267213,172,-1
86,1543284952.4316833,60,1
87,1543284952.4556494,172,-1
88,1543284952.4672887,60,1
89,1543284952.4776828,172,-1
90,1543284952.4801548,288,-1
91,1543284952.4816587,190,-1
92,1543284952.487752,1514,-1
93,1543284952.4894607,1514,-1
94,1543284952.4895043,1514,-1
95,1543284952.520367,60,1
96,1543284952.5208478,60,1
97,1543284952.5218658,763,-1
98,1543284952.532169,60,1
99,1543284952.5378883,172,-1
100,1543284952.554202,172,-1
101,1543284952.5644631,60,1
102,1543284952.564466,96,1
103,1543284952.5668266,172,-1
104,1543284952.5868843,172,-1
105,1543284952.592552,60,1
106,1543284952.6150956,172,-1
107,1543284952.624876,60,1
108,1543284952.6359036,172,-1
109,1543284952.649637,172,-1
110,1543284952.6591544,146,1
111,1543284952.6591585,92,1
112,1543284952.6630654,54,-1
113,1543284952.665782,172,-1
114,1543284952.6789172,60,1
115,1543284952.6993005,172,-1
116,1543284952.7083974,60,1
117,1543284952.7420702,172,-1
118,1543284952.7422523,172,-1
119,1543284952.7484574,172,-1
120,1543284952.7757854,172,-1
121,1543284952.7851636,60,1
122,1543284952.7891831,60,1
123,1543284952.794047,172,-1
124,1543284952.8114138,172,-1
125,1543284952.8248963,172,-1
126,1543284952.8317456,60,1
127,1543284952.8609662,172,-1
128,1543284952.8648362,60,1
129,1543284952.8742323,172,-1
130,1543284952.8934639,172,-1
131,1543284952.9025004,172,-1
132,1543284952.9126391,60,1
133,1543284952.937102,172,-1
134,1543284952.942678,60,1
135,1543284952.9507215,172,-1
136,1543284952.9717865,172,-1
137,1543284952.9864488,172,-1
138,1543284952.9892251,60,1
139,1543284953.0135422,172,-1
140,1543284953.0243347,60,1
141,1543284953.034663,172,-1
142,1543284953.0490997,172,-1
143,1543284953.0628607,172,-1
144,1543284953.0759313,60,1
145,1543284953.0979474,172,-1
146,1543284953.101314,60,1
147,1543284953.1117692,172,-1
148,1543284953.1256802,172,-1
149,1543284953.146823,172,-1
150,1543284953.150696,60,1
151,1543284953.1747267,172,-1
152,1543284953.1890883,60,1
153,1543284953.1956139,172,-1
154,1543284953.2095408,172,-1
155,1543284953.2238386,172,-1
156,1543284953.2357805,60,1
157,1543284953.2586586,172,-1
158,1543284953.2628586,60,1
159,1543284953.2723534,172,-1
160,1543284953.2872176,172,-1
161,1543284953.3077385,172,-1
162,1543284953.313638,60,1
163,1543284953.336032,172,-1
164,1543284953.3479657,60,1
165,1543284953.3497143,172,-1
166,1543284953.3706033,172,-1
167,1543284953.384762,172,-1
168,1543284953.3884153,60,1
169,1543284953.4239142,60,1
170,1543284953.442112,172,-1
171,1543284953.4423425,172,-1
172,1543284953.4477963,172,-1
173,1543284953.4618793,172,-1
174,1543284953.481658,60,1
175,1543284953.4972613,172,-1
176,1543284953.5005796,60,1
177,1543284953.5105255,172,-1
178,1543284953.5341418,172,-1
179,1543284953.5457723,172,-1
180,1543284953.5527768,60,1
181,1543284953.5798953,172,-1
182,1543284953.5843651,60,1
183,1543284953.5940068,172,-1
184,1543284953.6075861,172,-1
185,1543284953.6216364,172,-1
186,1543284953.6333272,60,1
187,1543284953.6568353,172,-1
188,1543284953.659349,60,1
189,1543284953.670557,172,-1
190,1543284953.6916583,172,-1
191,1543284953.7062862,172,-1
192,1543284953.7092016,60,1
193,1543284953.7337868,172,-1
194,1543284953.7462878,60,1
195,1543284953.7549217,172,-1
196,1543284953.7694206,172,-1
197,1543284953.7837803,172,-1
198,1543284953.793557,60,1
199,1543284953.817901,172,-1
200,1543284953.8223355,60,1
201,1543284953.831661,172,-1
202,1543284953.845738,172,-1
203,1543284953.8667693,172,-1
204,1543284953.8745093,60,1
205,1543284953.8947875,172,-1
206,1543284953.908164,60,1
207,1543284953.9156945,172,-1
208,1543284953.9296424,172,-1
209,1543284953.9438937,172,-1
210,1543284953.9552276,60,1
211,1543284953.9786894,172,-1
212,1543284953.9914327,60,1
213,1543284953.9928694,172,-1
214,1543284954.0075321,172,-1
215,1543284954.02774,172,-1
216,1543284954.0379128,60,1
217,1543284954.0560217,172,-1
218,1543284954.066906,60,1
219,1543284954.0697143,172,-1
220,1543284954.0904837,172,-1
221,1543284954.1046083,172,-1
222,1543284954.1111987,60,1
223,1543284954.1395245,172,-1
224,1543284954.1455219,60,1
225,1543284954.153679,172,-1
226,1543284954.1675942,172,-1
227,1543284954.1820633,172,-1
228,1543284954.1947067,60,1
229,1543284954.2166204,172,-1
230,1543284954.2261913,60,1
231,1543284954.2309036,172,-1
232,1543284954.2521071,172,-1
233,1543284954.2658095,172,-1
234,1543284954.2713292,60,1
235,1543284954.2942834,172,-1
236,1543284954.304922,60,1
237,1543284954.31471,172,-1
238,1543284954.328763,172,-1
239,1543284954.3425019,172,-1
240,1543284954.3551936,60,1
241,1543284954.3782651,172,-1
242,1543284954.3816104,60,1
243,1543284954.3916318,172,-1
244,1543284954.4010382,434,1
245,1543284954.4064238,172,-1
246,1543284954.4128087,136,-1
247,1543284954.4131987,92,-1
248,1543284954.4241576,714,1
249,1543284954.4404173,79,-1
250,1543284954.4458938,60,1
251,1543284954.4588587,60,1
252,1543284954.4666343,127,-1
253,1543284954.469788,74,-1
254,1543284954.4748158,54,-1
255,1543284954.5080492,66,-1
256,1543284954.5126867,54,-1
257,1543284954.5176165,312,-1
258,1543284954.5557454,60,-1
259,1543284954.5567124,60,-1
260,1543284954.557641,191,-1
261,1543284954.5638983,54,-1
262,1543284954.564563,105,-1
263,1543284954.6634603,60,-1
264,1543284954.668073,811,-1
265,1543284954.7060308,60,-1
266,1543284954.7129617,417,-1
267,1543284954.7153,85,-1
268,1543284954.7154918,54,-1
269,1543284954.7191253,460,1
270,1543284954.723214,54,-1
271,1543284954.7282925,74,-1
272,1543284954.752179,60,-1
273,1543284954.7535703,54,-1
274,1543284954.766396,66,-1
275,1543284954.7676923,54,-1
276,1543284954.7732158,312,-1
277,1543284954.804761,60,-1
278,1543284954.808406,60,-1
279,1543284954.809028,191,-1
280,1543284954.8428986,54,-1
281,1543284954.843271,105,-1
282,1543284954.9320662,60,-1
283,1543284954.937535,781,-1
284,1543284954.9414103,641,-1
285,1543284954.9437542,190,-1
286,1543284954.9440973,1514,-1
