Serial number,time,size,direction
1,1543283511.7399602,100,1
2,1543283511.8235002,60,-1
3,1543283511.824361,100,-1
4,1543283511.862333,54,1
5,1543283513.744839,98,1
6,1543283513.7454526,98,-1
7,1543283513.7540767,98,1
8,1543283513.75461,98,-1
9,1543283513.7585504,98,1
10,1543283513.7590396,98,-1
11,1543283513.7608018,98,1
12,1543283513.761355,98,-1
13,1543283513.772774,98,1
14,1543283513.773393,98,-1
15,1543283513.7811017,98,1
16,1543283513.78161,98,-1
17,1543283513.7834506,98,1
18,1543283513.7838786,98,-1
19,1543283513.78554,98,1
20,1543283513.7859569,98,-1
21,1543283513.7877653,98,1
22,1543283513.7884028,98,-1
23,1543283513.790639,98,1
24,1543283513.7911515,98,-1
25,1543283513.7949347,66,1
26,1543283513.7954612,89,1
27,1543283513.8970327,153,-1
28,1543283513.9001672,74,1
29,1543283513.9255264,74,-1
30,1543283513.927431,66,1
31,1543283513.9289124,256,1
32,1543283513.955185,66,-1
33,1543283513.957174,538,-1
34,1543283513.9611056,66,1
35,1543283513.963922,54,1
36,1543283513.9650733,85,1
37,1543283513.9921007,153,-1
38,1543283513.995875,74,1
39,1543283514.0226448,66,1
40,1543283514.0881927,66,-1
41,1543283514.0941074,54,1
42,1543283514.0956888,200,1
43,1543283514.1719022,60,-1
44,1543283514.1737483,410,-1
45,1543283514.1737523,473,-1
46,1543283514.177699,54,1
47,1543283514.181489,54,1
48,1543283514.1877093,90,1
49,1543283514.1955729,473,-1
50,1543283514.1988661,66,1
51,1543283514.229571,54,1
52,1543283514.2529025,66,1
53,1543283514.4622784,54,1
54,1543283514.7161338,66,1
55,1543283514.965903,54,1
56,1543283515.6357307,66,1
57,1543283515.965907,54,1
58,1543283517.4759488,66,1
59,1543283517.9674249,54,1
60,1543283518.4527104,295,1
61,1543283518.51721,146,-1
62,1543283518.5216033,54,1
63,1543283520.6128972,286,1
64,1543283520.620346,190,1
65,1543283520.6209848,1514,1
66,1543283520.6210337,1514,1
67,1543283520.6219625,1514,1
68,1543283520.6220055,1514,1
69,1543283520.654855,79,1
70,1543283520.6885915,127,-1
71,1543283520.6934283,74,1
72,1543283520.697704,60,-1
73,1543283520.6994605,1514,1
74,1543283520.7000508,1514,1
75,1543283520.705457,60,-1
76,1543283520.706412,60,-1
77,1543283520.7072291,1514,1
78,1543283520.708719,1514,1
79,1543283520.7132595,628,1
80,1543283520.7428691,1514,1
81,1543283520.7721453,66,-1
82,1543283520.7739656,54,1
83,1543283520.777747,312,1
84,1543283520.780613,60,-1
85,1543283520.7822442,1514,1
86,1543283520.782891,1514,1
87,1543283520.7867758,60,-1
88,1543283520.7885118,1514,1
89,1543283520.7889092,488,1
90,1543283520.822224,60,-1
91,1543283520.823719,172,1
92,1543283520.826561,172,1
93,1543283520.854289,60,-1
94,1543283520.8595417,146,-1
95,1543283520.8595452,92,-1
96,1543283520.8600554,60,-1
97,1543283520.8614457,54,1
98,1543283520.8616142,54,1
99,1543283520.8633416,191,-1
100,1543283520.865095,54,1
101,1543283520.8653572,105,1
102,1543283520.8664818,60,-1
103,1543283520.86799,290,1
104,1543283520.871131,60,-1
105,1543283520.8896084,172,1
106,1543283520.903564,172,1
107,1543283520.9141068,60,-1
108,1543283520.9176342,172,1
109,1543283520.9379284,172,1
110,1543283520.9664526,172,1
111,1543283520.9718544,60,-1
112,1543283520.9801126,172,1
113,1543283520.9966228,60,-1
114,1543283520.9984431,60,-1
115,1543283520.9999511,764,1
116,1543283521.0007827,172,1
117,1543283521.0148544,172,1
118,1543283521.048803,172,1
