Serial number,time,size,direction
1,1543085944.2486367,100,1
2,1543085944.258487,100,-1
3,1543085944.296762,60,1
4,1543085948.8031552,287,-1
5,1543085948.8033385,190,-1
6,1543085948.8036351,1514,-1
7,1543085948.803668,1514,-1
8,1543085948.80369,635,-1
9,1543085948.8037066,132,-1
10,1543085948.8040273,180,-1
11,1543085948.8043594,1514,-1
12,1543085948.8043835,168,-1
13,1543085948.8371613,79,-1
14,1543085948.8423223,60,1
15,1543085948.8490527,60,1
16,1543085948.8500788,60,1
17,1543085948.8500807,60,1
18,1543085948.8500817,60,1
19,1543085948.8636332,127,-1
20,1543085948.8662453,74,-1
21,1543085948.9061496,66,-1
22,1543085948.9093869,286,-1
23,1543085948.9102378,190,-1
24,1543085948.9104984,54,-1
25,1543085948.9113934,1514,-1
26,1543085948.911753,1514,-1
27,1543085948.9120784,837,-1
28,1543085948.9121,136,-1
29,1543085948.912747,92,-1
30,1543085948.916018,280,-1
31,1543085948.9478152,60,1
32,1543085948.9544067,60,1
33,1543085948.9544091,60,1
34,1543085948.9544106,60,1
35,1543085948.9544113,60,1
36,1543085948.9548905,96,1
37,1543085948.956641,60,-1
38,1543085948.9601343,60,-1
39,1543085948.9613938,1514,-1
40,1543085948.9617121,1514,-1
41,1543085948.9620507,1514,-1
42,1543085948.9622407,1049,-1
43,1543085948.9646335,54,-1
44,1543085948.9659019,54,-1
45,1543085948.9660954,54,-1
46,1543085948.9662893,54,-1
47,1543085948.9870465,54,-1
48,1543085948.9879432,1049,-1
49,1543085948.9896777,66,-1
50,1543085949.0078733,1514,-1
51,1543085949.0082042,1514,-1
52,1543085949.0102143,1514,-1
53,1543085949.0102892,1514,-1
54,1543085949.010324,1514,-1
55,1543085949.0103555,232,-1
56,1543085949.0215375,172,-1
57,1543085949.0237148,145,1
58,1543085949.0240343,92,1
59,1543085949.0251975,54,-1
60,1543085949.025487,54,-1
61,1543085949.042399,172,-1
62,1543085949.0489776,60,1
63,1543085949.054364,60,1
64,1543085949.05475,60,1
65,1543085949.0559459,172,-1
66,1543085949.0726533,180,-1
67,1543085949.0810275,60,1
68,1543085949.0908468,172,-1
69,1543085949.1056194,172,-1
70,1543085949.1141667,105,-1
71,1543085949.1156695,54,-1
72,1543085949.1190357,172,-1
73,1543085949.1193256,766,-1
74,1543085949.1290853,60,1
75,1543085949.132885,172,-1
76,1543085949.1588888,60,1
77,1543085949.1671438,417,-1
78,1543085949.1676404,172,-1
79,1543085949.1708367,85,-1
80,1543085949.1710434,54,-1
81,1543085949.1989737,172,-1
82,1543085949.2060513,60,1
83,1543085949.2079506,172,-1
84,1543085949.2140503,60,-1
85,1543085949.2155406,54,-1
86,1543085949.216834,172,-1
87,1543085949.2450309,172,-1
88,1543085949.2467449,60,1
89,1543085949.2657685,172,-1
90,1543085949.2799008,172,-1
91,1543085949.284283,60,1
92,1543085949.2938147,172,-1
93,1543085949.319979,60,1
94,1543085949.3293939,172,-1
95,1543085949.333067,288,-1
96,1543085949.333617,190,-1
97,1543085949.3348384,1514,-1
98,1543085949.3355289,1514,-1
99,1543085949.3356476,583,-1
100,1543085949.3356905,136,-1
101,1543085949.336031,92,-1
102,1543085949.3428247,172,-1
103,1543085949.3565216,172,-1
104,1543085949.3673952,60,1
105,1543085949.372645,60,1
106,1543085949.377915,172,-1
107,1543085949.3781211,60,1
108,1543085949.3949575,60,1
109,1543085949.405362,172,-1
110,1543085949.4266684,172,-1
111,1543085949.4420178,172,-1
112,1543085949.4436104,60,1
113,1543085949.4502351,145,1
114,1543085949.4502387,92,1
115,1543085949.4522045,54,-1
116,1543085949.4553819,172,-1
117,1543085949.4820802,60,1
118,1543085949.4899285,172,-1
119,1543085949.503477,172,-1
120,1543085949.5176344,172,-1
121,1543085949.529103,60,1
122,1543085949.5381794,172,-1
123,1543085949.557915,60,1
124,1543085949.5655923,172,-1
125,1543085949.586763,172,-1
126,1543085949.6038115,172,-1
127,1543085949.6060643,60,1
128,1543085949.619899,172,-1
129,1543085949.645619,60,1
130,1543085949.650074,172,-1
131,1543085949.6638374,172,-1
132,1543085949.6780887,172,-1
133,1543085949.6989038,172,-1
134,1543085949.6990352,60,1
135,1543085949.7163749,60,1
136,1543085949.7272897,172,-1
137,1543085949.741192,172,-1
138,1543085949.761419,172,-1
139,1543085949.7673347,60,1
140,1543085949.7753375,172,-1
141,1543085949.8003652,60,1
142,1543085949.8105235,172,-1
143,1543085949.8243237,172,-1
144,1543085949.8386776,172,-1
145,1543085949.848106,60,1
146,1543085949.852781,172,-1
147,1543085949.8766186,60,1
148,1543085949.904286,172,-1
149,1543085949.9044569,172,-1
150,1543085949.9247243,172,-1
151,1543085949.9335449,60,1
152,1543085949.9366744,172,-1
153,1543085949.9427824,60,1
154,1543085949.947219,60,1
155,1543085949.964984,172,-1
156,1543085949.9660718,60,1
157,1543085949.9790468,60,1
158,1543085949.9857593,172,-1
159,1543085949.9993482,172,-1
160,1543085950.006991,60,1
161,1543085950.013517,172,-1
162,1543085950.0257204,60,1
163,1543085950.038752,60,1
164,1543085950.0485191,172,-1
165,1543085950.05404,60,1
166,1543085950.062265,172,-1
167,1543085950.0765972,172,-1
168,1543085950.0881,60,1
169,1543085950.0977752,172,-1
170,1543085950.1053874,60,1
171,1543085950.1213267,60,1
172,1543085950.1252232,172,-1
173,1543085950.136176,60,1
174,1543085950.150714,172,-1
175,1543085950.1632583,60,1
176,1543085950.1690865,172,-1
177,1543085950.178501,172,-1
178,1543085950.1920419,60,1
179,1543085950.208959,172,-1
180,1543085950.2150342,60,1
181,1543085950.2212121,60,1
182,1543085950.2228277,172,-1
183,1543085950.2365918,172,-1
184,1543085950.2476134,60,1
185,1543085950.2569754,172,-1
186,1543085950.262379,60,1
187,1543085950.2750082,60,1
188,1543085950.2851,172,-1
189,1543085950.2977958,60,1
190,1543085950.3052754,172,-1
191,1543085950.3198757,172,-1
192,1543085950.3235083,60,1
193,1543085950.334164,172,-1
194,1543085950.3453894,60,1
195,1543085950.3587687,60,1
196,1543085950.3685155,172,-1
197,1543085950.3728116,60,1
198,1543085950.3823626,172,-1
199,1543085950.3982067,172,-1
200,1543085950.4073615,60,1
201,1543085950.4177175,172,-1
202,1543085950.4227374,60,1
203,1543085950.4360104,60,1
204,1543085950.4480066,172,-1
205,1543085950.4573581,60,1
206,1543085950.4668527,172,-1
207,1543085950.4807642,172,-1
208,1543085950.4883814,60,1
209,1543085950.494804,172,-1
210,1543085950.505113,60,1
211,1543085950.5196464,60,1
212,1543085950.529736,172,-1
213,1543085950.5358524,60,1
214,1543085950.543718,172,-1
215,1543085950.5579221,172,-1
216,1543085950.569289,60,1
217,1543085950.582547,60,1
218,1543085950.5964043,60,1
219,1543085950.6042652,172,-1
220,1543085950.6062543,172,-1
221,1543085950.6204844,172,-1
222,1543085950.6419423,172,-1
223,1543085950.6434693,60,1
224,1543085950.6482363,60,1
225,1543085950.6557128,172,-1
226,1543085950.6591587,60,1
227,1543085950.6802244,60,1
228,1543085950.6930664,172,-1
229,1543085950.6935892,60,1
230,1543085950.705391,172,-1
231,1543085950.7195117,172,-1
232,1543085950.7315152,60,1
233,1543085950.7328057,172,-1
234,1543085950.7431874,60,1
235,1543085950.7576537,60,1
236,1543085950.767865,172,-1
237,1543085950.7716122,60,1
238,1543085950.7820365,172,-1
239,1543085950.8056216,172,-1
240,1543085950.806667,60,1
241,1543085950.8194091,60,1
242,1543085950.8199258,172,-1
243,1543085950.8443234,60,1
244,1543085950.846324,172,-1
245,1543085950.858983,60,1
246,1543085950.8657072,172,-1
247,1543085950.8799176,172,-1
248,1543085950.884353,60,1
249,1543085950.8938482,172,-1
250,1543085950.9049919,60,1
251,1543085950.917979,60,1
252,1543085950.9290354,172,-1
253,1543085950.9319654,60,1
254,1543085950.9436219,172,-1
255,1543085950.9565773,172,-1
256,1543085950.9680252,60,1
257,1543085950.9777386,172,-1
258,1543085950.981918,60,1
259,1543085950.9977417,60,1
260,1543085951.00551,172,-1
261,1543085951.0165026,60,1
262,1543085951.0265422,172,-1
263,1543085951.031416,434,1
264,1543085951.0416248,136,-1
265,1543085951.0418499,92,-1
266,1543085951.0447078,703,1
267,1543085951.0667953,60,1
268,1543085951.0769129,54,-1
269,1543085951.0809488,60,1
270,1543085951.1157405,74,-1
271,1543085951.1532688,66,-1
272,1543085951.2410512,54,-1
273,1543085951.241224,312,-1
274,1543085951.2793176,60,-1
275,1543085951.2802775,60,-1
276,1543085951.2802796,191,-1
277,1543085951.3152158,1514,1
278,1543085951.3155448,1514,1
279,1543085951.3157234,1514,1
280,1543085951.3158731,1514,1
281,1543085951.3160453,1514,1
282,1543085951.3161666,1514,1
283,1543085951.3162916,1514,1
284,1543085951.3164122,1514,1
285,1543085951.3166475,1514,1
286,1543085951.316899,1514,1
287,1543085951.443594,1514,1
288,1543085951.4952207,191,-1
289,1543085951.617384,312,-1
290,1543085951.6508183,287,-1
291,1543085951.6542044,60,-1
292,1543085951.6944416,190,-1
293,1543085951.6949067,1514,-1
294,1543085951.6949337,1514,-1
295,1543085951.6949515,699,-1
296,1543085951.6950557,54,-1
297,1543085951.6956494,54,-1
298,1543085951.695964,54,-1
299,1543085951.6960387,54,-1
300,1543085951.6968176,105,-1
301,1543085951.6969135,54,-1
302,1543085951.69718,54,-1
303,1543085951.6988673,54,-1
304,1543085951.698962,54,-1
305,1543085951.6992283,54,-1
306,1543085951.6993084,54,-1
307,1543085951.7003455,54,-1
308,1543085951.7006176,54,-1
309,1543085951.7011745,66,-1
310,1543085951.7233005,1514,1
311,1543085951.7249963,54,-1
312,1543085951.7340925,60,1
313,1543085951.7388568,60,1
314,1543085951.7393494,1340,1
315,1543085951.775223,60,-1
316,1543085951.840672,699,-1
317,1543085951.8436458,54,-1
318,1543085951.8439846,812,-1
319,1543085951.8489766,74,-1
320,1543085951.8566926,145,1
321,1543085951.856697,92,1
322,1543085951.8623796,54,-1
323,1543085951.8625903,54,-1
324,1543085951.8737967,74,-1
325,1543085951.8805783,60,1
326,1543085951.8839157,60,-1
327,1543085951.8885477,66,-1
328,1543085951.8895376,417,-1
329,1543085951.8908322,54,-1
330,1543085951.8917203,312,-1
331,1543085951.891906,54,-1
332,1543085951.8923047,85,-1
333,1543085951.892398,54,-1
334,1543085951.9155254,66,-1
335,1543085951.917039,54,-1
336,1543085951.9208064,312,-1
337,1543085951.928393,60,-1
338,1543085951.9348001,60,-1
339,1543085951.9348037,191,-1
340,1543085951.9358728,60,-1
341,1543085951.9364436,54,-1
342,1543085951.9368644,105,-1
343,1543085951.9371197,54,-1
344,1543085951.9592025,60,-1
