Serial number,time,size,direction
1,1543264565.4917166,100,1
2,1543264565.4973397,100,-1
3,1543264565.5358286,60,1
4,1543264572.0250883,287,-1
5,1543264572.0252752,190,-1
6,1543264572.0263035,1514,-1
7,1543264572.0263271,1514,-1
8,1543264572.0263453,1514,-1
9,1543264572.0263634,79,-1
10,1543264572.0266297,1514,-1
11,1543264572.0266516,408,-1
12,1543264572.0358386,640,-1
13,1543264572.0632658,60,1
14,1543264572.0648,1514,-1
15,1543264572.0648642,127,-1
16,1543264572.0678706,60,1
17,1543264572.0688756,60,1
18,1543264572.0694966,1514,-1
19,1543264572.0703819,1514,-1
20,1543264572.0707686,66,1
21,1543264572.07077,66,1
22,1543264572.0707715,66,1
23,1543264572.0707726,60,1
24,1543264572.0707736,60,1
25,1543264572.0724862,336,-1
26,1543264572.0732422,60,1
27,1543264572.0767517,74,-1
28,1543264572.1016743,60,1
29,1543264572.108462,60,1
30,1543264572.1121447,60,1
31,1543264572.1217165,66,-1
32,1543264572.1233027,54,-1
33,1543264572.124606,312,-1
34,1543264572.135297,1514,-1
35,1543264572.1356218,1514,-1
36,1543264572.1373966,1514,-1
37,1543264572.13742,1514,-1
38,1543264572.1374366,252,-1
39,1543264572.1553588,172,-1
40,1543264572.1621494,60,-1
41,1543264572.163063,60,-1
42,1543264572.1635685,1514,-1
43,1543264572.1639235,1514,-1
44,1543264572.1642797,1514,-1
45,1543264572.1644611,1049,-1
46,1543264572.1679513,54,-1
47,1543264572.1681385,54,-1
48,1543264572.1683288,54,-1
49,1543264572.1684155,54,-1
50,1543264572.1697376,172,-1
51,1543264572.176151,145,1
52,1543264572.1761527,92,1
53,1543264572.1833878,60,1
54,1543264572.1836467,60,1
55,1543264572.1836479,60,1
56,1543264572.1841068,96,1
57,1543264572.1843584,54,-1
58,1543264572.202025,1049,-1
59,1543264572.2064795,60,1
60,1543264572.2286355,172,-1
61,1543264572.228924,172,-1
62,1543264572.2291646,180,-1
63,1543264572.229201,66,-1
64,1543264572.2321038,172,-1
65,1543264572.2453628,172,-1
66,1543264572.2642982,60,1
67,1543264572.2656295,105,-1
68,1543264572.2669685,54,-1
69,1543264572.269574,765,-1
70,1543264572.2802439,60,1
71,1543264572.2812088,172,-1
72,1543264572.2946112,172,-1
73,1543264572.3153355,172,-1
74,1543264572.317918,417,-1
75,1543264572.3204467,85,-1
76,1543264572.3206365,54,-1
77,1543264572.3296516,60,1
78,1543264572.3303144,172,-1
79,1543264572.3572915,172,-1
80,1543264572.3613048,60,-1
81,1543264572.3626525,54,-1
82,1543264572.3673227,60,1
83,1543264572.3783572,172,-1
84,1543264572.416369,60,1
85,1543264572.4769423,172,-1
86,1543264572.47715,172,-1
87,1543264572.4772403,172,-1
88,1543264572.4773269,172,-1
89,1543264572.4774094,172,-1
90,1543264572.4893768,172,-1
91,1543264572.5123322,60,1
92,1543264572.526631,60,1
93,1543264572.5684404,172,-1
94,1543264572.6124241,296,-1
95,1543264572.6127589,190,-1
96,1543264572.6127977,1514,-1
97,1543264572.6130688,1514,-1
98,1543264572.6130996,1285,-1
99,1543264572.6131167,646,-1
100,1543264572.614651,172,-1
101,1543264572.6480434,60,1
102,1543264572.6510134,290,-1
103,1543264572.656493,60,1
104,1543264572.6806567,172,-1
105,1543264572.7161562,60,1
106,1543264572.7430184,408,-1
107,1543264572.7604346,172,-1
108,1543264572.7688577,145,1
109,1543264572.7688608,92,1
110,1543264572.7710183,54,-1
111,1543264572.7745547,172,-1
112,1543264572.7954988,60,1
113,1543264572.796068,172,-1
114,1543264572.8081791,172,-1
115,1543264572.8351552,60,1
116,1543264572.84593,172,-1
117,1543264572.8616266,172,-1
118,1543264572.8791358,172,-1
119,1543264572.8812377,60,1
120,1543264572.9183497,60,1
121,1543264572.9254074,172,-1
122,1543264572.9255414,172,-1
123,1543264572.9343355,172,-1
124,1543264572.9547946,172,-1
125,1543264572.966692,60,1
126,1543264572.990326,60,1
127,1543264573.0596318,172,-1
128,1543264573.061463,172,-1
129,1543264573.0616536,172,-1
130,1543264573.061746,172,-1
131,1543264573.0814302,172,-1
132,1543264573.0979917,172,-1
133,1543264573.1124117,172,-1
134,1543264573.1436296,66,1
135,1543264573.1436346,66,1
136,1543264573.143637,66,1
137,1543264573.1436403,66,1
138,1543264573.1436434,66,1
139,1543264573.1436455,60,1
140,1543264573.146104,172,-1
141,1543264573.1463501,172,-1
142,1543264573.1475406,66,1
143,1543264573.1587555,172,-1
144,1543264573.1791856,172,-1
145,1543264573.181423,66,1
146,1543264573.182395,60,1
147,1543264573.1933262,172,-1
148,1543264573.194115,60,1
149,1543264573.2074811,172,-1
150,1543264573.214906,60,1
151,1543264573.2281003,60,1
152,1543264573.2425508,60,1
153,1543264573.243126,172,-1
154,1543264573.2570746,172,-1
155,1543264573.2724755,172,-1
156,1543264573.2787285,60,1
157,1543264573.2924137,60,1
158,1543264573.2927072,172,-1
159,1543264573.3084552,60,1
160,1543264573.3195794,172,-1
161,1543264573.3289046,60,1
162,1543264573.3337924,172,-1
163,1543264573.3546722,172,-1
164,1543264573.355495,60,1
165,1543264573.3677797,172,-1
166,1543264573.371549,60,1
167,1543264573.390242,60,1
168,1543264573.4029784,60,1
169,1543264573.4032202,172,-1
170,1543264573.4167957,172,-1
171,1543264573.430908,172,-1
172,1543264573.4381776,60,1
173,1543264573.4526072,172,-1
174,1543264573.4531984,60,1
175,1543264573.46675,60,1
176,1543264573.48013,172,-1
177,1543264573.486932,60,1
178,1543264573.494293,172,-1
179,1543264573.515073,172,-1
180,1543264573.523748,60,1
181,1543264573.529608,172,-1
182,1543264573.5304513,60,1
183,1543264573.5506983,60,1
184,1543264573.556984,172,-1
185,1543264573.5665843,60,1
186,1543264573.5857084,172,-1
187,1543264573.59222,172,-1
188,1543264573.5944722,60,1
189,1543264573.6215765,60,1
190,1543264573.6228397,172,-1
191,1543264573.6276195,60,1
192,1543264573.6445386,172,-1
193,1543264573.6556056,172,-1
194,1543264573.6582003,60,1
195,1543264573.6689367,172,-1
196,1543264573.6791437,60,1
197,1543264573.6900504,172,-1
198,1543264573.6941104,60,1
199,1543264573.7043624,60,1
200,1543264573.718022,172,-1
201,1543264573.7302861,60,1
202,1543264573.7406502,172,-1
203,1543264573.7528367,172,-1
204,1543264573.7545302,60,1
205,1543264573.7670524,172,-1
206,1543264573.7802763,60,1
207,1543264573.7910032,60,1
208,1543264573.8019862,172,-1
209,1543264573.802751,60,1
210,1543264573.815841,172,-1
211,1543264573.8302183,172,-1
212,1543264573.8375099,60,1
213,1543264573.8510988,172,-1
214,1543264573.8518016,60,1
215,1543264573.8669846,60,1
216,1543264573.8791425,172,-1
217,1543264573.8889203,60,1
218,1543264573.8931355,172,-1
219,1543264573.9131732,60,1
220,1543264573.9141262,172,-1
221,1543264573.9277792,172,-1
222,1543264573.9281385,60,1
223,1543264573.9496114,60,1
224,1543264573.962993,60,1
225,1543264573.9632757,172,-1
226,1543264573.976892,172,-1
227,1543264573.9910655,172,-1
228,1543264573.9982421,60,1
229,1543264574.005296,172,-1
230,1543264574.0133362,60,1
231,1543264574.0295777,60,1
232,1543264574.0401254,172,-1
233,1543264574.0413892,60,1
234,1543264574.0542164,172,-1
235,1543264574.075296,172,-1
236,1543264574.0757172,60,1
237,1543264574.0887792,172,-1
238,1543264574.0890586,60,1
239,1543264574.1110454,60,1
240,1543264574.1235583,60,1
241,1543264574.124292,172,-1
242,1543264574.1380508,172,-1
243,1543264574.1521688,172,-1
244,1543264574.1594596,60,1
245,1543264574.166266,172,-1
246,1543264574.1736197,60,1
247,1543264574.1898127,60,1
248,1543264574.2012398,60,1
249,1543264574.2015297,172,-1
250,1543264574.21498,172,-1
251,1543264574.2299387,172,-1
252,1543264574.2441106,60,1
253,1543264574.2503748,60,1
254,1543264574.2507818,172,-1
255,1543264574.266657,60,1
256,1543264574.2779906,172,-1
257,1543264574.2946396,60,1
258,1543264574.313463,60,1
259,1543264574.323046,172,-1
260,1543264574.3232691,172,-1
261,1543264574.327354,172,-1
262,1543264574.3587117,60,1
263,1543264574.3625283,172,-1
264,1543264574.3629181,60,1
265,1543264574.3763368,172,-1
266,1543264574.3903618,172,-1
267,1543264574.400255,60,1
268,1543264574.4114623,172,-1
269,1543264574.4127457,60,1
270,1543264574.4258025,60,1
271,1543264574.4432666,172,-1
272,1543264574.4477649,60,1
273,1543264574.460184,172,-1
274,1543264574.4742024,172,-1
275,1543264574.4783869,60,1
276,1543264574.4885993,172,-1
277,1543264574.4963427,60,1
278,1543264574.510762,60,1
279,1543264574.5231695,172,-1
280,1543264574.5240467,60,1
281,1543264574.5373864,172,-1
282,1543264574.5517297,172,-1
283,1543264574.5590367,60,1
284,1543264574.5653222,172,-1
285,1543264574.5723054,60,1
286,1543264574.5879495,60,1
287,1543264574.6006315,172,-1
288,1543264574.60121,60,1
289,1543264574.6155548,172,-1
290,1543264574.6352,172,-1
291,1543264574.6363173,60,1
292,1543264574.649043,172,-1
293,1543264574.651281,60,1
294,1543264574.6727426,60,1
295,1543264574.6789794,172,-1
296,1543264574.6849093,60,1
297,1543264574.6982372,172,-1
298,1543264574.7126944,172,-1
299,1543264574.7151837,60,1
300,1543264574.7268512,172,-1
301,1543264574.7343767,60,1
302,1543264574.7492986,60,1
303,1543264574.7614138,172,-1
304,1543264574.7633283,60,1
305,1543264574.782923,172,-1
306,1543264574.7970493,60,1
307,1543264574.8016465,172,-1
308,1543264574.813634,172,-1
309,1543264574.8175354,60,1
