Serial number,time,size,direction
1,1540487429.2471137,291,1
2,1540487430.84032,288,1
3,1540487430.8404813,190,1
4,1540487430.840765,1514,1
5,1540487430.840798,1514,1
6,1540487430.8408155,779,1
7,1540487430.840832,136,1
8,1540487430.8409119,92,1
9,1540487430.8826272,60,-1
10,1540487431.0679486,146,-1
11,1540487431.0688977,92,-1
12,1540487431.0725093,54,1
13,1540487431.0726693,54,1
14,1540487433.947898,107,-1
15,1540487433.9897718,54,1
16,1540487434.2527447,107,-1
17,1540487434.25775,54,1
18,1540487434.8909101,287,1
19,1540487434.8911264,190,1
20,1540487434.89246,79,1
21,1540487434.8991046,1514,1
22,1540487434.9006412,1514,1
23,1540487434.9007027,634,1
24,1540487434.9007196,132,1
25,1540487434.9021502,180,1
26,1540487434.904074,1514,1
27,1540487434.90423,104,1
28,1540487434.9190981,95,-1
29,1540487434.921835,74,1
30,1540487434.9311898,60,-1
31,1540487434.9430125,60,-1
32,1540487434.9624896,66,-1
33,1540487434.9640944,54,1
34,1540487434.972468,280,1
35,1540487435.0047278,60,-1
36,1540487435.014007,60,-1
37,1540487435.0154843,1514,-1
38,1540487435.0158088,1514,-1
39,1540487435.0181465,1514,-1
40,1540487435.0183372,1023,-1
41,1540487435.035605,1023,-1
42,1540487435.0427926,287,1
43,1540487435.0432398,190,1
44,1540487435.043273,1514,1
45,1540487435.043291,1514,1
46,1540487435.0433095,836,1
47,1540487435.043325,136,1
48,1540487435.0433962,92,1
49,1540487435.045363,54,1
50,1540487435.0454576,54,1
51,1540487435.0455348,54,1
52,1540487435.0459337,54,1
53,1540487435.0465465,66,1
54,1540487435.08128,60,-1
55,1540487435.0812821,60,-1
56,1540487435.149811,1514,1
57,1540487435.1502326,1514,1
58,1540487435.1502585,1514,1
59,1540487435.1502748,1514,1
60,1540487435.1502907,1452,1
61,1540487435.1577575,172,1
62,1540487435.1695256,146,-1
63,1540487435.1695278,92,-1
64,1540487435.17103,54,1
65,1540487435.1711557,54,1
66,1540487435.1740036,180,1
67,1540487435.174182,172,1
68,1540487435.188544,60,-1
69,1540487435.1922834,60,-1
70,1540487435.1922977,172,1
71,1540487435.1926808,96,-1
72,1540487435.2121544,60,-1
73,1540487435.2174644,105,-1
74,1540487435.2191453,54,1
75,1540487435.2202966,172,1
76,1540487435.2241712,764,1
77,1540487435.2411737,172,1
78,1540487435.255832,172,1
79,1540487435.259455,60,-1
80,1540487435.2695112,172,1
81,1540487435.274964,419,-1
82,1540487435.2774956,85,1
83,1540487435.277838,54,1
84,1540487435.2926164,60,-1
85,1540487435.3041234,172,1
86,1540487435.3176913,60,-1
87,1540487435.318183,172,1
88,1540487435.3192785,54,1
89,1540487435.322766,60,-1
90,1540487435.332284,172,1
91,1540487435.3389256,60,-1
92,1540487435.3530967,172,1
93,1540487435.368081,60,-1
94,1540487435.3815205,172,1
95,1540487435.395246,172,1
96,1540487435.405972,287,1
97,1540487435.4067845,190,1
98,1540487435.406827,1514,1
99,1540487435.4074388,1514,1
100,1540487435.4074821,582,1
101,1540487435.4075112,136,1
102,1540487435.4077733,92,1
103,1540487435.4161966,172,1
104,1540487435.4167333,60,-1
105,1540487435.4319613,172,1
106,1540487435.4422126,60,-1
107,1540487435.4486213,60,-1
108,1540487435.4662108,172,1
109,1540487435.46716,60,-1
110,1540487435.4792492,172,1
111,1540487435.4932814,172,1
112,1540487435.507395,172,1
113,1540487435.5144393,60,-1
114,1540487435.5258803,146,-1
115,1540487435.5262392,92,-1
116,1540487435.5301263,54,1
117,1540487435.5421438,172,1
118,1540487435.5430741,60,-1
119,1540487435.5561583,172,1
120,1540487435.580404,172,1
121,1540487435.5912073,172,1
122,1540487435.59196,60,-1
123,1540487435.6192875,172,1
124,1540487435.6280494,60,-1
125,1540487435.6400669,172,1
126,1540487435.6539361,172,1
127,1540487435.668109,172,1
128,1540487435.676313,60,-1
129,1540487435.7029212,172,1
130,1540487435.7032025,60,-1
131,1540487435.7389755,172,1
132,1540487435.7391326,172,1
133,1540487435.752242,172,1
134,1540487435.774445,60,-1
135,1540487435.7799869,172,1
136,1540487435.788577,60,-1
137,1540487435.8048532,172,1
138,1540487435.8202076,172,1
139,1540487435.8343067,172,1
140,1540487435.8399549,60,-1
141,1540487435.8645947,172,1
142,1540487435.8695002,60,-1
143,1540487435.878318,172,1
144,1540487435.8918514,172,1
145,1540487435.9129174,172,1
146,1540487435.9161494,60,-1
147,1540487435.9438307,172,1
148,1540487435.947956,60,-1
149,1540487435.9508843,60,-1
150,1540487435.9549766,172,1
151,1540487435.976016,172,1
152,1540487435.9865668,54,1
153,1540487435.9904401,60,-1
154,1540487435.9951305,172,1
155,1540487436.02481,172,1
156,1540487436.0331144,60,-1
157,1540487436.038918,172,1
158,1540487436.0531876,172,1
159,1540487436.0670207,172,1
160,1540487436.0745163,60,-1
161,1540487436.1024146,60,-1
162,1540487436.1039996,172,1
163,1540487436.1180146,172,1
164,1540487436.136964,172,1
165,1540487436.151015,172,1
166,1540487436.1585233,60,-1
167,1540487436.1849632,172,1
168,1540487436.1863003,60,-1
169,1540487436.1991444,172,1
170,1540487436.2131248,172,1
171,1540487436.2317755,172,1
172,1540487436.2370436,60,-1
173,1540487436.2579486,60,-1
174,1540487436.2618124,172,1
175,1540487436.267258,60,-1
176,1540487436.2759113,172,1
177,1540487436.296609,54,1
178,1540487436.2973237,172,1
179,1540487436.3112056,172,1
180,1540487436.3115423,60,-1
181,1540487436.3398466,172,1
182,1540487436.3464375,60,-1
183,1540487436.3601375,172,1
184,1540487436.3741372,172,1
185,1540487436.388119,172,1
186,1540487436.4010608,60,-1
187,1540487436.4238613,60,-1
188,1540487436.444526,172,1
189,1540487436.4448147,172,1
190,1540487436.4511409,172,1
191,1540487436.477288,172,1
192,1540487436.4846177,60,-1
193,1540487436.5001023,172,1
194,1540487436.5127542,60,-1
195,1540487436.5212142,172,1
196,1540487436.535058,172,1
197,1540487436.5489976,172,1
198,1540487436.557014,60,-1
199,1540487436.5858622,60,-1
200,1540487436.5870962,172,1
201,1540487436.59812,172,1
202,1540487436.6119628,172,1
203,1540487436.633369,60,-1
204,1540487436.6335332,172,1
205,1540487436.6610813,172,1
206,1540487436.672956,60,-1
207,1540487436.6749923,172,1
208,1540487436.6960442,172,1
209,1540487436.7103834,60,-1
210,1540487436.7106154,172,1
211,1540487436.7481627,172,1
212,1540487436.7503853,60,-1
213,1540487436.7593372,172,1
214,1540487436.7733655,172,1
215,1540487436.7874277,172,1
216,1540487436.794201,60,-1
