Serial number,time,size,direction
1,1543173124.0673535,112,1
2,1543173124.068382,97,1
3,1543173124.1195319,66,-1
4,1543173124.1198585,97,-1
5,1543173124.1199923,66,-1
6,1543173124.1466897,60,1
7,1543173124.1475058,60,1
8,1543173135.406181,287,-1
9,1543173135.4066796,190,-1
10,1543173135.406943,1514,-1
11,1543173135.4075785,1514,-1
12,1543173135.407629,1514,-1
13,1543173135.4076967,923,-1
14,1543173135.4077554,1514,-1
15,1543173135.407825,176,-1
16,1543173135.4252853,287,-1
17,1543173135.4262683,1514,-1
18,1543173135.4263496,79,-1
19,1543173135.448735,60,-1
20,1543173135.4505064,1514,-1
21,1543173135.4525976,127,-1
22,1543173135.453935,60,-1
23,1543173135.4540896,60,-1
24,1543173135.4540923,60,-1
25,1543173135.4540946,60,-1
26,1543173135.4540968,60,-1
27,1543173135.4540982,60,-1
28,1543173135.4552083,74,-1
29,1543173135.4559565,1514,-1
30,1543173135.4610887,932,-1
31,1543173135.4688447,60,-1
32,1543173135.4688478,60,-1
33,1543173135.4933035,60,-1
34,1543173135.4943857,66,-1
35,1543173135.497592,60,-1
36,1543173135.4981923,54,-1
37,1543173135.4997554,312,-1
38,1543173135.5012624,1514,-1
39,1543173135.502293,60,-1
40,1543173135.5030081,1514,-1
41,1543173135.5030541,1514,-1
42,1543173135.5031188,1392,-1
43,1543173135.5169995,172,-1
44,1543173135.538691,60,-1
45,1543173135.545935,60,-1
46,1543173135.5459385,191,-1
47,1543173135.5464063,172,-1
48,1543173135.5466526,60,-1
49,1543173135.5466547,60,-1
50,1543173135.5482247,54,-1
51,1543173135.548749,105,-1
52,1543173135.5563056,60,-1
53,1543173135.559964,172,-1
54,1543173135.5650463,146,-1
55,1543173135.5650485,92,-1
56,1543173135.5673156,54,-1
57,1543173135.5744722,172,-1
58,1543173135.595144,172,-1
59,1543173135.6006117,60,-1
60,1543173135.6227891,172,-1
61,1543173135.6322727,60,-1
62,1543173135.6338909,765,-1
63,1543173135.6347303,60,-1
64,1543173135.6438763,172,-1
65,1543173135.6581235,172,-1
66,1543173135.671153,60,-1
67,1543173135.6718419,172,-1
68,1543173135.6754858,417,-1
69,1543173135.6774082,85,-1
70,1543173135.6776245,54,-1
71,1543173135.6847925,60,-1
72,1543173135.7082279,172,-1
73,1543173135.7118592,60,-1
74,1543173135.715712,60,-1
75,1543173135.7168639,54,-1
76,1543173135.7191684,60,-1
77,1543173135.7205155,172,-1
78,1543173135.734623,172,-1
79,1543173135.7556825,172,-1
80,1543173135.7636187,60,-1
81,1543173135.7837744,172,-1
82,1543173135.7976043,172,-1
83,1543173135.7983637,60,-1
84,1543173135.8186598,172,-1
85,1543173135.8385692,60,-1
86,1543173135.860283,172,-1
87,1543173135.8676124,172,-1
88,1543173135.8816094,172,-1
89,1543173135.8960187,172,-1
90,1543173135.9051852,60,-1
91,1543173135.9098978,286,-1
92,1543173135.9104557,190,-1
93,1543173135.9130363,1514,-1
94,1543173135.9137573,1514,-1
95,1543173135.9137778,1514,-1
