Serial number,time,size,direction
1,1543287600.0656343,100,1
2,1543287600.072133,100,-1
3,1543287600.1118758,60,1
4,1543287605.1267586,60,-1
5,1543287611.042169,287,-1
6,1543287611.042888,1514,-1
7,1543287611.04294,1514,-1
8,1543287611.0430014,1514,-1
9,1543287611.043035,1514,-1
10,1543287611.0433505,1133,-1
11,1543287611.0717552,287,-1
12,1543287611.0733907,190,-1
13,1543287611.0804832,60,1
14,1543287611.0829751,1514,-1
15,1543287611.0879557,60,1
16,1543287611.0889096,60,1
17,1543287611.089783,60,1
18,1543287611.0897849,60,1
19,1543287611.0898511,1514,-1
20,1543287611.0917957,1514,-1
21,1543287611.0921652,779,-1
22,1543287611.0985253,79,-1
23,1543287611.1071095,60,1
24,1543287611.1125305,60,1
25,1543287611.1183422,1514,-1
26,1543287611.1191852,1514,-1
27,1543287611.1192303,1514,-1
28,1543287611.1193726,1514,-1
29,1543287611.1234276,60,1
30,1543287611.1287494,127,-1
31,1543287611.1293309,60,1
32,1543287611.1301951,92,-1
33,1543287611.1324356,172,-1
34,1543287611.1327772,74,-1
35,1543287611.136186,60,1
36,1543287611.1448789,172,-1
37,1543287611.1583886,60,1
38,1543287611.158415,60,1
39,1543287611.1591074,60,1
40,1543287611.1591096,60,1
41,1543287611.167493,60,1
42,1543287611.1732194,60,1
43,1543287611.1777449,66,-1
44,1543287611.1806393,172,-1
45,1543287611.1808205,54,-1
46,1543287611.1825514,60,1
47,1543287611.1827374,312,-1
48,1543287611.1937947,172,-1
49,1543287611.20808,172,-1
50,1543287611.2189677,60,1
51,1543287611.2280948,60,-1
52,1543287611.2284343,146,1
53,1543287611.2284355,92,1
54,1543287611.228992,60,-1
55,1543287611.2294354,172,-1
56,1543287611.2298477,1514,-1
57,1543287611.23018,1514,-1
58,1543287611.2304933,1514,-1
59,1543287611.2306886,1049,-1
60,1543287611.2313673,54,-1
61,1543287611.2334793,54,-1
62,1543287611.233582,54,-1
63,1543287611.233735,54,-1
64,1543287611.2338197,54,-1
65,1543287611.244273,60,1
66,1543287611.2499678,1049,-1
67,1543287611.2556276,66,-1
68,1543287611.2577689,172,-1
69,1543287611.2694952,180,-1
70,1543287611.27062,172,-1
71,1543287611.2919462,172,-1
72,1543287611.295336,60,1
73,1543287611.3057475,172,-1
74,1543287611.3143096,105,-1
75,1543287611.3158493,54,-1
76,1543287611.3181167,766,-1
77,1543287611.3283212,60,1
78,1543287611.35245,172,-1
79,1543287611.354503,172,-1
80,1543287611.3651276,417,-1
81,1543287611.3686473,85,-1
82,1543287611.3687615,54,-1
83,1543287611.3691092,172,-1
84,1543287611.384725,172,-1
85,1543287611.3909612,60,1
86,1543287611.4138882,60,1
87,1543287611.415437,60,-1
88,1543287611.4175334,54,-1
89,1543287611.4188135,172,-1
90,1543287611.4326096,172,-1
91,1543287611.453663,172,-1
92,1543287611.4576254,60,1
93,1543287611.4732213,172,-1
94,1543287611.491412,60,1
95,1543287611.4946117,172,-1
96,1543287611.5157967,172,-1
97,1543287611.5300293,172,-1
98,1543287611.5307922,60,1
99,1543287611.5438724,172,-1
100,1543287611.5683897,60,1
101,1543287611.5736008,287,-1
102,1543287611.580251,190,-1
103,1543287611.5806935,1514,-1
104,1543287611.581604,1514,-1
105,1543287611.5816872,1514,-1
106,1543287611.5817378,526,-1
107,1543287611.5817595,172,-1
108,1543287611.6116035,60,1
109,1543287611.6145868,290,-1
110,1543287611.6224236,60,1
111,1543287611.6227932,60,1
112,1543287611.6242774,96,1
113,1543287611.6278124,172,-1
114,1543287611.6558967,172,-1
115,1543287611.6645062,60,1
116,1543287611.6767128,172,-1
117,1543287611.6918988,172,-1
118,1543287611.7048094,172,-1
119,1543287611.7205565,60,1
120,1543287611.739685,172,-1
121,1543287611.741767,60,1
122,1543287611.7513459,146,1
123,1543287611.7517784,92,1
124,1543287611.7556298,172,-1
125,1543287611.7681108,172,-1
126,1543287611.7891042,172,-1
127,1543287611.792473,60,1
128,1543287611.8173156,172,-1
129,1543287611.8268027,60,1
130,1543287611.830759,172,-1
131,1543287611.8515396,172,-1
132,1543287611.865583,172,-1
133,1543287611.867559,60,1
134,1543287611.9007025,172,-1
135,1543287611.903758,60,1
136,1543287611.9146166,172,-1
137,1543287611.9288187,172,-1
138,1543287611.9429882,172,-1
139,1543287611.9520874,60,1
140,1543287611.9778485,172,-1
141,1543287611.9799583,60,1
142,1543287611.9928417,172,-1
143,1543287612.013346,172,-1
144,1543287612.0283585,60,1
145,1543287612.0527434,172,-1
146,1543287612.0553706,172,-1
147,1543287612.0775857,172,-1
148,1543287612.0889397,60,1
149,1543287612.090374,172,-1
150,1543287612.1036232,172,-1
151,1543287612.1147394,60,1
152,1543287612.1380057,172,-1
153,1543287612.1404133,60,1
154,1543287612.1535401,172,-1
155,1543287612.173054,172,-1
156,1543287612.1882174,172,-1
157,1543287612.1894784,60,1
158,1543287612.2150164,172,-1
159,1543287612.2242696,60,1
160,1543287612.2366338,172,-1
161,1543287612.250588,172,-1
162,1543287612.2636397,172,-1
163,1543287612.2805939,60,1
164,1543287612.299852,60,1
165,1543287612.300052,172,-1
166,1543287612.313393,172,-1
167,1543287612.326724,172,-1
168,1543287612.347688,172,-1
169,1543287612.3490922,60,1
170,1543287612.3770468,172,-1
171,1543287612.3831303,60,1
172,1543287612.396843,172,-1
173,1543287612.410696,172,-1
174,1543287612.4248588,172,-1
175,1543287612.432355,60,1
176,1543287612.4596949,172,-1
177,1543287612.4624922,60,1
178,1543287612.478642,172,-1
179,1543287612.4931784,172,-1
180,1543287612.5111432,172,-1
181,1543287612.5145524,60,1
182,1543287612.537429,172,-1
183,1543287612.546763,60,1
184,1543287612.5509863,172,-1
185,1543287612.5716417,172,-1
186,1543287612.585799,172,-1
187,1543287612.5864623,60,1
188,1543287612.6206615,172,-1
189,1543287612.621194,60,1
190,1543287612.634514,172,-1
191,1543287612.6487942,172,-1
192,1543287612.663013,172,-1
193,1543287612.6696794,60,1
194,1543287612.6975398,172,-1
195,1543287612.7006626,60,1
196,1543287612.7117352,172,-1
197,1543287612.749523,60,1
198,1543287612.750006,172,-1
199,1543287612.7501795,172,-1
200,1543287612.7747605,172,-1
201,1543287612.7865853,60,1
202,1543287612.7956512,172,-1
203,1543287612.8097796,172,-1
204,1543287612.823667,172,-1
205,1543287612.8319511,60,1
206,1543287612.8587482,172,-1
207,1543287612.8596573,60,1
208,1543287612.8727467,172,-1
209,1543287612.8869746,172,-1
210,1543287612.9079888,172,-1
211,1543287612.909174,60,1
212,1543287612.9356632,172,-1
213,1543287612.9435291,60,1
214,1543287612.9578488,172,-1
215,1543287612.9719527,172,-1
216,1543287612.985136,172,-1
217,1543287612.9949837,60,1
218,1543287613.020757,172,-1
219,1543287613.0214238,60,1
220,1543287613.0339181,172,-1
221,1543287613.0478747,172,-1
222,1543287613.0716052,172,-1
223,1543287613.0781045,60,1
224,1543287613.1004422,172,-1
225,1543287613.109587,60,1
226,1543287613.1114218,172,-1
227,1543287613.1316235,172,-1
228,1543287613.1454713,172,-1
229,1543287613.1475756,60,1
230,1543287613.1809666,172,-1
231,1543287613.1889544,60,1
232,1543287613.1938093,172,-1
233,1543287613.2079923,172,-1
234,1543287613.2288914,172,-1
235,1543287613.231881,60,1
236,1543287613.256827,172,-1
237,1543287613.2637546,60,1
238,1543287613.271084,172,-1
239,1543287613.2917285,172,-1
240,1543287613.3057609,172,-1
241,1543287613.3089106,60,1
242,1543287613.3406444,172,-1
243,1543287613.344357,60,1
244,1543287613.3545938,172,-1
245,1543287613.3694172,172,-1
246,1543287613.3832004,172,-1
247,1543287613.3939114,60,1
248,1543287613.417607,172,-1
249,1543287613.422817,60,1
250,1543287613.4469812,172,-1
251,1543287613.4530044,172,-1
252,1543287613.467214,172,-1
253,1543287613.4896803,60,1
254,1543287613.4949534,172,-1
255,1543287613.5058513,60,1
256,1543287613.5157783,172,-1
257,1543287613.529759,172,-1
258,1543287613.5429094,172,-1
259,1543287613.5543144,60,1
260,1543287613.5777152,172,-1
261,1543287613.5835245,60,1
262,1543287613.591642,172,-1
263,1543287613.6128502,172,-1
264,1543287613.627243,172,-1
265,1543287613.6286638,60,1
266,1543287613.6548784,172,-1
267,1543287613.6703277,60,1
268,1543287613.6758275,172,-1
269,1543287613.690044,172,-1
270,1543287613.7038288,172,-1
271,1543287613.7145627,60,1
272,1543287613.7293465,434,1
273,1543287613.7399807,172,-1
274,1543287613.7401197,60,1
275,1543287613.745752,715,1
276,1543287613.7581394,136,-1
277,1543287613.758482,92,-1
278,1543287613.7661812,74,-1
279,1543287613.7948995,60,1
280,1543287613.8053098,66,-1
281,1543287613.8066182,54,-1
282,1543287613.8079634,312,-1
283,1543287613.8465905,60,-1
284,1543287613.850652,60,-1
285,1543287613.8506532,60,-1
286,1543287613.8509283,191,-1
287,1543287613.8525405,54,-1
288,1543287613.8529193,105,-1
289,1543287613.9464161,60,-1
290,1543287613.9508755,813,-1
291,1543287613.9526556,460,1
292,1543287613.9640002,74,-1
293,1543287613.9849925,54,-1
294,1543287613.9907022,60,-1
295,1543287613.9980164,417,-1
296,1543287613.9999363,85,-1
