Serial number,time,size,direction
1,1543170107.896082,100,1
2,1543170107.9041584,100,-1
3,1543170107.9621458,60,1
4,1543170133.8114116,286,-1
5,1543170133.8116977,190,-1
6,1543170133.8119984,1514,-1
7,1543170133.8120232,1514,-1
8,1543170133.8120403,635,-1
9,1543170133.8120544,132,-1
10,1543170133.8121495,180,-1
11,1543170133.8125181,1514,-1
12,1543170133.8125517,208,-1
13,1543170133.8333945,79,-1
14,1543170133.851112,60,1
15,1543170133.8591409,127,-1
16,1543170133.8594203,60,1
17,1543170133.8594215,60,1
18,1543170133.8603044,60,1
19,1543170133.8714812,74,-1
20,1543170133.9120536,66,-1
21,1543170133.9133582,54,-1
22,1543170133.9216492,280,-1
23,1543170133.9591174,60,-1
24,1543170133.9627252,286,-1
25,1543170133.9633734,1514,-1
26,1543170133.9634354,1514,-1
27,1543170133.9634671,1055,-1
28,1543170133.966,60,-1
29,1543170133.9672017,92,-1
30,1543170133.9674308,1514,-1
31,1543170133.9678006,1514,-1
32,1543170133.9680812,1514,-1
33,1543170133.9683495,1049,-1
34,1543170133.9695573,54,-1
35,1543170133.969851,54,-1
36,1543170133.970786,54,-1
37,1543170133.9710605,54,-1
38,1543170133.991345,1049,-1
39,1543170133.9929368,66,-1
40,1543170134.0061128,60,1
41,1543170134.0061166,60,1
42,1543170134.0061185,60,1
43,1543170134.0114472,60,1
44,1543170134.0646489,1514,-1
45,1543170134.0650911,1514,-1
46,1543170134.0651238,1514,-1
47,1543170134.0651405,1514,-1
48,1543170134.065157,1514,-1
49,1543170134.0652642,392,-1
50,1543170134.0749848,172,-1
51,1543170134.0772867,145,1
52,1543170134.0772889,92,1
53,1543170134.0873153,54,-1
54,1543170134.0971544,180,-1
55,1543170134.103808,60,1
56,1543170134.109427,172,-1
57,1543170134.1097941,60,1
58,1543170134.1101294,60,1
59,1543170134.1108258,60,1
60,1543170134.115086,60,1
61,1543170134.1225739,172,-1
62,1543170134.1376069,105,-1
63,1543170134.138868,54,-1
64,1543170134.1438498,172,-1
65,1543170134.1468287,769,-1
66,1543170134.1480594,60,1
67,1543170134.1589956,172,-1
68,1543170134.163346,60,1
69,1543170134.1820412,60,1
70,1543170134.1928868,172,-1
71,1543170134.197316,60,1
72,1543170134.197597,417,-1
73,1543170134.1999614,85,-1
74,1543170134.2001145,54,-1
75,1543170134.2075806,172,-1
76,1543170134.232708,60,1
77,1543170134.241748,60,-1
78,1543170134.2485268,172,-1
79,1543170134.2487464,172,-1
80,1543170134.2496738,60,1
81,1543170134.250113,54,-1
82,1543170134.2704546,172,-1
83,1543170134.2836387,172,-1
84,1543170134.2872524,60,1
85,1543170134.2926874,60,1
86,1543170134.3038895,172,-1
87,1543170134.3096988,60,1
88,1543170134.3176394,172,-1
89,1543170134.3229535,60,1
90,1543170134.3424482,60,1
91,1543170134.3462725,638,-1
92,1543170134.3466935,190,-1
93,1543170134.3478358,1514,-1
94,1543170134.3486378,1514,-1
95,1543170134.3487165,583,-1
96,1543170134.3487332,136,-1
97,1543170134.349108,92,-1
98,1543170134.3528876,172,-1
99,1543170134.357146,60,1
100,1543170134.3666677,172,-1
101,1543170134.38081,172,-1
102,1543170134.3857694,60,1
103,1543170134.3916516,60,1
104,1543170134.3950481,172,-1
105,1543170134.396673,60,1
106,1543170134.4057345,60,1
107,1543170134.4216213,60,1
108,1543170134.4296045,172,-1
109,1543170134.4384267,60,1
110,1543170134.44357,172,-1
111,1543170134.465015,172,-1
112,1543170134.468331,145,1
113,1543170134.4685464,92,1
114,1543170134.472452,54,-1
115,1543170134.479436,172,-1
116,1543170134.491463,60,1
117,1543170134.507014,172,-1
118,1543170134.5186894,60,1
119,1543170134.5277078,172,-1
120,1543170134.54177,172,-1
121,1543170134.5565212,172,-1
122,1543170134.5664053,60,1
123,1543170134.5907311,172,-1
124,1543170134.5985184,60,1
125,1543170134.604702,172,-1
126,1543170134.6187518,172,-1
127,1543170134.6403995,172,-1
128,1543170134.643289,60,1
129,1543170134.6681876,172,-1
130,1543170134.6815162,60,1
131,1543170134.6886356,172,-1
132,1543170134.702853,172,-1
133,1543170134.7166624,172,-1
134,1543170134.7280016,60,1
135,1543170134.7519903,172,-1
136,1543170134.7571588,60,1
137,1543170134.7655458,172,-1
138,1543170134.7804265,172,-1
139,1543170134.8009434,172,-1
140,1543170134.8053288,60,1
141,1543170134.8288283,172,-1
142,1543170134.8424418,172,-1
143,1543170134.843384,60,1
144,1543170134.863486,172,-1
145,1543170134.8778856,172,-1
146,1543170134.8828087,60,1
147,1543170134.912403,172,-1
148,1543170134.9174922,60,1
149,1543170134.948397,172,-1
150,1543170134.9485645,172,-1
151,1543170134.9547634,172,-1
152,1543170134.9881577,60,1
153,1543170134.9915385,172,-1
154,1543170134.9938858,60,1
155,1543170135.0050654,172,-1
156,1543170135.0243466,172,-1
157,1543170135.0384245,172,-1
158,1543170135.0440404,60,1
159,1543170135.0678685,172,-1
160,1543170135.078582,60,1
161,1543170135.0874925,172,-1
162,1543170135.1015859,172,-1
163,1543170135.120785,172,-1
164,1543170135.1264884,60,1
165,1543170135.1505642,172,-1
166,1543170135.1609385,60,1
167,1543170135.1645699,172,-1
168,1543170135.178853,172,-1
169,1543170135.199621,172,-1
170,1543170135.2036772,60,1
171,1543170135.2279193,172,-1
172,1543170135.241907,60,1
173,1543170135.2492304,172,-1
174,1543170135.2631102,172,-1
175,1543170135.2771935,172,-1
176,1543170135.2901618,60,1
177,1543170135.3124106,172,-1
178,1543170135.3208034,60,1
179,1543170135.3254147,172,-1
180,1543170135.3395164,172,-1
181,1543170135.3607101,172,-1
182,1543170135.3660052,60,1
183,1543170135.3883612,172,-1
184,1543170135.3999655,60,1
185,1543170135.4024282,172,-1
186,1543170135.4287496,172,-1
187,1543170135.43778,172,-1
188,1543170135.441636,60,1
189,1543170135.4775155,60,1
190,1543170135.488348,172,-1
191,1543170135.4888206,172,-1
192,1543170135.5006993,172,-1
193,1543170135.5146954,172,-1
194,1543170135.5276194,60,1
195,1543170135.5504606,172,-1
196,1543170135.553407,60,1
197,1543170135.564454,172,-1
198,1543170135.586593,172,-1
199,1543170135.5999877,172,-1
200,1543170135.6027522,60,1
201,1543170135.6390269,60,1
202,1543170135.6536357,172,-1
203,1543170135.6537747,172,-1
204,1543170135.662191,172,-1
205,1543170135.6761208,172,-1
206,1543170135.6938171,60,1
207,1543170135.7105947,172,-1
208,1543170135.7153463,60,1
209,1543170135.7245896,172,-1
210,1543170135.738487,172,-1
211,1543170135.7596529,172,-1
212,1543170135.763706,60,1
213,1543170135.787753,172,-1
214,1543170135.801127,60,1
215,1543170135.8090386,172,-1
216,1543170135.8244998,172,-1
217,1543170135.8366258,172,-1
218,1543170135.8493893,60,1
219,1543170135.8716269,172,-1
220,1543170135.8767316,60,1
221,1543170135.8870213,172,-1
222,1543170135.899762,172,-1
223,1543170135.9205287,172,-1
224,1543170135.927911,60,1
225,1543170135.9492948,172,-1
226,1543170135.9602025,60,1
227,1543170135.9628046,172,-1
