Serial number,time,size,direction
1,1543171067.895616,100,1
2,1543171067.901714,100,-1
3,1543171067.9424238,60,1
4,1543171072.8422668,286,-1
5,1543171072.844096,190,-1
6,1543171072.8442109,1514,-1
7,1543171072.8442564,1514,-1
8,1543171072.8442886,1229,-1
9,1543171072.8443208,180,-1
10,1543171072.844593,1514,-1
11,1543171072.8446445,176,-1
12,1543171072.8618305,79,-1
13,1543171072.8832524,60,1
14,1543171072.8877203,127,-1
15,1543171072.8881798,1514,-1
16,1543171072.8891933,60,1
17,1543171072.8901703,60,1
18,1543171072.890175,60,1
19,1543171072.8901777,60,1
20,1543171072.8901792,60,1
21,1543171072.8904026,60,1
22,1543171072.8917642,74,-1
23,1543171072.8924184,1514,-1
24,1543171072.8928154,1514,-1
25,1543171072.8928635,138,-1
26,1543171072.9290373,60,1
27,1543171072.9316344,66,-1
28,1543171072.9352188,60,1
29,1543171072.9352214,60,1
30,1543171072.9516068,1514,-1
31,1543171072.9523802,1514,-1
32,1543171072.9524407,1514,-1
33,1543171072.9524784,1472,-1
34,1543171072.9525166,54,-1
35,1543171072.9526923,312,-1
36,1543171072.9608364,172,-1
37,1543171072.9732893,172,-1
38,1543171072.987523,172,-1
39,1543171072.993178,60,1
40,1543171072.9931872,60,1
41,1543171072.9935286,60,1
42,1543171072.993532,60,1
43,1543171072.9935336,60,-1
44,1543171072.9945989,60,-1
45,1543171072.9957383,1514,-1
46,1543171072.9960968,1514,-1
47,1543171072.996405,1514,-1
48,1543171072.9965904,1049,-1
49,1543171073.000487,54,-1
50,1543171073.0006788,54,-1
51,1543171073.0008132,54,-1
52,1543171073.0009427,54,-1
53,1543171073.0017307,60,1
54,1543171073.009957,146,1
55,1543171073.009961,92,1
56,1543171073.0144026,54,-1
57,1543171073.024509,1049,-1
58,1543171073.026469,66,-1
59,1543171073.0269113,172,-1
60,1543171073.027191,60,1
61,1543171073.0363865,172,-1
62,1543171073.042383,180,-1
63,1543171073.0514772,172,-1
64,1543171073.0709078,172,-1
65,1543171073.0768769,60,1
66,1543171073.0782344,105,-1
67,1543171073.0797882,54,-1
68,1543171073.0859451,766,-1
69,1543171073.0995088,172,-1
70,1543171073.1102462,60,1
71,1543171073.113531,172,-1
72,1543171073.1283903,417,-1
73,1543171073.1333039,85,-1
74,1543171073.1344662,172,-1
75,1543171073.1347706,54,-1
76,1543171073.153758,172,-1
77,1543171073.1542404,60,1
78,1543171073.1702452,60,-1
79,1543171073.1715283,54,-1
80,1543171073.1739283,60,-1
81,1543171073.1832278,172,-1
82,1543171073.1934118,60,1
83,1543171073.1973307,172,-1
84,1543171073.2118948,172,-1
85,1543171073.2257817,172,-1
86,1543171073.237243,60,1
87,1543171073.2605531,172,-1
88,1543171073.2654161,60,1
89,1543171073.2743254,172,-1
90,1543171073.2948866,172,-1
91,1543171073.308937,172,-1
92,1543171073.3143787,60,1
93,1543171073.3373907,172,-1
94,1543171073.3487072,60,1
95,1543171073.3625503,172,-1
96,1543171073.363661,1514,-1
97,1543171073.363756,1514,-1
98,1543171073.3638186,1514,-1
99,1543171073.3638546,235,-1
100,1543171073.3731394,172,-1
101,1543171073.3872433,172,-1
102,1543171073.408304,60,1
103,1543171073.4083087,60,1
104,1543171073.4087043,60,1
105,1543171073.4208891,172,-1
106,1543171073.427277,60,1
107,1543171073.4354372,172,-1
108,1543171073.4496481,172,-1
109,1543171073.4701219,172,-1
110,1543171073.4759917,60,1
111,1543171073.4979975,172,-1
112,1543171073.5055282,146,1
113,1543171073.5055366,92,1
