Serial number,time,size,direction
1,1540246318.9667284,100,1
2,1540246318.9720955,100,-1
3,1540246319.0114093,60,1
4,1540246324.4085062,286,-1
5,1540246324.4089315,190,-1
6,1540246324.4098475,1514,-1
7,1540246324.409921,1514,-1
8,1540246324.4099984,1151,-1
9,1540246324.410069,132,-1
10,1540246324.4113972,180,-1
11,1540246324.4114745,1514,-1
12,1540246324.4296136,79,-1
13,1540246324.4478636,60,1
14,1540246324.4538589,60,1
15,1540246324.4548454,60,1
16,1540246324.4548483,60,1
17,1540246324.454852,60,1
18,1540246324.4548538,60,1
19,1540246324.4568305,95,-1
20,1540246324.5780127,1514,-1
21,1540246324.5786896,1514,-1
22,1540246324.578718,1514,-1
23,1540246324.5787358,1514,-1
24,1540246324.578769,1514,-1
25,1540246324.5787857,1514,-1
26,1540246324.5790005,1514,-1
27,1540246324.5790286,494,-1
28,1540246324.5794199,74,-1
29,1540246324.6161144,60,1
30,1540246324.622727,60,1
31,1540246324.622729,60,1
32,1540246324.622896,66,-1
33,1540246324.6241865,60,1
34,1540246324.6241875,60,1
35,1540246324.6244667,60,1
36,1540246324.6945007,146,1
37,1540246324.6945028,92,1
38,1540246324.7109036,762,-1
39,1540246324.7110891,54,-1
40,1540246324.7122226,312,-1
41,1540246324.714606,54,-1
42,1540246324.7173753,172,-1
43,1540246324.7294946,172,-1
44,1540246324.7498183,60,-1
45,1540246324.750454,172,-1
46,1540246324.7518506,60,1
47,1540246324.7526493,60,-1
48,1540246324.7526531,191,-1
49,1540246324.7561352,60,1
50,1540246324.7578046,54,-1
51,1540246324.7683065,60,1
52,1540246324.7783706,105,-1
53,1540246324.7897153,172,-1
54,1540246324.791571,60,1
55,1540246324.7949903,172,-1
56,1540246324.8208416,172,-1
57,1540246324.8273773,60,1
58,1540246324.832317,60,1
59,1540246324.8587413,60,1
60,1540246324.861712,60,-1
61,1540246324.8678603,172,-1
62,1540246324.867975,172,-1
63,1540246324.8694685,766,-1
64,1540246324.8802772,172,-1
65,1540246324.8907228,172,-1
66,1540246324.896516,288,-1
67,1540246324.9030447,190,-1
68,1540246324.9045496,172,-1
69,1540246324.9058747,60,1
70,1540246324.907427,1514,-1
71,1540246324.9081922,1514,-1
72,1540246324.9090767,974,-1
73,1540246324.9099784,60,-1
74,1540246324.917481,419,-1
75,1540246324.9178553,60,1
76,1540246324.9292984,60,1
77,1540246324.9342692,60,1
78,1540246324.940606,60,1
79,1540246324.9463477,60,1
80,1540246324.9513507,60,1
81,1540246324.9523942,96,1
82,1540246325.0185325,172,-1
83,1540246325.0188081,408,-1
84,1540246325.0188308,85,-1
85,1540246325.0189304,54,-1
86,1540246325.019015,172,-1
87,1540246325.0367925,172,-1
88,1540246325.0404809,146,1
89,1540246325.0404835,92,1
90,1540246325.0420687,54,-1
91,1540246325.052072,172,-1
92,1540246325.0567336,60,-1
93,1540246325.057944,60,1
94,1540246325.06649,54,-1
95,1540246325.0667298,172,-1
96,1540246325.09161,60,1
97,1540246325.1032624,172,-1
98,1540246325.1202605,172,-1
99,1540246325.128498,172,-1
100,1540246325.141984,60,1
101,1540246325.1487484,172,-1
102,1540246325.1663487,60,1
103,1540246325.1783845,172,-1
104,1540246325.198319,172,-1
105,1540246325.212855,172,-1
106,1540246325.2166493,60,1
107,1540246325.2263565,172,-1
108,1540246325.2505958,60,1
109,1540246325.2616394,172,-1
110,1540246325.275663,172,-1
111,1540246325.2894273,172,-1
112,1540246325.299654,60,1
113,1540246325.310323,172,-1
114,1540246325.3265543,60,1
115,1540246325.338243,172,-1
116,1540246325.3520606,172,-1
117,1540246325.3733659,172,-1
118,1540246325.3772452,60,1
119,1540246325.4057915,172,-1
120,1540246325.421862,172,-1
121,1540246325.4224322,60,1
122,1540246325.4356017,172,-1
123,1540246325.4489157,172,-1
124,1540246325.4599857,60,1
125,1540246325.4697635,172,-1
126,1540246325.4866903,60,1
127,1540246325.4983556,172,-1
128,1540246325.5120218,172,-1
129,1540246325.5327187,172,-1
130,1540246325.5363464,60,1
131,1540246325.5470433,172,-1
132,1540246325.5707874,60,1
133,1540246325.5874302,172,-1
134,1540246325.5957325,172,-1
135,1540246325.6098506,172,-1
136,1540246325.6238787,172,-1
137,1540246325.625581,60,1
138,1540246325.6572106,60,1
139,1540246325.6585135,172,-1
140,1540246325.6731977,172,-1
141,1540246325.6938868,172,-1
142,1540246325.696667,60,1
143,1540246325.7078767,172,-1
144,1540246325.7319918,60,1
145,1540246325.7438166,172,-1
146,1540246325.7568946,172,-1
147,1540246325.7708693,172,-1
148,1540246325.780768,60,1
149,1540246325.7866077,172,-1
150,1540246325.809921,60,1
151,1540246325.8215215,172,-1
152,1540246325.8343914,172,-1
153,1540246325.8499181,172,-1
154,1540246325.8594546,60,1
155,1540246325.8686047,172,-1
156,1540246325.8873672,60,1
157,1540246325.8967214,172,-1
158,1540246325.9181106,172,-1
159,1540246325.9318287,172,-1
160,1540246325.934666,60,1
161,1540246325.945932,172,-1
162,1540246325.971383,60,1
163,1540246325.985925,172,-1
164,1540246325.9963927,172,-1
165,1540246326.0088656,172,-1
166,1540246326.0233645,60,1
167,1540246326.0306544,172,-1
