Serial number,time,size,direction
1,1543263785.4904187,100,1
2,1543263785.4966452,100,-1
3,1543263785.5324736,60,1
4,1543263790.7036695,289,-1
5,1543263790.7115874,190,-1
6,1543263790.7132423,1514,-1
7,1543263790.7135754,1514,-1
8,1543263790.7139363,1514,-1
9,1543263790.7139585,122,-1
10,1543263790.718501,79,-1
11,1543263790.73899,60,1
12,1543263790.740589,1514,-1
13,1543263790.7445176,127,-1
14,1543263790.747487,74,-1
15,1543263790.7480655,60,1
16,1543263790.7533407,60,1
17,1543263790.753343,60,1
18,1543263790.753344,60,1
19,1543263790.7536876,1514,-1
20,1543263790.7678008,1514,-1
21,1543263790.768115,1514,-1
22,1543263790.768381,830,-1
23,1543263790.7762682,60,1
24,1543263790.7830157,66,-1
25,1543263790.7844558,54,-1
26,1543263790.7858799,312,-1
27,1543263790.7899175,60,1
28,1543263790.804239,60,1
29,1543263790.8090074,60,1
30,1543263790.8143084,1514,-1
31,1543263790.8149939,1514,-1
32,1543263790.8150482,1514,-1
33,1543263790.8163881,1152,-1
34,1543263790.8221703,60,-1
35,1543263790.8259885,60,-1
36,1543263790.8271773,191,-1
37,1543263790.82852,54,-1
38,1543263790.8289826,105,-1
39,1543263790.8393006,172,-1
40,1543263790.8504672,60,1
41,1543263790.856615,60,1
42,1543263790.8570583,96,1
43,1543263790.8589933,172,-1
44,1543263790.873051,172,-1
45,1543263790.884525,145,1
46,1543263790.8845274,92,1
47,1543263790.889516,172,-1
48,1543263790.90878,60,1
49,1543263790.913161,60,-1
50,1543263790.9143343,768,-1
51,1543263790.9219532,172,-1
52,1543263790.9360044,172,-1
53,1543263790.9500537,60,-1
54,1543263790.9504013,172,-1
55,1543263790.957054,417,-1
56,1543263790.9574013,60,1
57,1543263790.9589713,85,-1
58,1543263790.9591017,54,-1
59,1543263790.9710996,172,-1
60,1543263790.985688,60,1
61,1543263790.9960825,60,-1
62,1543263791.0236301,172,-1
63,1543263791.0238132,172,-1
64,1543263791.0245223,54,-1
65,1543263791.0339022,172,-1
66,1543263791.0485778,172,-1
67,1543263791.0515618,60,1
68,1543263791.059376,60,1
69,1543263791.0721164,60,1
70,1543263791.0828462,60,1
71,1543263791.0830345,172,-1
72,1543263791.096784,172,-1
73,1543263791.1124513,172,-1
74,1543263791.1200035,60,1
75,1543263791.1250808,172,-1
76,1543263791.1424575,60,1
77,1543263791.1486716,60,1
78,1543263791.1596098,172,-1
79,1543263791.1598358,60,1
80,1543263791.1741138,172,-1
81,1543263791.1949322,60,1
82,1543263791.1976995,172,-1
83,1543263791.2094026,172,-1
84,1543263791.2095997,60,1
85,1543263791.2140403,286,-1
86,1543263791.2146223,1514,-1
87,1543263791.2146673,1514,-1
88,1543263791.216155,1514,-1
89,1543263791.241582,60,1
90,1543263791.2429485,199,-1
91,1543263791.2478566,60,1
92,1543263791.2559109,60,1
93,1543263791.2563028,60,1
94,1543263791.2578676,172,-1
95,1543263791.2718077,172,-1
96,1543263791.2814353,60,1
97,1543263791.285911,172,-1
98,1543263791.2961915,60,1
99,1543263791.306663,60,1
100,1543263791.321102,172,-1
101,1543263791.3220665,60,1
102,1543263791.335028,172,-1
103,1543263791.3495235,172,-1
104,1543263791.355106,145,1
105,1543263791.3551087,92,1
106,1543263791.3571043,54,-1
107,1543263791.3708298,172,-1
108,1543263791.3803682,60,1
109,1543263791.397948,172,-1
110,1543263791.406311,60,1
111,1543263791.4190187,172,-1
112,1543263791.4329107,172,-1
113,1543263791.4461403,172,-1
114,1543263791.4542358,60,1
115,1543263791.4813006,172,-1
116,1543263791.4838548,60,1
117,1543263791.4950893,172,-1
118,1543263791.5089924,172,-1
119,1543263791.529983,172,-1
120,1543263791.5302057,60,1
121,1543263791.558513,172,-1
122,1543263791.5662148,60,1
123,1543263791.5790446,172,-1
124,1543263791.5935738,172,-1
125,1543263791.6072693,172,-1
126,1543263791.6147778,60,1
127,1543263791.641916,172,-1
128,1543263791.6453276,60,1
129,1543263791.6560776,172,-1
130,1543263791.6703649,172,-1
131,1543263791.6910331,60,1
132,1543263791.6913385,172,-1
133,1543263791.7234142,172,-1
134,1543263791.7260025,60,1
135,1543263791.7332373,172,-1
136,1543263791.7542233,172,-1
137,1543263791.7683318,60,1
138,1543263791.7684176,172,-1
139,1543263791.803034,172,-1
140,1543263791.8079429,60,1
141,1543263791.8168194,172,-1
142,1543263791.8310232,172,-1
143,1543263791.84522,172,-1
144,1543263791.8709776,60,1
145,1543263791.880301,172,-1
146,1543263791.8806987,60,1
